# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 51015001
# NOM_USUEL= ARGERS
# LATITUDE (°) = 49.064
# LONGITUDE(°)= 4.85
# ALTITUDE (m) = 152
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX051015001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196201 202212
# Date(s) de rupture(s) d'homogénéité : 198712 199712 201312
#     Periode homogénéisée  196201 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;6;1
196202;5.7;1
196203;6.7;1
196204;14.6;1
196205;16.2;1
196206;22.6;1
196207;23.2;1
196208;24.8;1
196209;20.6;1
196210;16.1;1
196211;6.5;1
196212;3.1;1
196301;-1.1;1
196302;1.4;1
196303;10.5;1
196304;14.9;1
196305;17.6;1
196306;20.6;1
196307;24.1;1
196308;20.4;1
196309;19.9;1
196310;14.7;1
196311;12.7;1
196312;1.5;1
196401;2.1;1
196402;8.2;1
196403;7.8;1
196404;14.5;1
196405;20.4;1
196406;23.1;1
196407;26.5;1
196408;23.7;1
196409;21.7;1
196410;12.5;1
196411;8.7;1
196412;4.5;1
196501;5.3;1
196502;3.4;1
196503;10.2;1
196504;12.5;1
196505;17.5;1
196506;21.9;1
196507;20.1;1
196508;21.7;1
196509;18.1;1
196510;16.6;1
196511;7.7;1
196512;7.3;1
196601;2.9;1
196602;10.7;1
196603;9.6;1
196604;15.6;1
196605;18.9;1
196606;22.4;1
196607;21.3;1
196608;21.8;1
196609;21;1
196610;16.3;1
196611;6.8;1
196612;6.6;1
196701;4.7;1
196702;8.5;1
196703;11.2;1
196704;13.7;1
196705;18.3;1
196706;20.8;1
196707;26.4;1
196708;23.1;1
196709;19.5;1
196710;16.4;1
196711;8.8;1
196712;3.8;1
196801;4.4;1
196802;6.6;1
196803;10.8;1
196804;15.4;1
196805;16.4;1
196806;20.8;1
196807;22.8;1
196808;21.7;1
196809;18.9;1
196810;15.9;1
196811;8.7;1
196812;2.7;1
196901;6.9;1
196902;3.8;1
196903;9.6;1
196904;13.5;1
196905;18.9;1
196906;20;1
196907;24.8;1
196908;22.8;1
196909;20.8;1
196910;17.6;1
196911;9.8;1
196912;1.3;1
197001;5.1;1
197002;5.6;1
197003;6.7;1
197004;10.4;1
197005;17.8;1
197006;23.6;1
197007;22.2;1
197008;23.6;1
197009;21.1;1
197010;14.2;1
197011;11.7;1
197012;4.1;1
197101;4.9;1
197102;6.4;1
197103;6.7;1
197104;16.9;1
197105;20.7;1
197106;19.6;1
197107;26.1;1
197108;23.2;1
197109;20.2;1
197110;16.4;1
197111;7.1;1
197112;6.6;1
197201;4.2;1
197202;8.7;1
197203;13;1
197204;12.3;1
197205;16.5;1
197206;20;1
197207;22.9;1
197208;21.3;1
197209;17.7;1
197210;15.2;1
197211;9.2;1
197212;6.9;1
197301;4;1
197302;4.9;1
197303;10.8;1
197304;11.8;1
197305;18.4;1
197306;22.9;1
197307;23.3;1
197308;26.3;1
197309;22.3;1
197310;14;1
197311;9;1
197312;4.5;1
197401;8.9;1
197402;8.3;1
197403;10.9;1
197404;16;1
197405;18;1
197406;21.5;1
197407;22.1;1
197408;23.7;1
197409;18.9;1
197410;9.8;1
197411;9.7;1
197412;8.6;1
197501;8.4;1
197502;9.3;1
197503;8.1;1
197504;13.3;1
197505;17.5;1
197506;20.7;1
197507;25.6;1
197508;26.2;1
197509;21.2;1
197510;13;1
197511;8.4;1
197512;3.3;1
197601;5.3;1
197602;7.3;1
197603;9.4;1
197604;14.4;1
197605;21;1
197606;26.9;1
197607;28.3;1
197608;26.5;1
197609;20;1
197610;15.7;1
197611;8.7;1
197612;3.8;1
197701;5.2;1
197702;8.7;1
197703;12.3;1
197704;12;1
197705;17.9;1
197706;20.9;1
197707;23.1;1
197708;22;1
197709;19.3;1
197710;16.9;1
197711;9.3;1
197712;7.7;1
197801;4.7;1
197802;4.5;1
197803;10.5;1
197804;12.8;1
197805;16.8;1
197806;20.8;1
197807;22;1
197808;21.9;1
197809;19.4;1
197810;15.6;1
197811;8;1
197812;6.3;1
197901;-0.2;1
197902;4.8;1
197903;8.7;1
197904;12.6;1
197905;17.9;1
197906;22.2;1
197907;23.3;1
197908;21.8;1
197909;20.9;1
197910;16;1
197911;8.1;1
197912;7.7;1
198001;2.9;1
198002;9;1
198003;8.7;1
198004;13.1;1
198005;17.6;1
198006;20.5;1
198007;20.4;1
198008;23.5;1
198009;22;1
198010;13.6;1
198011;7.3;1
198012;4;1
198101;4.5;1
198102;5;1
198103;12.6;1
198104;14.6;1
198105;18.8;1
198106;20.5;1
198107;23.2;1
198108;23.6;1
198109;21.2;1
198110;13.3;1
198111;8.9;1
198112;4.6;1
198201;4.2;1
198202;7.4;1
198203;10.3;1
198204;13.6;1
198205;19.6;1
198206;23.7;1
198207;26.6;1
198208;23.8;1
198209;24.1;1
198210;14.2;1
198211;10.7;1
198212;5.6;1
198301;7.2;1
198302;4.2;1
198303;9.7;1
198304;13.5;1
198305;15.5;1
198306;23.4;1
198307;29.4;1
198308;26.1;1
198309;20.3;1
198310;14.9;1
198311;9.6;1
198312;5.2;1
198401;5.1;1
198402;5;1
198403;9.2;1
198404;14.1;1
198405;14.8;1
198406;20.9;1
198407;24.2;1
198408;24.8;1
198409;18.1;1
198410;14.5;1
198411;12.7;1
198412;6;1
198501;-1.2;1
198502;5.3;1
198503;7.9;1
198504;14.3;1
198505;18;1
198506;19.7;1
198507;25.4;1
198508;23.2;1
198509;22.3;1
198510;15.9;1
198511;5.1;1
198512;6.6;1
198601;5.1;1
198602;-0.3;1
198603;9;1
198604;10.7;1
198605;19.5;1
198606;23.6;1
198607;24.2;1
198608;22.9;1
198609;18.7;1
198610;16.8;1
198611;10.5;1
198612;6.4;1
198701;-0.4;1
198702;5;1
198703;6.8;1
198704;16.9;1
198705;15.7;1
198706;19.8;1
198707;23.5;1
198708;23.5;1
198709;22.3;1
198710;15.8;1
198711;8.5;1
198712;5.8;1
198801;8.2;1
198802;7.1;1
198803;8.3;1
198804;15.7;1
198805;19.5;1
198806;21.5;1
198807;22.4;1
198808;24.4;1
198809;18.2;1
198810;16;1
198811;8.4;1
198812;7.3;1
198901;6.6;1
198902;7.8;1
198903;14.1;1
198904;12;1
198905;22.5;1
198906;22;1
198907;25.4;1
198908;25.1;1
198909;21.1;1
198910;17.2;1
198911;9.2;1
198912;7.7;1
199001;6.1;1
199002;12;1
199003;13;1
199004;12.8;1
199005;21.5;1
199006;20.6;1
199007;24.5;1
199008;26.6;1
199009;19.3;1
199010;17;1
199011;8.6;1
199012;4.1;1
199101;5.1;1
199102;3.7;1
199103;13.1;1
199104;14.2;1
199105;16.2;1
199106;18.4;1
199107;25.2;1
199108;26.7;1
199109;22.9;1
199110;14.2;1
199111;8.1;1
199112;4.9;1
199201;4.8;1
199202;8;1
199203;11.1;1
199204;14.1;1
199205;21.5;1
199206;21.6;1
199207;25.5;1
199208;25.4;1
199209;20.3;1
199210;11.9;1
199211;10.6;1
199212;6.3;1
199301;7.7;1
199302;3.1;1
199303;11.8;1
199304;16.6;1
199305;20.2;1
199306;23.1;1
199307;23;1
199308;24.1;1
199309;18.3;1
199310;12.2;1
199311;6.2;1
199312;7.2;1
199401;6.6;1
199402;6.7;1
199403;11.9;1
199404;13.1;1
199405;19;1
199406;23.2;1
199407;28.7;1
199408;24.6;1
199409;18.3;1
199410;16;1
199411;13.4;1
199412;7.7;1
199501;6.2;1
199502;9.4;1
199503;9.9;1
199504;13.2;1
199505;19.7;1
199506;20.9;1
199507;27.8;1
199508;26;1
199509;18.5;1
199510;18.7;1
199511;9.3;1
199512;4.4;1
199601;4.6;1
199602;4.6;1
199603;9.8;1
199604;16.3;1
199605;17.1;1
199606;23.4;1
199607;24.4;1
199608;23.7;1
199609;17.9;1
199610;15.1;1
199611;7.5;1
199612;3.9;1
199701;2.6;1
199702;9.8;1
199703;13.3;1
199704;14.9;1
199705;19.2;1
199706;21.6;1
199707;24.4;1
199708;28.8;1
199709;22.8;1
199710;15.4;1
199711;10.7;1
199712;6.7;1
199801;7.2;1
199802;9.8;1
199803;12;1
199804;13.2;1
199805;21;1
199806;22.7;1
199807;22.3;1
199808;25.3;1
199809;20;1
199810;13.6;1
199811;6.2;1
199812;6.3;1
199901;7.6;1
199902;6;1
199903;11.6;1
199904;15.3;1
199905;21.1;1
199906;22.3;1
199907;26.4;1
199908;25;1
199909;23.3;1
199910;15.2;1
199911;7.8;1
199912;6.5;1
200001;5.9;1
200002;9.1;1
200003;10.8;1
200004;15.2;1
200005;21.3;1
200006;24;1
200007;21.6;1
200008;25.2;1
200009;21.1;1
200010;15.4;1
200011;10.8;1
200012;8.9;1
