# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 39413001
# NOM_USUEL= LA PESSE
# LATITUDE (°) = 46.303
# LONGITUDE(°)= 5.843
# ALTITUDE (m) = 1133
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX039413001
# Amplitude minimale détectable de la série = 0.25
# Période homogénéisée : 196001 202312
# Date(s) de rupture(s) d'homogénéité : 196212 196712 197012 198912 199812
#     Periode homogénéisée  196001 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;1.1;1
196002;4.1;1
196003;6.5;1
196004;8;1
196005;15.7;1
196006;17.7;1
196007;14.7;1
196008;16.5;1
196009;12;1
196010;8.6;1
196011;5;1
196012;1.2;1
196101;1.4;1
196102;5.7;1
196103;8.3;1
196104;10.6;1
196105;10.7;1
196106;16.2;1
196107;17.2;1
196108;17.2;1
196109;20.3;1
196110;12.3;1
196111;6.7;1
196112;5.3;1
196201;2.7;1
196202;2;1
196203;1.7;1
196204;9.5;1
196205;10.2;1
196206;16.5;1
196207;18.9;1
196208;20.4;1
196209;14.6;1
196210;12.1;1
196211;3.2;1
196212;-0.1;1
196301;-1;1
196302;-1.9;1
196303;4;1
196304;9;1
196305;10.4;1
196306;14.5;1
196307;18.9;1
196308;14.7;1
196309;13.5;1
196310;11.3;1
196311;7.5;1
196312;2.3;1
196401;1.2;1
196402;4.5;1
196403;3;1
196404;9.7;1
196405;15.5;1
196406;18.3;1
196407;22.6;1
196408;19;1
196409;17.2;1
196410;7.9;1
196411;7.2;1
196412;2.6;1
196501;1.7;1
196502;-0.6;1
196503;4.8;1
196504;8.3;1
196505;12.2;1
196506;17.2;1
196507;16.1;1
196508;16.3;1
196509;12.4;1
196510;13.7;1
196511;4.7;1
196512;2.3;1
196601;0.1;1
196602;5.4;1
196603;3.5;1
196604;9.3;1
196605;13;1
196606;17.1;1
196607;15.3;1
196608;15.8;1
196609;17.1;1
196610;12;1
196611;2.8;1
196612;1.1;1
196701;1.3;1
196702;3.7;1
196703;5.5;1
196704;8;1
196705;12.1;1
196706;15.1;1
196707;21.1;1
196708;18.5;1
196709;14.1;1
196710;13.5;1
196711;7.3;1
196712;0.1;1
196801;0.3;1
196802;2.6;1
196803;4.6;1
196804;10.6;1
196805;11.6;1
196806;16.1;1
196807;19;1
196808;15.2;1
196809;13.5;1
196810;13.7;1
196811;6.2;1
196812;1.3;1
196901;2.8;1
196902;-0.5;1
196903;5;1
196904;7.6;1
196905;13.7;1
196906;12.7;1
196907;19.3;1
196908;16.7;1
196909;16.1;1
196910;14.7;1
196911;4.8;1
196912;-1.3;1
197001;3.6;1
197002;-0.6;1
197003;1.1;1
197004;5.3;1
197005;11.3;1
197006;17.6;1
197007;16.9;1
197008;17.2;1
197009;17;1
197010;10.5;1
197011;7.4;1
197012;0.7;1
197101;1.7;1
197102;2.5;1
197103;0.8;1
197104;12;1
197105;13.1;1
197106;13.1;1
197107;20.3;1
197108;20.5;1
197109;16.1;1
197110;13.4;1
197111;3.8;1
197112;6.6;1
197201;2.4;1
197202;5.4;1
197203;7.5;1
197204;7.7;1
197205;11;1
197206;14.1;1
197207;17.2;1
197208;16.6;1
197209;12.5;1
197210;11.7;1
197211;6.8;1
197212;5.7;1
197301;2.6;1
197302;0.5;1
197303;4;1
197304;4.9;1
197305;14.3;1
197306;17.1;1
197307;17.5;1
197308;19.6;1
197309;16.9;1
197310;10.4;1
197311;6.5;1
197312;2.3;1
197401;5;1
197402;3;1
197403;6.4;1
197404;9.2;1
197405;11.7;1
197406;14.2;1
197407;17.5;1
197408;19.1;1
197409;13.3;1
197410;1.9;1
197411;4;1
197412;3.6;1
197501;4.7;1
197502;5.8;1
197503;1.9;1
197504;7.8;1
197505;12;1
197506;14.5;1
197507;19.1;1
197508;18.3;1
197509;15.9;1
197510;9.9;1
197511;3.8;1
197512;2.9;1
197601;1.2;1
197602;4.8;1
197603;5.8;1
197604;8.2;1
197605;14.4;1
197606;20.4;1
197607;19.5;1
197608;17.1;1
197609;12.9;1
197610;10.7;1
197611;3.3;1
