# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 26330001
# NOM_USUEL= ST-SORLIN-EN-VA
# LATITUDE (°) = 45.271
# LONGITUDE(°)= 4.93
# ALTITUDE (m) = 237
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX226330001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195901 202312
# Date(s) de rupture(s) d'homogénéité : 198412 199012 200112 201905
#     Periode homogénéisée  195901 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;7;1
195902;10.3;1
195903;14.7;1
195904;16.4;1
195905;20.8;1
195906;25;1
195907;29.8;1
195908;26.3;1
195909;24.4;1
195910;17.7;1
195911;10.1;1
195912;9;1
196001;5.7;1
196002;10.7;1
196003;13.4;1
196004;15.7;1
196005;23;1
196006;25.3;1
196007;24;1
196008;24;1
196009;20.2;1
196010;16.1;1
196011;12;1
196012;4.6;1
196101;6.2;1
196102;12.9;1
196103;15.1;1
196104;19.2;1
196105;19.2;1
196106;24.6;1
196107;26.1;1
196108;26.3;1
196109;27.7;1
196110;17.9;1
196111;9.8;1
196112;7.6;1
196201;7.9;1
196202;6.4;1
196203;9.2;1
196204;16;1
196205;19.2;1
196206;23.5;1
196207;27.2;1
196208;28.7;1
196209;22.7;1
196210;16.9;1
196211;8.1;1
196212;3.1;1
196301;1.3;1
196302;3.4;1
196303;12.4;1
196304;16.4;1
196305;19.4;1
196306;23.9;1
196307;27.2;1
196308;23.6;1
196309;21.2;1
196310;17.2;1
196311;14;1
196312;3.4;1
196401;3.2;1
196402;9.3;1
196403;10.2;1
196404;16.8;1
196405;22.5;1
196406;25.7;1
196407;29.8;1
196408;25.6;1
196409;23.3;1
196410;14.5;1
196411;9.8;1
196412;5.4;1
196501;6.9;1
196502;4.1;1
196503;12.2;1
196504;14.6;1
196505;20.4;1
196506;24.8;1
196507;25.5;1
196508;25.3;1
196509;20;1
196510;18.9;1
196511;11.5;1
196512;8.4;1
196601;6.4;1
196602;12.6;1
196603;11.3;1
196604;17.9;1
196605;20.7;1
