# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 2037002
# NOM_USUEL= AULNOIS-SS-LAON
# LATITUDE (°) = 49.596
# LONGITUDE(°)= 3.61
# ALTITUDE (m) = 78
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX002037002
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196101 202212
# Date(s) de rupture(s) d'homogénéité : 197212 197712 198712
#     Periode homogénéisée  196101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;4.7;1
196102;11.2;1
196103;13.1;1
196104;17;1
196105;17;1
196106;21.7;1
196107;22.2;1
196108;22.4;1
196109;23.5;1
196110;16.8;1
196111;7.8;1
196112;6.3;1
196201;7;1
196202;6.7;1
196203;6.5;1
196204;13;1
196205;15.4;1
196206;20.9;1
196207;21.9;1
196208;21.7;1
196209;18.8;1
196210;16.9;1
196211;6.8;1
196212;3.5;1
196301;-1.3;1
196302;1.5;1
196303;10.1;1
196304;14;1
196305;17.5;1
196306;20.6;1
196307;25.1;1
196308;20.8;1
196309;18.6;1
196310;15.5;1
196311;13.1;1
196312;2.9;1
196401;2.3;1
196402;9.7;1
196403;8;1
196404;14;1
196405;20.9;1
196406;22.1;1
196407;24.8;1
196408;23.9;1
196409;22.1;1
196410;12.6;1
196411;9.3;1
196412;4.9;1
196501;5.4;1
196502;3.6;1
196503;10.2;1
196504;12.8;1
196505;17.3;1
196506;21.1;1
196507;19.9;1
196508;22.5;1
196509;17.9;1
196510;16.3;1
196511;7.7;1
196512;7.2;1
196601;3.6;1
196602;10.3;1
196603;9.4;1
196604;15;1
196605;18.3;1
196606;22.3;1
196607;20.6;1
196608;22.2;1
196609;20.6;1
196610;14.8;1
196611;7.2;1
196612;7.1;1
196701;5.2;1
196702;8.7;1
196703;11.2;1
196704;13.5;1
196705;17.9;1
196706;20.8;1
196707;26.4;1
196708;24.1;1
196709;19.8;1
196710;16.1;1
196711;9.1;1
196712;5.4;1
196801;5.3;1
196802;5.8;1
196803;10.9;1
196804;15.6;1
196805;15.9;1
196806;20.4;1
196807;22;1
196808;21.6;1
196809;19.1;1
196810;15.8;1
196811;8;1
196812;2.9;1
196901;7.3;1
196902;4.3;1
196903;10.4;1
196904;14.6;1
196905;19.3;1
196906;21.2;1
196907;26;1
196908;22.5;1
196909;20.7;1
196910;17.3;1
196911;9.4;1
196912;1.3;1
197001;5.2;1
197002;5.7;1
197003;6.8;1
197004;10.7;1
197005;18.2;1
197006;23.7;1
197007;21.5;1
197008;22.9;1
197009;21.5;1
197010;14.7;1
197011;11.1;1
197012;4.3;1
197101;5.7;1
197102;6.6;1
197103;7.1;1
197104;16.1;1
197105;20.7;1
197106;18.8;1
197107;24.9;1
197108;23.4;1
197109;20.8;1
197110;16.5;1
197111;7.9;1
197112;6.4;1
197201;4.2;1
197202;8;1
197203;13.3;1
197204;12.3;1
197205;16.5;1
197206;19;1
197207;23.1;1
197208;21.7;1
197209;17.5;1
197210;15.1;1
197211;8.2;1
197212;6.4;1
197301;5;1
197302;5.9;1
197303;10.8;1
197304;12;1
197305;18.4;1
197306;22.7;1
197307;22.3;1
197308;26.5;1
197309;21.5;1
197310;13.9;1
197311;8.8;1
197312;5.9;1
197401;8.8;1
197402;8;1
197403;10.3;1
197404;15.8;1
197405;17.6;1
197406;21.5;1
197407;21.8;1
197408;23.7;1
197409;17.7;1
197410;10;1
197411;10;1
197412;9.1;1
197501;9;1
197502;9.2;1
197503;7.7;1
197504;12.7;1
197505;16.2;1
197506;20.4;1
197507;24.4;1
197508;25.5;1
197509;20.2;1
197510;12.5;1
197511;8.7;1
197512;4;1
197601;6.3;1
197602;7.2;1
197603;9.5;1
197604;14.2;1
197605;20.5;1
197606;26.9;1
197607;27.7;1
197608;26.1;1
197609;19.8;1
197610;15.8;1
197611;9;1
197612;4.2;1
197701;4.6;1
197702;8.4;1
197703;11.7;1
197704;12.3;1
197705;17.3;1
197706;18.8;1
197707;22.1;1
197708;21.6;1
197709;19.5;1
197710;16.3;1
197711;9.7;1
197712;7.9;1
197801;4;1
197802;4.4;1
197803;11.1;1
197804;12.6;1
197805;16.7;1
197806;19.6;1
197807;21.4;1
197808;20.7;1
197809;18.9;1
197810;15.5;1
197811;8.2;1
197812;5.3;1
197901;0.5;1
197902;4.4;1
197903;8.9;1
197904;12.6;1
197905;17.5;1
197906;20.6;1
197907;22.5;1
197908;21.6;1
197909;20.4;1
197910;15.8;1
197911;9.2;1
197912;8;1
198001;3.4;1
198002;9.1;1
198003;9;1
198004;12.8;1
198005;17.3;1
198006;19.5;1
198007;20.1;1
198008;23.1;1
198009;21.1;1
198010;13.5;1
198011;7.7;1
198012;5.3;1
198101;5.6;1
198102;5.5;1
198103;12.5;1
198104;14;1
198105;17.5;1
198106;19.4;1
198107;21.9;1
198108;23.1;1
198109;20.6;1
198110;13.4;1
198111;9.9;1
198112;4.9;1
198201;4.7;1
198202;7.4;1
198203;10.5;1
198204;13.9;1
198205;18.6;1
198206;22.2;1
198207;25.1;1
198208;22.5;1
198209;22.7;1
198210;14;1
198211;10.8;1
198212;6.6;1
198301;8.5;1
198302;5.2;1
198303;9.9;1
198304;13.7;1
198305;15.5;1
198306;22.8;1
198307;28.6;1
198308;25.6;1
198309;19.6;1
198310;15.3;1
198311;9.8;1
198312;6.6;1
198401;6.5;1
198402;5.9;1
198403;9.1;1
198404;14.5;1
198405;14.8;1
198406;20.5;1
198407;24.1;1
198408;23.7;1
198409;17.6;1
198410;14.7;1
198411;12.7;1
198412;6.6;1
198501;0.2;1
198502;5.9;1
198503;7.8;1
198504;14;1
198505;18;1
198506;19.3;1
198507;24.3;1
198508;21.9;1
198509;21.3;1
198510;15.9;1
198511;6.1;1
198512;7.7;1
198601;5.8;1
198602;1;1
198603;9.6;1
198604;11;1
198605;19.1;1
198606;23.3;1
198607;23.3;1
198608;22.1;1
198609;17.8;1
198610;17.3;1
198611;11.1;1
198612;7.6;1
198701;0;1
198702;4.6;1
198703;7.7;1
198704;16.9;1
198705;15.6;1
198706;19;1
198707;22.4;1
198708;22.5;1
198709;20.9;1
198710;15.6;1
198711;8.9;1
198712;6.7;1
198801;9.1;1
198802;7.5;1
198803;9;1
198804;15.8;1
198805;19.3;1
198806;20.6;1
198807;21.8;1
198808;23.7;1
198809;18.6;1
198810;16;1
198811;8.9;1
198812;8.9;1
198901;6.3;1
198902;7.8;1
198903;13.7;1
198904;11.8;1
198905;22;1
198906;21.6;1
198907;25.5;1
198908;24.9;1
198909;21.1;1
198910;17.6;1
198911;9.4;1
198912;7.2;1
199001;6.9;1
199002;12.5;1
199003;13.3;1
199004;13.9;1
199005;21.4;1
199006;20;1
199007;25;1
199008;26.7;1
199009;19.7;1
199010;17.4;1
199011;9.3;1
199012;5.6;1
199101;5.9;1
199102;3.3;1
199103;13.4;1
199104;14.7;1
199105;16.2;1
199106;18.3;1
199107;24.4;1
199108;26.3;1
199109;22.7;1
199110;14.5;1
199111;8.6;1
199112;5.4;1
199201;5.5;1
199202;8;1
199203;11.4;1
199204;14.2;1
199205;21.2;1
199206;20.7;1
199207;24.7;1
199208;24.4;1
199209;19.3;1
199210;12.1;1
199211;11.1;1
199212;6.3;1
199301;8.6;1
199302;3.9;1
199303;11.9;1
199304;16.2;1
199305;19.1;1
199306;22.3;1
199307;22.6;1
199308;23.2;1
199309;18.1;1
199310;12.3;1
199311;5.7;1
199312;8.2;1
199401;7.4;1
199402;6.7;1
199403;12.3;1
199404;13.6;1
199405;18.4;1
199406;22.1;1
199407;27.8;1
199408;23.6;1
199409;18.3;1
199410;15.9;1
199411;13;1
199412;8.3;1
199501;7;1
199502;9.9;1
199503;10.2;1
199504;13.5;1
199505;19;1
199506;20.5;1
199507;27.6;1
199508;26.9;1
199509;18.5;1
199510;18.2;1
199511;10.2;1
199512;4.2;1
199601;4.5;1
199602;4.3;1
199603;9.5;1
199604;15.9;1
199605;15.8;1
199606;22.1;1
199607;23.4;1
199608;23.4;1
199609;18;1
199610;15.1;1
199611;8.6;1
199612;3.6;1
199701;1.9;1
199702;9.9;1
199703;13.3;1
199704;14.7;1
199705;18.9;1
199706;20.9;1
199707;23.3;1
199708;28.1;1
199709;22.3;1
199710;15.5;1
199711;10;1
199712;7.3;1
199801;7.2;1
199802;9.8;1
199803;12.1;1
199804;13;1
199805;20.9;1
199806;21.6;1
199807;21.8;1
199808;24.9;1
199809;20.1;1
199810;13.7;1
199811;6.6;1
199812;7;1
199901;8.3;1
199902;6.6;1
199903;12.1;1
199904;14.7;1
199905;20.5;1
199906;21.1;1
199907;26;1
199908;24.6;1
199909;22.9;1
199910;15.2;1
199911;8.6;1
199912;6.9;1
200001;5.9;1
200002;9.3;1
200003;11.5;1
200004;14.8;1
200005;20.3;1
200006;22.1;1
200007;20.9;1
200008;24.8;1
200009;20.8;1
200010;14.9;1
200011;10.7;1
200012;8.2;1
200101;6.8;1
200102;8;1
200103;11.2;1
200104;12.6;1
200105;20.3;1
200106;21.2;1
200107;24.4;1
200108;25.2;1
200109;17.2;1
200110;18.4;1
200111;9;1
200112;5.2;1
200201;6.4;1
200202;10.6;1
200203;13;1
200204;16;1
200205;18.2;1
200206;22.9;1
200207;23.6;1
200208;23.9;1
200209;20.2;1
200210;15.8;1
200211;11.6;1
200212;7.5;1
200301;5.2;1
200302;6.9;1
200303;14.9;1
200304;16.5;1
200305;18.9;1
200306;24.8;1
200307;26.4;1
200308;28.5;1
200309;22.4;1
200310;13.2;1
200311;10.9;1
200312;7.1;1
200401;6.2;1
200402;8.1;1
200403;10.9;1
200404;15.3;1
200405;18.4;1
200406;21.7;1
200407;23.3;1
200408;24.5;1
200409;21.6;1
200410;16.2;1
200411;9.5;1
200412;4.7;1
200501;7;1
200502;5.1;1
200503;11;1
200504;15;1
200505;18.8;1
200506;24.7;1
200507;24.7;1
200508;23.4;1
200509;22.2;1
200510;18.9;1
200511;8.6;1
200512;5.5;1
200601;4.4;1
200602;5.1;1
200603;9.2;1
200604;14.5;1
200605;18.5;1
200606;23.2;1
200607;29.2;1
200608;20.9;1
200609;23.8;1
200610;18.4;1
200611;12.4;1
200612;7.8;1
200701;9.5;1
200702;10;1
200703;11.8;1
200704;20.5;1
200705;19.9;1
200706;22.5;1
200707;23.3;1
200708;22.1;1
200709;19.7;1
200710;15.1;1
200711;9.3;1
200712;6.2;1
200801;8.7;1
200802;10;1
200803;10;1
200804;13.7;1
200805;21.3;1
200806;21.3;1
200807;24.4;1
200808;22.8;1
200809;18.6;1
200810;13.6;1
200811;9.3;1
200812;3.9;1
200901;3.5;1
200902;6.4;1
200903;11.3;1
200904;17.1;1
200905;19.5;1
200906;21.9;1
200907;25.5;1
200908;26.6;1
200909;21.5;1
200910;15.5;1
200911;12.3;1
200912;5.8;1
201001;2;1
201002;6;1
201003;11.4;1
201004;16.3;1
201005;17;1
201006;22.9;1
201007;26.9;1
201008;23.1;1
201009;19.8;1
201010;15.6;1
201011;8.7;1
201012;1.3;1
201101;6.4;1
201102;8.3;1
201103;13.6;1
201104;20.2;1
201105;21.2;1
201106;22.3;1
201107;22.2;1
201108;23.5;1
201109;22.4;1
201110;16.9;1
201111;11.2;1
201112;9.5;1
201201;8.1;1
201202;4.2;1
201203;14.6;1
201204;13.1;1
201205;19.4;1
201206;20.3;1
201207;23.1;1
201208;26;1
201209;20.3;1
201210;15.3;1
201211;9.2;1
201212;7.7;1
201301;4.4;1
201302;4;1
201303;7;1
201304;14.5;1
201305;15.4;1
201306;20.8;1
201307;27.1;1
201308;25.3;1
201309;20.5;1
201310;16.8;1
201311;9;1
201312;8.5;1
201401;8.8;1
201402;9.5;1
201403;14.5;1
201404;17.4;1
201405;18.3;1
201406;22.2;1
201407;24.7;1
201408;21.9;1
201409;22.4;1
201410;17.3;1
201411;11.7;1
201412;6.6;1
201501;6.5;1
201502;6.5;1
201503;11.7;1
201504;16.6;1
201505;18;1
201506;23;1
201507;26.3;1
201508;26.1;1
201509;18.6;1
201510;14.5;1
201511;12.9;1
201512;11.6;1
201601;7.5;1
201602;8.5;1
201603;10;1
201604;14;1
201605;18.9;1
201606;21;1
