# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 56243001
# NOM_USUEL= VANNES-SENE
# LATITUDE (°) = 47.605
# LONGITUDE(°)= -2.714
# ALTITUDE (m) = 3
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX056243001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 196101 202212
# Date(s) de rupture(s) d'homogénéité : 196402 197601 198203 198812 199912 201512
#     Periode homogénéisée  196101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;9.5;1
196102;11.5;1
196103;14.1;1
196104;16.2;1
196105;18.1;1
196106;21.4;1
196107;22.5;1
196108;22.3;1
196109;22.2;1
196110;16.5;1
196111;10.9;1
196112;8.7;1
196201;9.6;1
196202;9.3;1
196203;9.2;1
196204;14.3;1
196205;15.7;1
196206;21.4;1
196207;21.6;1
196208;21.4;1
196209;20.1;1
196210;17.5;1
196211;11.1;1
196212;7.5;1
196301;2.8;1
196302;5.5;1
196303;11.7;1
196304;14;1
196305;16.4;1
196306;19.3;1
196307;22.3;1
196308;19.1;1
196309;19.4;1
196310;16.5;1
196311;14.2;1
196312;6.5;1
196401;6.3;1
196402;9.8;1
196403;9.5;1
196404;12;1
196405;18.3;1
196406;20.3;1
196407;24.2;1
196408;23.3;1
196409;22.3;1
196410;15.9;1
196411;11.6;1
196412;9.3;1
196501;9.2;1
196502;7.2;1
196503;11.9;1
196504;14.7;1
196505;17;1
196506;19.5;1
196507;20.3;1
196508;21.1;1
196509;17.9;1
196510;17.4;1
196511;10.9;1
196512;11.4;1
196601;8.1;1
196602;12.4;1
196603;12.7;1
196604;15.2;1
196605;17.5;1
196606;20.6;1
196607;21.8;1
196608;21.8;1
196609;22.3;1
196610;16.1;1
196611;10.3;1
196612;11.1;1
196701;8.9;1
196702;10.1;1
196703;12.1;1
196704;14.4;1
196705;15.3;1
196706;20.6;1
196707;24.1;1
196708;21.7;1
196709;18.9;1
196710;16.7;1
196711;11.2;1
196712;9.2;1
196801;9.8;1
196802;8.7;1
196803;11.9;1
196804;14.4;1
196805;16.3;1
196806;19.8;1
196807;22.4;1
196808;21.7;1
196809;19.2;1
196810;17.4;1
196811;11;1
196812;8.3;1
196901;10.2;1
196902;8.3;1
196903;11.2;1
196904;14.7;1
196905;16.4;1
196906;20;1
196907;24.9;1
196908;24;1
196909;20.2;1
196910;19.5;1
196911;12.2;1
196912;8.3;1
197001;9.4;1
197002;9.9;1
197003;10;1
197004;12.5;1
197005;19.6;1
197006;22.1;1
197007;21.4;1
197008;21.5;1
197009;20.9;1
197010;16.8;1
197011;14;1
197012;7.6;1
197101;9.3;1
197102;9.9;1
197103;10.1;1
197104;15.9;1
197105;18;1
197106;18.6;1
197107;25.7;1
197108;20.5;1
197109;22.1;1
197110;18.4;1
197111;12.2;1
197112;8.5;1
197201;8.1;1
197202;10;1
