# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 19275001
# NOM_USUEL= USSEL-LAMARTINE
# LATITUDE (°) = 45.559
# LONGITUDE(°)= 2.321
# ALTITUDE (m) = 654
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX219275001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196312 197012 197612 198112 198912 201612
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.2;1
195102;5.8;1
195103;8.3;1
195104;14.4;1
195105;15.6;1
195106;21.5;1
195107;25.2;1
195108;22;1
195109;21.9;1
195110;15.6;1
195111;11.1;1
195112;8.8;1
195201;4.5;1
195202;6.2;1
195203;12.7;1
195204;18;1
195205;21.6;1
195206;26.1;1
195207;29.4;1
195208;25.3;1
195209;17.4;1
195210;14.2;1
195211;7.7;1
195212;5.7;1
195301;4.8;1
195302;5.7;1
195303;14.6;1
195304;15.5;1
195305;21.7;1
195306;19.7;1
195307;22.8;1
195308;25.8;1
195309;21.8;1
195310;16.4;1
195311;13.6;1
195312;9.4;1
195401;2.9;1
195402;4;1
195403;11.2;1
195404;12.5;1
195405;17.4;1
195406;22;1
195407;20.8;1
195408;20.9;1
195409;19.8;1
195410;16.1;1
195411;11.5;1
195412;8.1;1
195501;8;1
195502;5.6;1
195503;9.4;1
195504;18.1;1
195505;18.9;1
195506;22;1
195507;24.2;1
195508;25.7;1
195509;20.4;1
195510;15.4;1
195511;10.4;1
195512;8.9;1
195601;5.6;1
195602;-1.3;1
195603;10.7;1
195604;12.7;1
195605;19.4;1
195606;18.6;1
195607;22.5;1
195608;20.2;1
195609;22.3;1
195610;14.8;1
195611;7.7;1
195612;7;1
195701;6.6;1
195702;9.4;1
195703;16.6;1
195704;15.9;1
195705;16.3;1
195706;22.3;1
195707;23.2;1
195708;22.7;1
195709;19.7;1
195710;17.6;1
195711;10.3;1
195712;7;1
195801;5.9;1
195802;10;1
195803;9.2;1
195804;12.1;1
195805;21;1
195806;21;1
195807;22.5;1
195808;23.6;1
195809;23.2;1
195810;15.5;1
195811;9;1
195812;7.6;1
195901;6.8;1
195902;12.6;1
195903;12.7;1
195904;14;1
195905;19.5;1
195906;23;1
195907;27.2;1
195908;23.4;1
195909;22.7;1
195910;16.5;1
195911;9.9;1
195912;7.1;1
196001;5.7;1
196002;8.9;1
196003;11.9;1
196004;14.3;1
196005;21.6;1
196006;23.7;1
196007;20.7;1
196008;21.1;1
196009;18.6;1
196010;13.6;1
196011;9.4;1
196012;3.2;1
196101;4.3;1
196102;12.7;1
196103;15.6;1
196104;17.7;1
196105;18.2;1
196106;22.2;1
196107;22.8;1
196108;23.8;1
196109;25.4;1
196110;15.5;1
196111;10.1;1
196112;9.2;1
196201;6.8;1
196202;6.7;1
196203;7.5;1
196204;14.1;1
196205;16.7;1
196206;23.1;1
196207;24.4;1
196208;25.2;1
196209;22.2;1
196210;18.1;1
196211;7.9;1
196212;5.2;1
196301;3.7;1
196302;4.4;1
196303;10.6;1
196304;14.5;1
196305;18;1
196306;21;1
196307;25.8;1
196308;20.7;1
196309;19.9;1
196310;17.1;1
196311;11.6;1
196312;6.4;1
196401;6.9;1
196402;7.9;1
196403;9.2;1
196404;14.1;1
196405;21.1;1
196406;23.5;1
196407;27.7;1
196408;23.8;1
196409;23.1;1
196410;13.7;1
196411;11.1;1
196412;5;1
196501;5.3;1
196502;4.7;1
196503;10.8;1
196504;13.7;1
196505;17.9;1
196506;22.4;1
196507;22;1
196508;22.1;1
196509;16.4;1
196510;18.9;1
196511;8.1;1
196512;7.3;1
196601;6.3;1
196602;10.9;1
196603;10.6;1
196604;14.7;1
196605;19;1
196606;22.3;1
196607;20.7;1
196608;21.3;1
196609;23.7;1
196610;15;1
196611;6.5;1
196612;5.8;1
196701;6.3;1
196702;9.7;1
196703;11.9;1
196704;13.9;1
196705;17.3;1
196706;20.6;1
196707;26.8;1
196708;23.4;1
196709;18.4;1
196710;17.3;1
196711;12.1;1
196712;3.8;1
196801;5.7;1
196802;7.5;1
196803;10.5;1
196804;15.2;1
196805;16.3;1
196806;20.9;1
196807;23.1;1
196808;21;1
196809;18.7;1
196810;19.5;1
196811;10.8;1
196812;5.8;1
196901;7.4;1
196902;4.6;1
196903;9.3;1
196904;13.1;1
196905;18.4;1
196906;18.9;1
196907;25.2;1
196908;22.2;1
196909;20;1
196910;19.6;1
196911;8.2;1
196912;2.5;1
197001;7.1;1
197002;5;1
197003;5.6;1
197004;10.2;1
197005;18.7;1
197006;23.9;1
197007;23.6;1
197008;24.1;1
197009;24.1;1
197010;16.9;1
197011;12.1;1
197012;5.6;1
197101;6.2;1
197102;7;1
197103;5.9;1
197104;17.1;1
197105;18.1;1
197106;19.1;1
197107;25.8;1
197108;23.4;1
197109;21;1
197110;19.3;1
197111;6.8;1
197112;10.1;1
197201;4.3;1
197202;8.6;1
197203;11.8;1
197204;11.4;1
197205;15.4;1
197206;19.6;1
197207;23.3;1
197208;21;1
197209;18.2;1
197210;17.5;1
197211;11.4;1
197212;9.8;1
197301;6.6;1
197302;5.1;1
197303;11.2;1
197304;11.4;1
197305;19.5;1
197306;22.9;1
197307;21.9;1
197308;26.5;1
197309;23;1
197310;15.9;1
197311;11.6;1
197312;5.2;1
197401;8.1;1
197402;6.5;1
197403;10.9;1
197404;13.7;1
197405;17.1;1
197406;21.3;1
197407;23;1
197408;24.1;1
197409;17.6;1
197410;7.6;1
197411;8.5;1
197412;8;1
197501;9;1
197502;11.1;1
197503;6;1
197504;13.1;1
197505;16.2;1
197506;21.2;1
197507;25.1;1
197508;24.3;1
197509;19.5;1
197510;15.5;1
197511;8.5;1
197512;6.4;1
197601;6.2;1
197602;9.2;1
197603;12.3;1
197604;13.8;1
197605;19.5;1
197606;26.6;1
197607;24.8;1
197608;25.1;1
197609;18.4;1
197610;14.1;1
197611;6.7;1
197612;6.7;1
197701;5.4;1
197702;8.6;1
197703;13.5;1
197704;12.4;1
197705;15.5;1
197706;18.8;1
197707;22.3;1
197708;20.5;1
197709;21;1
197710;17.6;1
197711;8.8;1
197712;9.2;1
197801;4.3;1
197802;7.2;1
197803;10.4;1
197804;10.8;1
197805;16.3;1
197806;19.8;1
197807;22.4;1
197808;23.3;1
197809;22.8;1
197810;17.6;1
197811;11.9;1
197812;7.2;1
197901;4.9;1
197902;5.9;1
197903;8.4;1
197904;11;1
197905;16.8;1
197906;22;1
197907;24.9;1
197908;20.1;1
197909;22.2;1
197910;17;1
197911;9.5;1
197912;7.8;1
198001;4.7;1
198002;9.7;1
198003;8.9;1
198004;11.9;1
198005;16.5;1
198006;18.5;1
198007;20.9;1
198008;24.2;1
198009;22.2;1
198010;14.4;1
198011;9.2;1
198012;4.8;1
198101;6.4;1
198102;7.2;1
198103;12.1;1
198104;16.9;1
198105;15.6;1
198106;21.2;1
198107;22.6;1
198108;24.4;1
198109;19.6;1
198110;13.4;1
198111;12.3;1
198112;5.9;1
198201;8.1;1
198202;10.6;1
198203;9;1
198204;15.8;1
198205;18.9;1
198206;23;1
198207;26.7;1
198208;22.2;1
198209;22.8;1
198210;14.9;1
198211;10.8;1
198212;6.4;1
198301;8.1;1
198302;6.3;1
198303;10.8;1
198304;12.4;1
198305;15.2;1
198306;23.4;1
198307;30.3;1
198308;24.2;1
198309;21.8;1
198310;16.6;1
198311;13;1
198312;9;1
198401;4.7;1
198402;5.8;1
198403;8.7;1
198404;17;1
198405;13.7;1
198406;21.9;1
198407;26;1
198408;22.8;1
198409;17.9;1
198410;16.5;1
198411;12.6;1
198412;7.3;1
198501;0.2;1
198502;11.1;1
198503;7.9;1
198504;15.3;1
198505;16.4;1
198506;20.6;1
198507;26;1
198508;24.3;1
198509;26.3;1
198510;19.9;1
198511;5.8;1
198512;9.3;1
198601;4.3;1
198602;4.1;1
198603;10.9;1
198604;8.9;1
198605;20;1
198606;23;1
198607;25.5;1
198608;23.1;1
198609;22.6;1
198610;17.6;1
198611;11.1;1
198612;8;1
198701;1.9;1
198702;6.4;1
198703;8.4;1
198704;16.7;1
198705;16.4;1
198706;19.7;1
198707;23.6;1
198708;25.1;1
198709;24;1
198710;16.1;1
198711;9.9;1
198712;11;1
198801;7.7;1
198802;7.5;1
198803;8.4;1
198804;15.5;1
198805;18.3;1
198806;21.7;1
198807;23.6;1
198808;24.2;1
198809;19.7;1
198810;17.3;1
198811;11.1;1
198812;8.4;1
198901;10.6;1
198902;10.6;1
198903;14.3;1
198904;11.1;1
198905;22.5;1
198906;22.3;1
198907;26;1
198908;25.5;1
198909;22.4;1
198910;17.9;1
198911;12.7;1
198912;11.8;1
199001;8.5;1
199002;11.6;1
199003;14.6;1
199004;12.5;1
199005;21.7;1
199006;21.2;1
199007;26.3;1
199008;27.1;1
199009;21.8;1
199010;16.8;1
199011;8.7;1
199012;4;1
199101;7.3;1
199102;7.1;1
199103;13.3;1
199104;13.5;1
199105;16.9;1
199106;20.5;1
199107;26.5;1
199108;28.4;1
199109;24;1
199110;13.6;1
199111;8.7;1
199112;9;1
199201;8.2;1
199202;10.3;1
199203;11.2;1
199204;14.5;1
199205;21;1
199206;19.7;1
199207;24.5;1
199208;25;1
199209;20.2;1
199210;11.7;1
199211;12;1
199212;8.1;1
199301;9;1
199302;9.5;1
199303;12.3;1
199304;14.1;1
199305;19.5;1
199306;22.8;1
199307;23.2;1
199308;24.6;1
199309;17.7;1
199310;14.3;1
199311;10;1
199312;6.7;1
199401;6.1;1
199402;7.7;1
199403;14.2;1
199404;11.7;1
199405;20;1
199406;22.7;1
199407;26.7;1
