# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 22147006
# NOM_USUEL= MERDRIGNAC
# LATITUDE (°) = 48.188
# LONGITUDE(°)= -2.421
# ALTITUDE (m) = 145
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX122147006
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196112 197002 197312 198609 201112
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;7.4;1
195902;9.8;1
195903;12.9;1
195904;13.9;1
195905;17.8;1
195906;20.8;1
195907;25.7;1
195908;23.2;1
195909;23.5;1
195910;17.8;1
195911;11.2;1
195912;9.7;1
196001;7.8;1
196002;8.4;1
196003;12;1
196004;13.8;1
196005;20;1
196006;22;1
196007;19.8;1
196008;20.8;1
196009;18.4;1
196010;14.3;1
196011;11.7;1
196012;7.4;1
196101;7.6;1
196102;11.6;1
196103;14.2;1
196104;15.6;1
196105;16.9;1
196106;21.1;1
196107;22;1
196108;23;1
196109;23;1
196110;15.7;1
196111;9.6;1
196112;7.6;1
196201;8.5;1
196202;7.5;1
196203;7.6;1
196204;12.5;1
196205;15.1;1
196206;20.8;1
196207;21.7;1
196208;21.4;1
196209;19.6;1
196210;15.8;1
196211;9.8;1
196212;5.8;1
196301;1.2;1
196302;3.6;1
196303;9.7;1
196304;12.5;1
196305;15.3;1
196306;19.4;1
196307;21.7;1
196308;18.9;1
196309;18.2;1
196310;15.4;1
196311;12.6;1
196312;5.2;1
196401;5;1
196402;8.1;1
196403;8.7;1
196404;12.6;1
196405;18.1;1
196406;19.2;1
196407;22.9;1
196408;22.9;1
196409;21.4;1
196410;13.8;1
196411;10.5;1
196412;7.6;1
196501;7.2;1
196502;5.1;1
196503;11;1
196504;13.5;1
196505;16.5;1
196506;19.1;1
196507;19.9;1
196508;20.7;1
196509;16.8;1
196510;16.5;1
196511;9.4;1
196512;9.8;1
196601;6.5;1
196602;11.5;1
196603;11.1;1
196604;14.2;1
196605;16.5;1
196606;20.4;1
196607;20.6;1
196608;21;1
196609;20.6;1
196610;15.1;1
196611;9.4;1
196612;9.7;1
196701;8;1
196702;9.2;1
196703;11.5;1
196704;12;1
196705;15.8;1
196706;19.5;1
196707;24.2;1
196708;21.9;1
196709;18.2;1
196710;15.9;1
196711;9.6;1
196712;7.9;1
196801;8.7;1
196802;7.1;1
196803;11;1
196804;13.3;1
196805;15.3;1
196806;19.6;1
196807;21.9;1
196808;20.9;1
196809;19.3;1
196810;16.9;1
196811;10;1
196812;6.9;1
196901;9.1;1
196902;6.3;1
196903;9.9;1
196904;13.4;1
196905;16.2;1
196906;19.5;1
196907;23.8;1
196908;22.9;1
196909;19.4;1
196910;19.3;1
196911;10.5;1
196912;6.7;1
197001;8.2;1
197002;8.1;1
197003;8.7;1
197004;11.9;1
197005;18.2;1
197006;22.5;1
197007;20.9;1
197008;21.5;1
197009;20.4;1
197010;14.7;1
197011;12.5;1
197012;5.7;1
197101;7.8;1
197102;8.5;1
197103;8.2;1
197104;14.2;1
197105;17.1;1
197106;18.1;1
197107;24.6;1
197108;21.9;1
197109;21.2;1
197110;17.6;1
197111;10.8;1
197112;7.2;1
197201;6.4;1
197202;8.3;1
197203;12.1;1
197204;11.7;1
197205;13.9;1
197206;16.4;1
197207;21.5;1
197208;20.1;1
197209;17.2;1
197210;14.9;1
197211;10.6;1
197212;8.4;1
197301;6.9;1
197302;7.3;1
197303;11;1
197304;11.6;1
197305;16.5;1
197306;20.5;1
197307;20.9;1
197308;24;1
197309;20.9;1
197310;14.4;1
197311;11.4;1
197312;8.4;1
197401;9.6;1
197402;9.5;1
197403;10.6;1
197404;13.2;1
197405;16;1
197406;20.4;1
197407;21.6;1
197408;22;1
197409;17.1;1
197410;11.9;1
197411;11.7;1
197412;11;1
197501;10.7;1
197502;9.9;1
197503;8.4;1
197504;11.7;1
197505;15.3;1
197506;20.5;1
197507;23.4;1
197508;25.3;1
197509;18.6;1
197510;14.3;1
197511;10.4;1
197512;6;1
197601;7.7;1
197602;7.9;1
197603;11.3;1
197604;13.6;1
197605;18.7;1
197606;26.2;1
197607;25.1;1
197608;25.3;1
197609;18.8;1
197610;14.5;1
197611;10;1
197612;6;1
197701;6.5;1
197702;9.6;1
197703;12.2;1
197704;12;1
197705;15.2;1
197706;16.5;1
197707;21.5;1
197708;20.9;1
197709;18.6;1
197710;16.6;1
197711;10.4;1
197712;9;1
197801;6.6;1
197802;8.3;1
197803;10.9;1
197804;10.9;1
197805;17;1
197806;18.8;1
197807;20.8;1
197808;20.9;1
197809;20.9;1
197810;16.9;1
197811;12.4;1
197812;8.5;1
197901;3.9;1
197902;7.7;1
197903;9.4;1
197904;12.3;1
197905;15.5;1
197906;19.2;1
197907;23;1
197908;20.6;1
197909;20.4;1
197910;16.5;1
197911;11.1;1
197912;9.4;1
198001;5.1;1
198002;10.2;1
198003;9.2;1
198004;12.8;1
198005;16.1;1
198006;18.8;1
198007;19.8;1
198008;22.4;1
198009;19.9;1
198010;14.5;1
198011;8.7;1
198012;8.1;1
198101;8.6;1
198102;7.1;1
198103;12.1;1
198104;12.9;1
198105;14.9;1
198106;18.5;1
198107;21.3;1
198108;22.9;1
198109;20;1
198110;13.7;1
198111;11.3;1
198112;7.4;1
198201;8.3;1
198202;9;1
198203;11.2;1
198204;14;1
198205;18;1
198206;21.2;1
198207;22.3;1
198208;20.7;1
198209;21.5;1
198210;14.5;1
198211;11.7;1
198212;8;1
198301;9.7;1
198302;5.9;1
198303;10.7;1
198304;11.3;1
198305;14.8;1
198306;21;1
198307;26.2;1
198308;22.5;1
198309;19.7;1
198310;15.7;1
198311;10.8;1
198312;8.4;1
198401;8.4;1
198402;7.4;1
198403;9.7;1
198404;15.7;1
198405;13.5;1
198406;21;1
198407;23.6;1
198408;23.3;1
198409;18.8;1
198410;15.1;1
198411;11.8;1
198412;8;1
198501;4.3;1
198502;6.9;1
198503;9.2;1
198504;14;1
198505;15.9;1
198506;19.2;1
198507;23.4;1
198508;20.7;1
198509;22.4;1
198510;16.2;1
198511;8.9;1
198512;8.9;1
198601;8.2;1
198602;1;1
198603;9.8;1
