# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 5098001
# NOM_USUEL= LES ORRES
# LATITUDE (°) = 44.509
# LONGITUDE(°)= 6.559
# ALTITUDE (m) = 1457
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX205098001
# Amplitude minimale détectable de la série = 0.23
# Période homogénéisée : 195901 202312
# Date(s) de rupture(s) d'homogénéité : 196412 197612 198012 201807
#     Periode homogénéisée  195901 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;2.5;1
195902;7.2;1
195903;8.2;1
195904;9.8;1
195905;14.7;1
195906;18.9;1
195907;22;1
195908;19.7;1
195909;17.4;1
195910;12;1
195911;4.9;1
195912;3.2;1
196001;2.6;1
196002;4.1;1
196003;6.3;1
196004;10.7;1
196005;17.2;1
196006;17.6;1
196007;19.1;1
196008;18.6;1
196009;14.2;1
196010;9;1
196011;5.6;1
196012;1.3;1
196101;3.2;1
196102;7.3;1
196103;10;1
196104;11.4;1
196105;14.1;1
196106;17.5;1
196107;19;1
196108;21.8;1
196109;20.5;1
196110;11.8;1
196111;5.5;1
196112;5;1
196201;3.7;1
196202;3.4;1
196203;2.8;1
196204;8.4;1
196205;13.7;1
196206;16.7;1
196207;21.2;1
196208;23.2;1
196209;16.7;1
196210;13.4;1
196211;5;1
196212;1.6;1
196301;0.7;1
196302;2.4;1
196303;6.7;1
196304;10.2;1
196305;14.8;1
196306;16.7;1
196307;20.5;1
196308;17.2;1
196309;15.6;1
196310;12.9;1
196311;7.5;1
196312;3.7;1
196401;4.7;1
196402;5.4;1
196403;5.8;1
196404;11.1;1
196405;16.6;1
196406;18.7;1
196407;21.5;1
196408;20.1;1
196409;16.2;1
196410;8.4;1
196411;8.4;1
196412;3.9;1
196501;3.3;1
196502;1.2;1
196503;7.1;1
196504;9;1
196505;14.3;1
196506;18.3;1
196507;19.1;1
196508;19.2;1
196509;13.3;1
196510;12.5;1
196511;4.7;1
196512;3.6;1
196601;2.4;1
196602;6.7;1
196603;5.3;1
196604;10.4;1
196605;14.7;1
196606;18.8;1
196607;18.7;1
196608;18.9;1
196609;19.5;1
196610;11.5;1
196611;2.9;1
196612;3.6;1
196701;3.3;1
196702;4.7;1
196703;7.6;1
196704;10.2;1
196705;13.8;1
196706;17.1;1
196707;23;1
196708;20.6;1
196709;16.5;1
196710;14.6;1
196711;7.7;1
196712;2.6;1
196801;2.4;1
196802;5;1
196803;7.8;1
196804;11;1
196805;12.5;1
196806;16.5;1
196807;20.4;1
196808;17.4;1
196809;14.7;1
196810;14;1
196811;6.9;1
196812;1.3;1
196901;4.2;1
196902;1;1
196903;6.6;1
196904;9.5;1
196905;14.6;1
196906;15.6;1
196907;20;1
196908;18.5;1
196909;16.3;1
196910;15.1;1
196911;5.7;1
196912;0.2;1
197001;3.6;1
197002;1.8;1
197003;4;1
197004;7.7;1
197005;13.7;1
197006;18.3;1
197007;20.6;1
197008;20.7;1
197009;19;1
197010;12.3;1
197011;7.7;1
197012;1.6;1
197101;2.1;1
197102;4.1;1
197103;3.1;1
197104;11.4;1
197105;13.7;1
197106;15.8;1
197107;20.9;1
197108;22.2;1
197109;17.1;1
197110;14.1;1
197111;4.9;1
197112;6.2;1
197201;1.7;1
197202;3.4;1
197203;6.8;1
197204;9.9;1
197205;12.6;1
197206;16;1
197207;19.5;1
197208;18.8;1
197209;13.6;1
197210;11.6;1
197211;7.4;1
197212;4;1
197301;3.4;1
197302;1.9;1
197303;5.4;1
197304;7.3;1
197305;15.1;1
197306;18;1
197307;19.3;1
197308;20.9;1
197309;17.5;1
197310;12.8;1
197311;7.3;1
197312;2.5;1
197401;5.4;1
197402;3.6;1
197403;6.7;1
197404;10;1
197405;13.4;1
197406;16.9;1
197407;21.2;1
197408;22.5;1
197409;15.7;1
197410;5.7;1
197411;5.2;1
197412;3.9;1
197501;4.7;1
197502;3.9;1
197503;3.7;1
197504;9.7;1
197505;13.5;1
197506;16.3;1
197507;21.4;1
197508;20.4;1
197509;17.2;1
197510;11.3;1
197511;5.5;1
197512;4.3;1
197601;2.8;1
197602;5.1;1
197603;7;1
197604;8.7;1
197605;16.3;1
197606;21.5;1
197607;20.9;1
197608;19.2;1
197609;13.9;1
197610;10.3;1
197611;3.9;1
197612;0.5;1
197701;2.7;1
197702;4.1;1
197703;8.5;1
197704;10.3;1
197705;11.3;1
197706;14.9;1
197707;18.1;1
197708;16.8;1
197709;15.2;1
197710;12.1;1
197711;4.9;1
197712;4;1
197801;0.8;1
