# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 26182001
# NOM_USUEL= MIRABEL-AUX-BAR
# LATITUDE (°) = 44.329
# LONGITUDE(°)= 5.101
# ALTITUDE (m) = 238
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX026182001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 196301 202312
# Date(s) de rupture(s) d'homogénéité : 196612 197812 200212 202012
#     Periode homogénéisée  196301 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196301;4.6;1
196302;6.7;1
196303;14;1
196304;18.1;1
196305;21.6;1
196306;24;1
196307;28.8;1
196308;24.7;1
196309;21.7;1
196310;19.3;1
196311;16;1
196312;8.7;1
196401;9.4;1
196402;11.7;1
196403;12.8;1
196404;18.1;1
196405;23.6;1
196406;26.2;1
196407;30.6;1
196408;27;1
196409;24.1;1
196410;16.6;1
196411;13.7;1
196412;9.1;1
196501;9.9;1
196502;7.3;1
196503;14.2;1
196504;16.8;1
196505;22.8;1
196506;26.9;1
196507;27.5;1
196508;27.5;1
196509;21.5;1
196510;20.5;1
196511;13.6;1
196512;11.4;1
196601;8.8;1
196602;14.2;1
196603;13.9;1
196604;18.4;1
196605;21.8;1
196606;26.7;1
196607;26.2;1
196608;27;1
196609;26.7;1
196610;20.5;1
196611;10.7;1
196612;10.7;1
196701;9;1
196702;11.9;1
196703;14.8;1
196704;17.4;1
196705;21.1;1
196706;24.2;1
196707;30.9;1
196708;28.5;1
196709;23.7;1
196710;21.8;1
196711;14.6;1
196712;7.5;1
196801;9.1;1
196802;11.6;1
196803;15.3;1
196804;18.9;1
196805;19.6;1
196806;25.1;1
196807;27.9;1
196808;24.8;1
196809;22.1;1
196810;20.2;1
196811;13.3;1
196812;8.9;1
196901;10.8;1
196902;9;1
196903;13;1
196904;17;1
196905;21.9;1
196906;22.8;1
196907;28.2;1
196908;26.7;1
196909;23.5;1
196910;20.8;1
196911;13.9;1
196912;5.5;1
197001;11.3;1
197002;10.3;1
197003;10.7;1
197004;15.7;1
197005;20.8;1
197006;26.1;1
197007;28.3;1
197008;28.1;1
197009;25.7;1
197010;19;1
197011;16;1
197012;8.2;1
197101;10;1
197102;11.1;1
197103;9.9;1
197104;19.3;1
197105;21.1;1
197106;23.6;1
197107;29.1;1
197108;29.1;1
197109;23.8;1
197110;20.7;1
197111;10.8;1
197112;11.8;1
197201;10.1;1
197202;12.5;1
197203;15.8;1
197204;16.3;1
197205;21;1
197206;23.1;1
197207;27.8;1
197208;25.7;1
197209;21.4;1
197210;18.5;1
197211;14.2;1
197212;11.7;1
197301;8.9;1
197302;8.9;1
197303;13.3;1
197304;14.6;1
197305;22.8;1
197306;25.1;1
197307;27.6;1
197308;29.6;1
197309;25.8;1
197310;18.1;1
197311;13.6;1
197312;9.8;1
197401;12.6;1
197402;10.7;1
197403;14.5;1
197404;16.3;1
197405;20.9;1
197406;24.5;1
197407;28.2;1
197408;28.8;1
197409;22.3;1
197410;13.3;1
197411;13.4;1
197412;12.5;1
197501;12.1;1
197502;12.5;1
197503;12;1
