# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 64155001
# NOM_USUEL= BUSTINCE - ST JEAN
# LATITUDE (°) = 43.167
# LONGITUDE(°)= -1.215
# ALTITUDE (m) = 179
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX064155001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196301 202212
# Date(s) de rupture(s) d'homogénéité : 196912 197512 200412 201512
#     Periode homogénéisée  196301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196301;9.1;1
196302;9.4;1
196303;15.2;1
196304;16.1;1
196305;17.9;1
196306;22.6;1
196307;24.7;1
196308;21.5;1
196309;21.1;1
196310;20.1;1
196311;16.8;1
196312;11.2;1
196401;12;1
196402;11.7;1
196403;13.4;1
196404;15.7;1
196405;22.3;1
196406;22.2;1
196407;25.7;1
196408;24.8;1
196409;27.3;1
196410;16.5;1
196411;14.1;1
196412;10.2;1
196501;10.8;1
196502;7.7;1
196503;15.1;1
196504;13.7;1
196505;19.8;1
196506;21.7;1
196507;22.6;1
196508;23.8;1
196509;20.9;1
196510;21.5;1
196511;14.4;1
196512;12.3;1
196601;12.9;1
196602;16.4;1
196603;13.2;1
196604;18.3;1
196605;19.6;1
196606;23.4;1
196607;22;1
196608;24.6;1
196609;26.4;1
196610;18.2;1
196611;10.7;1
196612;10.9;1
196701;11.1;1
196702;13.8;1
196703;15;1
196704;14.7;1
196705;20.1;1
196706;21.9;1
196707;25.5;1
196708;24;1
196709;23.1;1
196710;21.8;1
196711;14.8;1
196712;7.7;1
196801;11.2;1
196802;13.1;1
196803;12.6;1
196804;17.6;1
196805;18;1
196806;22;1
196807;25.3;1
196808;22.9;1
196809;22.5;1
196810;24.2;1
196811;16.8;1
196812;11.4;1
196901;13;1
196902;9.9;1
196903;13.5;1
196904;14.2;1
196905;20.7;1
196906;20.6;1
196907;25.9;1
196908;23.4;1
196909;21.1;1
196910;21.6;1
196911;14.7;1
196912;8.8;1
197001;13.1;1
197002;10.5;1
197003;10.8;1
197004;13.9;1
197005;19.5;1
197006;23.2;1
197007;24;1
197008;24.1;1
197009;26.2;1
197010;18.8;1
197011;18;1
197012;9.2;1
197101;13.2;1
197102;11.6;1
197103;10;1
197104;17.5;1
197105;18.9;1
197106;20.5;1
197107;26.7;1
197108;24.7;1
197109;23.1;1
197110;22.5;1
197111;10.5;1
197112;11.3;1
197201;10.5;1
197202;12.7;1
197203;15.1;1
197204;13.7;1
197205;17.5;1
197206;19.9;1
197207;24.4;1
197208;22.4;1
197209;20;1
197210;20.1;1
197211;15.3;1
197212;13.3;1
197301;10.6;1
197302;9.8;1
197303;13.9;1
197304;15;1
197305;22.1;1
197306;21.8;1
197307;22.6;1
197308;27.7;1
197309;23.8;1
197310;19.2;1
197311;16;1
197312;9.5;1
197401;14.8;1
197402;10.9;1
197403;13.8;1
197404;15;1
197405;18.8;1
197406;23.1;1
197407;23.6;1
197408;24.6;1
197409;20.5;1
197410;12.9;1
197411;14.5;1
197412;12.9;1
197501;13.6;1
197502;14.6;1
197503;11.1;1
197504;14.9;1
197505;17.7;1
197506;21.7;1
197507;26.5;1
197508;26.3;1
197509;23.2;1
197510;20.1;1
197511;13.8;1
197512;8.9;1
197601;10.7;1
197602;12.5;1
197603;15.2;1
197604;14.5;1
197605;19.7;1
197606;27.1;1
197607;25.9;1
197608;25.7;1
197609;22.3;1
197610;18.1;1
197611;12.7;1
197612;11.8;1
197701;10.4;1
197702;15.2;1
197703;17.6;1
197704;15.1;1
197705;16.1;1
197706;20.3;1
197707;21.3;1
197708;21.9;1
197709;23.2;1
197710;20.8;1
197711;13.8;1
197712;14.7;1
197801;9.7;1
197802;12.6;1
197803;13.7;1
197804;13.4;1
197805;17.3;1
197806;20.7;1
197807;23.3;1
197808;23.9;1
197809;23.2;1
197810;19.2;1
197811;15;1
197812;15.1;1
197901;11.3;1
197902;11.9;1
197903;13.4;1
197904;13.5;1
197905;19;1
197906;20.6;1
197907;24.4;1
197908;22.7;1
197909;23.1;1
197910;19.9;1
197911;14.1;1
197912;13.9;1
198001;11;1
198002;14.2;1
198003;13.5;1
198004;15.1;1
198005;17;1
198006;20.8;1
198007;23.5;1
198008;26.1;1
198009;26.1;1
198010;19.1;1
198011;15;1
198012;10.2;1
198101;10.3;1
198102;11.2;1
198103;18.1;1
198104;16.8;1
198105;19.9;1
198106;23.6;1
198107;23.2;1
198108;24.9;1
198109;24;1
198110;19.8;1
198111;17.4;1
198112;12.8;1
198201;14.2;1
198202;13;1
198203;13.5;1
198204;17.6;1
198205;20.9;1
198206;24.7;1
198207;26.5;1
198208;23.2;1
198209;25.7;1
198210;18.3;1
198211;15.5;1
198212;11.4;1
198301;13.1;1
198302;10.1;1
198303;14.8;1
198304;17.3;1
198305;18.7;1
198306;23.7;1
198307;26.7;1
198308;24.6;1
198309;25.7;1
198310;21.1;1
198311;18.1;1
198312;13.4;1
198401;11.2;1
198402;9.8;1
198403;12.3;1
198404;19.3;1
198405;15.2;1
198406;22.7;1
198407;27.7;1
198408;24.9;1
198409;22;1
198410;19.7;1
198411;16.5;1
198412;12.5;1
198501;7.3;1
198502;16.2;1
198503;12.1;1
198504;17.9;1
198505;17.3;1
198506;22.4;1
198507;25.8;1
198508;24.7;1
198509;27.7;1
198510;22.5;1
198511;12.1;1
198512;14.1;1
198601;10.7;1
198602;10.4;1
198603;14.3;1
198604;11.7;1
198605;21.4;1
198606;22.2;1
198607;24.8;1
198608;25;1
198609;24.1;1
198610;20.9;1
198611;15.3;1
198612;13.2;1
198701;8.2;1
198702;10.9;1
198703;14.2;1
198704;19;1
198705;17.9;1
198706;22.1;1
198707;23.4;1
198708;26.5;1
198709;28.2;1
198710;20.1;1
198711;14.3;1
198712;15.2;1
198801;13.6;1
198802;12.3;1
198803;13.7;1
