# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 32245001
# NOM_USUEL= MAUMUSSON
# LATITUDE (°) = 43.605
# LONGITUDE(°)= -0.097
# ALTITUDE (m) = 164
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX132245001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 196301 202212
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196301;6;1
196302;7.5;1
196303;14.1;1
196304;17.3;1
196305;20;1
196306;24.2;1
196307;26.8;1
196308;22.6;1
196309;21.1;1
196310;19.3;1
196311;15;1
196312;7.6;1
196401;8;1
196402;11.6;1
196403;13.8;1
196404;17.4;1
196405;23.2;1
196406;24.4;1
196407;29.3;1
196408;27.7;1
196409;27.8;1
196410;16.5;1
196411;12.7;1
196412;9.1;1
196501;9.8;1
196502;7.9;1
196503;14.7;1
196504;14.9;1
196505;20.1;1
196506;23.5;1
196507;25.5;1
196508;25.3;1
196509;20.3;1
196510;20.4;1
196511;13.7;1
196512;11.9;1
196601;10.4;1
196602;15.3;1
196603;13.3;1
196604;18;1
196605;20.5;1
196606;24;1
196607;24.3;1
196608;25.6;1
196609;26.1;1
196610;18.2;1
196611;11.9;1
196612;10.4;1
196701;9.7;1
196702;11.1;1
196703;14.5;1
196704;16.6;1
196705;20.8;1
196706;23.8;1
196707;28.7;1
196708;26.3;1
196709;24;1
196710;21.9;1
196711;13.1;1
196712;7;1
196801;9.7;1
196802;11.6;1
196803;12.5;1
196804;17.6;1
196805;18.7;1
196806;23.1;1
196807;26.3;1
196808;23.8;1
196809;22.2;1
196810;23.3;1
196811;14.8;1
196812;9.7;1
196901;11;1
196902;8.8;1
196903;13.6;1
196904;15.6;1
196905;20.6;1
196906;22;1
196907;27.7;1
196908;25.5;1
196909;21.8;1
196910;20.3;1
196911;13.5;1
196912;7.2;1
197001;11.2;1
197002;10.6;1
197003;11;1
197004;14.5;1
197005;20.9;1
197006;24.8;1
197007;26.7;1
197008;26.2;1
197009;26.5;1
197010;18.5;1
197011;17;1
197012;7.3;1
197101;11.7;1
197102;10.3;1
197103;9.9;1
197104;18.6;1
197105;20.2;1
197106;21.3;1
197107;28.8;1
197108;26.3;1
197109;23.9;1
197110;21.4;1
197111;10.2;1
197112;9.5;1
197201;9.5;1
197202;12;1
197203;15.9;1
197204;14.8;1
197205;18.5;1
197206;21.1;1
197207;26.7;1
197208;24.6;1
197209;21.3;1
197210;19.2;1
197211;14.2;1
197212;11.1;1
197301;8.2;1
197302;8.9;1
197303;14.3;1
197304;16.4;1
197305;23.1;1
197306;23.9;1
197307;25.1;1
197308;28.2;1
197309;24;1
197310;18.7;1
197311;14.4;1
197312;8.9;1
197401;12.3;1
197402;10.7;1
197403;14;1
197404;16.3;1
197405;20.2;1
197406;25.2;1
197407;26.6;1
197408;27;1
197409;21.1;1
197410;13;1
197411;13.8;1
197412;11.5;1
197501;12;1
197502;14.4;1
197503;11;1
197504;15.4;1
197505;19.1;1
197506;22.8;1
197507;28.1;1
197508;27.5;1
197509;22.9;1
197510;18.9;1
197511;12.4;1
197512;6.6;1
197601;8.1;1
197602;12.3;1
197603;14.4;1
197604;15.3;1
197605;20.9;1
197606;28.9;1
197607;28.1;1
197608;27.3;1
197609;22.6;1
197610;17.3;1
197611;11.9;1
197612;9.3;1
197701;9.5;1
197702;14.6;1
197703;16.5;1
197704;16.3;1
197705;17.5;1
197706;21.4;1
197707;23.4;1
197708;23.3;1
197709;23.3;1
197710;20.7;1
197711;12.9;1
197712;12.1;1
197801;8.9;1
197802;12.1;1
197803;14.2;1
197804;14.3;1
197805;18.8;1
197806;22.4;1
197807;24.9;1
197808;25.5;1
197809;23.8;1
197810;19;1
197811;12.7;1
197812;12.6;1
197901;9.1;1
197902;11.3;1
197903;14;1
197904;14.1;1
197905;19.6;1
197906;22.4;1
197907;26.3;1
197908;24.2;1
197909;24.2;1
197910;19.5;1
197911;12.5;1
197912;12.4;1
198001;9.2;1
198002;12.5;1
198003;13.1;1
198004;16;1
198005;18.3;1
198006;21.1;1
198007;24.1;1
198008;26.7;1
198009;25.5;1
198010;18.3;1
198011;12.8;1
198012;7.9;1
198101;9.4;1
198102;9.8;1
198103;17.7;1
198104;17.1;1
198105;20;1
198106;24.3;1
198107;24.6;1
198108;27;1
198109;23.9;1
198110;18.3;1
198111;14.3;1
198112;11.2;1
198201;12.8;1
198202;11.6;1
198203;13.5;1
198204;18;1
198205;21.4;1
198206;25.3;1
198207;28.2;1
198208;24.5;1
198209;26.3;1
198210;18.5;1
198211;15.1;1
198212;10.1;1
198301;11.3;1
198302;8.7;1
198303;14.7;1
198304;17.6;1
198305;19;1
198306;25.7;1
198307;28.5;1
198308;25.7;1
198309;25.4;1
198310;19.8;1
198311;16.1;1
198312;11.4;1
198401;10.3;1
198402;9;1
198403;13;1
198404;19.6;1
198405;16.6;1
198406;23.2;1
198407;28.7;1
198408;25.6;1
198409;22.1;1
198410;19.4;1
198411;15.6;1
198412;10.6;1
198501;4;1
198502;14;1
198503;12;1
198504;18;1
198505;19;1
198506;23.4;1
198507;27.7;1
198508;26.1;1
198509;27.8;1
198510;22;1
198511;11.6;1
198512;11.1;1
198601;10;1
198602;8.9;1
198603;14;1
198604;12.6;1
198605;21.5;1
198606;24;1
198607;27.6;1
198608;26.5;1
198609;25.2;1
198610;21.1;1
198611;14.3;1
198612;12;1
198701;6.3;1
198702;10.1;1
198703;14.1;1
198704;18.9;1
198705;19.5;1
198706;22.5;1
198707;25.5;1
198708;27.7;1
198709;27.9;1
198710;19.8;1
198711;13.6;1
198712;13.1;1
198801;12.9;1
198802;11.5;1
198803;13.5;1
198804;17.7;1
198805;20.1;1
198806;23.5;1
198807;26.1;1
198808;26.1;1
198809;24;1
198810;22;1
198811;15.7;1
198812;8.9;1
198901;10.2;1
198902;14.1;1
198903;17;1
198904;14.2;1
198905;24.2;1
198906;25.7;1
198907;28.8;1
198908;28;1
198909;24.6;1
198910;21.7;1
198911;15.4;1
198912;14.8;1
199001;11.4;1
199002;16.2;1
199003;17.6;1
199004;15.8;1
199005;24.1;1
199006;23.6;1
199007;28.8;1
199008;29.9;1
199009;25.9;1
199010;20.5;1
199011;12.7;1
199012;7.1;1
199101;9.8;1
199102;11.1;1
199103;16.4;1
199104;15.9;1
199105;18.7;1
199106;22.9;1
199107;27;1
199108;30;1
199109;26.4;1
199110;16.9;1
199111;12.9;1
199112;9.5;1
199201;7.5;1
199202;12.3;1
199203;14.2;1
199204;16.8;1
199205;24.1;1
199206;21;1
199207;26.8;1
199208;27.4;1
199209;22.3;1
199210;15.6;1
199211;16;1
199212;11;1
199301;12.6;1
199302;10.7;1
199303;15.7;1
199304;16.7;1
199305;21.5;1
199306;24.5;1
199307;24.7;1
199308;26.7;1
199309;21.7;1
199310;16.7;1
199311;12.4;1
199312;12.7;1
199401;10.6;1
199402;12.3;1
199403;16.7;1
199404;14.6;1
199405;22.1;1
199406;24.8;1
199407;28.8;1
199408;28.3;1
199409;22.1;1
199410;19.9;1
199411;15.9;1
199412;12.1;1
199501;10.8;1
199502;14.2;1
199503;14.2;1
199504;17.6;1
199505;22.6;1
199506;24.6;1
199507;28.8;1
199508;27.7;1
199509;21.6;1
199510;23.6;1
199511;15.7;1
199512;11.5;1
199601;13.4;1
199602;9.2;1
199603;15;1
199604;18.6;1
199605;21.2;1
199606;25.8;1
199607;27;1
199608;24.6;1
199609;22.2;1
199610;19.4;1
199611;13.4;1
199612;9.8;1
199701;10.1;1
199702;15.5;1
199703;18.7;1
199704;20.6;1
199705;23.3;1
199706;23.8;1
199707;24.8;1
199708;28.2;1
199709;25.8;1
199710;21.4;1
199711;15.1;1
199712;11.4;1
199801;12;1
199802;14.7;1
199803;16.5;1
199804;16;1
199805;22.1;1
199806;24.2;1
199807;25.9;1
199808;28;1
199809;23.5;1
199810;18.3;1
199811;12.4;1
199812;11.4;1
199901;11.9;1
199902;9.2;1
199903;14.9;1
199904;17.5;1
199905;22.2;1
199906;24.2;1
199907;27.3;1
199908;27;1
199909;25.8;1
199910;20;1
199911;10.9;1
199912;10.8;1
200001;8.1;1
200002;14.2;1
200003;15.4;1
200004;17.4;1
200005;23.1;1
200006;25.1;1
200007;25.5;1
200008;27.4;1
200009;25.7;1
200010;18.6;1
200011;13.6;1
200012;13.9;1
200101;11.2;1
200102;11.6;1
200103;17.5;1
200104;15.9;1
200105;21.8;1
200106;26;1
200107;26.7;1
200108;28.7;1
200109;23.4;1
200110;24.1;1
200111;11.2;1
200112;8.2;1
200201;12.3;1
200202;13.5;1
200203;17.4;1
200204;18;1
200205;20.1;1
200206;24.5;1
200207;25.2;1
200208;24.4;1
200209;24.5;1
200210;20.8;1
200211;15.4;1
200212;13.1;1
200301;8.9;1
200302;10.2;1
200303;18.6;1
200304;19.5;1
200305;21.9;1
200306;29.2;1
200307;28.9;1
200308;33.3;1
200309;25.7;1
200310;18.1;1
200311;15.5;1
200312;11;1
200401;10.8;1
200402;11.8;1
200403;13.3;1
200404;16;1
200405;20.9;1
200406;27.6;1
200407;27.3;1
200408;27;1
200409;25.9;1
200410;21.8;1
200411;11.9;1
200412;9.6;1
200501;9.8;1
200502;8;1
200503;16.2;1
200504;18;1
200505;22.6;1
200506;27.9;1
200507;28.6;1
200508;26.8;1
200509;24.2;1
200510;22.1;1
200511;13.1;1
200512;6.9;1
200601;9.2;1
200602;10.1;1
200603;16.8;1
200604;18.6;1
200605;23.4;1
200606;27.9;1
200607;30.8;1
200608;25.9;1
200609;27;1
200610;22.7;1
200611;17.1;1
200612;9.9;1
200701;10.8;1
200702;13.2;1
200703;13.9;1
200704;20.7;1
200705;20.8;1
200706;24.9;1
200707;25.9;1
200708;26.3;1
200709;23.7;1
200710;19.3;1
200711;12.4;1
200712;10;1
200801;11.5;1
200802;16;1
200803;13.4;1
200804;17.9;1
200805;22.1;1
200806;24.5;1
200807;26.5;1
200808;26.3;1
200809;23;1
200810;19.1;1
200811;12.3;1
200812;9.6;1
200901;9.6;1
200902;11.8;1
200903;15.6;1
200904;17.1;1
