# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 33063001
# NOM_USUEL= BORDEAUX-PAULIN
# LATITUDE (°) = 44.85
# LONGITUDE(°)= -0.589
# ALTITUDE (m) = 10
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX233063001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196201 202212
# Date(s) de rupture(s) d'homogénéité : 197012 197412 197912 199412
#     Periode homogénéisée  196201 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;10.2;1
196202;10.8;1
196203;11.3;1
196204;16.9;1
196205;19.1;1
196206;26.1;1
196207;26.3;1
196208;27.8;1
196209;25.6;1
196210;19.9;1
196211;11.1;1
196212;7.7;1
196301;6.4;1
196302;8.2;1
196303;14.5;1
196304;17.6;1
196305;20.1;1
196306;23.8;1
196307;27.4;1
196308;22.9;1
196309;21.7;1
196310;19.3;1
196311;16;1
196312;8.1;1
196401;6.8;1
196402;11.8;1
196403;13.4;1
196404;16.8;1
196405;23.4;1
196406;24.7;1
196407;29.2;1
196408;26.7;1
196409;26.1;1
196410;16.2;1
196411;11.7;1
196412;9.3;1
196501;9.7;1
196502;8.3;1
196503;14.7;1
196504;15.4;1
196505;20.3;1
196506;23.9;1
196507;25.4;1
196508;25.3;1
196509;20;1
196510;21.3;1
196511;13.7;1
196512;12.3;1
196601;10.4;1
196602;15.2;1
196603;13.9;1
196604;18.7;1
196605;21.6;1
196606;23.7;1
196607;24.6;1
196608;25.4;1
196609;26.5;1
196610;19;1
196611;11.9;1
196612;10.7;1
196701;9.2;1
196702;11.7;1
196703;15.3;1
196704;16.9;1
196705;20.7;1
196706;24.5;1
196707;28.2;1
196708;26.3;1
196709;23.2;1
196710;21.1;1
196711;14.3;1
196712;7.7;1
196801;10.9;1
196802;13.3;1
196803;14.2;1
196804;18.5;1
196805;19.2;1
196806;24.7;1
196807;27.2;1
196808;24.9;1
196809;22.3;1
196810;21.4;1
196811;14.9;1
196812;10.6;1
196901;11.5;1
196902;9.8;1
196903;13.8;1
196904;16.5;1
196905;20.7;1
196906;22.2;1
196907;28.6;1
196908;26.1;1
196909;22.3;1
196910;21.3;1
196911;13.8;1
196912;8.4;1
197001;10.9;1
197002;11.4;1
197003;11.6;1
197004;14.5;1
197005;21.5;1
197006;26;1
197007;26.5;1
197008;26.2;1
197009;26.2;1
197010;18.9;1
197011;16.5;1
197012;7.7;1
197101;11.6;1
197102;10.6;1
197103;10.3;1
197104;19.1;1
197105;21.1;1
197106;21.3;1
197107;29;1
197108;26.1;1
197109;24.5;1
197110;20.9;1
197111;11.4;1
197112;10;1
197201;9.9;1
197202;12.3;1
197203;16.3;1
197204;15.3;1
197205;18.6;1
197206;21.3;1
197207;26.6;1
197208;24.7;1
197209;21.4;1
197210;19;1
197211;13.9;1
197212;11.1;1
197301;8.2;1
197302;9;1
197303;14.9;1
197304;16.4;1
197305;22.5;1
197306;24.7;1
197307;24.6;1
197308;28.5;1
197309;24.9;1
197310;18.1;1
197311;14.4;1
197312;9.3;1
197401;12.2;1
197402;11.7;1
197403;14.3;1
197404;16.6;1
197405;20.1;1
197406;25.2;1
197407;26.9;1
197408;27.5;1
197409;20.9;1
197410;14;1
197411;13.8;1
197412;12.1;1
197501;12.8;1
197502;14.1;1
197503;11.7;1
197504;16.6;1
197505;19.7;1
197506;24.7;1
197507;28.4;1
197508;27.7;1
197509;23.6;1
197510;18.6;1
197511;13.1;1
197512;6.6;1
197601;9.5;1
197602;12.8;1
197603;15.4;1
197604;17.1;1
197605;21.9;1
197606;30.1;1
197607;28.3;1
197608;27.6;1
197609;22.4;1
197610;18;1
197611;12.4;1
197612;9.8;1
197701;10;1
197702;13.8;1
197703;16.7;1
197704;15.7;1
197705;18.4;1
197706;21.9;1
197707;24.3;1
197708;24.3;1
197709;23.9;1
197710;20.4;1
197711;13.4;1
197712;12;1
197801;9.7;1
197802;12.5;1
197803;14.6;1
197804;15;1
197805;19.6;1
197806;22.8;1
197807;25;1
197808;26.5;1
197809;25.3;1
197810;20;1
197811;13.2;1
197812;12.3;1
197901;9;1
197902;10.8;1
197903;13.5;1
197904;15;1
197905;19.5;1
197906;23.9;1
197907;27.7;1
197908;24.4;1
197909;24.2;1
197910;19.8;1
197911;12.3;1
197912;12.3;1
198001;8.6;1
198002;13.6;1
198003;13;1
198004;16.5;1
198005;19.1;1
198006;20.9;1
198007;24.2;1
198008;26.7;1
198009;25.9;1
198010;18.2;1
198011;12.8;1
198012;9.9;1
198101;10.7;1
198102;11.1;1
198103;17.3;1
198104;18;1
198105;19.4;1
198106;24.3;1
198107;24.9;1
198108;28.2;1
198109;24.6;1
198110;18.2;1
198111;14.4;1
198112;11.6;1
198201;12.8;1
198202;12.8;1
198203;13.9;1
198204;19;1
198205;21.8;1
198206;24.8;1
198207;28.2;1
198208;24.6;1
198209;25.7;1
198210;18.4;1
198211;14.4;1
198212;10.6;1
198301;11;1
198302;9.7;1
198303;14.6;1
198304;16.7;1
198305;18.7;1
198306;25.5;1
198307;30;1
198308;26.1;1
198309;25.2;1
198310;20.6;1
198311;16;1
198312;11.3;1
198401;10.7;1
198402;10.4;1
198403;13.3;1
198404;20.5;1
198405;17.6;1
198406;24.6;1
198407;29.1;1
198408;27.4;1
198409;22.1;1
198410;19.4;1
198411;15.5;1
198412;10.7;1
198501;5.2;1
198502;13.8;1
198503;13;1
198504;18.1;1
198505;19.3;1
198506;23.7;1
198507;28.3;1
198508;25.2;1
198509;28.4;1
198510;21.8;1
198511;10.7;1
198512;10.1;1
198601;10.8;1
198602;8.2;1
198603;14.3;1
198604;13.1;1
198605;21.8;1
198606;24.9;1
198607;28.3;1
198608;26.6;1
198609;25.1;1
198610;20.6;1
198611;14.2;1
198612;12.7;1
198701;5.3;1
198702;10.4;1
198703;13.8;1
198704;19.5;1
198705;19.9;1
198706;23.2;1
198707;25.7;1
198708;27.3;1
198709;27.2;1
198710;19.5;1
198711;14.1;1
198712;11.6;1
198801;13;1
198802;12.2;1
198803;13.5;1
198804;18.4;1
198805;20.9;1
198806;23.5;1
198807;25.4;1
198808;26.5;1
198809;24.6;1
198810;21.7;1
198811;14.7;1
198812;10.8;1
198901;10.4;1
198902;14.2;1
198903;17.5;1
198904;15.4;1
198905;25.9;1
198906;26.5;1
198907;29.7;1
198908;27.9;1
198909;25.3;1
198910;21.9;1
198911;15.8;1
198912;14.6;1
199001;11.2;1
199002;16.5;1
199003;17.6;1
199004;16.6;1
199005;25;1
199006;23.6;1
199007;29.3;1
199008;30.2;1
199009;26.3;1
199010;20.4;1
199011;13.4;1
199012;8.9;1
199101;10;1
199102;10.8;1
199103;16.5;1
199104;16.7;1
199105;20.8;1
199106;22.8;1
199107;27.8;1
199108;30.1;1
199109;26.6;1
199110;17.4;1
199111;13;1
199112;9.7;1
199201;7.9;1
199202;12.8;1
199203;14.9;1
199204;17.2;1
199205;24.9;1
199206;22.7;1
199207;27.3;1
199208;27.5;1
199209;22.8;1
199210;15.5;1
199211;16.4;1
199212;11.1;1
199301;12.2;1
199302;11.9;1
199303;16.5;1
199304;17.5;1
199305;21.9;1
199306;25.2;1
199307;25.7;1
199308;27.8;1
199309;21.2;1
199310;16.7;1
199311;12;1
199312;12.4;1
199401;11.1;1
199402;12.7;1
199403;17.2;1
199404;15.9;1
199405;22.2;1
199406;25.6;1
199407;29.2;1
199408;28.3;1
199409;21.8;1
199410;20.1;1
199411;16.2;1
199412;12.4;1
199501;11;1
199502;14.2;1
199503;14.7;1
199504;18.2;1
199505;22.5;1
199506;25.1;1
199507;30.1;1
199508;28.7;1
199509;21.4;1
199510;23.1;1
199511;15.1;1
199512;11.8;1
199601;13.6;1
199602;10.1;1
199603;15.4;1
199604;19;1
199605;21;1
199606;27.2;1
199607;27.4;1
199608;25.9;1
199609;23;1
199610;19.2;1
199611;13.6;1
199612;10.3;1
199701;9.9;1
199702;15.2;1
199703;19;1
199704;21.3;1
199705;23.3;1
199706;23.4;1
199707;26.4;1
199708;29.5;1
199709;27;1
199710;22;1
199711;15.3;1
199712;12.1;1
199801;12.4;1
199802;15;1
199803;17.3;1
199804;16.2;1
199805;23.4;1
199806;25;1
199807;26.5;1
199808;29.5;1
199809;23.7;1
199810;18.8;1
199811;13.1;1
199812;10.5;1
199901;12.2;1
199902;10.6;1
199903;16.4;1
199904;17.8;1
199905;23.6;1
199906;24.5;1
199907;28.7;1
199908;27.8;1
199909;25.7;1
199910;20;1
199911;12.2;1
199912;12;1
200001;9.7;1
200002;13.9;1
200003;15.8;1
200004;17.6;1
200005;23.1;1
200006;25.8;1
200007;25.6;1
200008;28.8;1
200009;25.4;1
200010;18.6;1
200011;13.8;1
200012;13.9;1
200101;11.7;1
200102;12.2;1
200103;16.5;1
200104;15.8;1
200105;22;1
200106;26.5;1
200107;26.5;1
200108;29;1
200109;22.8;1
200110;23.5;1
200111;12.5;1
200112;9.2;1
200201;13.1;1
200202;13.6;1
200203;17.3;1
200204;18.9;1
200205;21.8;1
200206;25.6;1
200207;26;1
200208;25.5;1
200209;24.4;1
200210;20.6;1
200211;15.8;1
200212;13.5;1
200301;8.9;1
200302;11.1;1
200303;19.2;1
200304;21.2;1
200305;22.6;1
200306;29.6;1
200307;28.2;1
200308;33.1;1
200309;25.9;1
200310;18.2;1
200311;15.9;1
200312;12.2;1
200401;11.2;1
200402;13.1;1
200403;14.5;1
200404;17.2;1
200405;21.9;1
200406;28.3;1
200407;26.7;1
200408;27.5;1
200409;25.1;1
200410;21.3;1
200411;13.5;1
200412;10;1
200501;10.9;1
200502;9.1;1
200503;16.2;1
200504;18.6;1
200505;23.3;1
200506;28.9;1
200507;28.8;1
200508;28.2;1
200509;24.6;1
200510;22.3;1
200511;13.5;1
200512;7.9;1
200601;9.7;1
200602;9.5;1
200603;15.3;1
200604;18.4;1
200605;22.8;1
200606;28.1;1
200607;31.9;1
200608;25.4;1
200609;27.3;1
200610;22.5;1
200611;17.1;1
200612;9.1;1
200701;11.7;1
200702;14.1;1
200703;15.3;1
200704;22.5;1
200705;21.3;1
200706;25.2;1
200707;25.4;1
200708;26.2;1
200709;24.1;1
200710;19.5;1
200711;12.8;1
200712;10.7;1
200801;12.3;1
200802;16;1
200803;13.8;1
200804;17.2;1
200805;22.9;1
200806;24.6;1
200807;27.5;1
200808;26.5;1
200809;23.1;1
200810;19.5;1
200811;13.1;1
200812;9.9;1
200901;9.7;1
200902;12.4;1
200903;15.9;1
200904;17.9;1
200905;23.6;1
200906;26.7;1
200907;27.9;1
200908;29.2;1
200909;25.9;1
200910;21.4;1
200911;15.7;1
200912;11.3;1
201001;7.4;1
201002;10.7;1
201003;14.7;1
201004;20.6;1
201005;20.6;1
201006;25.3;1
201007;28.9;1
201008;27.3;1
201009;25.5;1
201010;19.4;1
201011;13.4;1
201012;9.3;1
201101;10;1
201102;13.5;1
201103;16.4;1
201104;23.4;1
201105;25.9;1
201106;25.5;1
201107;25.5;1
201108;28.2;1
201109;26;1
201110;21.9;1
201111;16.9;1
201112;13.2;1
201201;10.6;1
201202;8.1;1
201203;19.1;1
201204;15.8;1
201205;23.4;1
201206;25.8;1
201207;26.8;1
201208;29.6;1
201209;25.5;1
201210;19.5;1
201211;15;1
201212;12.7;1
201301;9.9;1
201302;10.7;1
201303;15;1
201304;18.1;1
201305;18.2;1
201306;22.9;1
201307;31.4;1
201308;27.7;1
201309;24.7;1
201310;21.6;1
201311;13;1
201312;12;1
201401;13.3;1
201402;13.6;1
201403;16.6;1
201404;20.1;1
201405;20.1;1
201406;27.1;1
201407;26.5;1
201408;25.3;1
201409;27.2;1
201410;23.3;1
201411;17.2;1
201412;10.6;1
201501;11.3;1
201502;11.3;1
201503;15.4;1
201504;20.8;1
201505;22.6;1
201506;28.5;1
201507;29.9;1
201508;28.9;1
201509;23.6;1
201510;19.5;1
201511;17.3;1
201512;15.4;1
201601;12.9;1
201602;12.7;1
201603;15.1;1
201604;17.2;1
201605;22.2;1
201606;24.2;1
201607;28.4;1
201608;30.1;1
201609;27.5;1
201610;19.6;1
201611;14.4;1
201612;12.5;1
201701;8.8;1
201702;14.9;1
201703;17.2;1
201704;20.4;1
201705;24.3;1
201706;28;1
201707;27.2;1
201708;28.9;1
201709;22.9;1
201710;22.4;1
201711;14.5;1
201712;11.1;1
201801;12.7;1
201802;9.9;1
201803;14.5;1
201804;20.6;1
201805;22.5;1
201806;26.9;1
201807;29.8;1
201808;30.1;1
201809;27.8;1
201810;20.3;1
201811;14.9;1
201812;12.4;1
201901;9.4;1
201902;16.4;1
201903;17.2;1
201904;18.6;1
201905;20.9;1
201906;26.7;1
201907;30.7;1
201908;29.1;1
201909;26.4;1
201910;21.2;1
201911;13;1
201912;12.8;1
202001;12.7;1
202002;15.7;1
202003;15.7;1
202004;21.6;1
202005;24.8;1
202006;24.4;1
202007;29.6;1
202008;29.6;1
202009;26.7;1
202010;18.3;1
202011;17.4;1
202012;11.7;1
202101;9.9;1
202102;15;1
202103;16.6;1
202104;19.4;1
202105;20.5;1
202106;26.5;1
202107;26.5;1
202108;26.4;1
202109;26.4;1
202110;20.9;1
202111;12.7;1
202112;12.5;1
202201;10;1
202202;14.7;1
202203;17;1
202204;18.6;1
202205;26.6;1
202206;28.2;1
202207;31.9;1
202208;32.6;1
202209;26.4;1
202210;24.4;1
202211;16.9;1
202212;12.2;1
202301;10.5;0
202302;13.3;0
202303;17.1;0
202304;19.6;0
202305;24.2;0
202306;29.2;0
202307;28.5;0
202308;29.4;0
202309;29.5;0
202310;23.8;0
202311;15.5;0
202312;12;0
202401;11.2;0
202402;14.1;0
202403;16.8;0
202404;20.1;0
202405;20.8;0
202406;25.7;0
202407;28.6;0
202408;29.3;0
202409;22.5;0
202410;21;0
202411;17;0
202412;11.2;0
