# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 29168001
# NOM_USUEL= PTE DU RAZ
# LATITUDE (°) = 48.039
# LONGITUDE(°)= -4.732
# ALTITUDE (m) = 67
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX129168001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195812 196912 199612
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;9.5;1
195102;8.2;1
195103;8.7;1
195104;11.3;1
195105;12;1
195106;16.9;1
195107;18.4;1
195108;17.4;1
195109;16.7;1
195110;14.5;1
195111;12.5;1
195112;10.9;1
195201;9;1
195202;8.8;1
195203;9.9;1
195204;12.7;1
195205;15.9;1
195206;17.7;1
195207;19;1
195208;18.5;1
195209;15.4;1
195210;13.5;1
195211;10.1;1
195212;8.9;1
195301;7.1;1
195302;7.6;1
195303;12.5;1
195304;12;1
195305;14.4;1
195306;15.7;1
195307;16.6;1
195308;19.4;1
195309;17.8;1
195310;15.2;1
195311;12.3;1
195312;12.1;1
195401;8.9;1
195402;7.9;1
195403;10.2;1
195404;12.2;1
195405;13.1;1
195406;14.8;1
195407;15.2;1
195408;16.2;1
195409;15.9;1
195410;15.3;1
195411;12.8;1
195412;11;1
195501;9;1
195502;7.9;1
195503;7.7;1
195504;13.2;1
195505;13.5;1
195506;16.8;1
195507;20.4;1
195508;21.8;1
195509;18.5;1
195510;14.5;1
195511;11.3;1
195512;11.6;1
195601;9.4;1
195602;3.6;1
195603;9.6;1
195604;10.9;1
195605;13.8;1
195606;14.4;1
195607;16.6;1
195608;16.2;1
195609;16.3;1
195610;14.3;1
195611;11.1;1
195612;10.8;1
195701;9.2;1
195702;9.9;1
195703;11.5;1
195704;12;1
195705;13.8;1
195706;17.1;1
195707;18;1
195708;18.1;1
195709;15.5;1
195710;15;1
195711;10.6;1
195712;9.5;1
195801;9;1
195802;9.6;1
195803;8.5;1
195804;10.5;1
195805;14.1;1
195806;15.6;1
195807;16.6;1
195808;16.6;1
195809;18.1;1
195810;13.8;1
195811;11.1;1
195812;9.9;1
195901;9.1;1
195902;8.9;1
195903;11.3;1
195904;12;1
195905;15.1;1
195906;17.2;1
195907;19.3;1
195908;19.3;1
195909;20;1
195910;16.3;1
195911;11.7;1
195912;10.9;1
