# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 29022001
# NOM_USUEL= CAMARET
# LATITUDE (°) = 48.274
# LONGITUDE(°)= -4.606
# ALTITUDE (m) = 40
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX129022001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 197005 198112 200412 200812 201412 202108
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;7.7;1
195302;8.4;1
195303;12.8;1
195304;12.8;1
195305;15.6;1
195306;16.5;1
195307;17.7;1
195308;19.8;1
195309;18.1;1
195310;15.9;1
195311;12.6;1
195312;12.7;1
195401;9.3;1
195402;8.6;1
195403;11.3;1
195404;12.8;1
195405;14.2;1
195406;15.8;1
195407;16.2;1
195408;17.6;1
195409;16.5;1
195410;15.8;1
195411;13;1
195412;11.3;1
195501;9.3;1
195502;8.6;1
195503;8.2;1
195504;13.3;1
195505;14.2;1
195506;17.9;1
195507;21.6;1
195508;23.4;1
195509;18.7;1
195510;14.9;1
195511;11.8;1
195512;12;1
195601;9.7;1
195602;4.7;1
195603;11.1;1
195604;11.7;1
195605;14.7;1
195606;15.4;1
195607;18.1;1
195608;17;1
195609;17.4;1
195610;15.2;1
195611;11.5;1
195612;10.8;1
195701;9.4;1
195702;10.5;1
195703;12.8;1
195704;12.6;1
195705;14.3;1
195706;18;1
195707;18.6;1
195708;19.2;1
195709;16.4;1
195710;15.6;1
195711;10.8;1
195712;9.8;1
195801;9.4;1
195802;10.6;1
195803;9.3;1
195804;11.1;1
195805;14.9;1
195806;16.4;1
195807;17.8;1
195808;17.7;1
195809;19;1
195810;14.7;1
195811;11.4;1
195812;10.2;1
195901;9.2;1
195902;10;1
195903;11.7;1
195904;12.4;1
195905;16;1
195906;17.5;1
195907;20.5;1
195908;20.6;1
195909;21.2;1
195910;17.2;1
195911;11.9;1
195912;11;1
196001;8.9;1
196002;9.3;1
196003;11.5;1
196004;12.6;1
196005;16.6;1
196006;19.5;1
196007;17.6;1
196008;18.1;1
196009;17.1;1
196010;14.6;1
196011;12.3;1
196012;9.3;1
196101;9.3;1
196102;10.7;1
196103;12.3;1
196104;13.5;1
196105;15.7;1
196106;17.4;1
196107;18.9;1
196108;18.8;1
196109;18.9;1
196110;15.5;1
196111;10.8;1
196112;8.7;1
196201;9.3;1
196202;8.5;1
196203;8.1;1
196204;11.5;1
196205;13.6;1
196206;17.6;1
196207;18.4;1
196208;18.2;1
196209;17.7;1
196210;15.7;1
196211;11;1
196212;8.6;1
196301;3.7;1
196302;5.9;1
196303;9.3;1
196304;11.2;1
196305;13.1;1
196306;16.1;1
196307;18.5;1
196308;17.3;1
196309;16.7;1
196310;15.1;1
196311;13.1;1
196312;7.9;1
196401;7.5;1
196402;8.7;1
196403;9.1;1
196404;11.1;1
196405;15.3;1
196406;17;1
196407;19.4;1
196408;18.9;1
196409;19.1;1
196410;14.1;1
196411;11.5;1
196412;9.6;1
196501;8.4;1
196502;6.8;1
196503;11;1
196504;11.5;1
196505;14.1;1
196506;16;1
196507;17.7;1
196508;18.1;1
196509;15.7;1
196510;16.5;1
196511;10.8;1
196512;10.9;1
196601;8.3;1
196602;11;1
196603;11;1
196604;12.8;1
196605;14.4;1
196606;17.3;1
196607;18.4;1
196608;18.9;1
196609;19.3;1
196610;15.1;1
196611;10.6;1
196612;10.8;1
196701;9.1;1
196702;9.6;1
196703;10.4;1
196704;11.5;1
196705;13.2;1
196706;17.1;1
196707;19.2;1
196708;19;1
196709;16.6;1
196710;14.9;1
196711;10.8;1
196712;9.6;1
196801;9.5;1
196802;8.2;1
196803;10.1;1
196804;12.1;1
196805;13.9;1
196806;16.7;1
196807;18.8;1
196808;18.7;1
196809;17.4;1
196810;16.4;1
196811;12.3;1
196812;10.2;1
196901;10.4;1
196902;7.9;1
196903;10;1
196904;11.8;1
196905;14.5;1
196906;17.5;1
196907;19.8;1
196908;19;1
196909;17.4;1
196910;17.4;1
196911;12;1
196912;9.8;1
197001;9.6;1
197002;9.3;1
197003;9.1;1
197004;10.5;1
197005;14.9;1
197006;18.6;1
197007;17.7;1
197008;19.5;1
197009;18.9;1
197010;15.4;1
197011;13.4;1
197012;8.9;1
197101;9.9;1
197102;9.3;1
197103;9.1;1
197104;12.3;1
197105;14.9;1
197106;16.5;1
197107;22.2;1
197108;19.4;1
197109;20.3;1
197110;17.1;1
197111;12;1
197112;9.8;1
197201;8.6;1
197202;9.3;1
197203;11.4;1
197204;11;1
197205;12.3;1
197206;13.7;1
197207;18.5;1
197208;18.9;1
197209;17.1;1
197210;14.6;1
197211;12;1
197212;10.3;1
197301;8.2;1
197302;9.1;1
197303;11;1
197304;11.6;1
197305;14.7;1
197306;18.2;1
197307;19.3;1
197308;20.8;1
197309;19.2;1
197310;14.5;1
197311;12.5;1
197312;10.3;1
197401;10.4;1
197402;10;1
197403;10.6;1
197404;12.4;1
197405;14;1
197406;18;1
197407;18;1
197408;18.7;1
197409;15.8;1
197410;12.4;1
197411;11.6;1
197412;11.2;1
197501;10.8;1
197502;11;1
197503;9.3;1
197504;11.3;1
197505;13.9;1
197506;19;1
197507;21;1
197508;21.5;1
197509;17;1
197510;15;1
197511;11.8;1
197512;9;1
197601;9.3;1
197602;9.1;1
197603;10.4;1
197604;12.2;1
197605;15.1;1
197606;21.1;1
197607;21.2;1
197608;22.5;1
197609;17.6;1
197610;14.3;1
197611;11.7;1
197612;8.6;1
197701;8.2;1
197702;10.1;1
197703;11.3;1
197704;11.2;1
197705;13.4;1
197706;15.1;1
197707;19.6;1
197708;19.1;1
197709;17.4;1
197710;16.2;1
197711;11.4;1
197712;10.4;1
197801;8.5;1
197802;9.1;1
197803;10.2;1
197804;10.6;1
197805;15.5;1
197806;16.4;1
197807;17.8;1
197808;18.8;1
197809;18.3;1
197810;16.1;1
197811;13.3;1
197812;11;1
197901;7.2;1
197902;8.7;1
197903;9.7;1
197904;11.8;1
197905;13.7;1
197906;17.3;1
197907;20.1;1
197908;18.5;1
197909;17.5;1
197910;16.4;1
197911;12.6;1
197912;11.3;1
198001;8.4;1
198002;10.7;1
198003;9.5;1
198004;12.9;1
198005;15.2;1
198006;16;1
198007;17.7;1
198008;19.4;1
198009;18.2;1
198010;14;1
198011;10.3;1
198012;10.1;1
198101;9.9;1
198102;8.6;1
198103;10.9;1
198104;12.5;1
198105;13.7;1
198106;16.5;1
198107;18.7;1
198108;21.4;1
198109;19.1;1
198110;14.3;1
198111;12.2;1
198112;10.2;1
198201;9.9;1
198202;9.9;1
198203;11;1
198204;12.7;1
198205;14.8;1
198206;17.8;1
198207;20.2;1
198208;19.3;1
198209;19.4;1
198210;14.5;1
198211;12.8;1
198212;10.3;1
198301;10.4;1
198302;7.4;1
198303;10;1
198304;10.8;1
198305;13;1
198306;17.8;1
198307;23.7;1
198308;21.6;1
198309;18.4;1
198310;15.3;1
198311;12.5;1
198312;10.7;1
198401;10;1
198402;8.8;1
198403;9.4;1
198404;15.3;1
198405;13.3;1
198406;17.8;1
198407;21.1;1
198408;20.9;1
198409;17.6;1
198410;15.1;1
198411;13;1
198412;10.9;1
198501;7;1
198502;9.1;1
198503;9.5;1
198504;12.6;1
198505;14.8;1
198506;17;1
198507;20.4;1
198508;17.8;1
198509;19.2;1
198510;15.9;1
198511;10.9;1
198512;11.3;1
198601;9.9;1
198602;3.8;1
198603;9.5;1
198604;9.5;1
198605;13.1;1
198606;17.3;1
198607;18.4;1
198608;17.2;1
198609;16.5;1
198610;16.2;1
198611;12.4;1
198612;11.2;1
198701;5.1;1
198702;8;1
198703;9.3;1
198704;14.3;1
198705;14.1;1
198706;15.6;1
198707;19.6;1
198708;20;1
198709;18.8;1
198710;15;1
198711;11.8;1
198712;10;1
198801;10.7;1
198802;9.7;1
198803;10.3;1
198804;12.9;1
198805;15.7;1
198806;18.3;1
198807;17.5;1
198808;19.4;1
198809;17.3;1
198810;15.8;1
198811;12.2;1
198812;11.6;1
198901;10.3;1
198902;10.6;1
198903;11.9;1
198904;11.9;1
198905;19.5;1
198906;19.5;1
198907;22.1;1
198908;21.1;1
198909;19.5;1
198910;16.6;1
198911;12.3;1
198912;10.6;1
199001;11.1;1
199002;12.1;1
199003;12.5;1
199004;12.7;1
199005;18.9;1
199006;16.9;1
199007;22.5;1
199008;22.3;1
199009;19.7;1
199010;16.3;1
199011;11.4;1
199012;9.1;1
199101;8.5;1
199102;7.4;1
199103;11.2;1
199104;11.3;1
199105;14.7;1
199106;15;1
199107;19;1
199108;20.8;1
199109;20.6;1
199110;14.6;1
199111;12;1
199112;8.8;1
199201;8.2;1
199202;9.8;1
199203;11.1;1
199204;11.9;1
199205;17.5;1
199206;18.5;1
199207;20;1
199208;18.9;1
199209;16.8;1
199210;13;1
199211;12.8;1
199212;9.6;1
199301;10.7;1
199302;8.7;1
199303;11.3;1
199304;12.6;1
199305;15.1;1
199306;18.7;1
199307;18;1
199308;19.8;1
199309;17.2;1
199310;13.1;1
199311;9.9;1
199312;10.9;1
199401;10.1;1
199402;10;1
199403;11.2;1
199404;11.1;1
199405;14.6;1
199406;17.6;1
199407;20.3;1
199408;19.8;1
199409;16.4;1
199410;15.9;1
199411;13.8;1
199412;12;1
199501;10.6;1
199502;11;1
199503;10.5;1
199504;12.7;1
199505;16.4;1
199506;17.9;1
199507;21.4;1
199508;22.2;1
199509;17.2;1
199510;17.2;1
199511;12.8;1
199512;9.1;1
199601;9.9;1
199602;8.3;1
199603;10.8;1
