# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 38442001
# NOM_USUEL= GRANDE-CHARTREUSE
# LATITUDE (°) = 45.363
# LONGITUDE(°)= 5.792
# ALTITUDE (m) = 945
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX238442001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 202312
# Date(s) de rupture(s) d'homogénéité : 198812 200512 201012
#     Periode homogénéisée  195901 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;3;1
195902;7.4;1
195903;9.5;1
195904;10.8;1
195905;14.6;1
195906;18;1
195907;22.4;1
195908;19.4;1
195909;17.6;1
195910;11.7;1
195911;6.6;1
195912;4.4;1
196001;2.2;1
196002;6.5;1
196003;8.1;1
196004;9.4;1
196005;17.3;1
196006;18.4;1
196007;18;1
196008;18.5;1
196009;14.3;1
196010;11.1;1
196011;7.5;1
196012;1.5;1
196101;2.5;1
196102;7.7;1
196103;9.8;1
196104;13.4;1
196105;13;1
196106;17.8;1
196107;19;1
196108;19.4;1
196109;21.1;1
196110;12.5;1
196111;7.3;1
196112;5.6;1
196201;4.2;1
196202;1.7;1
196203;3.1;1
196204;9.7;1
196205;12.7;1
196206;17.4;1
196207;20.4;1
196208;22.7;1
196209;17.1;1
196210;11.5;1
196211;3.9;1
196212;1.1;1
196301;-1.9;1
196302;-1;1
196303;5.7;1
196304;10.2;1
196305;12.6;1
196306;17;1
196307;21.2;1
196308;17.9;1
196309;15.6;1
196310;12.5;1
196311;9.8;1
196312;2.5;1
196401;2.7;1
196402;5.2;1
196403;4.5;1
196404;11.4;1
196405;16.9;1
196406;19.5;1
196407;23.1;1
196408;19.4;1
196409;18.1;1
196410;9;1
196411;6.2;1
196412;2.5;1
196501;2.5;1
196502;-1;1
196503;5.6;1
196504;7.8;1
196505;14.5;1
196506;19;1
196507;19.3;1
196508;19;1
196509;14.8;1
196510;14.8;1
196511;6.9;1
196512;4;1
196601;2.1;1
196602;7.7;1
196603;4.8;1
196604;11.5;1
196605;14.8;1
196606;19.2;1
196607;17.5;1
196608;18.1;1
196609;18.9;1
196610;13.2;1
196611;3.1;1
196612;1.8;1
196701;1.9;1
196702;4.6;1
196703;7.2;1
196704;9.8;1
196705;14.7;1
196706;16.4;1
196707;23.1;1
196708;20.6;1
196709;16.3;1
196710;15.5;1
196711;8.9;1
196712;-0.5;1
