# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 30076001
# NOM_USUEL= CAVILLARGUES
# LATITUDE (°) = 44.113
# LONGITUDE(°)= 4.519
# ALTITUDE (m) = 131
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX130076001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196101 202312
# Date(s) de rupture(s) d'homogénéité : 197112 200608 201206 201412 202009
#     Periode homogénéisée  196101 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;8.3;1
196102;14.8;1
196103;17.5;1
196104;20.6;1
196105;21;1
196106;27;1
196107;28.6;1
196108;29.8;1
196109;28.5;1
196110;19.7;1
196111;12.4;1
196112;10.5;1
196201;10.7;1
196202;9.8;1
196203;11.3;1
196204;17.5;1
196205;21.6;1
196206;25.8;1
196207;29.9;1
196208;31.8;1
196209;24.9;1
196210;18.8;1
196211;10.8;1
196212;7.1;1
196301;4.3;1
196302;6.3;1
196303;13.8;1
196304;17.8;1
196305;22.7;1
196306;24.6;1
196307;29.4;1
196308;25.4;1
196309;22.9;1
196310;20;1
196311;15.3;1
196312;7.1;1
196401;7.4;1
196402;11.1;1
196403;11.9;1
196404;17.8;1
196405;23.9;1
196406;26.8;1
196407;31.3;1
196408;26.9;1
196409;23.7;1
196410;16.8;1
196411;12.7;1
196412;8;1
196501;8.8;1
196502;7.7;1
196503;14;1
196504;17.9;1
196505;23.5;1
196506;26.5;1
196507;28.1;1
196508;27.7;1
196509;21.6;1
196510;20;1
196511;13.1;1
196512;11.2;1
196601;8.1;1
196602;13.2;1
196603;14.2;1
196604;18.1;1
196605;22.3;1
196606;26.6;1
196607;26.9;1
196608;27.7;1
196609;26.7;1
196610;20.1;1
196611;11;1
