# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 10057001
# NOM_USUEL= BOUY-SUR-ORVIN
# LATITUDE (°) = 48.44
# LONGITUDE(°)= 3.505
# ALTITUDE (m) = 102
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX210057001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196209 196812 198912 199310 201812
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;5.5;1
195902;7.8;1
195903;12.7;1
195904;15;1
195905;20.6;1
195906;24.7;1
195907;29.5;1
195908;25.5;1
195909;25;1
195910;17.9;1
195911;9;1
195912;8;1
196001;5.9;1
196002;7.6;1
196003;12.8;1
196004;15.1;1
196005;21.3;1
196006;24;1
196007;21.9;1
196008;22.2;1
196009;19.1;1
196010;14.5;1
196011;10.8;1
196012;4.7;1
196101;5.6;1
196102;11.4;1
196103;14.3;1
196104;17.5;1
196105;18.7;1
196106;23.3;1
196107;23.2;1
196108;25.7;1
196109;24.3;1
196110;16.1;1
196111;8.2;1
196112;6;1
196201;7;1
196202;6.2;1
196203;7;1
196204;13.9;1
196205;15.1;1
196206;21.7;1
196207;21.5;1
196208;24.7;1
196209;20.7;1
196210;16.8;1
196211;7;1
196212;3;1
196301;0.4;1
196302;1.7;1
196303;10.8;1
196304;15.3;1
196305;17.3;1
196306;21.4;1
196307;24.7;1
196308;21;1
196309;20;1
196310;14.4;1
196311;13.3;1
196312;1.9;1
196401;2.5;1
196402;8.6;1
196403;8.5;1
196404;14.8;1
196405;20.7;1
196406;23.7;1
196407;27.6;1
196408;25.3;1
196409;22.5;1
196410;12.7;1
196411;9;1
196412;4.5;1
196501;5.9;1
196502;3.8;1
196503;11.2;1
196504;13.2;1
196505;17.6;1
196506;22;1
196507;21.1;1
196508;22.5;1
196509;18.2;1
196510;16.8;1
196511;8.3;1
196512;8;1
196601;3.4;1
196602;11;1
196603;9.9;1
196604;16.2;1
196605;18.8;1
196606;24;1
196607;22.1;1
196608;22.6;1
196609;21.2;1
196610;16.7;1
196611;7.4;1
196612;7.9;1
196701;5.5;1
196702;9.2;1
196703;12.1;1
196704;14.3;1
196705;18.8;1
196706;21.8;1
196707;27.8;1
196708;24;1
196709;20.1;1
196710;17;1
196711;8.6;1
196712;4.5;1
196801;5.8;1
196802;6.9;1
196803;11.3;1
196804;15.5;1
196805;15.5;1
196806;21.6;1
196807;23.3;1
196808;22.4;1
196809;19.8;1
196810;16.9;1
196811;8.4;1
196812;3.6;1
196901;7.9;1
196902;5;1
196903;10.5;1
196904;14.6;1
196905;19.2;1
196906;20.6;1
196907;26.3;1
196908;23.4;1
196909;21.5;1
196910;18.3;1
196911;10.2;1
196912;2.4;1
197001;6;1
197002;7.1;1
197003;7.1;1
197004;11.1;1
197005;18.8;1
197006;23.7;1
197007;23;1
197008;23.9;1
197009;21.9;1
197010;15;1
197011;12.2;1
197012;4.3;1
197101;5.4;1
197102;6.6;1
197103;7.6;1
197104;17.7;1
197105;20.6;1
197106;19.9;1
197107;26.6;1
197108;23.5;1
197109;21.1;1
197110;16.2;1
197111;7.4;1
197112;6.1;1
197201;4.8;1
197202;8.8;1
197203;13.6;1
197204;13;1
197205;16.8;1
197206;20.5;1
197207;24.2;1
197208;22.4;1
197209;18.3;1
197210;15.6;1
197211;9.5;1
197212;6.9;1
197301;4.7;1
197302;5.9;1
197303;11.7;1
197304;12.7;1
197305;18.6;1
197306;23.3;1
197307;23.4;1
197308;26.9;1
197309;22.8;1
197310;14.3;1
197311;9.4;1
197312;5.7;1
197401;9.5;1
197402;8.6;1
197403;10.7;1
197404;15.9;1
197405;18.9;1
197406;22.3;1
197407;23.6;1
197408;24.8;1
197409;18.2;1
197410;10.3;1
197411;10.3;1
197412;9.6;1
197501;9;1
197502;9.3;1
197503;7.9;1
197504;13.6;1
197505;16.9;1
197506;21;1
197507;25.1;1
197508;26.5;1
197509;20.9;1
197510;12.6;1
197511;8.7;1
197512;3.8;1
197601;5.9;1
197602;7;1
197603;10.1;1
197604;14.3;1
197605;21.1;1
197606;27.6;1
197607;28.5;1
197608;26.7;1
197609;19.8;1
197610;15.9;1
197611;8.9;1
197612;4.3;1
197701;6;1
197702;9.7;1
197703;12.5;1
197704;13.1;1
197705;17.6;1
197706;20.2;1
197707;22.5;1
197708;21.9;1
197709;19.3;1
197710;17.3;1
197711;9.8;1
197712;8.1;1
197801;4.8;1
197802;5.6;1
197803;11.1;1
197804;12.5;1
197805;16.7;1
197806;20.3;1
197807;22.4;1
197808;22.6;1
197809;20.6;1
197810;16;1
197811;8.5;1
197812;7.8;1
197901;1.3;1
197902;5.9;1
197903;10.1;1
197904;13.4;1
197905;18;1
197906;21.6;1
197907;24;1
197908;22.3;1
197909;21.2;1
197910;16.1;1
197911;9;1
197912;8.6;1
198001;3.4;1
198002;9.2;1
198003;9;1
198004;13.1;1
198005;17.6;1
198006;19.9;1
198007;20.8;1
198008;23.7;1
198009;21.9;1
198010;13.9;1
198011;7.5;1
198012;4.9;1
198101;5.1;1
198102;5.1;1
198103;12.7;1
198104;14.6;1
198105;17.5;1
198106;20;1
198107;23.7;1
198108;23.9;1
198109;20.8;1
198110;13.9;1
198111;9.3;1
198112;6;1
198201;6.1;1
198202;8.3;1
198203;10.4;1
198204;14;1
198205;19.1;1
198206;23.6;1
198207;27.4;1
198208;23.8;1
198209;23.8;1
198210;14.3;1
198211;11;1
198212;6.5;1
198301;7.7;1
198302;4.9;1
198303;10.4;1
198304;13.8;1
198305;15.6;1
198306;23.8;1
198307;29.8;1
198308;25.9;1
198309;20.7;1
198310;15.6;1
198311;9.7;1
198312;5.9;1
198401;6.5;1
198402;5.9;1
198403;9.7;1
198404;14.4;1
198405;14.8;1
198406;21;1
198407;24.8;1
198408;24.8;1
198409;18.5;1
198410;14.8;1
198411;13;1
198412;6.4;1
198501;0.2;1
198502;6.4;1
198503;8.3;1
198504;14.6;1
198505;17.7;1
198506;20.2;1
198507;25.5;1
198508;23.5;1
198509;22.9;1
198510;16.1;1
198511;6.1;1
198512;7;1
198601;6.3;1
198602;-0.3;1
198603;9.4;1
198604;10.9;1
198605;18.5;1
198606;23.5;1
198607;24.8;1
198608;23.6;1
198609;18.7;1
198610;17.7;1
198611;11;1
198612;7.5;1
198701;-0.4;1
198702;5.1;1
198703;7.7;1
198704;16.8;1
198705;16.4;1
198706;19.7;1
198707;23.6;1
198708;23.9;1
198709;22.7;1
198710;16.1;1
198711;8.5;1
198712;6.3;1
198801;9.2;1
198802;8;1
198803;9.4;1
198804;16;1
198805;19.4;1
198806;22.3;1
198807;24.4;1
198808;25.5;1
198809;19.6;1
198810;16.5;1
198811;9;1
198812;8.7;1
198901;6.9;1
198902;8.3;1
198903;14.8;1
198904;12.7;1
198905;23.1;1
198906;22.7;1
198907;26.5;1
198908;25.6;1
198909;21.9;1
198910;18.3;1
198911;9.9;1
198912;7.3;1
199001;7.2;1
199002;13.1;1
199003;14.1;1
199004;13.7;1
199005;22.1;1
199006;21.2;1
199007;26.1;1
199008;27.5;1
199009;20.8;1
199010;17.6;1
199011;9.4;1
199012;5.5;1
199101;5.7;1
199102;4;1
199103;13.6;1
199104;14.4;1
199105;16.6;1
199106;18.8;1
199107;25.8;1
199108;27.4;1
199109;22.8;1
199110;14.7;1
199111;8.8;1
199112;5.3;1
199201;5;1
199202;8.1;1
199203;11.8;1
199204;14.2;1
199205;21.9;1
199206;21.8;1
199207;26.8;1
199208;26.6;1
199209;20.2;1
199210;12;1
199211;11.4;1
199212;6.4;1
199301;8.8;1
199302;3.5;1
199303;12.1;1
199304;15.8;1
199305;19.5;1
199306;22.6;1
199307;23.4;1
199308;24.7;1
199309;18.2;1
199310;12.8;1
199311;6;1
199312;8.4;1
199401;7.7;1
199402;7.6;1
199403;13.1;1
199404;13.3;1
199405;18.9;1
199406;22.8;1
199407;29.4;1
199408;25.9;1
199409;18.9;1
199410;16.5;1
199411;13.2;1
199412;8.8;1
199501;7.5;1
199502;10.4;1
199503;10.6;1
199504;13.4;1
199505;19.4;1
199506;21.4;1
199507;28.6;1
199508;27;1
199509;19.1;1
199510;19.1;1
199511;10.3;1
199512;4.9;1
199601;5.8;1
199602;4.6;1
199603;10.2;1
199604;15.8;1
199605;16.9;1
199606;23.8;1
199607;25.3;1
199608;24.1;1
199609;19.4;1
199610;15.4;1
199611;9.1;1
199612;4.1;1
199701;2.7;1
199702;10.8;1
199703;14.1;1
199704;15.9;1
199705;19.5;1
199706;22.1;1
199707;25;1
199708;29;1
199709;22.3;1
199710;15.3;1
199711;10.7;1
199712;7.6;1
199801;7.2;1
199802;9.6;1
199803;12.3;1
199804;13.1;1
199805;20.5;1
199806;23.1;1
199807;23.9;1
199808;26.6;1
199809;20.6;1
199810;14.5;1
199811;6.9;1
199812;6.9;1
199901;8.2;1
199902;6.7;1
199903;12;1
199904;14.8;1
199905;20.2;1
199906;21.9;1
199907;27.4;1
199908;26.3;1
199909;23.6;1
199910;15.9;1
199911;8.1;1
199912;7.4;1
200001;6.2;1
200002;9.8;1
200003;11.4;1
200004;14.4;1
200005;20.5;1
200006;23.3;1
200007;22.6;1
200008;26;1
200009;21.9;1
200010;15.3;1
200011;11.3;1
200012;9.5;1
200101;7.1;1
200102;8.6;1
200103;12.1;1
200104;12.4;1
200105;20.3;1
200106;22.3;1
200107;25.5;1
200108;25.6;1
200109;17.1;1
200110;19.2;1
200111;8.5;1
