# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 63236002
# NOM_USUEL= LE MONT-DORE BG
# LATITUDE (°) = 45.575
# LONGITUDE(°)= 2.807
# ALTITUDE (m) = 1050
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-07-31
# NUM_SERIE= MTX263236002
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 195509 198212 199812 201112
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4.4;1
195102;2.7;1
195103;6.1;1
195104;10.3;1
195105;12.2;1
195106;17.6;1
195107;21.5;1
195108;19.3;1
195109;18.7;1
195110;13.1;1
195111;8.1;1
195112;6.8;1
195201;1.5;1
195202;2.7;1
195203;9.7;1
195204;13.7;1
195205;16.5;1
195206;20.6;1
195207;24.3;1
195208;21.9;1
195209;12.7;1
195210;11.4;1
195211;4.5;1
195212;2.7;1
195301;2;1
195302;2.1;1
195303;10.4;1
195304;11.4;1
195305;17.6;1
195306;15.5;1
195307;19.4;1
195308;21;1
195309;19;1
195310;13.6;1
195311;11.4;1
195312;7.8;1
195401;1.1;1
195402;2.1;1
195403;8.3;1
195404;8.7;1
195405;13.5;1
195406;17.9;1
195407;16.8;1
195408;17.9;1
195409;17.9;1
195410;13.5;1
195411;9.3;1
195412;5.8;1
195501;6.5;1
195502;3.3;1
195503;6.8;1
195504;12.7;1
195505;14.6;1
195506;18.4;1
195507;20.6;1
195508;20.9;1
195509;16.3;1
195510;12;1
195511;8.1;1
195512;6.8;1
195601;4;1
195602;-2.8;1
195603;7.3;1
195604;8.9;1
195605;15.3;1
195606;13.6;1
195607;18.7;1
195608;17.5;1
195609;18.8;1
195610;11.5;1
195611;4.4;1
195612;4;1
195701;3.2;1
195702;6.7;1
195703;13.1;1
195704;10.6;1
195705;11.6;1
195706;17.3;1
195707;19.1;1
195708;18.5;1
195709;16.2;1
195710;13.4;1
195711;8.1;1
195712;4.3;1
195801;3.5;1
195802;7.3;1
195803;4.7;1
195804;6.7;1
195805;17.5;1
195806;16.7;1
195807;18.5;1
195808;20.1;1
195809;19.9;1
195810;12.2;1
195811;6.5;1
195812;5.5;1
195901;4.4;1
195902;9.6;1
195903;9.8;1
195904;10.5;1
195905;15.5;1
195906;18;1
195907;22.6;1
195908;19.4;1
195909;19.1;1
195910;13.1;1
195911;7.2;1
195912;4.7;1
196001;4;1
196002;6.8;1
196003;9;1
196004;10.2;1
196005;16.9;1
196006;19.4;1
196007;17.3;1
196008;18.7;1
196009;15.1;1
196010;10.9;1
196011;7.3;1
196012;1.3;1
196101;2.7;1
196102;9.7;1
196103;11.7;1
196104;13.6;1
196105;13.8;1
196106;18.3;1
196107;19.3;1
196108;19.7;1
196109;21.4;1
196110;13.3;1
196111;7.3;1
196112;7.5;1
196201;5.1;1
196202;3.5;1
196203;3.3;1
196204;9.8;1
196205;12.4;1
196206;17.9;1
196207;19.2;1
196208;21.8;1
196209;18.6;1
196210;15;1
196211;6;1
196212;3.2;1
196301;1.8;1
196302;1.1;1
196303;7.3;1
196304;10.5;1
196305;13.3;1
196306;17.2;1
196307;21.4;1
196308;16.8;1
196309;16.4;1
196310;14.8;1
196311;9.3;1
196312;4;1
196401;6.1;1
196402;5.5;1
196403;5.5;1
196404;10.8;1
196405;16.5;1
196406;18.9;1
196407;23.5;1
196408;19.8;1
196409;19.8;1
196410;9.8;1
196411;8.7;1
196412;3;1
196501;2.7;1
196502;0.5;1
196503;7.1;1
196504;7.9;1
196505;13.8;1
196506;19.2;1
196507;18.3;1
196508;18.5;1
196509;14.3;1
196510;16.1;1
196511;6;1
196512;4.6;1
196601;4.1;1
196602;8.7;1
196603;6;1
196604;11.1;1
196605;14.7;1
196606;18.2;1
196607;16.9;1
196608;17.8;1
196609;19.7;1
196610;12.7;1
196611;3.3;1
196612;3;1
196701;3.5;1
196702;6.5;1
196703;7.8;1
196704;9.5;1
196705;13.6;1
196706;16.3;1
196707;22.3;1
196708;19.5;1
196709;15.9;1
196710;14.8;1
196711;9.8;1
196712;2.2;1
196801;2.3;1
196802;4.5;1
196803;6.9;1
196804;11.4;1
196805;12.3;1
196806;16.7;1
196807;19.6;1
196808;15.9;1
196809;13.4;1
196810;15.9;1
196811;8;1
196812;3.1;1
196901;4.6;1
196902;0.9;1
196903;6.1;1
196904;9.5;1
196905;15.6;1
196906;14.9;1
196907;21.4;1
196908;18.8;1
196909;17.1;1
196910;16.2;1
196911;5.6;1
196912;0.3;1
197001;4.9;1
197002;1.8;1
197003;2.4;1
197004;7;1
197005;14.7;1
197006;19.6;1
197007;19.6;1
197008;20.1;1
197009;19.9;1
197010;12.1;1
197011;9.6;1
197012;2.2;1
197101;3.7;1
197102;3.9;1
197103;1.7;1
197104;13;1
197105;15.2;1
197106;16.1;1
197107;22.8;1
197108;20.9;1
197109;17.3;1
197110;15.6;1
197111;4.1;1
197112;6.8;1
197201;2.5;1
197202;5.3;1
197203;8.2;1
197204;7.6;1
197205;12;1
197206;16.7;1
197207;20.2;1
197208;17.8;1
197209;14.3;1
197210;14;1
197211;8.2;1
197212;5.7;1
197301;4.1;1
197302;1.3;1
197303;5.4;1
197304;7.1;1
197305;16.7;1
197306;19.3;1
197307;19.3;1
197308;23;1
197309;19.3;1
197310;12;1
197311;8.6;1
197312;2.9;1
197401;6.4;1
197402;3.6;1
197403;7.8;1
197404;9.9;1
197405;13.8;1
197406;17.7;1
197407;19.8;1
197408;21;1
197409;14.8;1
197410;4.1;1
197411;5.9;1
197412;4.8;1
197501;6.2;1
197502;7.5;1
197503;2.9;1
197504;9.4;1
197505;12.9;1
197506;17.3;1
197507;22.1;1
197508;20.8;1
197509;17.2;1
197510;12.3;1
197511;5.6;1
197512;4.6;1
197601;3.2;1
197602;6.4;1
197603;8.4;1
197604;10.2;1
197605;16.4;1
197606;22.5;1
197607;21.5;1
197608;20.7;1
197609;15.2;1
197610;11.4;1
197611;4.4;1
197612;3.6;1
197701;2.4;1
197702;5.3;1
197703;9.8;1
197704;8.3;1
197705;12.4;1
197706;15.8;1
197707;18.9;1
197708;17.1;1
197709;17.1;1
197710;14.7;1
197711;5.3;1
197712;6.5;1
197801;1.3;1
197802;3.9;1
197803;7.1;1
197804;7.2;1
197805;12.6;1
197806;16.9;1
197807;19.8;1
197808;19.4;1
197809;18;1
197810;13.2;1
197811;8.5;1
197812;4.9;1
197901;1.7;1
197902;3.4;1
197903;5.7;1
197904;7;1
197905;14.5;1
197906;19.1;1
197907;21.6;1
197908;17.4;1
197909;17.9;1
197910;14.2;1
197911;5.6;1
197912;4.4;1
198001;2;1
198002;7.2;1
198003;5.2;1
198004;7.3;1
198005;12.6;1
198006;15.4;1
198007;17.9;1
198008;20.9;1
198009;19.3;1
198010;11.4;1
198011;6.5;1
198012;0.9;1
198101;2;1
198102;2.8;1
198103;8.2;1
198104;12.9;1
198105;13.1;1
198106;18.5;1
198107;19.4;1
198108;20.8;1
198109;17;1
198110;10.8;1
198111;9;1
198112;2.5;1
198201;5.4;1
198202;7;1
198203;5;1
198204;11.4;1
198205;15.7;1
198206;19.4;1
198207;23.6;1
198208;18.9;1
198209;18.9;1
198210;11.7;1
198211;7.9;1
198212;3.9;1
198301;5.7;1
198302;2.7;1
198303;8.4;1
198304;9.1;1
198305;12.3;1
198306;20.2;1
198307;26.9;1
198308;20;1
198309;18.5;1
198310;13.1;1
198311;10.7;1
198312;6.2;1
198401;2.4;1
198402;1.8;1
198403;4.6;1
198404;12.2;1
198405;9.9;1
198406;18.5;1
198407;22.4;1
198408;18.2;1
198409;14.5;1
198410;13.1;1
198411;9.7;1
198412;4;1
198501;-2;1
198502;7.4;1
198503;3.8;1
198504;11.4;1
198505;13.1;1
198506;17.8;1
198507;23.2;1
198508;20.8;1
198509;21.7;1
198510;15.5;1
198511;2.8;1
198512;6.6;1
198601;1.6;1
198602;1.8;1
198603;6.8;1
198604;5.4;1
198605;17.1;1
198606;19.7;1
198607;22;1
198608;20;1
198609;18.9;1
198610;14.1;1
198611;8.4;1
198612;3.9;1
198701;0.6;1
198702;3.2;1
198703;4.8;1
198704;13;1
198705;12.2;1
198706;16.4;1
198707;20.1;1
198708;21.9;1
198709;21;1
198710;13.4;1
198711;6.5;1
198712;7.4;1
198801;5.5;1
198802;3.3;1
198803;4.4;1
198804;12.3;1
198805;14.9;1
198806;18.4;1
198807;21;1
198808;21.7;1
198809;16.4;1
198810;14.5;1
198811;8.4;1
198812;4.1;1
198901;7.2;1
198902;7.4;1
198903;10.9;1
198904;8.2;1
198905;19.1;1
198906;19;1
198907;22.7;1
198908;21.8;1
198909;17.3;1
198910;14.7;1
198911;9.2;1
198912;8.8;1
199001;6.1;1
199002;9.7;1
199003;10.8;1
199004;8.7;1
199005;18.3;1
199006;17.7;1
199007;23;1
199008;22.6;1
199009;17.7;1
199010;13.9;1
199011;5.4;1
199012;0.9;1
199101;4.5;1
199102;3.9;1
199103;10.2;1
199104;9.3;1
199105;12.2;1
199106;16.6;1
199107;22.7;1
199108;24.2;1
199109;19.7;1
199110;10;1
199111;5;1
199112;4.8;1
199201;4.9;1
199202;6.8;1
199203;8;1
199204;11.1;1
199205;18.1;1
199206;15.9;1
199207;21.4;1
199208;22.7;1
199209;17.4;1
199210;8.7;1
199211;10;1
199212;5.5;1
199301;7.2;1
199302;5.3;1
199303;8.8;1
199304;11.1;1
199305;15.9;1
199306;19.4;1
199307;19.8;1
199308;21.3;1
199309;14.9;1
199310;11.2;1
199311;7.5;1
199312;3.6;1
199401;3.8;1
199402;5.1;1
199403;11.6;1
199404;8.1;1
199405;16.1;1
199406;19.3;1
199407;24.7;1
199408;22.6;1
199409;14.9;1
199410;13.6;1
199411;11.5;1
199412;5.3;1
199501;2.6;1
199502;7.3;1
199503;6.8;1
199504;11.8;1
199505;16.2;1
199506;17.5;1
199507;23.2;1
199508;20.8;1
199509;13.7;1
199510;16.9;1
199511;8.6;1
199512;4.7;1
199601;7.5;1
199602;1.4;1
199603;7.3;1
199604;12.2;1
199605;14.2;1
199606;20;1
199607;21;1
199608;19.1;1
199609;15.3;1
199610;11.9;1
199611;6.2;1
199612;5.6;1
199701;5.8;1
199702;8.9;1
199703;13;1
199704;13.2;1
199705;17.4;1
199706;17.1;1
199707;19.8;1
199708;24;1
199709;21.2;1
199710;14.7;1
199711;8.8;1
199712;4.3;1
199801;4.9;1
199802;11.1;1
199803;9.4;1
199804;8.6;1
199805;17.1;1
199806;19.8;1
199807;21.6;1
199808;22.3;1
199809;16.3;1
199810;10.4;1
199811;4.3;1
199812;4.6;1
199901;4.4;1
199902;2.2;1
199903;8.9;1
199904;10.2;1
199905;18;1
199906;17.6;1
199907;22;1
199908;21.3;1
