# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 42218011
# NOM_USUEL= SAINT-ETIENNE
# LATITUDE (°) = 45.435
# LONGITUDE(°)= 4.368
# ALTITUDE (m) = 640
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX042218011
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195812 199612 200612
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.1;1
195102;6.7;1
195103;8.2;1
195104;13.7;1
195105;14.4;1
195106;21;1
195107;23.4;1
195108;22.1;1
195109;20.8;1
195110;12.7;1
195111;10.6;1
195112;7.5;1
195201;3.8;1
195202;3.2;1
195203;12.7;1
195204;15.7;1
195205;19.2;1
195206;25;1
195207;28.3;1
195208;25.1;1
195209;16.2;1
195210;13.7;1
195211;6.8;1
195212;4.8;1
195301;0;1
195302;3.1;1
195303;12.8;1
195304;15;1
195305;19.6;1
195306;18.5;1
195307;23.2;1
195308;24;1
195309;21;1
195310;14.5;1
195311;10.4;1
195312;9;1
195401;1.8;1
195402;3.5;1
195403;11.1;1
195404;10.6;1
195405;16.2;1
195406;21.8;1
195407;21.1;1
195408;21.8;1
195409;20.7;1
195410;16;1
195411;11;1
195412;7;1
195501;6.8;1
195502;6;1
195503;8.6;1
195504;15;1
195505;17.8;1
195506;21.1;1
195507;23.4;1
195508;24.2;1
195509;19.3;1
195510;14.1;1
195511;8.1;1
195512;8.6;1
195601;6.6;1
195602;-4.5;1
195603;9.7;1
195604;11.8;1
195605;18.7;1
195606;18.2;1
195607;22.6;1
195608;21.5;1
195609;21.6;1
195610;13.2;1
195611;5.1;1
195612;5.9;1
195701;5;1
195702;10.2;1
195703;15.8;1
195704;13.8;1
195705;14;1
195706;21;1
195707;23.5;1
195708;22.6;1
195709;20.5;1
195710;16.6;1
195711;6.6;1
195712;4.2;1
195801;5.2;1
195802;8.4;1
195803;7;1
195804;10;1
195805;20.8;1
195806;20.2;1
195807;22.5;1
195808;24.2;1
195809;22.6;1
195810;13;1
195811;5.9;1
195812;5.8;1
195901;5.4;1
195902;9.3;1
195903;12.6;1
195904;14.6;1
195905;18.8;1
195906;21.5;1
195907;26.6;1
195908;22.9;1
195909;21;1
195910;15.9;1
195911;9.2;1
195912;8.1;1
196001;3.8;1
196002;8.8;1
196003;10.8;1
196004;12.5;1
196005;20.4;1
196006;22.2;1
196007;21.4;1
196008;22.5;1
196009;17.8;1
196010;14.1;1
196011;11;1
196012;3;1
196101;4.4;1
196102;11;1
196103;12.9;1
196104;17.2;1
196105;16.9;1
196106;22;1
196107;23.3;1
196108;23.4;1
196109;25.1;1
196110;15.4;1
196111;7.8;1
196112;7;1
196201;6.2;1
196202;3.8;1
196203;6.9;1
196204;13.2;1
196205;16.8;1
196206;21.1;1
196207;23.9;1
196208;26.4;1
196209;20.8;1
196210;14.1;1
196211;6.4;1
196212;2.8;1
196301;-0.9;1
196302;1.1;1
196303;10.1;1
196304;13.3;1
196305;16.6;1
196306;21.1;1
196307;24;1
196308;20.7;1
196309;18.7;1
196310;15;1
196311;12.5;1
196312;2.5;1
196401;1.9;1
196402;6.6;1
196403;7.3;1
196404;14;1
196405;19.6;1
196406;22.7;1
196407;27;1
196408;23;1
196409;21.3;1
196410;11.4;1
196411;7.8;1
196412;4;1
196501;5.4;1
196502;1;1
196503;9.6;1
196504;10.9;1
196505;17.1;1
196506;21.4;1
196507;21.7;1
196508;22.6;1
196509;17.6;1
196510;15.9;1
196511;9.6;1
196512;8.2;1
196601;4.4;1
196602;11.1;1
196603;8.3;1
196604;14.8;1
196605;17.8;1
196606;21.9;1
196607;21;1
196608;21.6;1
196609;22.8;1
196610;16.3;1
196611;5.5;1
196612;6.6;1
196701;4.6;1
196702;7.9;1
196703;10.3;1
196704;12.6;1
196705;17.6;1
196706;19.5;1
196707;26.3;1
196708;23.4;1
196709;18.9;1
196710;18.8;1
196711;10.2;1
196712;1.8;1
196801;4.6;1
196802;6.8;1
196803;10;1
196804;14.8;1
196805;15.2;1
196806;20.4;1
196807;23.2;1
196808;20.2;1
196809;18.9;1
196810;17.8;1
196811;8.4;1
196812;3.6;1
196901;6.1;1
196902;4.4;1
196903;8.4;1
196904;12.8;1
196905;18.2;1
196906;17.8;1
196907;23.6;1
196908;22.3;1
196909;19.8;1
196910;16.1;1
196911;10.1;1
196912;0.4;1
197001;6.3;1
197002;5.9;1
197003;5.9;1
197004;10.8;1
197005;16.9;1
197006;22.2;1
197007;23.3;1
197008;24;1
197009;22.7;1
197010;13.6;1
197011;12.5;1
197012;2.2;1
197101;4.9;1
197102;4.6;1
197103;4.1;1
197104;15.6;1
197105;17.9;1
197106;19.5;1
197107;25.6;1
197108;25.1;1
197109;20.6;1
197110;17.1;1
197111;5.9;1
197112;6;1
197201;5.3;1
197202;8;1
197203;12;1
197204;10.5;1
197205;15.6;1
197206;19;1
197207;22.2;1
197208;22;1
197209;16.6;1
197210;14.5;1
197211;11.1;1
