# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 81124001
# NOM_USUEL= LACAUNE
# LATITUDE (°) = 43.708
# LONGITUDE(°)= 2.704
# ALTITUDE (m) = 811
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX181124001
# Amplitude minimale détectable de la série = 0.26
# Période homogénéisée : 196101 202312
# Date(s) de rupture(s) d'homogénéité : 199012 199512 201012
#     Periode homogénéisée  196101 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;5.2;1
196102;11.1;1
196103;14.9;1
196104;13.3;1
196105;17;1
196106;18.8;1
196107;18.5;1
196108;19.5;1
196109;23;1
196110;14.7;1
196111;9.3;1
196112;5.6;1
196201;5.7;1
196202;4.9;1
196203;6.3;1
196204;10.5;1
196205;12.7;1
196206;19.7;1
196207;21;1
196208;25.6;1
196209;20.5;1
196210;15.6;1
196211;5.6;1
196212;3.9;1
196301;2.7;1
196302;0.7;1
196303;7.6;1
196304;10.3;1
196305;14.4;1
196306;18.7;1
196307;24;1
196308;19.3;1
196309;16.8;1
196310;15.9;1
196311;12.2;1
196312;5.1;1
196401;6;1
196402;6.4;1
196403;9.6;1
196404;11.1;1
196405;18;1
196406;20.5;1
196407;24.5;1
196408;22.1;1
196409;19.5;1
196410;12.7;1
196411;9.4;1
196412;4.4;1
196501;3.1;1
196502;1.7;1
196503;8.5;1
196504;8.4;1
196505;15.7;1
196506;19.9;1
196507;20.5;1
196508;20.8;1
196509;15.3;1
196510;14.5;1
196511;8;1
196512;6.3;1
196601;5.7;1
196602;9.4;1
196603;7.2;1
196604;12;1
196605;15.4;1
196606;18.8;1
196607;17.6;1
196608;20.6;1
196609;21.6;1
196610;13.1;1
196611;5.8;1
196612;5.5;1
196701;4.2;1
196702;7;1
196703;8.3;1
196704;10.5;1
196705;13.7;1
196706;18;1
196707;24.4;1
196708;22.4;1
196709;17.6;1
196710;17.1;1
196711;10.3;1
196712;1.4;1
196801;4.2;1
196802;5.7;1
196803;7.7;1
196804;12.3;1
196805;13.4;1
196806;19;1
196807;21.2;1
196808;20.1;1
196809;19.5;1
196810;19.5;1
196811;10.7;1
196812;5.4;1
196901;6.7;1
196902;3.3;1
196903;8.8;1
196904;10;1
196905;15.9;1
196906;16.8;1
196907;22.4;1
196908;21;1
196909;18.1;1
196910;16.4;1
196911;9.2;1
196912;2.9;1
197001;6.9;1
197002;4.6;1
197003;5.1;1
197004;8.9;1
197005;15.2;1
197006;20;1
197007;21.1;1
197008;21.1;1
197009;22.4;1
197010;15.1;1
197011;12.2;1
197012;4.1;1
197101;5.4;1
197102;3.8;1
197103;3.5;1
197104;13.9;1
197105;14.9;1
197106;17.7;1
197107;22.6;1
197108;22.9;1
197109;20.7;1
197110;16.6;1
197111;5.5;1
197112;7.6;1
197201;4.4;1
197202;6.3;1
197203;9.4;1
197204;8.4;1
197205;13.8;1
197206;18.2;1
197207;21.6;1
197208;19.2;1
197209;16;1
197210;14.5;1
197211;10.8;1
197212;7.7;1
197301;5.5;1
197302;4.4;1
197303;8.3;1
197304;10.5;1
197305;17.9;1
197306;19;1
197307;21.6;1
197308;24.2;1
197309;20.6;1
197310;14.9;1
197311;10.8;1
197312;5.2;1
197401;8.6;1
197402;4.8;1
197403;8.2;1
197404;10.1;1
197405;15.6;1
197406;19.1;1
197407;21;1
197408;21.5;1
197409;17.1;1
197410;6.9;1
197411;8.9;1
197412;7.4;1
197501;7.9;1
197502;7.7;1
197503;4.8;1
197504;10.7;1
197505;13.9;1
197506;18.5;1
197507;24;1
197508;23.1;1
197509;18.2;1
197510;13.9;1
197511;8.7;1
197512;5.2;1
197601;4.8;1
197602;6.8;1
197603;10.4;1
197604;10.1;1
197605;15.9;1
197606;23.9;1
197607;22.6;1
197608;22.5;1
197609;17.2;1
197610;12.3;1
197611;6.1;1
197612;6.3;1
197701;4.5;1
197702;7.8;1
197703;11.4;1
197704;10.8;1
197705;12.7;1
197706;16.7;1
197707;19.9;1
197708;18.6;1
197709;19.3;1
197710;15.6;1
197711;8.5;1
197712;7.1;1
197801;3.2;1
197802;5.2;1
197803;7.5;1
197804;8.5;1
197805;13.7;1
197806;18.2;1
197807;21;1
197808;23;1
197809;20.9;1
197810;13.2;1
197811;9.4;1
197812;6.8;1
197901;3.5;1
197902;4.6;1
197903;7.4;1
197904;7.5;1
