# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 69264001
# NOM_USUEL= VILLEFRANCHE
# LATITUDE (°) = 45.987
# LONGITUDE(°)= 4.738
# ALTITUDE (m) = 174
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX269264001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 198912 199612 201103
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;7.2;1
195902;9.6;1
195903;15.6;1
195904;17.6;1
195905;21.8;1
195906;25.6;1
195907;30.4;1
195908;27.4;1
195909;25.4;1
195910;18.9;1
195911;11.2;1
195912;9.6;1
196001;6.4;1
196002;10.7;1
196003;14.3;1
196004;16.7;1
196005;23.9;1
196006;26.7;1
196007;24.4;1
196008;25.4;1
196009;20.7;1
196010;17.1;1
196011;12.6;1
196012;5.6;1
196101;7;1
196102;13.6;1
196103;16;1
196104;20;1
196105;20;1
196106;25.6;1
196107;26.5;1
196108;26.4;1
196109;27.9;1
196110;17.9;1
196111;9.5;1
196112;8.2;1
196201;8.6;1
196202;7.3;1
196203;9.8;1
196204;16;1
196205;19.3;1
196206;24.1;1
196207;26.9;1
196208;29;1
196209;23.3;1
196210;17;1
196211;8.5;1
196212;3.1;1
196301;1;1
196302;3.3;1
196303;12.6;1
196304;16.5;1
196305;20.3;1
196306;23.4;1
196307;27.2;1
196308;24;1
196309;22.3;1
196310;17.4;1
196311;14.5;1
196312;2.3;1
196401;2.2;1
196402;10.4;1
196403;10.2;1
196404;17.3;1
196405;22.8;1
196406;26.1;1
196407;29.9;1
196408;26.4;1
196409;24.3;1
196410;14.8;1
196411;10.2;1
196412;5.9;1
196501;7.5;1
196502;5.4;1
196503;12.8;1
196504;14.7;1
196505;20.4;1
196506;24.9;1
196507;24.5;1
196508;25.2;1
196509;20.5;1
196510;18.3;1
196511;11;1
196512;9.4;1
196601;5.9;1
196602;12.5;1
196603;12.1;1
196604;18.2;1
196605;21.3;1
196606;25.1;1
196607;24.5;1
196608;25.1;1
196609;25;1
196610;19;1
196611;7.3;1
196612;7.9;1
196701;6.9;1
196702;10.5;1
196703;13.6;1
196704;16.1;1
196705;20.8;1
196706;24;1
196707;29.5;1
196708;26.5;1
196709;22.2;1
196710;20.8;1
196711;11.1;1
196712;4.4;1
196801;5.8;1
196802;9.4;1
196803;13.7;1
196804;18.1;1
196805;19;1
196806;24.1;1
196807;26.7;1
196808;23.5;1
196809;21.3;1
196810;19.2;1
196811;9.7;1
196812;5.6;1
196901;8.5;1
196902;6.7;1
196903;11.8;1
196904;16;1
196905;21.4;1
196906;21.7;1
196907;27.5;1
196908;25.5;1
196909;23.5;1
196910;18.3;1
196911;12.4;1
196912;2.5;1
197001;8.3;1
