# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 80682001
# NOM_USUEL= ROUVROY-EN-SANTERRE
# LATITUDE (°) = 49.765
# LONGITUDE(°)= 2.698
# ALTITUDE (m) = 95
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX080682001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196201 202212
# Date(s) de rupture(s) d'homogénéité : 196312 197712 200712
#     Periode homogénéisée  196201 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;6.7;1
196202;6.5;1
196203;6.6;1
196204;13.1;1
196205;15.8;1
196206;20.8;1
196207;21.4;1
196208;21.6;1
196209;18.6;1
196210;15.5;1
196211;6.8;1
196212;2.8;1
196301;-2.4;1
196302;0.3;1
196303;10;1
196304;12.4;1
196305;15.3;1
196306;18.8;1
196307;21.8;1
196308;19.6;1
196309;18.3;1
196310;13.7;1
196311;11.5;1
196312;1.9;1
196401;2.7;1
196402;7.7;1
196403;7;1
196404;13.4;1
196405;20.3;1
196406;20.7;1
196407;23.8;1
196408;23.2;1
196409;21.7;1
196410;13.1;1
196411;9;1
196412;4.1;1
196501;5;1
196502;3.6;1
196503;9.9;1
196504;12.6;1
196505;16.6;1
196506;20.1;1
196507;18.8;1
196508;21.4;1
196509;17.7;1
196510;15.4;1
196511;7.2;1
196512;7.5;1
196601;3.2;1
196602;9.8;1
196603;9.8;1
196604;14;1
196605;17.1;1
196606;21.6;1
196607;19.9;1
196608;21.3;1
196609;20.3;1
196610;14.7;1
196611;6.9;1
196612;7.2;1
196701;5.3;1
196702;8.2;1
196703;10.8;1
196704;12.6;1
196705;16.9;1
196706;19.9;1
196707;24.8;1
196708;21.8;1
196709;18.9;1
196710;15.5;1
196711;7.8;1
196712;4.8;1
196801;4.6;1
196802;4.3;1
196803;10.3;1
196804;14.7;1
196805;14.9;1
196806;19.6;1
196807;21.2;1
196808;21;1
196809;18.7;1
196810;15.7;1
196811;7.2;1
196812;2.4;1
196901;6.9;1
196902;3.7;1
196903;9.1;1
196904;13.2;1
196905;18;1
196906;20;1
196907;23.4;1
196908;22.3;1
196909;20;1
196910;17.9;1
196911;9.6;1
196912;1.9;1
197001;5.5;1
197002;6.5;1
197003;6.6;1
197004;10.4;1
197005;17.8;1
197006;23.1;1
197007;21.1;1
197008;22.8;1
197009;20.9;1
197010;14.9;1
197011;10.8;1
197012;4.3;1
197101;5.4;1
197102;6.5;1
197103;7;1
197104;14.6;1
197105;19.8;1
197106;18.2;1
197107;24.3;1
197108;21.9;1
197109;20.4;1
197110;16.5;1
197111;8.5;1
197112;6.4;1
197201;4;1
197202;7.1;1
197203;12.5;1
197204;11.8;1
197205;15.9;1
197206;18;1
197207;22.1;1
197208;21.4;1
197209;17.2;1
197210;14.6;1
197211;8.5;1
197212;6.1;1
197301;4.6;1
197302;5.5;1
197303;10.8;1
197304;11.4;1
197305;17;1
197306;21.7;1
197307;21.7;1
197308;25.9;1
197309;21.2;1
197310;13.7;1
197311;8.4;1
197312;5.7;1
197401;8.6;1
197402;7.3;1
197403;9.4;1
197404;14.8;1
197405;16.9;1
