# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 39097003
# NOM_USUEL= CHAMPAGNOLE
# LATITUDE (°) = 46.757
# LONGITUDE(°)= 5.886
# ALTITUDE (m) = 537
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX039097003
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196001 202312
# Date(s) de rupture(s) d'homogénéité : 197211 199508 201512
#     Periode homogénéisée  196001 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;4.2;1
196002;7.2;1
196003;10.9;1
196004;12.8;1
196005;20.3;1
196006;22.1;1
196007;19.8;1
196008;21;1
196009;16.8;1
196010;13.5;1
196011;9.8;1
196012;3;1
196101;4.2;1
196102;10.5;1
196103;12.3;1
196104;15.9;1
196105;16.1;1
196106;21.1;1
196107;21.4;1
196108;21.9;1
196109;23.6;1
196110;15.4;1
196111;8.5;1
196112;6.9;1
196201;5.7;1
196202;4.7;1
196203;5.5;1
196204;12.7;1
196205;15.4;1
196206;20.8;1
196207;22.5;1
196208;24.3;1
196209;19.3;1
196210;15.9;1
196211;7.2;1
196212;2.3;1
196301;0.6;1
196302;2.4;1
196303;9;1
196304;13.3;1
196305;16;1
196306;19.3;1
196307;23.7;1
196308;19.7;1
196309;19.2;1
196310;14.9;1
196311;12;1
196312;4.8;1
196401;3.6;1
196402;7.4;1
196403;6.9;1
196404;13.6;1
196405;19.2;1
196406;22.6;1
196407;27.2;1
196408;23.3;1
196409;21.2;1
196410;11.6;1
196411;8;1
196412;4.8;1
196501;4.6;1
196502;2.8;1
196503;9.3;1
196504;10.5;1
196505;16;1
196506;20.7;1
196507;19.8;1
196508;20.8;1
196509;16.9;1
196510;17.1;1
196511;8.5;1
196512;6.6;1
196601;4.1;1
196602;9.6;1
196603;7.5;1
196604;14;1
196605;17.5;1
196606;21.8;1
196607;19.9;1
196608;20.1;1
196609;20.4;1
196610;16.2;1
196611;5.9;1
196612;4.8;1
196701;4.1;1
196702;8;1
196703;9.5;1
196704;12.2;1
196705;17;1
196706;19.7;1
