# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 25320001
# NOM_USUEL= LABERGEMENT
# LATITUDE (°) = 46.78
# LONGITUDE(°)= 6.28
# ALTITUDE (m) = 863
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX025320001
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195501 202312
# Date(s) de rupture(s) d'homogénéité : 197603 198410 199312
#     Periode homogénéisée  195501 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;4.1;1
195502;2.5;1
195503;5.4;1
195504;12.6;1
195505;14.6;1
195506;18.7;1
195507;21.4;1
195508;20.2;1
195509;16.9;1
195510;11.8;1
195511;6;1
195512;5.7;1
195601;3.7;1
195602;-3.8;1
195603;7.5;1
195604;9;1
195605;16.9;1
195606;15.6;1
195607;19.4;1
195608;18.3;1
195609;19.5;1
195610;11;1
195611;3.8;1
195612;4.7;1
195701;1.7;1
195702;5.6;1
195703;12.6;1
195704;12.1;1
195705;12.7;1
195706;19.6;1
195707;21.2;1
195708;18.9;1
195709;16.1;1
195710;14.6;1
195711;7.7;1
195712;3.4;1
195801;2.9;1
195802;5.6;1
195803;5.1;1
195804;8;1
195805;18.5;1
195806;18.6;1
195807;21.4;1
195808;21.6;1
195809;20.2;1
195810;12;1
195811;6.3;1
195812;5.4;1
195901;2.8;1
195902;8.3;1
195903;10.2;1
195904;11.8;1
195905;16.9;1
195906;19.8;1
195907;24.2;1
195908;21.1;1
195909;20.7;1
195910;13.6;1
195911;6.5;1
195912;4.1;1
196001;2.8;1
196002;6.2;1
196003;8.8;1
196004;11.1;1
196005;18.4;1
196006;20.8;1
196007;18;1
196008;19.7;1
196009;15.9;1
196010;11.8;1
196011;8.1;1
196012;1.2;1
196101;3.2;1
196102;8;1
196103;10.5;1
196104;14;1
196105;14.3;1
196106;20;1
196107;20;1
196108;20.7;1
196109;22.2;1
196110;13.9;1
196111;7.6;1
196112;5.4;1
196201;3.9;1
196202;2.7;1
196203;3;1
196204;11.2;1
196205;13.5;1
196206;19.2;1
196207;20.3;1
196208;22.9;1
196209;17.9;1
196210;15.3;1
196211;5.7;1
196212;0.1;1
196301;-1.7;1
196302;1;1
196303;6.5;1
196304;11.8;1
196305;14.2;1
196306;18.3;1
196307;22.9;1
196308;18.6;1
196309;17.9;1
196310;14.3;1
196311;9.9;1
196312;2.4;1
196401;1.4;1
196402;5.6;1
196403;5;1
196404;12.2;1
196405;18.5;1
196406;21.1;1
196407;24.2;1
196408;20.9;1
196409;19.6;1
196410;10.2;1
196411;8.1;1
196412;1.7;1
196501;2.7;1
196502;1;1
196503;7.3;1
196504;8.9;1
196505;14.6;1
196506;20;1
196507;19.3;1
196508;18.8;1
196509;15.1;1
196510;16.2;1
196511;6.5;1
196512;3.9;1
196601;1.4;1
196602;7.6;1
196603;5.4;1
196604;11.9;1
196605;16.5;1
196606;20.5;1
196607;18.6;1
196608;19.4;1
196609;20.1;1
196610;14.6;1
196611;4.6;1
196612;2.2;1
196701;2.1;1
196702;6;1
196703;7.7;1
196704;10.5;1
196705;15.7;1
196706;18.3;1
196707;24.2;1
196708;21.5;1
196709;17.2;1
196710;16.4;1
196711;8.8;1
196712;0.6;1
196801;1.1;1
196802;4.8;1
196803;7.5;1
196804;13.2;1
196805;14.3;1
196806;18.9;1
196807;21.2;1
196808;18.4;1
196809;16.7;1
196810;16.4;1
196811;7.2;1
196812;2.3;1
196901;2.9;1
196902;2;1
196903;6.7;1
196904;10.4;1
196905;17.4;1
196906;16.6;1
196907;22.4;1
196908;19.8;1
196909;19;1
196910;17;1
196911;7.3;1
196912;-1.6;1
197001;2.9;1
197002;1.6;1
197003;3.9;1
197004;7.9;1
197005;14.3;1
197006;20.2;1
197007;19.8;1
197008;20.8;1
197009;19.7;1
197010;13.1;1
197011;9.2;1
197012;1.6;1
197101;2.3;1
197102;4.9;1
197103;3.2;1
197104;15.1;1
197105;17.1;1
197106;16.6;1
197107;24.3;1
197108;22.4;1
197109;18;1
197110;15.5;1
197111;5.2;1
197112;2.3;1
197201;3.7;1
197202;6.9;1
197203;9.5;1
197204;9;1
197205;13.2;1
197206;17.5;1
197207;20.1;1
197208;19.5;1
197209;15.5;1
197210;14.2;1
197211;8.8;1
197212;2.1;1
197301;2.4;1
197302;2.5;1
197303;6.1;1
197304;7.4;1
197305;17.2;1
197306;19.9;1
197307;20.2;1
197308;22.6;1
197309;19.4;1
197310;12.5;1
197311;8.2;1
197312;3.2;1
197401;5.4;1
197402;5.2;1
197403;9.2;1
197404;11.8;1
197405;14;1
197406;17.8;1
197407;19.8;1
197408;21.5;1
197409;16.5;1
197410;4.7;1
197411;6.8;1
197412;4.9;1
197501;6.5;1
197502;7.8;1
197503;4.4;1
197504;10.6;1
197505;14.5;1
197506;17.6;1
197507;22.3;1
197508;21.3;1
197509;19.1;1
197510;12.5;1
197511;6.6;1
197512;2.9;1
197601;2.9;1
197602;5.5;1
197603;7.6;1
197604;12.6;1
197605;17.7;1
197606;23.9;1
197607;23.4;1
197608;20.7;1
197609;16.9;1
197610;14.2;1
197611;5.5;1
197612;2.3;1
197701;3.6;1
197702;6.4;1
197703;10.8;1
197704;9;1
197705;15.6;1
197706;18.8;1
197707;21;1
197708;20.1;1
197709;17.6;1
197710;16.1;1
197711;6.7;1
197712;4.4;1
197801;2.2;1
197802;4.6;1
197803;7.6;1
197804;9.4;1
197805;12.9;1
197806;17.5;1
197807;19.1;1
197808;19.2;1
197809;17.4;1
197810;13.9;1
197811;9.6;1
197812;5.4;1
197901;-0.4;1
197902;4.1;1
197903;6.3;1
197904;8.2;1
197905;15.2;1
197906;19.6;1
197907;21.4;1
197908;18.9;1
197909;18.3;1
197910;15.2;1
197911;6.1;1
197912;5.2;1
198001;0.7;1
198002;7.2;1
198003;6.6;1
198004;7.9;1
198005;13.4;1
198006;16;1
198007;18.3;1
198008;21;1
198009;20.1;1
198010;12.2;1
198011;6.9;1
198012;0;1
198101;0.1;1
198102;1.5;1
198103;8.8;1
198104;12.7;1
198105;14.3;1
198106;18.6;1
198107;19.2;1
198108;22.1;1
198109;18;1
198110;11.9;1
198111;8.4;1
198112;2.8;1
198201;5.7;1
198202;6;1
198203;5.5;1
198204;11;1
198205;16.4;1
198206;19.7;1
198207;23.5;1
198208;19.9;1
198209;20.3;1
198210;12.5;1
198211;9.1;1
198212;4.2;1
198301;4.2;1
198302;1.3;1
198303;7.8;1
198304;10.6;1
198305;12.1;1
198306;20.4;1
198307;27.6;1
198308;22;1
198309;19.1;1
198310;13.9;1
198311;9.5;1
198312;4.9;1
198401;2.8;1
198402;1.8;1
198403;5.1;1
198404;10.8;1
198405;11.4;1
198406;18.4;1
198407;22;1
198408;20.3;1
198409;15.1;1
198410;14;1
198411;10.9;1
198412;5.2;1
198501;-3.1;1
198502;4.8;1
198503;5.2;1
198504;11.5;1
198505;14.9;1
198506;17.7;1
198507;23.2;1
198508;21.5;1
198509;21.4;1
198510;16.8;1
198511;3.2;1
198512;5.5;1
198601;1.7;1
198602;-0.6;1
198603;7.4;1
198604;7.1;1
198605;18;1
198606;20.2;1
198607;22.5;1
198608;21.5;1
198609;19.2;1
198610;16.3;1
198611;9.7;1
198612;4.1;1
198701;-2;1
198702;2.5;1
198703;3.6;1
198704;12.9;1
198705;12.4;1
198706;16.7;1
198707;21.2;1
198708;21.7;1
198709;21.6;1
198710;14.9;1
198711;7.4;1
198712;6.1;1
198801;5.7;1
198802;3.5;1
198803;4.7;1
198804;13.1;1
198805;17;1
198806;19;1
198807;21.8;1
198808;22.3;1
198809;18.3;1
198810;15.5;1
198811;7.1;1
198812;3.1;1
198901;5.8;1
198902;7.6;1
198903;11.5;1
198904;8.8;1
198905;19.3;1
198906;19.7;1
198907;23.2;1
198908;22.4;1
198909;18.4;1
198910;16;1
198911;9.6;1
198912;8.8;1
199001;6.6;1
199002;10.5;1
199003;11.2;1
199004;10.1;1
199005;19.2;1
199006;18;1
199007;22.7;1
199008;23;1
199009;17.6;1
199010;15.2;1
199011;5.4;1
199012;1.3;1
199101;3.6;1
199102;4.3;1
199103;10.7;1
199104;10.8;1
199105;13.5;1
199106;17.7;1
199107;23.8;1
