# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 33063001
# NOM_USUEL= BORDEAUX-PAULIN
# LATITUDE (°) = 44.85
# LONGITUDE(°)= -0.589
# ALTITUDE (m) = 10
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN133063001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196012 197409 197612 201412 201803
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-1.2;1
195302;0.4;1
195303;3.9;1
195304;8.3;1
195305;12.4;1
195306;13.3;1
195307;14.8;1
195308;15.9;1
195309;13.5;1
195310;10;1
195311;5.2;1
195312;9.1;1
195401;3.2;1
195402;2.5;1
195403;6.4;1
195404;6.3;1
195405;10.5;1
195406;13.1;1
195407;14.2;1
195408;14.7;1
195409;14.3;1
195410;10.7;1
195411;6.7;1
195412;6;1
195501;6.3;1
195502;4.5;1
195503;3.5;1
195504;7.4;1
195505;9.6;1
195506;14.4;1
195507;16.2;1
195508;15.2;1
195509;13.4;1
195510;7.6;1
195511;5.4;1
195512;7.1;1
195601;4.1;1
195602;-5.3;1
195603;6;1
195604;7;1
195605;11.8;1
195606;12;1
195607;14.3;1
195608;14.4;1
195609;14.6;1
195610;9;1
195611;3.6;1
195612;5.4;1
195701;1.7;1
195702;6.6;1
195703;9.1;1
195704;8;1
195705;9.6;1
195706;14.1;1
195707;16.3;1
195708;15.2;1
195709;13.3;1
195710;9.3;1
195711;4.9;1
195712;3.2;1
195801;4.6;1
195802;6.3;1
195803;6;1
195804;7.7;1
195805;11.4;1
195806;14.2;1
195807;15.6;1
195808;15.9;1
195809;16.3;1
195810;9.2;1
195811;5.3;1
195812;4.3;1
195901;2.8;1
195902;2.5;1
195903;7.4;1
195904;8.4;1
195905;10.8;1
195906;16;1
195907;17;1
195908;17.4;1
195909;16.3;1
195910;10.9;1
195911;6.8;1
195912;6.3;1
196001;3.5;1
196002;3.7;1
196003;8.1;1
196004;7.8;1
196005;12.4;1
196006;15.7;1
196007;15;1
196008;16;1
196009;13.4;1
196010;10.7;1
196011;8.9;1
196012;3.6;1
196101;3.8;1
196102;6.9;1
196103;5.2;1
196104;10.2;1
196105;10.8;1
196106;14.6;1
196107;15.5;1
196108;15.2;1
196109;17.1;1
196110;11.7;1
196111;6.3;1
196112;5.5;1
196201;5.1;1
196202;2.9;1
196203;3.8;1
196204;7.8;1
196205;10;1
196206;13;1
196207;15.2;1
196208;15.9;1
196209;13.4;1
196210;9.9;1
196211;4.4;1
196212;0.8;1
196301;-0.1;1
196302;0;1
196303;6.7;1
196304;8.3;1
196305;10.1;1
196306;14;1
196307;16.1;1
196308;15.8;1
196309;14.2;1
196310;10.5;1
196311;8.9;1
196312;2.1;1
196401;0;1
196402;5.3;1
196403;6.2;1
196404;8.6;1
196405;12.3;1
196406;14.2;1
196407;16.1;1
196408;16.4;1
196409;16.1;1
196410;8.7;1
196411;5.9;1
196412;2.8;1
196501;3.5;1
196502;1.1;1
196503;6.6;1
196504;8.6;1
196505;10.8;1
196506;13.3;1
196507;14.8;1
196508;15.5;1
196509;12.8;1
196510;12.5;1
196511;7.4;1
196512;7.1;1
196601;4.5;1
196602;8.4;1
196603;4.6;1
196604;9.7;1
196605;10.8;1
196606;13.9;1
196607;14.8;1
196608;15.5;1
196609;14.4;1
196610;11.8;1
196611;4.6;1
196612;6.4;1
196701;2.7;1
196702;4.8;1
196703;6.5;1
196704;6.9;1
196705;10.6;1
196706;13;1
196707;15.9;1
196708;14.5;1
196709;12.9;1
196710;11.9;1
196711;7.6;1
196712;2.5;1
196801;4.1;1
196802;4.5;1
196803;4.9;1
196804;7.8;1
196805;9.6;1
196806;12.8;1
196807;15.4;1
196808;15.4;1
196809;13.4;1
196810;12.3;1
196811;7.7;1
196812;5.2;1
196901;5.5;1
196902;1.4;1
196903;6.4;1
196904;7.7;1
196905;11.7;1
196906;13;1
196907;16.6;1
196908;16.1;1
196909;14;1
196910;11.7;1
196911;6.3;1
196912;3.3;1
197001;4.1;1
197002;5.6;1
197003;2.9;1
197004;5.3;1
197005;10.2;1
197006;15.3;1
197007;15;1
197008;15.4;1
197009;13.7;1
197010;8;1
197011;8;1
197012;0.9;1
197101;3.5;1
197102;1.9;1
197103;1.4;1
197104;8.1;1
197105;11.4;1
197106;12.9;1
197107;17.5;1
197108;15.1;1
197109;13.6;1
197110;10.4;1
197111;4.1;1
197112;3.8;1
197201;3.3;1
197202;5.2;1
197203;6.3;1
197204;7.3;1
197205;9.4;1
197206;11.3;1
197207;15.5;1
197208;14;1
197209;11.2;1
197210;9.7;1
197211;7.1;1
197212;3.5;1
197301;2.7;1
197302;2.7;1
197303;3.7;1
197304;6.4;1
197305;12.5;1
197306;14.4;1
197307;16;1
197308;18.4;1
197309;14.8;1
197310;8.5;1
197311;5.1;1
197312;3.9;1
197401;5.6;1
197402;5.1;1
197403;6.4;1
197404;7.8;1
197405;10.5;1
197406;14.1;1
197407;15.6;1
197408;16.2;1
197409;12.6;1
197410;5.7;1
197411;7.5;1
197412;5.6;1
197501;5.6;1
197502;3.9;1
197503;4.7;1
197504;6.7;1
197505;10.1;1
197506;13.5;1
197507;15.7;1
197508;17.6;1
197509;13.3;1
197510;9.4;1
197511;6.2;1
197512;1.8;1
197601;2.5;1
197602;4.4;1
197603;4.2;1
197604;7.2;1
197605;10.5;1
197606;15.7;1
197607;17.1;1
197608;16.2;1
197609;13.4;1
197610;11.1;1
197611;4.9;1
197612;4.7;1
197701;3.6;1
197702;7.2;1
197703;7.5;1
197704;7.5;1
197705;10.7;1
197706;13.7;1
197707;15.8;1
197708;14.5;1
197709;12.1;1
197710;12.4;1
197711;5.6;1
197712;5.2;1
197801;3.3;1
197802;5;1
197803;6.8;1
197804;6.8;1
197805;10.7;1
197806;13.4;1
197807;14.5;1
197808;14.7;1
197809;12.7;1
197810;9.6;1
197811;5.1;1
197812;5.9;1
197901;2.8;1
197902;4.5;1
197903;6.1;1
197904;7.2;1
197905;10.2;1
197906;13.8;1
197907;15.8;1
197908;14.1;1
197909;12.3;1
197910;11.7;1
197911;5.1;1
197912;4.7;1
198001;2.1;1
198002;6.4;1
198003;5;1
198004;6.9;1
198005;10.4;1
198006;13;1
198007;14.2;1
198008;15.8;1
198009;13.9;1
198010;10.8;1
198011;5.4;1
198012;2.9;1
198101;4.2;1
198102;1.9;1
198103;8.4;1
198104;7.8;1
198105;10.8;1
198106;13.4;1
198107;15;1
198108;16.9;1
198109;13.8;1
198110;10.9;1
198111;5.6;1
198112;5.6;1
198201;6.8;1
198202;4.7;1
198203;5.5;1
198204;7.6;1
198205;11.1;1
198206;16.1;1
198207;17.8;1
198208;15.4;1
198209;13.7;1
198210;10.5;1
198211;7.9;1
