# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 5007001
# NOM_USUEL= ARVIEUX LA CHALP
# LATITUDE (°) = 44.781
# LONGITUDE(°)= 6.737
# ALTITUDE (m) = 1690
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN205007001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 202312
# Date(s) de rupture(s) d'homogénéité : 197010 197612 198612 201512
#     Periode homogénéisée  195101 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-8.5;1
195102;-9;1
195103;-7.9;1
195104;-3.8;1
195105;-0.4;1
195106;3.4;1
195107;4.9;1
195108;3.9;1
195109;4.1;1
195110;-0.9;1
195111;-4.2;1
195112;-6.3;1
195201;-11.1;1
195202;-10.6;1
195203;-3.8;1
195204;-0.6;1
195205;1.2;1
195206;4.4;1
195207;6.9;1
195208;5;1
195209;-0.1;1
195210;-1.1;1
195211;-6.9;1
195212;-7.7;1
195301;-11.4;1
195302;-11.3;1
195303;-6.5;1
195304;-1.6;1
195305;1.1;1
195306;2.8;1
195307;5.1;1
195308;5.1;1
195309;4;1
195310;1.4;1
195311;-2.9;1
195312;-3.9;1
195401;-8.9;1
195402;-9.1;1
195403;-6.3;1
195404;-2.1;1
195405;0.1;1
195406;4;1
195407;3.8;1
195408;3.3;1
195409;2.8;1
195410;-0.6;1
195411;-3.4;1
195412;-6.6;1
195501;-6.1;1
195502;-9.7;1
195503;-8.1;1
195504;-3.2;1
195505;0.3;1
195506;3.8;1
195507;5;1
195508;4.1;1
195509;1.9;1
195510;-1.8;1
195511;-4;1
195512;-5.3;1
195601;-7.6;1
195602;-15.9;1
195603;-6.1;1
195604;-4;1
195605;1.3;1
195606;1.5;1
195607;4.7;1
195608;4.5;1
195609;3.6;1
195610;-1.9;1
195611;-5.6;1
195612;-7.3;1
195701;-8.7;1
195702;-6.4;1
195703;-3.4;1
195704;-2.2;1
195705;-0.5;1
195706;4;1
195707;5.2;1
195708;4.5;1
195709;1.9;1
195710;-0.4;1
195711;-2.6;1
195712;-7.4;1
195801;-9.7;1
195802;-6.1;1
195803;-7.3;1
195804;-4.9;1
195805;3;1
195806;3.6;1
195807;5.4;1
195808;6;1
195809;4;1
195810;-0.8;1
195811;-2.5;1
195812;-7;1
195901;-10.1;1
195902;-7.2;1
195903;-3;1
195904;-2.2;1
195905;0.9;1
195906;4.1;1
195907;6.2;1
195908;5.1;1
195909;4.5;1
195910;-1.6;1
195911;-5.6;1
195912;-7.9;1
196001;-8.7;1
196002;-8.8;1
196003;-5.4;1
196004;-3;1
196005;1.5;1
196006;5.1;1
196007;4.2;1
196008;4.2;1
196009;1.8;1
196010;-2.2;1
196011;-5;1
196012;-9.7;1
196101;-9.9;1
196102;-5.9;1
196103;-4.8;1
196104;-0.2;1
196105;-0.1;1
196106;4;1
196107;3.9;1
196108;4.5;1
196109;4.6;1
196110;0.6;1
196111;-4.3;1
196112;-5;1
196201;-7.4;1
196202;-8.8;1
196203;-8.9;1
196204;-3.8;1
196205;0.2;1
196206;3.8;1
196207;4.3;1
196208;5.9;1
196209;3.3;1
196210;0.3;1
196211;-5.7;1
196212;-10.4;1
196301;-13.2;1
196302;-13;1
196303;-6.3;1
196304;-2.1;1
196305;0.9;1
196306;4.1;1
196307;5.8;1
196308;3.9;1
196309;3.6;1
196310;-0.5;1
196311;-1.9;1
196312;-8.4;1
196401;-7.6;1
196402;-5.5;1
196403;-4.4;1
196404;-1.2;1
196405;2.6;1
196406;5;1
196407;6;1
196408;5.3;1
196409;3.6;1
196410;-1.6;1
196411;-2.2;1
196412;-7.5;1
196501;-8.6;1
196502;-11.7;1
196503;-6.9;1
196504;-3.4;1
196505;0.8;1
196506;3.9;1
196507;4.5;1
196508;4.1;1
196509;1.6;1
196510;0.2;1
196511;-5.2;1
196512;-8.1;1
196601;-9.4;1
196602;-5;1
196603;-7.2;1
196604;-0.9;1
196605;1.6;1
196606;4;1
196607;4;1
196608;4.4;1
196609;4;1
196610;2.1;1
196611;-7.5;1
196612;-7.8;1
196701;-9.2;1
196702;-7.3;1
196703;-3.2;1
196704;-2.9;1
196705;1;1
196706;3.1;1
196707;6.2;1
196708;5.8;1
196709;2.6;1
196710;1.3;1
196711;-3;1
196712;-7.1;1
196801;-9.3;1
196802;-7.4;1
196803;-6.4;1
196804;-1.3;1
196805;0.7;1
196806;4.1;1
196807;5.5;1
196808;4.2;1
196809;1.9;1
196810;0.9;1
196811;-3.5;1
196812;-8.2;1
196901;-8.7;1
196902;-12.2;1
196903;-6.3;1
196904;-2.3;1
196905;1.6;1
196906;3;1
196907;6;1
196908;5.1;1
196909;4.1;1
196910;0.9;1
196911;-5.5;1
196912;-11.8;1
197001;-7.6;1
197002;-9.4;1
197003;-9.1;1
197004;-5.3;1
197005;-1.4;1
197006;4.6;1
197007;4.9;1
197008;5;1
197009;2.9;1
197010;-1.2;1
197011;-2.5;1
197012;-7.8;1
197101;-9.1;1
197102;-8;1
197103;-10.1;1
197104;-1.3;1
197105;1.4;1
197106;2.2;1
197107;6;1
197108;6.4;1
197109;3;1
197110;0.4;1
197111;-5.5;1
197112;-5.1;1
197201;-8.6;1
197202;-6.5;1
197203;-5.5;1
197204;-2.7;1
197205;0.1;1
197206;3.3;1
197207;5.4;1
197208;4.5;1
197209;0.5;1
197210;-0.4;1
197211;-2.5;1
197212;-6.3;1
197301;-7.3;1
197302;-10.1;1
197303;-7.6;1
197304;-5.3;1
197305;2.5;1
197306;4.6;1
197307;4.9;1
197308;6.6;1
197309;3.8;1
197310;-0.5;1
197311;-2.9;1
197312;-7.8;1
197401;-5.6;1
197402;-7.1;1
197403;-4.8;1
197404;-2.7;1
197405;0.4;1
197406;2.9;1
197407;5.4;1
197408;5.7;1
197409;2.2;1
197410;-6.1;1
197411;-5.1;1
197412;-4.9;1
197501;-4.3;1
197502;-7.4;1
197503;-6.9;1
197504;-3.9;1
197505;0.8;1
197506;3;1
197507;5.6;1
197508;6.5;1
197509;4.3;1
197510;-1.8;1
197511;-5;1
197512;-6.7;1
197601;-6.9;1
197602;-6.6;1
197603;-6.2;1
197604;-2.8;1
197605;1.3;1
197606;4.7;1
197607;5.6;1
197608;3.9;1
197609;1.4;1
197610;0.2;1
197611;-6.2;1
197612;-10.1;1
197701;-9;1
197702;-7.6;1
197703;-3.4;1
197704;-2.5;1
197705;0.9;1
197706;3.4;1
197707;5;1
197708;4.2;1
197709;2.4;1
197710;1.9;1
197711;-5.9;1
197712;-6;1
197801;-9.2;1
197802;-9.5;1
197803;-5.9;1
197804;-4.2;1
197805;0;1
197806;3;1
197807;4.9;1
197808;4.6;1
197809;3.3;1
197810;-0.3;1
197811;-4.2;1
197812;-6.2;1
197901;-10;1
197902;-7.7;1
197903;-6.8;1
197904;-5.7;1
197905;0.1;1
197906;4.5;1
197907;5.7;1
197908;4.9;1
197909;3.8;1
197910;0.9;1
197911;-5.2;1
197912;-6.2;1
198001;-10.2;1
198002;-6.6;1
198003;-6.5;1
198004;-4.8;1
198005;0.2;1
198006;2.3;1
198007;4.3;1
198008;6.7;1
198009;3.8;1
198010;-0.6;1
198011;-4;1
198012;-8.2;1
198101;-10.7;1
198102;-8.1;1
198103;-2.9;1
198104;-0.7;1
198105;1.3;1
198106;4.7;1
198107;4.9;1
198108;6;1
198109;4.4;1
198110;-0.5;1
198111;-3.9;1
198112;-8.5;1
198201;-5.9;1
198202;-7.7;1
198203;-8.2;1
198204;-2.5;1
198205;1.4;1
198206;4.6;1
198207;7.6;1
198208;5.5;1
198209;4;1
198210;-1.2;1
198211;-3.4;1
198212;-7.8;1
198301;-5.7;1
198302;-11.5;1
198303;-4.7;1
198304;-2.9;1
198305;0;1
198306;4.1;1
198307;8.2;1
198308;5.9;1
198309;3.7;1
198310;0;1
198311;-2.4;1
198312;-5.6;1
198401;-9.5;1
198402;-11.6;1
198403;-8.9;1
198404;-4.4;1
198405;-0.6;1
198406;3.1;1
198407;5.3;1
198408;5.2;1
198409;1.5;1
198410;-0.1;1
198411;-2.2;1
198412;-5.7;1
198501;-11.6;1
198502;-5.4;1
198503;-7.4;1
198504;-2.3;1
198505;0.8;1
198506;2.9;1
198507;6.7;1
198508;5.2;1
198509;4.8;1
198510;1.1;1
198511;-7;1
198512;-4.4;1
198601;-10;1
198602;-13;1
198603;-6.6;1
198604;-2.8;1
198605;2.8;1
198606;4.4;1
198607;5.8;1
198608;5.5;1
198609;4.3;1
198610;1.4;1
198611;-2.6;1
198612;-6.4;1
198701;-9.2;1
198702;-7.5;1
198703;-8.4;1
198704;-2.3;1
198705;-0.2;1
198706;2.8;1
198707;6.6;1
198708;6.1;1
198709;5.6;1
198710;1.4;1
198711;-4.3;1
198712;-4.5;1
198801;-5.2;1
198802;-9.6;1
198803;-7.1;1
198804;-1;1
198805;2.6;1
198806;3.6;1
198807;5.7;1
198808;6.2;1
198809;2.9;1
198810;2.3;1
198811;-4.2;1
198812;-5.5;1
198901;-5.2;1
198902;-4.9;1
198903;-4.4;1
198904;-3.3;1
198905;1.6;1
198906;2.9;1
198907;6.8;1
198908;5.5;1
198909;2.7;1
198910;-0.1;1
198911;-3.9;1
198912;-5.1;1
199001;-7;1
199002;-4.9;1
199003;-3;1
199004;-2.8;1
199005;2.1;1
199006;3.6;1
199007;6;1
199008;6.3;1
199009;2.4;1
199010;2;1
199011;-4.6;1
199012;-10.1;1
199101;-7.7;1
199102;-11.6;1
199103;-3;1
199104;-3.8;1
199105;-0.9;1
199106;3.4;1
199107;6.7;1
199108;7.1;1
199109;5.2;1
199110;-1;1
199111;-4.6;1
199112;-7.3;1
199201;-7.1;1
199202;-6.7;1
199203;-3.8;1
199204;-2;1
199205;2.1;1
199206;3.7;1
199207;6.3;1
199208;7.3;1
199209;2.9;1
199210;-1.8;1
199211;-2;1
199212;-6.3;1
199301;-5.5;1
199302;-7;1
199303;-6.7;1
199304;-2.4;1
199305;2.1;1
199306;4.6;1
199307;4.8;1
199308;6.5;1
199309;2;1
199310;-1;1
199311;-5;1
199312;-6.3;1
199401;-7.7;1
199402;-9.8;1
199403;-2.6;1
199404;-3.5;1
199405;2.4;1
199406;4.4;1
199407;8.1;1
199408;7.3;1
199409;2.7;1
199410;0.1;1
199411;-0.3;1
199412;-4.4;1
199501;-9.7;1
199502;-5.6;1
199503;-8.5;1
199504;-1.8;1
199505;1.7;1
199506;3;1
199507;7.6;1
199508;5.6;1
199509;1;1
199510;1.8;1
199511;-3.4;1
199512;-6.3;1
199601;-6.3;1
199602;-10.6;1
199603;-6.1;1
199604;-1.6;1
199605;1.7;1
199606;4.7;1
199607;5.8;1
199608;5.4;1
199609;1.1;1
199610;0.1;1
199611;-4.7;1
199612;-6;1
199701;-7.1;1
199702;-6.1;1
199703;-3;1
199704;-2.3;1
199705;1.9;1
199706;4.3;1
199707;5.4;1
199708;7.7;1
199709;4.3;1
199710;0.3;1
199711;-3.8;1
199712;-6.5;1
199801;-7.6;1
199802;-5.2;1
199803;-4.9;1
199804;-3.4;1
199805;1.6;1
199806;5.1;1
199807;6.9;1
199808;7.1;1
199809;3.2;1
199810;-0.4;1
199811;-6.6;1
199812;-6.4;1
199901;-7.1;1
199902;-9.2;1
199903;-4.4;1
199904;-2.3;1
199905;3.9;1
199906;4.3;1
199907;6.5;1
199908;7.1;1
199909;4.7;1
199910;1.1;1
199911;-5.1;1
