# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 63003004
# NOM_USUEL= AMBERT
# LATITUDE (°) = 45.517
# LONGITUDE(°)= 3.743
# ALTITUDE (m) = 555
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN063003004
# Amplitude minimale détectable de la série = 0.25
# Période homogénéisée : 195501 202312
# Date(s) de rupture(s) d'homogénéité : 195712 197501 198812 199012
#     Periode homogénéisée  195501 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;0.5;1
195502;-1.9;1
195503;-3.3;1
195504;-0.2;1
195505;3.2;1
195506;8.3;1
195507;10.7;1
195508;9.6;1
195509;8.1;1
195510;1.8;1
195511;-2.3;1
195512;-0.2;1
195601;-1.8;1
195602;-15;1
195603;-0.3;1
195604;0.6;1
195605;5.2;1
195606;6.6;1
195607;9.3;1
195608;7.4;1
195609;6.7;1
195610;1.9;1
195611;-1.7;1
195612;0;1
195701;-6;1
195702;0.1;1
195703;0.9;1
195704;1.5;1
195705;2.9;1
195706;9.5;1
195707;10.2;1
195708;8.6;1
195709;7.4;1
195710;1;1
195711;1;1
195712;-3.3;1
195801;-3.6;1
195802;-2.4;1
195803;-2;1
195804;0.1;1
195805;5.5;1
195806;7.7;1
195807;10.6;1
195808;11;1
195809;8.9;1
195810;1.6;1
195811;2.3;1
195812;-2.2;1
195901;-3.3;1
195902;-4.3;1
195903;1.2;1
195904;2.5;1
195905;4.9;1
195906;9.1;1
195907;10.3;1
195908;8.8;1
195909;9;1
195910;3.6;1
195911;1.1;1
195912;0.7;1
196001;-3.3;1
196002;-2.3;1
196003;0.7;1
196004;1.1;1
196005;3.3;1
196006;6.5;1
196007;8.2;1
196008;8.7;1
196009;6.8;1
196010;5;1
196011;2.4;1
196012;-2.8;1
196101;-1.9;1
196102;0.5;1
196103;-2.6;1
196104;3.6;1
196105;3.8;1
196106;7.6;1
196107;9;1
196108;9.1;1
196109;8.8;1
196110;3.8;1
196111;0;1
196112;-2.1;1
196201;0.1;1
196202;-4.1;1
196203;-2.1;1
196204;1.9;1
196205;4.2;1
196206;5.5;1
196207;8.1;1
196208;8;1
196209;6;1
196210;3.7;1
196211;0.9;1
196212;-5;1
196301;-7.1;1
196302;-7.9;1
196303;-0.2;1
196304;2.5;1
196305;3.9;1
196306;8.2;1
196307;10.9;1
196308;9;1
196309;7.2;1
196310;3.1;1
196311;2.6;1
196312;-6.4;1
196401;-5.2;1
196402;1;1
196403;1.1;1
196404;2.2;1
196405;5;1
196406;8.5;1
196407;9.1;1
196408;9.5;1
196409;7.7;1
196410;2.9;1
196411;0.8;1
196412;-4.5;1
196501;-1.6;1
196502;-5.2;1
196503;-0.7;1
196504;2.6;1
196505;5.1;1
196506;9.6;1
196507;9.6;1
196508;9.3;1
196509;6.4;1
196510;4.2;1
196511;1.2;1
196512;0;1
196601;-5.2;1
196602;1.1;1
196603;-2.4;1
196604;3.6;1
196605;6.5;1
196606;8.1;1
196607;8.7;1
196608;9.6;1
196609;7.8;1
196610;7.1;1
196611;-0.1;1
196612;-0.1;1
196701;-4.5;1
196702;-2.9;1
196703;0.8;1
196704;-0.1;1
196705;4.3;1
196706;6.3;1
196707;10.1;1
196708;8.8;1
196709;7;1
196710;4.8;1
196711;0.5;1
196712;-4.6;1
196801;-4.4;1
196802;-1.8;1
196803;-2.2;1
196804;1.5;1
196805;4.4;1
196806;8.2;1
196807;8.9;1
196808;8.6;1
196809;7.7;1
196810;4.6;1
196811;1.5;1
196812;-2.7;1
196901;-3.3;1
196902;-4.8;1
196903;1.1;1
196904;1.8;1
196905;5.8;1
196906;7;1
196907;9.4;1
196908;10.1;1
196909;7.7;1
196910;3.9;1
196911;0.7;1
196912;-6.1;1
197001;-2.1;1
197002;-1.2;1
197003;-2.6;1
197004;0.9;1
197005;4.4;1
197006;9.7;1
197007;9.2;1
197008;10.5;1
197009;6.1;1
197010;3.6;1
197011;-0.4;1
197012;-4.4;1
