# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 20342001
# NOM_USUEL= SOLENZARA
# LATITUDE (°) = 41.922
# LONGITUDE(°)= 9.401
# ALTITUDE (m) = 12
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN220342001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196201 202312
# Date(s) de rupture(s) d'homogénéité : 196712 197312 201512
#     Periode homogénéisée  196201 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;7.2;1
196202;5.5;1
196203;6.8;1
196204;10.1;1
196205;12.2;1
196206;15.7;1
196207;19.4;1
196208;20.2;1
196209;18;1
196210;14;1
196211;8.7;1
196212;5.1;1
196301;4.1;1
196302;4.8;1
196303;6.7;1
196304;10.2;1
196305;13.1;1
196306;16.4;1
196307;20.8;1
196308;20.3;1
196309;17.3;1
196310;13.3;1
196311;11.8;1
196312;7.5;1
196401;5.3;1
196402;7.1;1
196403;8.8;1
196404;10.2;1
196405;14.2;1
196406;18.2;1
196407;20.4;1
196408;20.2;1
196409;18;1
196410;13.1;1
196411;10.4;1
196412;7.2;1
196501;5.6;1
196502;3.3;1
196503;7.5;1
196504;8.9;1
196505;12.6;1
196506;16.3;1
196507;19.2;1
196508;19.5;1
196509;16.4;1
196510;15;1
196511;11.5;1
196512;8;1
196601;5.9;1
196602;8.7;1
196603;7.1;1
196604;11.4;1
196605;13.8;1
196606;17.3;1
196607;18.6;1
196608;19.1;1
196609;17;1
196610;15.2;1
196611;8.6;1
196612;6.1;1
196701;5.4;1
196702;7.1;1
196703;8.9;1
196704;9;1
196705;13.2;1
196706;15.1;1
196707;20.6;1
196708;20.8;1
196709;16.9;1
196710;14.8;1
196711;11.5;1
196712;6.5;1
196801;4.5;1
196802;7.7;1
196803;7.6;1
196804;10.7;1
196805;13.2;1
196806;16.4;1
196807;19.7;1
196808;18.9;1
196809;17.2;1
196810;14.1;1
196811;9.9;1
196812;6.9;1
196901;5.9;1
196902;5.2;1
196903;7.9;1
196904;9.1;1
196905;14.1;1
196906;14.8;1
196907;18.6;1
196908;19.6;1
196909;16.8;1
196910;14.3;1
196911;10.8;1
196912;4.9;1
197001;7.6;1
197002;7;1
197003;6.8;1
197004;9.3;1
197005;12.1;1
197006;17.3;1
197007;18.9;1
197008;20.3;1
197009;18.6;1
197010;13.2;1
197011;10.1;1
197012;6.8;1
197101;6.2;1
197102;5.4;1
197103;4.9;1
197104;10.6;1
197105;13;1
197106;15.8;1
197107;19.9;1
197108;21.5;1
197109;16.7;1
197110;13.2;1
197111;8.6;1
197112;7.1;1
197201;7.1;1
197202;8.3;1
197203;9;1
197204;10;1
197205;12.4;1
197206;16;1
197207;18.9;1
197208;18;1
197209;15.5;1
197210;12.1;1
197211;11.1;1
197212;8.9;1
197301;6.7;1
197302;5.8;1
197303;6.1;1
197304;7.8;1
197305;13.5;1
197306;17.6;1
197307;19.8;1
197308;19.6;1
197309;17.9;1
197310;14.1;1
197311;8.8;1
197312;6.3;1
197401;7;1
197402;6.8;1
197403;7.8;1
197404;9.4;1
197405;12.4;1
197406;16.3;1
197407;18.9;1
197408;19.3;1
197409;17.3;1
197410;9.6;1
197411;8.7;1
197412;6.5;1
197501;6.5;1
197502;6.2;1
197503;7.2;1
197504;8.6;1
197505;12.1;1
