# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 44117002
# NOM_USUEL= LE PALLET_SAPC
# LATITUDE (°) = 47.142
# LONGITUDE(°)= -1.337
# ALTITUDE (m) = 35
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN044117002
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 196101 202212
# Date(s) de rupture(s) d'homogénéité : 196312 198212 199312 200612 201911
#     Periode homogénéisée  196101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;2.5;1
196102;5.6;1
196103;3.6;1
196104;7.8;1
196105;8;1
196106;10.9;1
196107;12.9;1
196108;11.3;1
196109;13.9;1
196110;8.9;1
196111;4.7;1
196112;3.1;1
196201;3.3;1
196202;1.7;1
196203;1.8;1
196204;5.9;1
196205;7.8;1
196206;9.9;1
196207;12.4;1
196208;12;1
196209;9.9;1
196210;7.6;1
196211;3.9;1
196212;-0.7;1
196301;-4.4;1
196302;-2.9;1
196303;4.5;1
196304;6.2;1
196305;8.4;1
196306;11.8;1
196307;12.6;1
196308;12.4;1
196309;11.1;1
196310;7.9;1
196311;7;1
196312;-1.2;1
196401;-0.9;1
196402;3;1
196403;3.9;1
196404;6;1
196405;9.9;1
196406;11.4;1
196407;12.7;1
196408;12.2;1
196409;11.8;1
196410;6.4;1
196411;4.2;1
196412;1.1;1
196501;0.7;1
196502;-2.4;1
196503;4;1
196504;5.5;1
196505;9.2;1
196506;11;1
196507;11.2;1
196508;11.9;1
196509;9;1
196510;8.1;1
196511;4.6;1
196512;4.6;1
196601;1.7;1
196602;6.8;1
196603;3.7;1
196604;7.8;1
196605;8.5;1
196606;12.2;1
196607;11.9;1
196608;11.7;1
196609;11.4;1
196610;9.4;1
196611;2.4;1
196612;4.7;1
196701;3.3;1
196702;3.3;1
196703;4.4;1
196704;5.1;1
196705;8;1
196706;10.6;1
196707;13.1;1
196708;12.3;1
196709;10.8;1
196710;9.1;1
196711;4.4;1
196712;1.2;1
196801;2.4;1
196802;1.5;1
196803;3;1
196804;5.1;1
196805;7.5;1
196806;11.9;1
196807;12.7;1
196808;13.4;1
196809;10.8;1
196810;9.7;1
196811;4.6;1
196812;2.1;1
196901;3.5;1
196902;-0.1;1
196903;4.2;1
196904;6.1;1
196905;8.9;1
196906;10.8;1
196907;13.1;1
196908;12.6;1
196909;11.4;1
196910;8.3;1
196911;4.9;1
196912;1.2;1
197001;2.9;1
197002;3.7;1
197003;2.6;1
197004;4.7;1
197005;7.9;1
197006;12.9;1
197007;12.5;1
197008;13.5;1
197009;11.6;1
197010;6.5;1
197011;6.4;1
197012;-0.5;1
197101;2;1
197102;1.6;1
197103;1.1;1
197104;6.7;1
197105;9.7;1
197106;10.9;1
197107;14.3;1
197108;13.2;1
197109;10.7;1
197110;6.5;1
197111;2;1
197112;2.7;1
197201;2.2;1
197202;3.6;1
197203;4.4;1
197204;6.4;1
197205;7.9;1
197206;9.3;1
197207;12.8;1
197208;11;1
197209;8;1
197210;6.4;1
197211;4.7;1
197212;3.4;1
197301;1.1;1
197302;1.5;1
197303;0.8;1
197304;4.2;1
197305;9.6;1
197306;11.3;1
197307;13.2;1
197308;14.8;1
197309;11.6;1
197310;6.6;1
197311;2.8;1
197312;2;1
197401;5.1;1
197402;3.5;1
197403;4.4;1
197404;5.3;1
197405;8.2;1
197406;11;1
197407;11.8;1
197408;11.9;1
197409;10.3;1
197410;5.2;1
197411;5.9;1
197412;5.7;1
197501;5.1;1
197502;2.8;1
197503;3.5;1
197504;5.6;1
197505;8.2;1
197506;11;1
197507;12.9;1
197508;14.1;1
197509;11.9;1
197510;5.9;1
197511;4.1;1
197512;0;1
197601;2.9;1
197602;2.9;1
197603;2.3;1
197604;4.4;1
197605;8.5;1
197606;12.9;1
197607;14.5;1
197608;13.7;1
197609;10.8;1
197610;9.5;1
197611;3.8;1
197612;1.4;1
197701;2.1;1
197702;5.5;1
197703;5;1
197704;4.6;1
197705;8.4;1
197706;10.9;1
197707;13.3;1
197708;11.4;1
197709;8.7;1
197710;9.3;1
197711;4.8;1
197712;3.3;1
197801;1.9;1
197802;3.4;1
197803;5.3;1
197804;4.9;1
197805;9.2;1
197806;10.6;1
197807;11.8;1
197808;10.8;1
197809;9.4;1
197810;7.2;1
197811;2.6;1
197812;3.5;1
197901;-1.4;1
197902;3;1
197903;4.3;1
197904;5.8;1
197905;7.6;1
197906;11.4;1
197907;12.6;1
197908;11.9;1
197909;10.3;1
197910;9.1;1
197911;4;1
197912;4.2;1
198001;0.8;1
198002;3.9;1
198003;4;1
198004;5.8;1
198005;7.8;1
198006;11.2;1
198007;12.2;1
198008;13.3;1
198009;11.1;1
198010;6.7;1
198011;2.9;1
198012;1.7;1
198101;2.5;1
198102;0.6;1
198103;7.2;1
198104;6.6;1
198105;9.6;1
198106;11.1;1
198107;13;1
198108;13;1
198109;11.6;1
198110;8.3;1
198111;5;1
198112;3.6;1
198201;4.6;1
198202;3.4;1
198203;3.7;1
198204;4.7;1
198205;9.2;1
198206;12.9;1
198207;14.2;1
198208;12.3;1
198209;11.9;1
198210;8;1
198211;6.3;1
198212;3.8;1
198301;3.6;1
198302;0.9;1
198303;4.2;1
198304;5.4;1
198305;8.2;1
198306;12.5;1
198307;16.6;1
198308;13.8;1
198309;11.8;1
198310;7.8;1
198311;4.2;1
198312;2;1
198401;3.3;1
198402;1.7;1
198403;2;1
198404;4.7;1
198405;7.1;1
198406;11.2;1
198407;13;1
198408;13;1
198409;10.5;1
198410;8.4;1
198411;7.1;1
198412;2.5;1
198501;-2.1;1
198502;1.6;1
198503;2.4;1
198504;6.5;1
198505;8.8;1
198506;10.9;1
198507;13.6;1
198508;11.4;1
198509;10.8;1
198510;6.3;1
198511;2.2;1
198512;3.2;1
198601;3.3;1
198602;-4.3;1
198603;3.1;1
198604;3.8;1
198605;8.8;1
198606;12;1
198607;12.7;1
198608;11.2;1
198609;8.9;1
198610;9.5;1
198611;5.4;1
198612;3.8;1
198701;-2.9;1
198702;2.1;1
198703;2.5;1
198704;7.2;1
198705;7.1;1
198706;11.4;1
198707;14;1
198708;13.1;1
198709;13.2;1
198710;8.6;1
198711;4.6;1
198712;3.4;1
198801;5.8;1
198802;3;1
198803;5.3;1
198804;7.1;1
198805;10.3;1
198806;12.2;1
198807;12.1;1
198808;12.3;1
198809;10.9;1
198810;9.7;1
198811;3;1
198812;4.4;1
198901;1.6;1
198902;3.3;1
198903;6.1;1
198904;4.9;1
198905;11.3;1
198906;12;1
198907;14.7;1
198908;13.2;1
198909;10;1
198910;8.9;1
198911;4.8;1
198912;3.6;1
199001;4.3;1
199002;6.9;1
199003;4.1;1
199004;5.6;1
199005;11.1;1
199006;11.4;1
199007;14;1
199008;14;1
199009;10.3;1
199010;9.5;1
199011;4.8;1
199012;1.2;1
199101;2.4;1
199102;-1.2;1
199103;6.3;1
199104;5.2;1
199105;8.5;1
199106;10.7;1
199107;13.7;1
199108;14.3;1
199109;13.3;1
199110;7.1;1
199111;4.4;1
199112;1.5;1
199201;0.5;1
199202;1.2;1
199203;4.4;1
199204;5.7;1
199205;10.3;1
199206;11.9;1
199207;13.4;1
199208;15.3;1
199209;10.9;1
199210;6.5;1
199211;7.8;1
199212;3.5;1
199301;5.4;1
199302;1;1
199303;3.5;1
199304;7;1
199305;9.5;1
199306;12.6;1
199307;12.2;1
199308;11.4;1
199309;10.1;1
199310;6.9;1
199311;1.4;1
199312;5.2;1
199401;4.9;1
199402;4.4;1
199403;6.3;1
199404;5.2;1
199405;9.3;1
199406;11.7;1
199407;15;1
199408;14.9;1
199409;11.5;1
199410;8.5;1
199411;8.2;1
199412;6.1;1
199501;2.7;1
199502;6.3;1
199503;3.3;1
199504;6.3;1
199505;8.9;1
199506;11.4;1
199507;15.6;1
199508;15;1
199509;10.3;1
199510;11;1
199511;4.4;1
199512;2.8;1
199601;4.4;1
199602;1.3;1
199603;3.1;1
199604;5.9;1
199605;8.2;1
199606;11.5;1
199607;12.8;1
199608;12.1;1
199609;8.6;1
199610;8.3;1
199611;5.1;1
199612;0.5;1
199701;-0.1;1
199702;4.4;1
199703;5.4;1
199704;4.4;1
199705;10;1
199706;11.7;1
199707;13.2;1
199708;16;1
199709;9.9;1
199710;8.2;1
199711;6.5;1
199712;4;1
199801;3.3;1
199802;1.8;1
199803;5;1
199804;6.3;1
199805;10.8;1
199806;11.1;1
199807;12.9;1
199808;12.4;1
199809;12.4;1
199810;9.3;1
199811;2.4;1
199812;3.3;1
199901;4.8;1
199902;3.6;1
199903;5.5;1
199904;7.8;1
199905;10.9;1
199906;11.8;1
199907;14.9;1
199908;13.7;1
199909;13;1
199910;9.1;1
199911;3.9;1
199912;3.9;1
200001;2.1;1
200002;5;1
200003;3.6;1
200004;6.1;1
200005;11.5;1
200006;12.9;1
200007;13;1
200008;13.8;1
200009;11.7;1
200010;8;1
200011;5.8;1
200012;6;1
200101;3.7;1
200102;3.3;1
200103;6.8;1
200104;6.2;1
200105;10.1;1
200106;11.3;1
200107;13.8;1
200108;14.3;1
200109;9.1;1
200110;11.7;1
200111;3.5;1
200112;0.4;1
200201;4.8;1
200202;5.5;1
200203;5;1
200204;6.2;1
200205;9.1;1
200206;11.7;1
200207;12.9;1
200208;13.4;1
200209;9.9;1
200210;9.3;1
200211;7.7;1
200212;6.5;1
200301;0.9;1
200302;1.6;1
200303;6.3;1
200304;6.6;1
200305;9.4;1
200306;14.7;1
200307;14.8;1
200308;16.2;1
200309;10.8;1
200310;6.8;1
200311;6.4;1
200312;3.4;1
200401;3.5;1
200402;1.8;1
200403;2.7;1
200404;6.4;1
200405;8.9;1
200406;12;1
200407;12.9;1
200408;15;1
200409;11.6;1
200410;9.2;1
200411;5.5;1
200412;1.7;1
200501;4.2;1
200502;0.9;1
200503;3.9;1
200504;6.2;1
200505;9.2;1
200506;13.5;1
200507;14.4;1
200508;11.9;1
200509;11.3;1
200510;11.5;1
200511;4;1
200512;0.8;1
200601;1.4;1
200602;0.5;1
200603;4.1;1
200604;6.3;1
200605;9.5;1
200606;12.8;1
200607;16.9;1
200608;12.5;1
200609;13.5;1
200610;11.6;1
200611;6.3;1
200612;2.5;1
200701;5.9;1
200702;6.3;1
200703;4.2;1
200704;8.9;1
200705;11.3;1
200706;12.8;1
200707;13.3;1
200708;13.1;1
200709;9;1
200710;8.1;1
200711;3.6;1
200712;2;1
200801;4.3;1
200802;3.4;1
200803;5.2;1
200804;6;1
200805;11.1;1
200806;12;1
200807;12.7;1
200808;13.7;1
200809;9.4;1
200810;6.8;1
200811;6;1
200812;1.7;1
200901;0.4;1
200902;1.3;1
200903;3;1
200904;6.2;1
200905;10.1;1
200906;12.2;1
200907;12.2;1
200908;12.9;1
200909;11.6;1
200910;8.2;1
200911;7.8;1
200912;2.3;1
201001;-0.6;1
201002;1.2;1
201003;3.6;1
201004;6.1;1
201005;8.7;1
201006;12.9;1
201007;14.2;1
201008;13;1
201009;9.3;1
201010;7.8;1
201011;4.6;1
201012;-0.9;1
201101;2.7;1
201102;4.5;1
201103;4.7;1
201104;8.3;1
201105;9.6;1
201106;12.1;1
201107;12.6;1
201108;13.9;1
201109;12.3;1
201110;9;1
201111;8.5;1
201112;5.3;1
201201;4.3;1
201202;-1.4;1
201203;4.7;1
201204;5;1
201205;9.8;1
201206;12.7;1
201207;12.5;1
201208;13.9;1
201209;10;1
201210;9.8;1
201211;4.8;1
201212;4.4;1
201301;2.8;1
201302;1.5;1
201303;3.3;1
201304;5.1;1
201305;7.9;1
201306;11.8;1
201307;16.1;1
201308;12.6;1
201309;11.6;1
201310;10.8;1
201311;5.3;1
201312;2.2;1
201401;4.7;1
201402;4.8;1
201403;3.8;1
201404;7.1;1
201405;8.8;1
201406;12.4;1
201407;14.4;1
201408;12.6;1
201409;11.9;1
201410;9.8;1
201411;7.7;1
201412;3.3;1
201501;2.7;1
201502;1.1;1
201503;4.5;1
201504;7.4;1
201505;9.3;1
201506;12.2;1
201507;14.4;1
201508;13.6;1
201509;10.1;1
201510;7.8;1
201511;8.9;1
201512;6.4;1
201601;4.5;1
201602;4;1
201603;4;1
201604;4.1;1
201605;9.3;1
201606;13.4;1
201607;13.8;1
201608;13.7;1
201609;12.9;1
201610;6.6;1
201611;4.9;1
201612;2.1;1
201701;-0.1;1
201702;3.8;1
201703;6.3;1
201704;4.3;1
201705;10.6;1
201706;13.6;1
201707;14.7;1
201708;14;1
201709;10.3;1
201710;9.9;1
201711;3.8;1
201712;2.8;1
201801;6.2;1
201802;0.2;1
201803;4.4;1
201804;7.6;1
201805;9.9;1
201806;14.2;1
201807;16.1;1
201808;13.9;1
201809;10.8;1
201810;8.1;1
201811;5;1
201812;5.8;1
201901;2.3;1
201902;2.9;1
201903;5.2;1
201904;6.2;1
201905;8.1;1
201906;12.7;1
201907;15;1
201908;14;1
201909;11.7;1
201910;10.8;1
201911;5;1
201912;5.3;1
202001;4.9;1
202002;6.4;1
202003;5.3;1
202004;9;1
202005;10.6;1
202006;12.3;1
202007;13.2;1
202008;14.7;1
202009;12.1;1
202010;9;1
202011;6.1;1
202012;4.4;1
202101;2;1
202102;4.6;1
202103;3;1
202104;4.1;1
202105;8.6;1
202106;13.3;1
202107;14.3;1
202108;13.4;1
202109;13.1;1
202110;7.3;1
202111;2.7;1
202112;4.6;1
202201;3;1
202202;4.1;1
202203;5.9;1
202204;6.3;1
202205;10.4;1
202206;13.6;1
202207;14.6;1
202208;16.5;1
202209;11.7;1
202210;12.2;1
202211;7;1
202212;3.4;1
202301;4.3;0
202302;2.6;0
202303;6;0
202304;6.6;0
202305;10.3;0
202306;15;0
202307;14.1;0
202308;15.2;0
202309;14.9;0
202310;10.5;0
202311;7.1;0
202312;5.8;0
202401;3.2;0
202402;7.5;0
202403;5.8;0
202404;7.1;0
202405;10.6;0
202406;12.3;0
202407;14.7;0
202408;14.2;0
202409;11.4;0
202410;10.7;0
202411;7;0
202412;4.5;0
