# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 64068001
# NOM_USUEL= ASSON
# LATITUDE (°) = 43.127
# LONGITUDE(°)= -0.273
# ALTITUDE (m) = 337
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN164068001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195501 202212
# Date(s) de rupture(s) d'homogénéité : 196812 198107 198912 200412 201312
#     Periode homogénéisée  195501 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;3;1
195502;2;1
195503;1.2;1
195504;4.3;1
195505;8.8;1
195506;12.3;1
195507;13.7;1
195508;13.4;1
195509;10.8;1
195510;6.2;1
195511;1.1;1
195512;1.1;1
195601;2;1
195602;-7.1;1
195603;1;1
195604;4.8;1
195605;7.6;1
195606;9.9;1
195607;12.7;1
195608;12.8;1
195609;11.2;1
195610;6;1
195611;1.4;1
195612;-0.1;1
195701;-3;1
195702;2.5;1
195703;4.8;1
195704;4.2;1
195705;7.7;1
195706;10.7;1
195707;14.1;1
195708;12.8;1
195709;11.2;1
195710;5.8;1
195711;1.8;1
195712;-0.1;1
195801;-0.1;1
195802;1.1;1
195803;2.6;1
195804;4;1
195805;9.5;1
195806;11.1;1
195807;12.7;1
195808;13;1
195809;12.4;1
195810;5.1;1
195811;1.9;1
195812;2.1;1
195901;0.5;1
195902;-1.1;1
195903;4.1;1
195904;4.8;1
195905;9.2;1
195906;11.3;1
195907;14.6;1
195908;12.6;1
195909;12.6;1
195910;7.5;1
195911;2.3;1
195912;2.9;1
196001;-0.2;1
196002;1.5;1
196003;4;1
196004;4.9;1
196005;8.3;1
196006;12.2;1
196007;13.2;1
196008;11.8;1
196009;10;1
196010;6.3;1
196011;3.4;1
196012;0;1
196101;0.3;1
196102;2;1
196103;1.8;1
196104;6.7;1
196105;8.3;1
196106;11.7;1
196107;13.2;1
196108;12.3;1
196109;13.1;1
196110;7.7;1
196111;2.9;1
196112;1.1;1
196201;1.7;1
196202;-0.8;1
196203;1.9;1
196204;4.7;1
196205;7.5;1
196206;9.7;1
196207;12.7;1
196208;13.5;1
196209;10.8;1
196210;8.3;1
196211;0.8;1
196212;-1.1;1
196301;-3.3;1
196302;-2.4;1
196303;3;1
196304;4.8;1
196305;7.4;1
196306;11.1;1
196307;14.2;1
196308;12.1;1
196309;10.1;1
196310;6.7;1
196311;4.4;1
196312;-1.8;1
196401;-2.5;1
196402;1.2;1
196403;2;1
196404;5.7;1
196405;10.1;1
196406;12;1
196407;14.3;1
196408;12.9;1
196409;12.4;1
196410;5.5;1
196411;2.5;1
196412;-1.2;1
196501;0;1
196502;-2.5;1
196503;2.2;1
196504;5.7;1
196505;7.5;1
196506;10.4;1
196507;12;1
196508;11.8;1
196509;8.9;1
196510;7.5;1
196511;4;1
196512;2.4;1
196601;1;1
196602;4.7;1
196603;2.1;1
196604;6.2;1
196605;8.7;1
196606;10.9;1
196607;11.9;1
196608;11.8;1
196609;11.1;1
196610;8.4;1
196611;1.7;1
196612;2.9;1
196701;-0.6;1
196702;-0.1;1
196703;2.8;1
196704;3.5;1
196705;6.3;1
196706;9.6;1
196707;14.3;1
196708;12.8;1
196709;9.7;1
196710;9.4;1
196711;4.4;1
196712;0.3;1
196801;0.9;1
196802;2.2;1
196803;1.6;1
196804;3.8;1
196805;5.9;1
196806;8.8;1
196807;11.7;1
196808;12.9;1
196809;10;1
196810;7.2;1
196811;4.6;1
196812;2;1
196901;0.2;1
196902;-1.6;1
196903;3.1;1
196904;5.4;1
196905;8.2;1
196906;9.5;1
196907;13.9;1
196908;11.7;1
196909;9.4;1
196910;7.1;1
196911;1.7;1
196912;-0.3;1
197001;1.5;1
197002;1.5;1
