# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 38442001
# NOM_USUEL= GRANDE-CHARTREUSE
# LATITUDE (°) = 45.363
# LONGITUDE(°)= 5.792
# ALTITUDE (m) = 945
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN238442001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 202312
# Date(s) de rupture(s) d'homogénéité : 199512 201212
#     Periode homogénéisée  195901 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-4.2;1
195902;-0.9;1
195903;2.4;1
195904;2.8;1
195905;6.1;1
195906;9.2;1
195907;12.5;1
195908;10.5;1
195909;10.5;1
195910;4.6;1
195911;0.2;1
195912;-1.4;1
196001;-4.5;1
196002;-1.8;1
196003;0.9;1
196004;1.8;1
196005;7.1;1
196006;9.8;1
196007;9.1;1
196008;10;1
196009;7.2;1
196010;4.4;1
196011;1.4;1
196012;-4;1
196101;-3;1
196102;0.6;1
196103;-0.1;1
196104;5.6;1
196105;5;1
196106;9.8;1
196107;9.8;1
196108;9.8;1
196109;11.8;1
196110;5;1
196111;0.4;1
196112;-1.7;1
196201;-2;1
196202;-4.7;1
196203;-3.3;1
196204;1.3;1
196205;4.5;1
196206;8;1
196207;10.3;1
196208;11.6;1
196209;8.6;1
196210;5.2;1
196211;-1.1;1
196212;-5.6;1
196301;-7.7;1
196302;-6.3;1
196303;-0.9;1
196304;2.6;1
196305;4.5;1
196306;9.1;1
196307;11.9;1
196308;9.8;1
196309;8.6;1
196310;4.9;1
196311;3.6;1
196312;-3.6;1
196401;-4.3;1
196402;-1.4;1
196403;-0.9;1
196404;3.3;1
196405;7.7;1
196406;10.2;1
196407;11.8;1
196408;10.4;1
196409;9.6;1
196410;3.2;1
196411;0.9;1
196412;-3.1;1
196501;-3.6;1
196502;-7.5;1
196503;-1.4;1
196504;1.3;1
196505;5.1;1
196506;9.5;1
196507;10.2;1
196508;9.5;1
196509;7.1;1
196510;6.6;1
196511;1;1
196512;-1.1;1
196601;-4.7;1
196602;1.5;1
196603;-2;1
196604;3.5;1
196605;6.3;1
196606;9.1;1
196607;9.6;1
196608;10;1
196609;9.7;1
196610;7.2;1
196611;-2.2;1
196612;-2.7;1
196701;-3.9;1
196702;-2.1;1
196703;0.7;1
196704;1;1
196705;5.6;1
196706;7.4;1
196707;12.3;1
196708;11.2;1
196709;7.9;1
196710;6.9;1
196711;1.7;1
196712;-5.7;1
196801;-5;1
196802;-1.3;1
196803;-0.8;1
196804;3.5;1
196805;5.6;1
196806;8.2;1
196807;10.5;1
196808;9.8;1
196809;7.5;1
196810;7.4;1
196811;1.6;1
196812;-2.4;1
196901;-2.6;1
196902;-5.5;1
196903;0;1
196904;2.2;1
196905;6.5;1
196906;7.4;1
196907;11.2;1
196908;10.5;1
196909;9.3;1
196910;6.1;1
196911;1.2;1
196912;-7.1;1
197001;-1.5;1
197002;-2.7;1
197003;-3.8;1
197004;-0.6;1
197005;4.3;1
197006;10.1;1
197007;10.5;1
197008;11.3;1
197009;8.9;1
197010;4;1
197011;2.4;1
197012;-3.4;1
197101;-3.4;1
197102;-3;1
197103;-4.6;1
197104;3.7;1
197105;7.2;1
197106;7.5;1
197107;12.1;1
197108;12.3;1
197109;7.8;1
197110;5.7;1
197111;-1.4;1
197112;-1.1;1
197201;-2.5;1
197202;-0.5;1
197203;0.9;1
197204;1.8;1
197205;5.2;1
197206;7.5;1
197207;10.2;1
197208;9.6;1
197209;5.4;1
197210;4.4;1
197211;2.1;1
197212;-0.3;1
197301;-3.6;1
197302;-5.1;1
197303;-2.5;1
197304;-0.9;1
197305;6.9;1
197306;9.6;1
197307;10.7;1
197308;12.5;1
197309;9.3;1
197310;3.5;1
197311;0.8;1
197312;-2.3;1
197401;-0.1;1
197402;-0.7;1
197403;1.3;1
197404;2.2;1
197405;5.4;1
197406;7.7;1
197407;10.3;1
197408;11.5;1
197409;7.9;1
197410;-0.3;1
197411;1.2;1
197412;-0.6;1
197501;-0.2;1
197502;-1.2;1
197503;-1.7;1
197504;0.7;1
197505;5.6;1
197506;7.6;1
197507;10.7;1
197508;12.1;1
197509;10.4;1
197510;3.3;1
197511;0.4;1
197512;-3;1
197601;-3.1;1
197602;-1.1;1
197603;-0.8;1
197604;1.8;1
197605;6.7;1
197606;10.2;1
197607;11.8;1
197608;9.9;1
197609;7.7;1
197610;6;1
197611;0;1
197612;-2.3;1
197701;-2.5;1
197702;0.1;1
197703;2.3;1
197704;1.7;1
197705;5.4;1
197706;8.5;1
197707;10.5;1
197708;9.6;1
197709;7.4;1
197710;7.7;1
197711;-0.1;1
197712;-0.4;1
197801;-3.2;1
197802;-3.1;1
197803;0.3;1
197804;0.6;1
197805;4.5;1
197806;7.7;1
197807;10.6;1
197808;9.8;1
197809;7.5;1
197810;4.4;1
197811;0.7;1
197812;-0.2;1
197901;-4.7;1
197902;-1.8;1
197903;0.8;1
197904;0.5;1
197905;6.2;1
197906;10;1
197907;10.6;1
197908;9.7;1
197909;8.5;1
197910;7.2;1
197911;-0.2;1
197912;-0.3;1
198001;-4.4;1
198002;-0.5;1
198003;-0.6;1
198004;0.5;1
198005;4.4;1
198006;7.5;1
198007;9.2;1
198008;11.6;1
198009;9.1;1
198010;3.8;1
198011;0;1
198012;-4.4;1
198101;-6.4;1
198102;-5.3;1
198103;1.3;1
198104;3.5;1
198105;5.9;1
198106;8.8;1
198107;9.6;1
198108;11.1;1
198109;9.9;1
198110;5.1;1
198111;0.1;1
198112;-2.5;1
198201;-0.2;1
198202;-1.1;1
198203;-1.3;1
198204;1.1;1
198205;6.1;1
198206;10;1
198207;13;1
198208;11;1
198209;10.3;1
198210;4.7;1
198211;2.5;1
198212;-1.6;1
198301;-1.5;1
198302;-5.2;1
198303;-0.4;1
198304;3.1;1
198305;5.1;1
198306;9.9;1
198307;14.2;1
198308;11.8;1
198309;9.6;1
198310;4.8;1
198311;1.1;1
198312;-1.3;1
198401;-2.8;1
198402;-4.6;1
198403;-3;1
198404;0.9;1
198405;3.8;1
198406;8.1;1
198407;11.5;1
198408;10.8;1
198409;7.3;1
198410;5.3;1
198411;4.5;1
198412;-0.7;1
198501;-9;1
198502;-1.2;1
198503;-1.9;1
198504;2.7;1
198505;5.4;1
198506;8.1;1
198507;12.8;1
198508;10.7;1
198509;9.9;1
198510;6.2;1
198511;-2.7;1
198512;0.1;1
198601;-3.9;1
198602;-6.2;1
198603;-0.6;1
198604;1;1
198605;7.8;1
198606;9.2;1
