# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 25512001
# NOM_USUEL= LE RUSSEY
# LATITUDE (°) = 47.162
# LONGITUDE(°)= 6.738
# ALTITUDE (m) = 891
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN025512001
# Amplitude minimale détectable de la série = 0.26
# Période homogénéisée : 195901 202312
# Date(s) de rupture(s) d'homogénéité : 199410 200808
#     Periode homogénéisée  195901 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-5.1;1
195902;-4.1;1
195903;0.2;1
195904;1.5;1
195905;4.2;1
195906;8.2;1
195907;11.1;1
195908;9.2;1
195909;7;1
195910;2.4;1
195911;-1.8;1
195912;-2;1
196001;-6.1;1
196002;-3.2;1
196003;-0.5;1
196004;0.1;1
196005;4.6;1
196006;8.5;1
196007;7.3;1
196008;9.6;1
196009;6;1
196010;3.7;1
196011;1.2;1
196012;-5.8;1
196101;-5.1;1
196102;-0.4;1
196103;-1.9;1
196104;4.5;1
196105;3.7;1
196106;8.2;1
196107;8.2;1
196108;8.6;1
196109;9.7;1
196110;4.2;1
196111;-1.6;1
196112;-2.5;1
196201;-2;1
196202;-6.1;1
196203;-5.9;1
196204;0;1
196205;2.9;1
196206;5.8;1
196207;7.9;1
196208;9.1;1
196209;6.7;1
196210;2.8;1
196211;-3.9;1
196212;-8.3;1
196301;-10;1
196302;-9.7;1
196303;-2.7;1
196304;1.8;1
196305;3.1;1
196306;8.4;1
196307;10;1
196308;9.2;1
196309;8.2;1
196310;1.2;1
196311;2.2;1
196312;-7.6;1
196401;-9.2;1
196402;-2.3;1
196403;-1.9;1
196404;1.9;1
196405;5.5;1
196406;8.1;1
196407;9.4;1
196408;8.8;1
196409;7.3;1
196410;1.7;1
196411;-0.2;1
196412;-6.8;1
196501;-5.4;1
196502;-10.8;1
196503;-3.3;1
196504;0.3;1
196505;4.4;1
196506;8.9;1
196507;9.3;1
196508;8.9;1
196509;5.8;1
196510;2.3;1
196511;-1;1
196512;-1.6;1
196601;-8.3;1
196602;0.5;1
196603;-3.5;1
196604;2.9;1
196605;4.9;1
196606;8.8;1
196607;8.6;1
196608;9.1;1
196609;7.4;1
196610;6.7;1
196611;-3.4;1
196612;-3.7;1
196701;-6.5;1
196702;-3.3;1
196703;-1.1;1
196704;-0.6;1
196705;4.2;1
196706;6.2;1
196707;10.6;1
196708;9.3;1
196709;6.6;1
196710;4.9;1
196711;-1.3;1
196712;-8.5;1
196801;-6.6;1
196802;-4.3;1
196803;-3.5;1
196804;0.7;1
196805;4;1
196806;7.6;1
196807;9.5;1
196808;9.2;1
196809;6.2;1
196810;4.8;1
196811;-0.8;1
196812;-4.5;1
196901;-5.9;1
196902;-7.8;1
196903;-2.3;1
196904;1;1
196905;4.5;1
196906;6.3;1
196907;10.3;1
196908;8.9;1
196909;6.9;1
196910;1.3;1
196911;-1;1
196912;-13.5;1
197001;-6;1
197002;-5.4;1
197003;-5.4;1
197004;-0.7;1
197005;3.7;1
197006;9.4;1
197007;8.7;1
197008;9.9;1
197009;6.4;1
197010;2.7;1
197011;1;1
197012;-4.9;1
197101;-7.9;1
197102;-4.9;1
197103;-8;1
197104;1.2;1
197105;5.8;1
197106;7.3;1
197107;9;1
197108;10.2;1
197109;4.2;1
197110;1.6;1
197111;-3.2;1
197112;-5.5;1
197201;-4.7;1
197202;-2.6;1
197203;-1.8;1
197204;0.5;1
197205;3.8;1
197206;6.8;1
197207;8.7;1
197208;8.1;1
197209;2.2;1
197210;0;1
197211;-1.5;1
197212;-7.5;1
197301;-8;1
197302;-7.4;1
197303;-7.5;1
197304;-1.3;1
197305;5.5;1
197306;8.4;1
197307;9.9;1
197308;10.8;1
197309;6.6;1
197310;2.3;1
197311;-1.8;1
197312;-4.7;1
197401;-1.4;1
197402;-1.1;1
197403;0.7;1
197404;-0.5;1
197405;3.3;1
197406;6.1;1
197407;9.4;1
197408;10.4;1
197409;7.5;1
197410;0.6;1
197411;-0.8;1
197412;-0.8;1
197501;-1;1
197502;-3.6;1
197503;-2.5;1
197504;0.3;1
197505;4.1;1
197506;7.2;1
197507;9.6;1
197508;10.9;1
197509;9.8;1
197510;1.3;1
197511;-1;1
197512;-5.1;1
197601;-3.8;1
197602;-4;1
197603;-3.8;1
197604;-1.1;1
197605;4.6;1
197606;7.4;1
197607;11.1;1
197608;7.6;1
197609;5.3;1
197610;4;1
197611;0.2;1
197612;-6.3;1
197701;-3;1
197702;0.1;1
197703;0.6;1
197704;-1.1;1
197705;3.3;1
197706;7.9;1
197707;10;1
197708;8.5;1
197709;4.5;1
197710;4;1
197711;-1;1
197712;-3.4;1
