# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 84007005
# NOM_USUEL= AVIGNON
# LATITUDE (°) = 43.911
# LONGITUDE(°)= 4.903
# ALTITUDE (m) = 34
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN084007005
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195901 202312
# Date(s) de rupture(s) d'homogénéité : 196312 196912 197112 198705 201212
#     Periode homogénéisée  195901 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-0.5;1
195902;0;1
195903;6.9;1
195904;7.1;1
195905;10.5;1
195906;14.1;1
195907;17.7;1
195908;16.4;1
195909;14.8;1
195910;9.7;1
195911;3.2;1
195912;3.6;1
196001;-0.2;1
196002;2.4;1
196003;5.8;1
196004;6;1
196005;10.7;1
196006;14.3;1
196007;14.7;1
196008;14.2;1
196009;11.1;1
196010;9;1
196011;4.6;1
196012;0.4;1
196101;0.4;1
196102;3.8;1
196103;2.8;1
196104;8.6;1
196105;10.3;1
196106;14.6;1
196107;15.6;1
196108;14.5;1
196109;14.9;1
196110;10;1
196111;5;1
196112;2.3;1
196201;3.9;1
196202;1.1;1
196203;2.4;1
196204;7.2;1
196205;9.1;1
196206;13.6;1
196207;15.9;1
196208;15.5;1
196209;12.4;1
196210;8.8;1
196211;2.8;1
196212;-4.3;1
196301;-4.1;1
196302;-3.4;1
196303;3.3;1
196304;6;1
196305;8.6;1
196306;13.1;1
196307;15.6;1
196308;14.3;1
196309;13.1;1
196310;6.8;1
196311;7.5;1
196312;-1.4;1
196401;-1.9;1
196402;2.5;1
196403;3.9;1
196404;7.6;1
196405;11;1
196406;14.7;1
196407;16.8;1
196408;15.6;1
196409;14.1;1
196410;7.2;1
196411;3.3;1
196412;1.2;1
196501;2.1;1
196502;-1.6;1
196503;4.3;1
196504;6.6;1
196505;9.6;1
196506;13.2;1
196507;14.6;1
196508;13.6;1
196509;10.6;1
196510;9.5;1
196511;3.6;1
196512;1.8;1
196601;-0.6;1
196602;5.8;1
196603;2.8;1
196604;7.8;1
196605;10.5;1
196606;14;1
196607;14.8;1
196608;14.7;1
196609;13.6;1
196610;12.1;1
196611;2.3;1
196612;1.3;1
196701;-0.3;1
196702;2.3;1
196703;5.4;1
196704;5.4;1
196705;9.8;1
196706;12.2;1
196707;16.3;1
196708;15.3;1
196709;12.7;1
196710;9.6;1
196711;4.9;1
196712;-1.7;1
196801;-1.4;1
196802;3;1
196803;3;1
196804;6.5;1
196805;9;1
196806;12.4;1
196807;15.4;1
196808;14.5;1
196809;12.4;1
196810;10.1;1
196811;4.5;1
196812;2.3;1
196901;1.1;1
196902;-0.8;1
196903;4.2;1
196904;7.3;1
196905;10;1
196906;12;1
196907;15.5;1
196908;14.7;1
