# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 73290002
# NOM_USUEL= TERMIGNON-CLIM
# LATITUDE (°) = 45.275
# LONGITUDE(°)= 6.815
# ALTITUDE (m) = 1280
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN173290002
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 196201 202312
# Date(s) de rupture(s) d'homogénéité : 198612 198912
#     Periode homogénéisée  196201 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;-6.8;1
196202;-8;1
196203;-7.3;1
196204;-1.3;1
196205;2.2;1
196206;5.4;1
196207;8.9;1
196208;8.4;1
196209;4.8;1
196210;1.7;1
196211;-3.6;1
196212;-8.2;1
196301;-12;1
196302;-12.4;1
196303;-5.5;1
196304;0.1;1
196305;3;1
196306;6.9;1
196307;8.4;1
196308;7.1;1
196309;6;1
196310;1.3;1
196311;-0.5;1
196312;-6.9;1
196401;-7.7;1
196402;-5.3;1
196403;-2.9;1
196404;1.1;1
196405;5.9;1
196406;8.3;1
196407;9;1
196408;8.4;1
196409;5.5;1
196410;2.3;1
196411;-1;1
196412;-6.8;1
196501;-8;1
196502;-10.3;1
196503;-3.4;1
196504;-1;1
196505;3.2;1
196506;6.8;1
196507;7.2;1
196508;7.5;1
196509;3.4;1
196510;1.9;1
196511;-2.8;1
196512;-6.2;1
196601;-9.6;1
196602;-2.4;1
196603;-5;1
196604;0.4;1
196605;3.7;1
196606;7.2;1
196607;6.8;1
196608;7.1;1
196609;5.8;1
196610;4.4;1
196611;-6;1
196612;-8.5;1
196701;-9.3;1
196702;-6.6;1
196703;-2.1;1
196704;-1.6;1
196705;3.3;1
196706;5.9;1
196707;8.8;1
196708;8.5;1
196709;4.5;1
196710;2;1
196711;-1.9;1
196712;-8.9;1
196801;-9.3;1
196802;-5.3;1
196803;-4.2;1
196804;1.4;1
196805;3.3;1
196806;6.3;1
196807;8.1;1
196808;6.8;1
196809;4.5;1
196810;1.9;1
196811;-2.6;1
196812;-5.6;1
196901;-8.1;1
196902;-10.2;1
196903;-2.8;1
