# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 51015001
# NOM_USUEL= ARGERS
# LATITUDE (°) = 49.064
# LONGITUDE(°)= 4.85
# ALTITUDE (m) = 152
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN051015001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196201 202212
# Date(s) de rupture(s) d'homogénéité : 197312 198612 199712 200312
#     Periode homogénéisée  196201 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;1.7;1
196202;-1.2;1
196203;-1.7;1
196204;4;1
196205;5;1
196206;7.4;1
196207;9.8;1
196208;10.8;1
196209;8.2;1
196210;5.4;1
196211;1.3;1
196212;-3.3;1
196301;-6.2;1
196302;-6.4;1
196303;1;1
196304;4.2;1
196305;5.8;1
196306;10;1
196307;10.8;1
196308;11.5;1
196309;9.4;1
196310;5.2;1
196311;5.8;1
196312;-3.5;1
196401;-3.3;1
196402;1.6;1
196403;0.9;1
196404;3.6;1
196405;6.9;1
196406;8.8;1
196407;11;1
196408;11.2;1
196409;10.1;1
196410;5.1;1
196411;4.7;1
196412;-0.7;1
196501;0.9;1
196502;-2.5;1
196503;1.3;1
196504;2.8;1
196505;6.5;1
196506;10.1;1
196507;10.1;1
196508;10.8;1
196509;8.2;1
196510;5.1;1
196511;1.8;1
196512;2.3;1
196601;-3.6;1
196602;4.6;1
196603;0.3;1
196604;4.8;1
196605;7.1;1
196606;11.3;1
196607;10.1;1
196608;10.7;1
196609;9.7;1
196610;9.5;1
196611;1.3;1
196612;1.7;1
196701;-0.7;1
196702;1.3;1
196703;2.3;1
196704;1.7;1
196705;6.2;1
196706;8.1;1
196707;11.8;1
196708;11.2;1
196709;9.7;1
196710;8.1;1
196711;2.1;1
196712;-1.6;1
196801;-1.5;1
196802;0;1
196803;0.9;1
196804;3.2;1
196805;5.8;1
196806;9.2;1
196807;11.3;1
196808;11.8;1
196809;10.5;1
196810;8.2;1
196811;2.6;1
196812;-1.6;1
196901;1.4;1
196902;-2.8;1
196903;1.5;1
196904;2.7;1
196905;6.8;1
196906;8.9;1
196907;12.5;1
196908;11.9;1
196909;9.6;1
196910;5.2;1
196911;2.6;1
196912;-3.4;1
197001;-0.3;1
197002;-0.6;1
197003;-0.1;1
197004;2.7;1
197005;7.2;1
197006;11.9;1
197007;10.2;1
197008;12;1
197009;9.4;1
197010;7.3;1
197011;4.1;1
197012;-1.2;1
197101;-2.1;1
197102;-0.1;1
197103;-2.1;1
197104;3.4;1
197105;7.4;1
197106;8.7;1
197107;11.4;1
197108;12;1
197109;7.5;1
197110;4.5;1
197111;0.9;1
197112;1.1;1
197201;-0.8;1
197202;1.1;1
197203;1.4;1
197204;3.5;1
197205;6.3;1
197206;8;1
197207;11.8;1
197208;10.6;1
197209;6.3;1
197210;3.9;1
197211;2;1
197212;0.2;1
197301;-1.7;1
197302;-1;1
197303;-1.3;1
197304;0.9;1
197305;7.3;1
197306;9.9;1
197307;11.4;1
197308;13.5;1
197309;10.1;1
197310;5.1;1
197311;1.1;1
197312;-0.8;1
197401;3.3;1
197402;1.5;1
197403;3.2;1
197404;2.9;1
197405;5.6;1
197406;8.3;1
197407;9.3;1
197408;11.7;1
197409;8.9;1
197410;4.3;1
197411;3.4;1
197412;3.4;1
197501;2.8;1
197502;-0.5;1
197503;1.3;1
197504;3;1
197505;5.7;1
197506;9.1;1
197507;11.7;1
197508;14;1
197509;10.9;1
197510;5.1;1
197511;2.9;1
197512;-0.8;1
197601;0.8;1
197602;-0.2;1
197603;-1.1;1
197604;1.2;1
197605;5.1;1
197606;10;1
197607;13.3;1
197608;9.9;1
197609;8.7;1
197610;8;1
197611;3.4;1
197612;-1.5;1
197701;1;1
197702;2.8;1
197703;2.7;1
197704;1.3;1
197705;6.7;1
197706;9.6;1
197707;11.1;1
197708;10.6;1
197709;7;1
197710;7.7;1
