# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 8367002
# NOM_USUEL= ROCROI
# LATITUDE (°) = 49.919
# LONGITUDE(°)= 4.53
# ALTITUDE (m) = 382
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN108367002
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 197103 201409
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-1.7;1
195902;-1;1
195903;2.8;1
195904;5.4;1
195905;7.8;1
195906;10.2;1
195907;12.8;1
195908;11.9;1
195909;9.1;1
195910;4.9;1
195911;1.7;1
195912;1.6;1
196001;-1.3;1
196002;-0.4;1
196003;3.1;1
196004;3.7;1
196005;8.8;1
196006;11;1
196007;10.6;1
196008;11.3;1
196009;8.8;1
196010;6.8;1
196011;4.4;1
196012;-0.3;1
196101;-1.3;1
196102;2.7;1
196103;3.2;1
196104;7.5;1
196105;6.5;1
196106;10.3;1
196107;10.6;1
196108;11.3;1
196109;12.7;1
196110;7.4;1
196111;0.5;1
196112;-1.9;1
196201;0.2;1
196202;-1.7;1
196203;-2.5;1
196204;4.1;1
196205;5.8;1
196206;8.7;1
196207;10.4;1
196208;10.8;1
196209;8.5;1
196210;5.8;1
196211;0.7;1
196212;-2.8;1
196301;-8.3;1
196302;-6.6;1
196303;1;1
196304;5.2;1
196305;6.3;1
196306;11.2;1
196307;11.7;1
196308;10.9;1
196309;10.2;1
196310;5.5;1
196311;5.2;1
196312;-4.5;1
196401;-2.8;1
196402;1.1;1
196403;0.2;1
196404;4.2;1
196405;9.2;1
196406;10;1
196407;12.2;1
196408;11.6;1
196409;9.7;1
196410;3.9;1
196411;3.9;1
196412;-1.5;1
196501;-0.3;1
196502;-2.9;1
196503;1.1;1
196504;4.1;1
196505;7.5;1
196506;10.1;1
196507;10.8;1
196508;11.3;1
196509;8.6;1
196510;5.1;1
196511;0.4;1
196512;0.9;1
196601;-3.1;1
196602;3.9;1
196603;1.4;1
196604;5.1;1
196605;7.8;1
196606;11.8;1
196607;10.8;1
196608;10.9;1
196609;9.6;1
196610;8.6;1
196611;0;1
196612;0.4;1
196701;-0.7;1
196702;0;1
196703;2.2;1
196704;2.5;1
196705;7.4;1
196706;9.5;1
196707;10.1;1
196708;9.9;1
196709;8.4;1
196710;7.8;1
196711;1.6;1
196712;-1.9;1
196801;-2;1
196802;-0.8;1
196803;2.4;1
196804;4;1
196805;6;1
196806;9.9;1
196807;11.3;1
196808;12.5;1
196809;10.3;1
196810;8.1;1
196811;1.7;1
196812;-1.5;1
196901;2.2;1
196902;-3.3;1
196903;1.3;1
196904;3.8;1
196905;8.2;1
196906;9.6;1
196907;13.7;1
196908;12.5;1
196909;10;1
196910;7.5;1
