# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 51153001
# NOM_USUEL= CHOUILLY
# LATITUDE (°) = 49.018
# LONGITUDE(°)= 3.982
# ALTITUDE (m) = 172
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTN051153001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196912 197612 199112 199712
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-0.5;1
195902;-2.3;1
195903;3.8;1
195904;5.6;1
195905;9.3;1
195906;11.2;1
195907;14;1
195908;13.4;1
195909;9.3;1
195910;4.8;1
195911;2.5;1
195912;1.9;1
196001;-0.5;1
196002;0.8;1
196003;4.4;1
196004;5.3;1
196005;9.3;1
196006;12.2;1
196007;12;1
196008;13;1
196009;9.5;1
196010;8.1;1
196011;5.7;1
196012;0.5;1
196101;0.8;1
196102;3.6;1
196103;2.8;1
196104;8.4;1
196105;8.1;1
196106;11.4;1
196107;11.7;1
196108;12.8;1
196109;13.6;1
196110;8.6;1
196111;2.9;1
196112;1;1
196201;2.2;1
196202;0;1
196203;0;1
196204;5.9;1
196205;7.6;1
196206;10.1;1
196207;11.4;1
196208;12;1
196209;9.2;1
196210;6.7;1
196211;1.9;1
196212;-2.4;1
196301;-5.6;1
196302;-5.2;1
196303;2.5;1
196304;6.2;1
196305;7.7;1
196306;12.7;1
196307;13;1
196308;12.4;1
196309;10.2;1
196310;4.8;1
196311;4.6;1
196312;-2.8;1
196401;-2.3;1
196402;2.4;1
196403;2.1;1
196404;5.6;1
196405;9.3;1
196406;11.2;1
196407;12.7;1
196408;12.8;1
196409;11;1
196410;5;1
196411;5.2;1
196412;-0.4;1
196501;1.1;1
196502;-1.3;1
196503;2.5;1
196504;4.8;1
196505;8.3;1
196506;10.8;1
196507;11.8;1
196508;11.9;1
196509;9.3;1
196510;6;1
196511;2.8;1
196512;2.8;1
196601;-2.1;1
196602;5.5;1
196603;2.5;1
196604;6.8;1
196605;9.4;1
196606;13.1;1
196607;12.2;1
196608;12.2;1
196609;10.5;1
196610;9.6;1
196611;2;1
196612;2.3;1
196701;-1;1
196702;2.3;1
196703;3.6;1
196704;3.5;1
196705;7.9;1
196706;10.5;1
196707;13.8;1
196708;12.9;1
196709;11.3;1
196710;8.6;1
196711;2.5;1
196712;-0.5;1
196801;-0.2;1
196802;0.9;1
196803;3.2;1
196804;5.2;1
196805;7.6;1
196806;10.1;1
196807;12.4;1
196808;12.9;1
196809;10.8;1
196810;8.5;1
196811;2.3;1
196812;-0.6;1
196901;1.4;1
196902;-1.7;1
196903;2.8;1
196904;5;1
196905;9.1;1
196906;11;1
196907;14.7;1
196908;13.2;1
196909;11.4;1
196910;6.3;1
196911;3.9;1
196912;-2;1
197001;0.4;1
197002;0.7;1
197003;0.2;1
197004;3.9;1
197005;9;1
197006;13.8;1
197007;11.8;1
197008;12.5;1
197009;10.2;1
197010;7.6;1
197011;4.5;1
197012;0.1;1
197101;-0.8;1
197102;1.3;1
197103;-0.1;1
197104;5.3;1
197105;10.2;1
197106;10.4;1
197107;13.4;1
197108;13.1;1
197109;8.3;1
197110;4.8;1
197111;1.1;1
197112;1.2;1
197201;-0.3;1
197202;1.2;1
197203;2.6;1
197204;5.6;1
197205;8.2;1
197206;9.2;1
197207;13.3;1
197208;11.6;1
197209;7.8;1
197210;4.5;1
197211;2.8;1
197212;1;1
197301;-0.6;1
197302;0.5;1
197303;1;1
197304;3.4;1
197305;9.4;1
197306;12.1;1
197307;13.6;1
197308;14;1
197309;11;1
197310;5.3;1
197311;1.7;1
197312;0.6;1
197401;3.5;1
197402;2.4;1
197403;4.4;1
197404;5.1;1
197405;7.8;1
197406;10.8;1
197407;11.3;1
197408;13.2;1
197409;9.8;1
197410;4.8;1
197411;4;1
197412;4.1;1
197501;3.5;1
197502;0.2;1
197503;2.4;1
197504;4.8;1
197505;7.6;1
197506;11;1
197507;13.9;1
197508;15;1
197509;11.2;1
197510;5.6;1
197511;2.8;1
197512;0.2;1
197601;1.4;1
197602;0.7;1
197603;0.6;1
197604;3.7;1
197605;7.9;1
197606;12.5;1
197607;15.2;1
197608;11.9;1
197609;9.1;1
197610;8.4;1
197611;4;1
197612;-0.9;1
197701;1.4;1
197702;3.1;1
197703;3.5;1
197704;3;1
197705;8.1;1
197706;10.6;1
197707;13;1
197708;11.9;1
197709;7.6;1
197710;7.3;1
197711;4;1
197712;1.4;1
197801;0.2;1
197802;-1;1
197803;3.5;1
197804;3.4;1
197805;8.7;1
197806;11;1
197807;11.9;1
197808;12.1;1
197809;8.5;1
197810;5.9;1
197811;0.9;1
197812;1.5;1
197901;-5.2;1
197902;-0.3;1
197903;2.9;1
197904;4.2;1
197905;7.7;1
197906;12.4;1
197907;12.2;1
197908;11.6;1
197909;9;1
197910;8.3;1
197911;2.5;1
197912;3.5;1
198001;-1.4;1
198002;3;1
198003;2.8;1
198004;4.7;1
198005;8.1;1
198006;10.5;1
198007;11.8;1
198008;13;1
198009;10.3;1
198010;5.8;1
198011;1.6;1
198012;-0.2;1
198101;-0.2;1
198102;-1.2;1
198103;6.8;1
198104;6.1;1
198105;9.4;1
198106;11.2;1
198107;13.1;1
198108;12.9;1
198109;10.6;1
198110;7;1
198111;4.2;1
198112;0.7;1
198201;-0.3;1
198202;0.5;1
198203;2.1;1
198204;4;1
198205;9;1
198206;13.2;1
198207;14.6;1
