# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 86041001
# NOM_USUEL= BUXEROLLES
# LATITUDE (°) = 46.612
# LONGITUDE(°)= 0.364
# ALTITUDE (m) = 110
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2014-12-31
# NUM_SERIE= MRR186041001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 197012
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.6;1
195002;84;1
195003;39.9;1
195004;45.7;1
195005;68.8;1
195006;30.7;1
195007;21;1
195008;63;1
195009;71.5;1
195010;31.8;1
195011;133.1;1
195012;100.9;1
195101;40;1
195102;67.3;1
195103;101.1;1
195104;44;1
195105;123.3;1
195106;93;1
195107;29.5;1
195108;47;1
195109;43.5;1
195110;43.7;1
195111;66.6;1
195112;57.9;1
195201;60.7;1
195202;43.2;1
195203;86.4;1
195204;31;1
195205;26.6;1
195206;7.8;1
195207;22.8;1
195208;87.4;1
195209;156.6;1
195210;119.9;1
195211;115.3;1
195212;102.6;1
195301;28.8;1
195302;28;1
195303;1.7;1
195304;49.6;1
195305;30.4;1
195306;42.6;1
195307;91;1
195308;27.7;1
195309;57.6;1
195310;90.5;1
195311;40.9;1
195312;18.6;1
195401;31.8;1
195402;48.4;1
195403;108.2;1
195404;1.7;1
195405;31.8;1
195406;59.6;1
195407;20.5;1
195408;59.3;1
195409;36.3;1
195410;47.3;1
195411;59.7;1
195412;73.2;1
195501;142.8;1
195502;132.6;1
195503;45.4;1
195504;1.2;1
195505;40.7;1
195506;105.2;1
195507;82.5;1
195508;12.4;1
195509;14.7;1
195510;36.2;1
195511;36.6;1
195512;75;1
195601;59.6;1
195602;3.4;1
195603;22.4;1
195604;95.3;1
195605;30.4;1
195606;23.5;1
195607;43.6;1
195608;72.2;1
195609;19.7;1
195610;46.5;1
195611;20.7;1
195612;34.7;1
195701;23.1;1
195702;103.4;1
195703;17.7;1
195704;28;1
195705;28.3;1
195706;124.1;1
195707;34.6;1
195708;21.2;1
195709;38.4;1
195710;16;1
195711;49.5;1
195712;19.8;1
195801;108.6;1
195802;45.4;1
195803;65.2;1
195804;42.4;1
195805;93.5;1
195806;104;1
195807;102;1
195808;66.6;1
195809;65.6;1
195810;46.6;1
195811;47.4;1
195812;111.7;1
195901;60.6;1
195902;14.6;1
195903;35.5;1
195904;92.6;1
195905;67.3;1
195906;60.4;1
195907;3.6;1
195908;131.8;1
195909;15.4;1
195910;82.5;1
195911;63;1
195912;119.7;1
196001;85.9;1
196002;63.7;1
196003;69.3;1
196004;29.2;1
196005;63.5;1
196006;22.5;1
196007;71.8;1
196008;62.8;1
196009;78;1
196010;192.1;1
196011;104.5;1
196012;120.5;1
196101;122.2;1
196102;30.7;1
196103;1.5;1
196104;45.6;1
196105;44.9;1
196106;38;1
196107;46.2;1
196108;7.8;1
196109;29.2;1
196110;85.6;1
196111;102.6;1
196112;81.3;1
196201;76.4;1
196202;25.4;1
196203;89.2;1
196204;49.2;1
196205;72.2;1
196206;24.8;1
196207;38.1;1
196208;9.3;1
196209;52.1;1
196210;40.6;1
196211;105.1;1
196212;51.2;1
196301;37.4;1
196302;50.4;1
196303;87.1;1
196304;57.2;1
196305;28;1
196306;112.1;1
196307;20;1
196308;191.9;1
196309;50.1;1
196310;30.9;1
196311;102.3;1
196312;30;1
196401;8;1
196402;77.3;1
196403;58.5;1
196404;91.2;1
196405;102.9;1
196406;30.8;1
196407;13.3;1
196408;28;1
196409;62.5;1
196410;92.3;1
196411;50.4;1
196412;32.7;1
196501;92.6;1
196502;8.2;1
196503;61.5;1
196504;41.3;1
196505;32.5;1
196506;15.2;1
196507;77.1;1
196508;117.9;1
196509;148.4;1
196510;30.9;1
196511;119.6;1
196512;99.4;1
196601;61.8;1
196602;127.6;1
196603;19.3;1
196604;86.3;1
196605;42.1;1
196606;74.2;1
196607;63.1;1
196608;85;1
196609;29.9;1
196610;91;1
196611;120.7;1
196612;78;1
196701;45.5;1
196702;61.3;1
196703;53.4;1
196704;31.3;1
196705;74.9;1
196706;17.3;1
196707;6.8;1
196708;45.9;1
196709;67.6;1
196710;82.8;1
196711;63.7;1
196712;49.9;1
196801;42.6;1
196802;53.8;1
196803;56.4;1
196804;88.9;1
196805;36.1;1
196806;58;1
196807;106.8;1
196808;134.5;1
196809;66.8;1
196810;66.4;1
196811;22.1;1
196812;70.8;1
196901;50.1;1
196902;40.3;1
