# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 59392001
# NOM_USUEL= MAUBEUGE
# LATITUDE (°) = 50.272
# LONGITUDE(°)= 3.967
# ALTITUDE (m) = 142
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR059392001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 196201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;104.3;1
196202;52;1
196203;48.1;1
196204;65.7;1
196205;74.3;1
196206;8.1;1
196207;83.2;1
196208;56.4;1
196209;67;1
196210;54.6;1
196211;49.8;1
196212;81.9;1
196301;15.5;1
196302;18;1
196303;54.7;1
196304;42.1;1
196305;85.9;1
196306;175.4;1
196307;34.2;1
196308;127.1;1
196309;26;1
196310;69.1;1
196311;145.2;1
196312;17.1;1
196401;28.3;1
196402;16.9;1
196403;68.6;1
196404;38;1
196405;33;1
196406;122.7;1
196407;23.6;1
196408;59;1
196409;56.8;1
196410;112.8;1
196411;100.1;1
196412;61.2;1
196501;125.5;1
196502;26.2;1
196503;51.1;1
196504;80.2;1
196505;150.6;1
196506;64.3;1
196507;127.2;1
196508;125.7;1
196509;81.3;1
196510;26.5;1
196511;112.8;1
196512;187.5;1
196601;42.8;1
196602;65.4;1
196603;62.5;1
196604;87.8;1
196605;53.1;1
196606;125.8;1
196607;123.8;1
196608;88.8;1
196609;27;1
196610;104.9;1
196611;99.7;1
196612;197.5;1
196701;39.1;1
196702;68.8;1
196703;54.5;1
196704;50.5;1
196705;61;1
196706;37.3;1
196707;34.1;1
196708;45.9;1
196709;71.2;1
196710;82;1
196711;67.8;1
196712;85.2;1
196801;91.4;1
196802;52.2;1
196803;47.2;1
196804;35.7;1
196805;43.1;1
196806;57.3;1
196807;124.7;1
196808;102.8;1
196809;166.3;1
196810;46.3;1
196811;31.7;1
196812;73.9;1
196901;36.2;1
196902;53.1;1
196903;52.8;1
196904;58.1;1
196905;55.5;1
196906;112.9;1
196907;63.1;1
196908;137.8;1
196909;20;1
196910;4.1;1
196911;78.2;1
196912;44.6;1
197001;28.7;1
197002;120.7;1
197003;76.5;1
197004;108.1;1
197005;30.9;1
197006;42.4;1
197007;78;1
197008;67.7;1
197009;32.6;1
197010;66.3;1
197011;89.4;1
197012;30.4;1
197101;62.5;1
197102;52.2;1
197103;33.8;1
197104;26.5;1
197105;74;1
197106;130.9;1
197107;53.1;1
197108;68.4;1
197109;24.9;1
197110;21.9;1
197111;141.7;1
197112;17.3;1
197201;78.7;1
197202;33.1;1
197203;51.4;1
197204;93.9;1
197205;86.9;1
197206;79.4;1
197207;103.1;1
197208;75.1;1
197209;62.6;1
197210;29.9;1
197211;106.3;1
197212;32.4;1
197301;30.8;1
197302;66.8;1
197303;11.4;1
197304;64.8;1
197305;73.8;1
197306;56.8;1
197307;92.2;1
197308;13.3;1
197309;82.8;1
197310;52.1;1
197311;50;1
197312;57;1
197401;70.8;1
197402;55.2;1
197403;65.5;1
197404;14.9;1
197405;40.4;1
197406;76.7;1
197407;55.8;1
197408;95.6;1
197409;157.5;1
197410;160.4;1
197411;130.7;1
197412;107.4;1
197501;83.2;1
197502;14.8;1
197503;129.2;1
197504;60.1;1
197505;33.6;1
197506;49.8;1
197507;35.1;1
197508;62.2;1
197509;90.3;1
197510;23.6;1
197511;123.2;1
197512;31;1
197601;56.2;1
197602;46.6;1
197603;41;1
197604;19.7;1
197605;41.6;1
197606;7.8;1
197607;95.8;1
197608;15.4;1
197609;87.9;1
197610;66.5;1
197611;84;1
197612;39.6;1
197701;72.7;1
197702;98.9;1
197703;62.5;1
197704;78.8;1
197705;62.2;1
197706;121.3;1
197707;57.6;1
197708;42.6;1
197709;19.4;1
197710;47.3;1
197711;118.1;1
197712;61.6;1
197801;78.2;1
197802;30.3;1
197803;106.7;1
197804;51.3;1
197805;104.3;1
197806;75.8;1
197807;67.6;1
197808;35.2;1
197809;37.9;1
197810;15.5;1
197811;15;1
197812;106.9;1
197901;57.1;1
197902;53.9;1
197903;152.1;1
197904;80.6;1
197905;53.3;1
197906;68.9;1
197907;46.7;1
197908;61;1
197909;27.4;1
197910;61.7;1
197911;127.8;1
197912;120.3;1
198001;51.8;1
198002;69.4;1
198003;107.7;1
198004;43;1
198005;78.5;1
198006;111.3;1
198007;161.1;1
198008;48.3;1
198009;7.8;1
198010;95.6;1
198011;69.2;1
198012;87.6;1
198101;101.3;1
198102;36.5;1
198103;96.7;1
198104;26;1
198105;116.6;1
198106;129.7;1
198107;53.3;1
198108;32.6;1
198109;76.2;1
198110;170.5;1
198111;62.3;1
198112;117.6;1
198201;62.7;1
198202;11.3;1
198203;79.8;1
198204;49.8;1
198205;118.2;1
198206;108.7;1
198207;42.3;1
198208;90.9;1
198209;65.7;1
198210;96.2;1
198211;87.4;1
198212;102.2;1
198301;104.9;1
198302;57.4;1
198303;87;1
198304;63;1
198305;120.9;1
198306;121;1
198307;16.3;1
198308;10.6;1
198309;70.2;1
198310;39.8;1
198311;65.5;1
198312;46.8;1
198401;143.3;1
198402;71.3;1
198403;60.3;1
198404;32.6;1
198405;116.9;1
198406;50.2;1
198407;34.7;1
198408;24.1;1
198409;149.4;1
198410;96.7;1
198411;86.2;1
198412;57.1;1
198501;56.6;1
198502;32.7;1
198503;110.6;1
198504;89.1;1
198505;80;1
198506;104.9;1
198507;45.6;1
198508;57.2;1
198509;27.6;1
198510;16.6;1
198511;62.4;1
198512;52.2;1
198601;151.5;1
198602;3.9;1
198603;137.9;1
198604;72.5;1
198605;46.8;1
198606;124.8;1
198607;31.7;1
198608;54;1
198609;43.5;1
198610;103.2;1
198611;77.1;1
198612;105.8;1
198701;29.3;1
198702;61.4;1
198703;103.3;1
198704;37.2;1
198705;76.7;1
198706;125.5;1
198707;147.6;1
198708;83.9;1
198709;59.8;1
198710;115.2;1
198711;120;1
198712;22.8;1
198801;137;1
198802;93.2;1
198803;157.6;1
198804;16.5;1
198805;82.5;1
198806;43.9;1
198807;150.2;1
198808;58.8;1
198809;64.4;1
198810;85.8;1
198811;56.2;1
198812;65.9;1
198901;46.4;1
198902;69.4;1
198903;93.3;1
198904;136.1;1
198905;34.4;1
198906;73.9;1
198907;34.2;1
198908;28.9;1
198909;57.5;1
198910;72.1;1
198911;31.7;1
198912;84.3;1
199001;58;1
199002;127.4;1
199003;27.2;1
199004;55.9;1
199005;8.5;1
199006;80;1
199007;31.5;1
199008;40.7;1
199009;46.8;1
199010;69.1;1
199011;77.6;1
199012;115.4;1
199101;82.9;1
199102;34.3;1
199103;47.7;1
199104;51;1
199105;21;1
199106;87.9;1
199107;56.7;1
199108;10.4;1
199109;46.2;1
199110;29.1;1
199111;102.2;1
199112;74.4;1
199201;19.6;1
199202;52.5;1
199203;113.6;1
199204;55;1
199205;60.9;1
199206;131.3;1
199207;64.5;1
199208;166.1;1
199209;49.9;1
199210;104;1
199211;96.7;1
199212;82.4;1
199301;127.1;1
199302;16.4;1
199303;8.3;1
199304;52;1
199305;65.1;1
199306;53.4;1
199307;107.2;1
199308;50.1;1
199309;82.9;1
199310;107.2;1
199311;53.6;1
199312;232.9;1
199401;110.7;1
199402;32.8;1
199403;105.2;1
199404;90.7;1
199405;76.2;1
199406;46.2;1
199407;55.2;1
199408;72.9;1
199409;102.1;1
199410;52.3;1
199411;38.6;1
199412;115;1
199501;198.4;1
199502;108.3;1
199503;94.3;1
199504;67.3;1
199505;53.4;1
199506;50.8;1
199507;79.6;1
199508;33.2;1
199509;93.2;1
199510;7;1
199511;29.7;1
199512;81.4;1
199601;22.1;1
199602;63.6;1
199603;35.5;1
199604;6.8;1
199605;87.4;1
199606;21.5;1
199607;31.7;1
199608;196.8;1
199609;46.2;1
199610;41.5;1
199611;114.5;1
199612;44;1
199701;2.9;1
199702;131.5;1
199703;35.3;1
199704;24.9;1
199705;82.3;1
199706;106.7;1
199707;72.9;1
199708;49.1;1
199709;12.3;1
199710;90;1
199711;97.8;1
199712;88.8;1
199801;84.9;1
199802;14.8;1
199803;71.6;1
199804;122.8;1
199805;27.7;1
199806;140.6;1
199807;73.4;1
199808;20.4;1
199809;98.4;1
199810;163.7;1
199811;79.4;1
199812;74;1
199901;97.9;1
199902;97;1
199903;76.1;1
199904;67.3;1
199905;48.5;1
199906;71.3;1
199907;52.5;1
199908;75.6;1
199909;71.7;1
199910;45.6;1
199911;47.6;1
199912;191.6;1
200001;64.3;1
200002;92.7;1
200003;75.3;1
200004;74.6;1
200005;89.8;1
