# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 75112004
# NOM_USUEL= ST-ANTOINE
# LATITUDE (°) = 48.848
# LONGITUDE(°)= 2.381
# ALTITUDE (m) = 36
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2023-01-31
# NUM_SERIE= MRR275112004
# Amplitude minimale détectable de la série = 0.04
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 197511 197812
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;26.7;1
195002;53.3;1
195003;16.4;1
195004;57.4;1
195005;80.7;1
195006;29.7;1
195007;82.1;1
195008;46.3;1
195009;94.1;1
195010;12.8;1
195011;52.2;1
195012;78;1
195101;49;1
195102;57.1;1
195103;57.2;1
195104;38.3;1
195105;97.6;1
195106;79.7;1
195107;34.1;1
195108;119.9;1
195109;37.4;1
195110;24.3;1
195111;53.3;1
195112;33.8;1
195201;52.4;1
195202;41;1
195203;85.7;1
195204;6.1;1
195205;66.9;1
195206;21.6;1
195207;27.7;1
195208;78.6;1
195209;104.4;1
195210;61;1
195211;91.9;1
195212;69.8;1
195301;19.2;1
195302;26.6;1
195303;0.2;1
195304;50.2;1
195305;17.3;1
195306;66.3;1
195307;43.3;1
195308;39;1
195309;29.9;1
195310;18.5;1
195311;13.4;1
195312;7.5;1
195401;22.8;1
195402;44.6;1
195403;42.6;1
195404;1.3;1
195405;28.4;1
195406;36.4;1
195407;31.1;1
195408;55.7;1
195409;91.1;1
195410;33.9;1
195411;23.3;1
195412;35.3;1
195501;83.5;1
195502;71.8;1
195503;18.2;1
195504;8.1;1
195505;53.1;1
195506;55.4;1
195507;80.8;1
195508;15.5;1
195509;37.6;1
195510;44.4;1
195511;21.8;1
195512;45.6;1
195601;62.6;1
195602;10.3;1
195603;6.1;1
195604;54.4;1
195605;22.2;1
195606;29.3;1
195607;39.6;1
195608;87.5;1
195609;29.7;1
195610;63.7;1
195611;30.2;1
195612;29.5;1
195701;16.6;1
195702;80.7;1
195703;14.6;1
195704;15.8;1
195705;22.9;1
195706;82.6;1
195707;60.3;1
195708;45.4;1
195709;93.1;1
195710;19.7;1
195711;22.8;1
195712;30.5;1
195801;75.5;1
195802;77.8;1
195803;17;1
195804;57.5;1
195805;90.1;1
195806;123.6;1
195807;78.6;1
195808;56.1;1
195809;30.4;1
195810;45.4;1
195811;55;1
195812;58.4;1
195901;80.6;1
195902;0.1;1
195903;38.8;1
195904;68.6;1
195905;34.5;1
195906;32.9;1
195907;8.2;1
195908;20.2;1
195909;1.9;1
195910;46;1
195911;43;1
195912;71.3;1
196001;31;1
196002;31.9;1
196003;33.2;1
196004;9.1;1
196005;34.8;1
196006;94;1
196007;64.9;1
196008;87.7;1
196009;53.9;1
196010;130.8;1
196011;56.4;1
196012;52.3;1
196101;58.2;1
196102;35.5;1
196103;2.7;1
196104;30.6;1
196105;43.1;1
196106;31;1
196107;63.6;1
196108;3;1
196109;66.3;1
