# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28406001
# NOM_USUEL= VIABON
# LATITUDE (°) = 48.196
# LONGITUDE(°)= 1.68
# ALTITUDE (m) = 138
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-02-15
# NUM_SERIE= MRR228406001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 198912 200212 200712
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;21.7;1
194702;39.2;1
194703;92.9;1
194704;11.6;1
194705;70.6;1
194706;35.3;1
194707;21;1
194708;51.5;1
194709;4.8;1
194710;10.2;1
194711;67.8;1
194712;49.5;1
194801;66.1;1
194802;18.2;1
194803;12.7;1
194804;60.7;1
194805;64.6;1
194806;38.7;1
194807;39.9;1
194808;61.5;1
194809;18.4;1
194810;19.4;1
194811;48.7;1
194812;34.1;1
194901;18.2;1
194902;6.1;1
194903;12.1;1
194904;20.7;1
194905;29;1
194906;24.9;1
194907;4.5;1
194908;68.3;1
194909;84.2;1
194910;62.2;1
194911;56.7;1
194912;28.8;1
195001;18.5;1
195002;52.3;1
195003;27.1;1
195004;41.5;1
195005;57.7;1
195006;26;1
195007;63.4;1
195008;45.2;1
195009;48.6;1
195010;17.4;1
195011;56;1
195012;58.8;1
195101;36.5;1
195102;39.3;1
195103;44.5;1
195104;33.5;1
195105;153.8;1
195106;68.3;1
195107;32.4;1
195108;90.4;1
195109;29.6;1
195110;25.4;1
195111;39.2;1
195112;32.5;1
195201;37.6;1
195202;31;1
195203;77.8;1
195204;9.1;1
195205;37.5;1
195206;35.2;1
195207;1.7;1
195208;38;1
195209;128.2;1
195210;61.8;1
195211;80.7;1
195212;57;1
195301;4.4;1
195302;3.2;1
195303;0;1
195304;52.2;1
195305;10;1
195306;29.1;1
195307;118;1
195308;20;1
195309;32.2;1
195310;43.6;1
195311;19.9;1
195312;9.3;1
195401;22.9;1
195402;43.6;1
195403;54.1;1
195404;3.5;1
195405;16.6;1
195406;69.7;1
195407;27.9;1
195408;52.3;1
195409;50.3;1
195410;32.7;1
195411;29.7;1
195412;50.2;1
195501;87.3;1
195502;44.7;1
195503;10.7;1
195504;4.4;1
195505;31.1;1
195506;51.4;1
195507;73.9;1
195508;23.2;1
195509;38.5;1
195510;29.7;1
195511;30.3;1
195512;66.6;1
195601;56.9;1
195602;5;1
195603;21;1
195604;34.4;1
195605;55.9;1
195606;31.7;1
195607;74.5;1
195608;66.5;1
195609;19;1
195610;46.2;1
195611;21.9;1
195612;27;1
195701;21.6;1
195702;59.3;1
195703;19;1
195704;53;1
195705;21.4;1
195706;69.3;1
195707;73.5;1
195708;32.2;1
195709;67.7;1
195710;17.8;1
195711;22.5;1
195712;29;1
195801;65.9;1
195802;104.9;1
195803;42;1
195804;47.2;1
195805;81.6;1
195806;73.5;1
195807;67.9;1
195808;103.4;1
195809;31.5;1
195810;39.2;1
195811;42.7;1
195812;61.3;1
195901;65.5;1
195902;1.1;1
195903;37.3;1
195904;40.7;1
195905;20.2;1
195906;27.5;1
195907;2.3;1
195908;25.8;1
195909;7.7;1
195910;45.6;1
195911;48;1
195912;68.4;1
196001;43.1;1
196002;32.3;1
196003;59.7;1
196004;22.6;1
196005;59.5;1
196006;57.5;1
196007;56.7;1
196008;134.8;1
196009;52.7;1
196010;133.8;1
196011;77;1
196012;80.1;1
196101;79.8;1
196102;33.1;1
196103;1.2;1
196104;29.5;1
196105;29.5;1
196106;27.6;1
196107;30.7;1
196108;4.5;1
196109;44.6;1
196110;69.6;1
196111;56.6;1
196112;51.3;1
196201;40.5;1
196202;20;1
196203;66.9;1
196204;37.7;1
196205;36.8;1
196206;10.6;1
196207;40.5;1
196208;21.4;1
196209;32.1;1
196210;52.7;1
196211;96.6;1
196212;40;1
196301;19.2;1
196302;19.2;1
196303;61.6;1
196304;52;1
196305;41.5;1
196306;111.9;1
196307;29.3;1
196308;85;1
196309;24.3;1
196310;27.9;1
196311;103.8;1
196312;6.1;1
196401;19;1
196402;52.5;1
196403;40.5;1
196404;65.5;1
196405;36.1;1
196406;30.3;1
196407;9.6;1
196408;11.1;1
196409;42.6;1
196410;42.7;1
196411;21.8;1
196412;27;1
196501;77.3;1
196502;5.9;1
196503;42.3;1
196504;40.5;1
196505;74.6;1
196506;22.4;1
196507;40.3;1
196508;95.6;1
196509;118.7;1
196510;20.6;1
196511;99;1
196512;81.2;1
196601;74.4;1
196602;60.6;1
196603;14.6;1
196604;66.9;1
196605;31.1;1
196606;49.7;1
196607;64.9;1
196608;70.8;1
196609;19.2;1
196610;120.5;1
196611;91.4;1
196612;78.9;1
196701;19.3;1
196702;51.8;1
196703;40.3;1
196704;17.6;1
196705;52.5;1
196706;29.3;1
196707;6.5;1
196708;47.6;1
196709;54.5;1
196710;67.7;1
196711;59.5;1
196712;65.3;1
196801;75;1
196802;60.5;1
196803;42.2;1
196804;50.7;1
196805;43.7;1
196806;43.2;1
196807;44.5;1
196808;105.5;1
196809;78.2;1
196810;34.9;1
196811;34.6;1
196812;47;1
196901;26.1;1
196902;16.1;1
196903;57.8;1
196904;31.7;1
196905;56.2;1
196906;27.5;1
196907;37.2;1
196908;57.6;1
196909;58.1;1
196910;3.1;1
196911;113.1;1
196912;63.6;1
197001;58.4;1
197002;73.1;1
197003;53.7;1
197004;40.3;1
197005;47.6;1
197006;74.4;1
197007;22.8;1
197008;62.6;1
197009;24.5;1
197010;24.8;1
197011;47.3;1
197012;19.2;1
197101;44.2;1
197102;24.4;1
197103;23.8;1
197104;45.6;1
197105;72.6;1
197106;67.7;1
197107;27.8;1
197108;64.9;1
197109;7.3;1
197110;8.8;1
197111;47.1;1
197112;4.8;1
197201;92.7;1
197202;71.1;1
197203;22;1
197204;27.5;1
197205;40.4;1
197206;29.6;1
197207;75.6;1
197208;111.6;1
197209;37.3;1
197210;17.1;1
197211;95.3;1
197212;33.4;1
197301;33.3;1
197302;39.5;1
197303;4.9;1
197304;25.8;1
197305;65.5;1
197306;63.8;1
197307;72.7;1
197308;33.2;1
197309;45.1;1
197310;25.1;1
197311;40.7;1
197312;45.7;1
197401;59.5;1
197402;36.3;1
