# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80600001
# NOM_USUEL= NOYELLES-SUR-MER
# LATITUDE (°) = 50.179
# LONGITUDE(°)= 1.705
# ALTITUDE (m) = 9
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR080600001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 195912 196409
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;71.1;1
195502;68;1
195503;12.8;1
195504;22.6;1
195505;84;1
195506;103.2;1
195507;18.9;1
195508;75.3;1
195509;67.7;1
195510;55.2;1
195511;6.2;1
195512;101.2;1
195601;83.4;1
195602;16.4;1
195603;14.8;1
195604;28.8;1
195605;24.8;1
195606;73.6;1
195607;69.9;1
195608;116.7;1
195609;42.2;1
195610;54.5;1
195611;63.7;1
195612;23.3;1
195701;14.7;1
195702;117.2;1
195703;41.9;1
195704;55.5;1
195705;24.6;1
195706;62.3;1
195707;37.1;1
195708;102.3;1
195709;149.2;1
195710;61.5;1
195711;37.7;1
195712;48.1;1
195801;73.4;1
195802;109.8;1
195803;36.5;1
195804;58.1;1
195805;55.2;1
195806;142.3;1
195807;36.9;1
195808;134;1
195809;91.9;1
195810;67;1
195811;83.1;1
195812;76.5;1
195901;89.5;1
195902;2.9;1
195903;60.5;1
195904;63.8;1
195905;55.1;1
195906;27.5;1
195907;62.6;1
195908;48.2;1
195909;2.1;1
195910;84.7;1
195911;79.2;1
195912;27.8;1
196001;67.6;1
196002;50.7;1
196003;79;1
196004;18.8;1
196005;110.1;1
196006;38;1
196007;48.3;1
196008;124.7;1
196009;97.1;1
196010;148.6;1
196011;209.4;1
196012;86.3;1
196101;78.1;1
196102;66.4;1
196103;4.4;1
196104;46.2;1
196105;28.2;1
196106;28.9;1
196107;125.2;1
196108;42.2;1
196109;89.8;1
196110;111.8;1
196111;78.7;1
196112;75.1;1
196201;105;1
196202;26.8;1
196203;49.4;1
196204;29.9;1
196205;26.9;1
196206;13.2;1
196207;34.2;1
196208;56.4;1
196209;69.7;1
196210;60.7;1
196211;102.9;1
196212;78.3;1
196301;8.3;1
196302;10.1;1
196303;29.1;1
196304;33.2;1
196305;62.8;1
196306;122.1;1
196307;19.1;1
196308;106.3;1
196309;77.3;1
196310;60.3;1
196311;193.7;1
196312;13.2;1
196401;40.3;1
196402;67.6;1
196403;93;1
196404;74.1;1
196405;33.7;1
196406;130.8;1
196407;28.3;1
196408;25.2;1
196409;55.2;1
196410;186;1
196411;114.4;1
196412;100;1
196501;96.5;1
196502;4.8;1
196503;62.6;1
196504;34.8;1
196505;30.1;1
196506;39.5;1
196507;81.1;1
196508;85.6;1
196509;98;1
196510;17.6;1
196511;73.7;1
196512;245.9;1
196601;51.9;1
196602;73.9;1
196603;21.9;1
196604;71.1;1
196605;46.2;1
196606;82.7;1
196607;90.7;1
196608;61.5;1
196609;23;1
196610;81.4;1
196611;102.6;1
196612;173.7;1
196701;31.7;1
196702;47.2;1
196703;49.1;1
196704;22.6;1
196705;89.8;1
196706;71.3;1
196707;22.6;1
196708;63;1
196709;109.1;1
196710;107.9;1
196711;62.1;1
196712;100.8;1
196801;74.6;1
196802;91.9;1
196803;29.7;1
196804;48.2;1
196805;54.6;1
196806;35;1
196807;165.4;1
196808;68.5;1
196809;107.2;1
196810;91.1;1
196811;19.4;1
196812;28.6;1
196901;34.8;1
196902;43.7;1
196903;55.1;1
196904;55.4;1
196905;103.9;1
196906;98.8;1
196907;56.6;1
196908;49.5;1
196909;9.4;1
196910;16.7;1
196911;137.4;1
196912;65.2;1
197001;76.8;1
197002;103;1
197003;55;1
197004;77.3;1
197005;53.2;1
197006;54.1;1
197007;55.9;1
197008;86.4;1
197009;58.1;1
197010;16.9;1
197011;97.2;1
197012;42.4;1
197101;47.5;1
197102;41;1
197103;18.8;1
197104;22.4;1
197105;41.9;1
197106;122.8;1
197107;15.8;1
197108;112.7;1
197109;38;1
197110;23;1
197111;115.9;1
197112;33.6;1
197201;59.8;1
197202;44;1
197203;42.5;1
197204;61.7;1
197205;72.4;1
197206;40.3;1
197207;42.4;1
197208;38.5;1
197209;37.8;1
197210;7.9;1
197211;131.7;1
197212;36;1
197301;23.5;1
197302;51.4;1
197303;11.8;1
197304;61.4;1
197305;71.7;1
197306;19.9;1
197307;43.9;1
197308;16;1
197309;137.3;1
197310;65.3;1
197311;34.7;1
197312;59.6;1
197401;64.7;1
197402;72.4;1
197403;52.3;1
197404;19;1
197405;31.1;1
197406;61.7;1
197407;39.9;1
197408;71;1
197409;160.2;1
197410;176.4;1
197411;136.8;1
197412;86.6;1
197501;92.7;1
197502;23.2;1
197503;101.6;1
197504;36.7;1
197505;21.8;1
197506;22;1
197507;80.4;1
197508;88.1;1
197509;148.3;1
197510;19.6;1
197511;136.2;1
197512;44.9;1
197601;32;1
197602;40.9;1
197603;27.6;1
197604;14.1;1
197605;16.5;1
197606;6.7;1
197607;9.5;1
197608;6.8;1
197609;135.3;1
197610;143.9;1
197611;106.3;1
197612;78.1;1
197701;104.3;1
197702;70.4;1
197703;66.6;1
197704;44.5;1
197705;84.7;1
197706;81.6;1
197707;38.1;1
197708;40.3;1
197709;24.2;1
197710;70.2;1
197711;151.4;1
197712;67.4;1
197801;87.7;1
197802;37.2;1
197803;73.8;1
197804;111.7;1
197805;36;1
197806;78.2;1
197807;87;1
197808;24.3;1
197809;54.2;1
197810;9.7;1
197811;27.7;1
197812;140.9;1
197901;35.6;1
197902;60.1;1
197903;122.7;1
197904;60.1;1
197905;88.5;1
197906;63.8;1
197907;7.2;1
197908;120;1
197909;25.5;1
197910;84.7;1
197911;121.4;1
197912;174.7;1
198001;36.5;1
198002;63.2;1
198003;109.3;1
198004;23.3;1
198005;44.5;1
198006;98.2;1
198007;150.2;1
198008;58.2;1
198009;45.4;1
198010;169.9;1
198011;74.2;1
198012;76.5;1
198101;61.7;1
198102;26.1;1
198103;85.1;1
198104;32.6;1
198105;123.8;1
198106;75.9;1
198107;39.6;1
198108;39.9;1
198109;128.1;1
198110;165.9;1
198111;50.1;1
198112;100.2;1
198201;75;1
198202;18;1
198203;64;1
198204;31.6;1
198205;53.3;1
198206;79.9;1
198207;13.1;1
198208;122.1;1
198209;69.2;1
198210;159.6;1
198211;154.7;1
198212;153.2;1
198301;81.3;1
198302;47;1
198303;61.5;1
198304;89.9;1
198305;90.1;1
198306;57.8;1
198307;70.7;1
198308;5.5;1
198309;90.9;1
198310;79.4;1
198311;50.3;1
198312;46.7;1
198401;131.2;1
198402;50.2;1
198403;45.7;1
198404;12;1
198405;104.4;1
198406;37.7;1
198407;56;1
198408;66;1
198409;115.2;1
