# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 2086001
# NOM_USUEL= BICHANCOURT
# LATITUDE (°) = 49.579
# LONGITUDE(°)= 3.211
# ALTITUDE (m) = 59
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR002086001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;51.7;1
195502;47.3;1
195503;17.4;1
195504;20.2;1
195505;88.1;1
195506;56.2;1
195507;56.2;1
195508;23.3;1
195509;25.8;1
195510;35.9;1
195511;50.9;1
195512;85.5;1
195601;62.8;1
195602;11.6;1
195603;15;1
195604;54.7;1
195605;13.6;1
195606;68.1;1
195607;65.6;1
195608;69.9;1
195609;63.7;1
195610;90.9;1
195611;44.9;1
195612;35.3;1
195701;30;1
195702;131.2;1
195703;28.2;1
195704;26.9;1
195705;29.5;1
195706;95;1
195707;59.7;1
195708;71.6;1
195709;105.3;1
195710;29.7;1
195711;29.4;1
195712;48.5;1
195801;58.7;1
195802;118;1
195803;28.5;1
195804;33.3;1
195805;48.4;1
195806;71.6;1
195807;46.3;1
195808;73.1;1
195809;45.5;1
195810;52.4;1
195811;53.7;1
195812;64.8;1
195901;57.4;1
195902;2.7;1
195903;62.1;1
195904;59.5;1
195905;5.2;1
195906;48.4;1
195907;20.1;1
195908;22.8;1
195909;6.8;1
195910;62.2;1
195911;47.4;1
195912;61.9;1
196001;37.6;1
196002;38;1
196003;59.2;1
196004;9.1;1
196005;26.3;1
196006;34.2;1
196007;84.1;1
196008;65.9;1
196009;50.6;1
196010;120.2;1
196011;55.1;1
196012;39.2;1
196101;62.8;1
196102;62.3;1
196103;3.4;1
196104;89.6;1
196105;24.7;1
196106;43.9;1
196107;78;1
196108;14.1;1
196109;57.8;1
196110;78.2;1
196111;61.3;1
196112;57;1
196201;68;1
196202;45.2;1
196203;52.7;1
196204;51.7;1
196205;35.5;1
196206;8.3;1
196207;72.9;1
196208;77.9;1
196209;48.5;1
196210;45.1;1
196211;46;1
196212;45.9;1
196301;12.5;1
196302;7.4;1
196303;52;1
196304;35;1
196305;63.7;1
196306;144.5;1
196307;12.9;1
196308;138.6;1
196309;29.1;1
196310;34.6;1
196311;81.5;1
196312;12;1
196401;26.8;1
196402;24.5;1
196403;53.7;1
196404;32.5;1
196405;10.6;1
196406;46.9;1
196407;31.5;1
196408;31.6;1
196409;29.5;1
196410;77.7;1
196411;61.1;1
196412;55.8;1
196501;89.4;1
196502;12.1;1
196503;58.6;1
196504;55.7;1
196505;70.9;1
196506;52.6;1
196507;70.2;1
196508;116;1
196509;109.5;1
196510;23.3;1
196511;92;1
196512;144.1;1
196601;43.4;1
196602;35.7;1
196603;28.2;1
196604;88.8;1
196605;48.7;1
196606;64.1;1
196607;177.4;1
196608;61.4;1
196609;15.4;1
196610;107.6;1
196611;72.3;1
196612;118.1;1
196701;32.8;1
196702;40.5;1
196703;29.2;1
196704;24;1
196705;51.3;1
196706;12.9;1
196707;17.6;1
196708;44.5;1
196709;84.8;1
196710;84.8;1
196711;52.2;1
196712;76.2;1
196801;81.3;1
196802;56.9;1
196803;37.2;1
196804;49;1
196805;42.9;1
196806;100;1
196807;52.1;1
196808;100.5;1
196809;95.8;1
196810;26.9;1
196811;36.4;1
196812;36.9;1
196901;31.9;1
196902;26.7;1
196903;56;1
196904;41.4;1
196905;99.3;1
196906;83.7;1
196907;41.2;1
196908;57.9;1
196909;18;1
196910;2.8;1
196911;79.7;1
196912;51.7;1
197001;48.3;1
197002;111.2;1
197003;52.2;1
197004;67;1
197005;53.3;1
197006;40.6;1
197007;54;1
197008;43.6;1
197009;25.9;1
197010;26.9;1
197011;61.9;1
197012;30.6;1
197101;53.5;1
197102;43.8;1
197103;21.1;1
197104;42.8;1
197105;90.6;1
197106;93.7;1
197107;58.9;1
197108;60.6;1
197109;4.5;1
197110;15.5;1
197111;87.8;1
197112;6.6;1
197201;63.8;1
197202;40.3;1
197203;24.3;1
197204;52.3;1
197205;57.6;1
197206;31.6;1
197207;72.7;1
197208;26.3;1
197209;32.4;1
197210;13.7;1
197211;91.2;1
197212;27.2;1
197301;25.2;1
197302;45;1
197303;10.3;1
197304;51.3;1
197305;105.6;1
197306;34.1;1
197307;44.6;1
197308;19.7;1
197309;116.6;1
197310;70.2;1
197311;69.2;1
197312;38.7;1
197401;55;1
197402;47.7;1
197403;79.3;1
197404;19.8;1
197405;64.6;1
197406;120.6;1
197407;33.1;1
197408;60;1
197409;100.8;1
197410;106.9;1
197411;70.2;1
197412;71.9;1
197501;57.7;1
197502;23;1
197503;79;1
197504;39.4;1
197505;47;1
197506;39.6;1
197507;36.4;1
197508;62.1;1
197509;118.3;1
197510;13.7;1
197511;85.1;1
197512;19.5;1
197601;24.1;1
197602;30.6;1
197603;23.7;1
197604;15.2;1
197605;20.5;1
197606;1.4;1
197607;42.8;1
197608;5.2;1
197609;46.2;1
197610;58.8;1
197611;44.3;1
197612;58.7;1
197701;64.9;1
197702;72.7;1
197703;49;1
197704;54.9;1
197705;74.5;1
197706;72.5;1
197707;48.6;1
197708;27.5;1
197709;7.9;1
197710;42.3;1
197711;74.3;1
197712;42.9;1
197801;68.7;1
197802;42.4;1
197803;90.3;1
197804;75;1
197805;64.9;1
197806;57.8;1
197807;61.1;1
197808;34.6;1
197809;50.4;1
197810;8.9;1
197811;8.6;1
197812;83.7;1
197901;32.1;1
197902;55.6;1
197903;115.2;1
197904;75.7;1
197905;62.1;1
197906;49.5;1
197907;22.6;1
197908;57;1
197909;11.4;1
197910;55;1
197911;68.4;1
197912;119.7;1
198001;45.2;1
198002;65.4;1
198003;67.8;1
198004;20.9;1
198005;84.5;1
198006;108.8;1
198007;72.1;1
198008;46.6;1
198009;10.3;1
198010;78.7;1
198011;66.7;1
198012;60.4;1
