# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 62767001
# NOM_USUEL= ST-POL-TERNOISE
# LATITUDE (°) = 50.389
# LONGITUDE(°)= 2.338
# ALTITUDE (m) = 129
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR162767001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 198010 200509
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;79.7;1
195502;49.9;1
195503;27.2;1
195504;23.9;1
195505;81.7;1
195506;68.1;1
195507;33.6;1
195508;74.6;1
195509;64.4;1
195510;45.2;1
195511;19.7;1
195512;90.9;1
195601;90.1;1
195602;19.3;1
195603;20;1
195604;26.4;1
195605;14.9;1
195606;63.6;1
195607;35.6;1
195608;108.5;1
195609;54.8;1
195610;101.3;1
195611;37;1
195612;39.9;1
195701;27.5;1
195702;156;1
195703;47.9;1
195704;50.2;1
195705;26.2;1
195706;33.2;1
195707;61.4;1
195708;135.8;1
195709;126.1;1
195710;38.2;1
195711;38.6;1
195712;44.4;1
195801;87.1;1
195802;97.2;1
195803;48.5;1
195804;43.5;1
195805;64.1;1
195806;129.5;1
195807;58.6;1
195808;143.9;1
195809;61.3;1
195810;62.5;1
195811;52.9;1
195812;78.5;1
195901;73.2;1
195902;2;1
195903;53;1
195904;72.4;1
195905;30;1
195906;16.1;1
195907;31.1;1
195908;32.1;1
195909;1.8;1
195910;74.6;1
195911;66.9;1
195912;117;1
196001;70.9;1
196002;30.4;1
196003;50.6;1
196004;13.3;1
196005;89.9;1
196006;39.1;1
196007;63.9;1
196008;139.2;1
196009;50.9;1
196010;108.4;1
196011;163.9;1
196012;96.7;1
196101;98.1;1
196102;96.6;1
196103;17.1;1
196104;68.1;1
196105;38.4;1
196106;46.4;1
196107;92.2;1
196108;29.8;1
196109;112;1
196110;100;1
196111;84.2;1
196112;83.4;1
196201;68.3;1
196202;43.8;1
196203;60;1
196204;46.2;1
196205;60.7;1
196206;13.2;1
196207;70.7;1
196208;72.8;1
196209;64.1;1
196210;74.8;1
196211;119.7;1
196212;62.9;1
196301;9.6;1
196302;13.6;1
196303;65.1;1
196304;55.2;1
196305;68;1
196306;90.6;1
196307;49;1
196308;114.1;1
196309;87.7;1
196310;68;1
196311;151.9;1
196312;16.9;1
196401;29.3;1
196402;35.4;1
196403;73.5;1
196404;53.6;1
196405;35.9;1
196406;114.8;1
196407;46.1;1
196408;43.9;1
196409;52.9;1
196410;138.6;1
196411;114.7;1
196412;127;1
196501;129.2;1
196502;14.2;1
196503;55.3;1
196504;68.3;1
196505;67.2;1
196506;54.2;1
196507;93.6;1
196508;61.9;1
196509;116.7;1
196510;19.9;1
196511;81.1;1
196512;215.2;1
196601;52.9;1
196602;115.3;1
196603;31;1
196604;75.1;1
196605;53.1;1
196606;92.5;1
196607;85.7;1
196608;85.3;1
196609;24.1;1
196610;115.3;1
196611;131.1;1
196612;181.3;1
196701;40.4;1
196702;71.1;1
196703;52.1;1
196704;28.8;1
196705;111.5;1
196706;58.9;1
196707;32.2;1
196708;46.9;1
196709;109.3;1
196710;126.4;1
196711;66.1;1
196712;128.2;1
196801;67.7;1
196802;74.4;1
196803;41.5;1
196804;43.2;1
196805;64.8;1
196806;45.1;1
196807;173.2;1
196808;127;1
196809;127.8;1
196810;62.4;1
196811;56.4;1
196812;35;1
196901;56.6;1
196902;86.5;1
196903;68.6;1
196904;61.2;1
196905;114.7;1
196906;97.6;1
196907;62.4;1
196908;74.5;1
196909;21.8;1
196910;8.7;1
196911;126.6;1
196912;76.3;1
197001;72.7;1
197002;113.4;1
197003;92.2;1
197004;100.4;1
197005;36.3;1
197006;63.7;1
197007;65.6;1
197008;45.1;1
197009;85.5;1
197010;32.4;1
197011;111.6;1
197012;39.8;1
197101;73.5;1
197102;39.2;1
197103;39.9;1
197104;28.4;1
197105;31.4;1
197106;140.9;1
197107;21.6;1
197108;135.4;1
197109;18;1
197110;20.8;1
197111;112.4;1
197112;16.1;1
197201;72.1;1
197202;52.7;1
197203;39.8;1
197204;94.5;1
197205;86.7;1
197206;86.5;1
197207;42.2;1
197208;45.4;1
197209;64;1
197210;5.5;1
197211;123;1
197212;51.5;1
197301;23.3;1
197302;69.8;1
197303;9.2;1
197304;66.9;1
197305;71.4;1
197306;24.2;1
197307;59.8;1
197308;14.6;1
197309;134.2;1
197310;68.6;1
197311;29;1
197312;52.4;1
197401;83;1
197402;69.2;1
197403;65.7;1
197404;7.8;1
197405;39.5;1
197406;76.6;1
