# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36107001
# NOM_USUEL= LYE
# LATITUDE (°) = 47.228
# LONGITUDE(°)= 1.5
# ALTITUDE (m) = 130
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-09-16
# NUM_SERIE= MRR036107001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195301 201812
# Date(s) de rupture(s) d'homogénéité : 195712
#     Periode homogénéisée  195301 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;22.7;1
195302;18.4;1
195303;6.7;1
195304;43.7;1
195305;2.7;1
195306;35.9;1
195307;27.8;1
195308;24.7;1
195309;56.5;1
195310;69.8;1
195311;26.9;1
195312;26.9;1
195401;26.9;1
195402;66.2;1
195403;94.2;1
195404;19.1;1
195405;30.3;1
195406;25.4;1
195407;35.9;1
195408;75.4;1
195409;50.7;1
195410;38.4;1
195411;22.2;1
195412;45.8;1
195501;110.8;1
195502;59;1
195503;13.9;1
195504;0;1
195505;39.3;1
195506;96;1
195507;31.4;1
195508;6.7;1
195509;26.9;1
195510;43.5;1
195511;23.1;1
195512;89.7;1
195601;63.3;1
195602;0;1
195603;8.5;1
195604;51.8;1
195605;33.7;1
195606;46.4;1
195607;37;1
195608;74.5;1
195609;36.1;1
195610;24.7;1
195611;14.1;1
195612;20.2;1
195701;24.7;1
195702;104.3;1
195703;8.3;1
195704;16.8;1
195705;52.7;1
195706;66.2;1
195707;61.7;1
195708;44;1
195709;73.8;1
195710;20.2;1
195711;22.9;1
195712;32.8;1
195801;76;1
195802;72.8;1
195803;67;1
195804;45.6;1
195805;120;1
195806;70.8;1
195807;61.4;1
195808;122.2;1
195809;58.6;1
195810;36.2;1
195811;70.2;1
195812;67.6;1
195901;75;1
195902;0;1
195903;30.2;1
195904;98.5;1
195905;86.8;1
195906;44.4;1
195907;8.6;1
195908;33.8;1
195909;30.4;1
195910;37.6;1
195911;45.4;1
195912;56.2;1
196001;46;1
196002;41;1
196003;65;1
196004;27.7;1
196005;55.8;1
196006;47.8;1
196007;44;1
196008;51.4;1
196009;57.8;1
196010;167.6;1
196011;57.4;1
196012;80.8;1
196101;83.2;1
196102;33.6;1
196103;1.6;1
196104;36.6;1
196105;27.4;1
196106;42.6;1
196107;58.4;1
196108;12;1
196109;39;1
196110;52;1
196111;117;1
196112;58.6;1
196201;68.7;1
196202;29.6;1
196203;91.2;1
196204;50;1
196205;53.6;1
196206;32.2;1
196207;39.4;1
196208;44.2;1
196209;40.8;1
196210;23.9;1
196211;96.8;1
196212;32.4;1
196301;32.2;1
196302;46.8;1
196303;72.9;1
196304;46.4;1
196305;58.4;1
196306;83.4;1
196307;25.2;1
196308;93.8;1
196309;37.6;1
196310;29.3;1
196311;53.5;1
196312;1.4;1
196401;13.9;1
196402;71.8;1
196403;67.3;1
196404;59.1;1
196405;32.9;1
