# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36140001
# NOM_USUEL= NEUVY-PAILLOUX
# LATITUDE (°) = 46.883
# LONGITUDE(°)= 1.86
# ALTITUDE (m) = 149
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR136140001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : 199212
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;42.2;1
194702;69.3;1
194703;69.8;1
194704;28.9;1
194705;54.6;1
194706;24.3;1
194707;14.2;1
194708;20.2;1
194709;23.8;1
194710;35.3;1
194711;55;1
194712;66.5;1
194801;77;1
194802;26.6;1
194803;14.7;1
194804;70.6;1
194805;59.7;1
194806;53.6;1
194807;22;1
194808;84.4;1
194809;22;1
194810;26.6;1
194811;26.6;1
194812;46.8;1
194901;23.4;1
194902;11.9;1
194903;37.6;1
194904;30.3;1
194905;50.4;1
194906;30.3;1
194907;9.2;1
194908;31.6;1
194909;147.2;1
194910;30.3;1
194911;78.9;1
194912;44.9;1
195001;12.4;1
195002;63.3;1
195003;14.7;1
195004;65.1;1
195005;70.6;1
195006;55.9;1
195007;29.3;1
195008;33;1
195009;55.9;1
195010;53.2;1
195011;131.1;1
195012;88.9;1
195101;40.3;1
195102;77.5;1
195103;80.7;1
195104;47.7;1
195105;95.4;1
195106;107.3;1
195107;42.2;1
195108;70.6;1
195109;55.9;1
195110;25.7;1
195111;80;1
195112;33.7;1
195201;96.4;1
195202;66.8;1
195203;75.9;1
195204;33.9;1
195205;56.4;1
195206;9.2;1
195207;8.3;1
195208;61;1
195209;94.9;1
195210;178.2;1
195211;88.4;1
195212;114.7;1
195301;24.8;1
195302;30.7;1
195303;7.3;1
195304;58.8;1
195305;34.8;1
195306;56.4;1
195307;48;1
195308;23.7;1
195309;46.8;1
195310;61.8;1
195311;27.8;1
195312;30.1;1
195401;38.9;1
195402;54.9;1
195403;96.7;1
195404;9.7;1
195405;38.4;1
195406;46.8;1
195407;37.1;1
195408;73.5;1
195409;43.6;1
195410;75.3;1
195411;53.5;1
195412;53.3;1
195501;128.1;1
195502;108.6;1
195503;56.6;1
195504;9.7;1
195505;28;1
195506;81.7;1
195507;52.7;1
195508;27.3;1
195509;29.9;1
195510;8.9;1
195511;23.8;1
195512;92.4;1
195601;54.9;1
195602;14.8;1
195603;18.2;1
195604;73.3;1
195605;47.6;1
195606;44.9;1
195607;64.8;1
195608;89.5;1
195609;55.2;1
195610;33.5;1
195611;34.6;1
195612;28.2;1
195701;25.5;1
195702;107.8;1
195703;41.4;1
195704;24.8;1
195705;25.8;1
195706;96.2;1
195707;48;1
195708;26.6;1
195709;52.4;1
195710;32.8;1
195711;23.8;1
195712;39.7;1
195801;81.6;1
195802;57.3;1
195803;63.5;1
195804;36.2;1
195805;102.1;1
195806;70.4;1
195807;104.1;1
195808;109.1;1
195809;52.4;1
195810;45.6;1
195811;64.6;1
195812;91.4;1
195901;78.6;1
195902;5.8;1
195903;39.1;1
195904;89.2;1
195905;38.1;1
195906;41.9;1
195907;3.2;1
195908;32.5;1
195909;6.8;1
195910;53;1
195911;47;1
195912;71.4;1
196001;91.8;1
196002;52.5;1
196003;78.5;1
196004;23.5;1
196005;84.1;1
196006;67.9;1
196007;60.4;1
196008;72.2;1
196009;80.1;1
196010;182.9;1
196011;73.4;1
196012;69.1;1
196101;91.6;1
196102;24.8;1
196103;7.1;1
196104;35.4;1
196105;54;1
196106;56.3;1
196107;80.6;1
196108;16.5;1
196109;44.8;1
196110;47.5;1
196111;78.9;1
196112;56.8;1
196201;73.3;1
196202;21;1
196203;89.5;1
196204;66;1
196205;86.2;1
196206;10;1
196207;35.5;1
196208;21.5;1
196209;28.2;1
196210;34.8;1
196211;109;1
196212;51.1;1
196301;36.1;1
196302;34.7;1
196303;83.2;1
196304;48;1
196305;62.2;1
196306;76.6;1
196307;28.1;1
196308;104.9;1
196309;25.9;1
196310;39.6;1
196311;74.5;1
196312;8.2;1
196401;14.5;1
196402;68.5;1
196403;59.9;1
196404;71.1;1
196405;31.7;1
196406;34.1;1
196407;16.5;1
196408;28.9;1
196409;72.6;1
196410;48.4;1
196411;29.3;1
196412;36.2;1
196501;92.2;1
196502;14.7;1
196503;64.6;1
196504;66.8;1
196505;53.5;1
196506;45.6;1
196507;98.5;1
196508;99.7;1
196509;180.6;1
196510;13.2;1
196511;109.1;1
196512;119.1;1
196601;63;1
196602;113.2;1
196603;27.5;1
196604;77.5;1
196605;44.7;1
196606;54.2;1
196607;95.4;1
196608;77.5;1
196609;11;1
196610;76.2;1
196611;62.8;1
196612;99.7;1
196701;30.7;1
196702;71.5;1
196703;39.9;1
196704;14;1
196705;102.5;1
196706;14.6;1
196707;18.3;1
196708;62.6;1
196709;111.4;1
196710;56.9;1
196711;46.8;1
196712;88.5;1
196801;53.2;1
196802;49;1
196803;23.7;1
196804;60.3;1
196805;56.9;1
196806;53.4;1
196807;53.5;1
196808;184.8;1
196809;77.2;1
196810;37;1
196811;31.4;1
196812;84.9;1
196901;31.2;1
196902;53.8;1
196903;70.2;1
196904;36.1;1
196905;63.7;1
196906;59.6;1
196907;6.5;1
196908;55.5;1
196909;79.7;1
196910;2.8;1
196911;92.5;1
196912;53.2;1
197001;52.7;1
197002;114.2;1
197003;59.9;1
197004;71.1;1
197005;32.6;1
197006;69.4;1
197007;33;1
197008;95.1;1
197009;39.2;1
197010;26.7;1
197011;55.3;1
197012;20.2;1
197101;65.2;1
197102;28.8;1
197103;29.3;1
197104;28.2;1
197105;210.1;1
197106;71.4;1
197107;27.5;1
197108;64.6;1
197109;23.8;1
197110;22.3;1
197111;48.1;1
197112;11.9;1
197201;55.2;1
197202;61.5;1
197203;28.2;1
197204;22.2;1
197205;55.9;1
197206;48.5;1
197207;35.2;1
197208;98.8;1
197209;24.8;1
197210;17.7;1
197211;78.5;1
197212;26.8;1
197301;45.8;1
197302;44.7;1
197303;8;1
197304;20.9;1
197305;72.3;1
197306;24.9;1
197307;103.1;1
197308;26.5;1
197309;24.5;1
197310;38.5;1
197311;33.6;1
197312;53.5;1
197401;44;1
197402;32.8;1
197403;87.2;1
197404;46;1
197405;39.2;1
197406;71.4;1
197407;13.7;1
197408;30.3;1
197409;82.2;1
197410;89.5;1
197411;44.1;1
197412;37.8;1
197501;44;1
197502;3.7;1
197503;81.6;1
197504;59.5;1
197505;100.7;1
197506;60;1
197507;52;1
197508;26.3;1
197509;192.1;1
197510;24.3;1
197511;85.6;1
197512;39.1;1
197601;23.4;1
197602;61.6;1
197603;24.5;1
197604;32.6;1
197605;27.5;1
197606;0.2;1
197607;66.7;1
197608;23.3;1
197609;93.3;1
197610;91.2;1
197611;84.1;1
197612;88.9;1
197701;75.7;1
197702;161.7;1
197703;57.3;1
197704;35.5;1
197705;160.6;1
197706;85;1
197707;106.8;1
197708;56.4;1
197709;7.9;1
