# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 57509001
# NOM_USUEL= NITTING_MAN
# LATITUDE (°) = 48.666
# LONGITUDE(°)= 7.033
# ALTITUDE (m) = 270
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-04-01
# NUM_SERIE= MRR157509001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 200512
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;45.6;1
195002;144.3;1
195003;19.3;1
195004;143.3;1
195005;76.4;1
195006;92.7;1
195007;68.4;1
195008;110.9;1
195009;113.4;1
195010;34.1;1
195011;161;1
195012;83.1;1
195101;86.9;1
195102;59.3;1
195103;95.8;1
195104;66.8;1
195105;62.3;1
195106;205.1;1
195107;39.8;1
195108;78.8;1
195109;69;1
195110;29.2;1
195111;134.5;1
195112;55.1;1
195201;104.6;1
195202;45.7;1
195203;166.9;1
195204;21.5;1
195205;32;1
195206;80.9;1
195207;52.9;1
195208;113.4;1
195209;122.3;1
195210;159.5;1
195211;171;1
195212;110.7;1
195301;18.5;1
195302;72.7;1
195303;3.8;1
195304;50.2;1
195305;41.9;1
195306;209.9;1
195307;149.5;1
195308;29.4;1
195309;72.5;1
195310;27.9;1
195311;10.2;1
195312;27.4;1
195401;82.1;1
195402;51.6;1
195403;30.1;1
195404;65.5;1
195405;62;1
195406;41.3;1
195407;94.5;1
195408;153.3;1
195409;128.4;1
195410;66.7;1
195411;56.2;1
195412;142.1;1
195501;154.3;1
195502;100.3;1
195503;44.4;1
195504;18.4;1
195505;114.1;1
195506;167.7;1
195507;109.5;1
195508;32.6;1
195509;77.5;1
195510;44.6;1
195511;21.2;1
195512;123.4;1
195601;93.7;1
195602;30.6;1
195603;80.1;1
195604;97.5;1
195605;85.9;1
195606;70.8;1
195607;85.5;1
195608;110.3;1
195609;87;1
195610;103.3;1
195611;61.3;1
195612;35.5;1
195701;61;1
195702;159.7;1
195703;65.8;1
195704;31.1;1
195705;31.1;1
195706;106.1;1
195707;88.4;1
195708;86.7;1
195709;126.8;1
195710;28;1
195711;34.5;1
195712;68.7;1
195801;125;1
195802;195.9;1
195803;44.3;1
195804;48.7;1
195805;146.3;1
195806;120.8;1
195807;78.7;1
195808;152;1
195809;73.9;1
195810;61.2;1
195811;64.4;1
195812;111.7;1
195901;141.9;1
195902;9.4;1
195903;64.1;1
195904;96.8;1
195905;28.3;1
195906;94.6;1
195907;47.5;1
195908;44.3;1
195909;5.9;1
195910;44.4;1
195911;37.5;1
195912;96.9;1
196001;74.6;1
196002;113.3;1
196003;51.3;1
196004;37.4;1
196005;46.6;1
196006;116.1;1
196007;103.4;1
196008;155.7;1
196009;57.2;1
196010;94.8;1
196011;108.5;1
196012;69.3;1
196101;108.5;1
196102;79.2;1
196103;27;1
196104;75;1
196105;101.2;1
196106;106.3;1
196107;118.6;1
196108;68.8;1
196109;35.9;1
196110;109.9;1
196111;71.2;1
196112;107.6;1
196201;106.5;1
196202;85.5;1
196203;111.6;1
196204;82.5;1
196205;112.8;1
196206;2.1;1
196207;64.7;1
196208;65.6;1
196209;87.9;1
196210;14.7;1
196211;30.9;1
196212;66.3;1
196301;30.8;1
196302;39.5;1
196303;77.4;1
196304;50.3;1
196305;52.1;1
196306;132.1;1
196307;39.2;1
196308;147.5;1
196309;39.9;1
196310;51.5;1
196311;190.2;1
196312;3;1
196401;30.7;1
196402;48.3;1
196403;100.2;1
196404;45.3;1
196405;38;1
196406;69.5;1
196407;10.2;1
196408;68.2;1
196409;99;1
196410;82.1;1
196411;98.9;1
196412;37.5;1
196501;161.4;1
196502;44.1;1
196503;120.1;1
196504;101.1;1
196505;107.8;1
196506;132;1
196507;62;1
196508;77.4;1
196509;95.2;1
196510;6.5;1
196511;139.4;1
196512;168.9;1
196601;95.6;1
196602;78.2;1
196603;81.7;1
196604;76.5;1
196605;65.6;1
196606;56.2;1
196607;89.5;1
196608;138.7;1
196609;57.4;1
196610;82.9;1
196611;93.4;1
196612;241.2;1
196701;63;1
196702;62.2;1
196703;86.2;1
196704;60.3;1
196705;107.2;1
196706;60.9;1
196707;68.1;1
196708;114;1
196709;114.3;1
196710;113;1
196711;91.9;1
196712;119.5;1
196801;116.6;1
196802;77.9;1
196803;60.2;1
196804;110.1;1
196805;62.9;1
196806;61.4;1
196807;92.2;1
196808;181.2;1
196809;124.4;1
196810;55.2;1
196811;30.9;1
196812;74.1;1
196901;44.7;1
196902;97.6;1
196903;91.2;1
196904;112.6;1
196905;120.6;1
196906;150.7;1
196907;75.3;1
196908;93.4;1
196909;20.1;1
196910;16.1;1
196911;116.9;1
196912;62.5;1
197001;84.1;1
197002;216;1
197003;88.8;1
197004;127.6;1
197005;137.8;1
197006;125.7;1
197007;91.6;1
197008;39.2;1
197009;71.2;1
197010;66.7;1
197011;47.9;1
197012;44.7;1
197101;55;1
197102;22;1
197103;50.2;1
197104;28.2;1
197105;85;1
197106;116.4;1
197107;24.1;1
197108;98.8;1
197109;23.6;1
197110;27.4;1
197111;109;1
197112;24;1
197201;43.9;1
197202;28.1;1
197203;34.5;1
197204;81.1;1
197205;113.6;1
197206;107.2;1
197207;57.4;1
197208;123.5;1
197209;27.4;1
197210;30.1;1
197211;184.1;1
197212;41.1;1
197301;36.4;1
197302;65.4;1
197303;13;1
197304;51.1;1
197305;142.2;1
197306;60.9;1
197307;54.7;1
197308;74.9;1
197309;47.3;1
197310;90.3;1
197311;95.5;1
197312;85.9;1
197401;64.5;1
197402;77.3;1
197403;80.6;1
197404;17.2;1
197405;63.1;1
197406;87.2;1
197407;90.7;1
197408;94.9;1
197409;84.4;1
197410;188;1
197411;92.9;1
197412;117.2;1
197501;96.4;1
197502;27.4;1
197503;63.4;1
197504;73.9;1
197505;56.7;1
197506;145.6;1
197507;57.2;1
197508;82.1;1
197509;114.1;1
197510;18.7;1
197511;118.3;1
197512;41.1;1
197601;120.6;1
197602;51.6;1
197603;14.9;1
197604;49.9;1
197605;39;1
197606;21.9;1
197607;96.9;1
197608;33.5;1
197609;83.1;1
197610;68.9;1
197611;81;1
197612;84.5;1
197701;115.4;1
197702;162.2;1
197703;48.3;1
197704;86.3;1
197705;43.8;1
197706;110.7;1
197707;91.7;1
197708;87.6;1
197709;30.1;1
197710;65.8;1
197711;203.7;1
197712;105.8;1
197801;84.9;1
197802;103.1;1
197803;130.4;1
197804;57.3;1
197805;164.9;1
197806;83.4;1
197807;117.3;1
197808;89.5;1
197809;89;1
197810;35.7;1
197811;24.2;1
197812;171.4;1
197901;68.5;1
197902;156.2;1
197903;167.3;1
197904;117.8;1
197905;129.5;1
197906;57.7;1
197907;12.2;1
197908;151;1
197909;76.6;1
197910;77.9;1
197911;160.6;1
197912;173.4;1
198001;83.6;1
198002;103.8;1
198003;60.1;1
198004;37.6;1
198005;68.6;1
198006;141.2;1
198007;152.6;1
198008;74.8;1
198009;61;1
198010;89.1;1
198011;100.5;1
198012;87.3;1
198101;130.1;1
198102;62.5;1
198103;97.5;1
198104;43.8;1
198105;80.3;1
198106;93.6;1
198107;92.6;1
198108;83.6;1
198109;98.9;1
198110;251.4;1
198111;98.2;1
198112;217.1;1
198201;149.1;1
198202;13.9;1
198203;108.3;1
198204;36.5;1
198205;64;1
198206;168.3;1
198207;79;1
198208;122.4;1
198209;47;1
198210;213.7;1
198211;106.9;1
198212;217.7;1
198301;121.4;1
198302;83.8;1
198303;104.8;1
198304;229.1;1
198305;264.7;1
198306;72.1;1
198307;53.8;1
198308;17.9;1
198309;114.1;1
198310;58.8;1
198311;75;1
198312;74.7;1
198401;188;1
198402;109.7;1
198403;33.2;1
198404;60.1;1
198405;154.9;1
198406;61.6;1
198407;63.1;1
198408;31.8;1
198409;180.9;1
198410;59;1
198411;103.2;1
198412;59.5;1
198501;78.1;1
198502;46.2;1
198503;52.6;1
198504;89.7;1
198505;97.2;1
198506;144.8;1
198507;42.4;1
198508;85.5;1
198509;106.2;1
198510;25.7;1
198511;128.5;1
198512;86.5;1
198601;180.9;1
198602;25.9;1
198603;127.6;1
198604;106.3;1
198605;94.2;1
198606;70;1
198607;36.4;1
198608;61.4;1
198609;128.9;1
198610;156.3;1
198611;66.2;1
198612;119.2;1
198701;57.9;1
198702;99.1;1
198703;110.3;1
198704;42.2;1
198705;151;1
198706;197.2;1
198707;200.4;1
198708;82.2;1
198709;40.4;1
198710;88.6;1
198711;83.1;1
198712;76.5;1
198801;120.6;1
198802;145.3;1
198803;204.1;1
198804;22.1;1
198805;130.8;1
198806;55.3;1
198807;83.3;1
198808;69.3;1
198809;131;1
198810;148.5;1
198811;58.1;1
198812;133.8;1
198901;28;1
198902;87;1
198903;61;1
198904;145.2;1
198905;66.4;1
198906;61.2;1
198907;71;1
198908;72.3;1
198909;50.9;1
198910;78.9;1
198911;44;1
198912;204.5;1
199001;69.8;1
199002;163.9;1
199003;51.9;1
199004;73.6;1
199005;53.2;1
199006;134.6;1
199007;58;1
199008;36.1;1
199009;54.2;1
199010;85.4;1
199011;127.6;1
199012;112.7;1
199101;93.5;1
199102;39.7;1
199103;46.8;1
199104;41.5;1
199105;21.6;1
199106;74.8;1
199107;95.7;1
199108;19.8;1
199109;148.8;1
199110;82.5;1
199111;147.1;1
199112;91.2;1
199201;50.5;1
199202;63.6;1
199203;163.5;1
199204;86;1
199205;73.4;1
199206;118.5;1
199207;80.3;1
199208;134.8;1
199209;44.4;1
199210;146;1
199211;177.5;1
199212;42.8;1
199301;81.9;1
199302;19.9;1
199303;19.2;1
199304;42;1
199305;145.8;1
199306;70.3;1
199307;110;1
199308;45.9;1
199309;150.8;1
199310;150.2;1
199311;29;1
199312;264.5;1
199401;130.3;1
199402;85.5;1
199403;84.1;1
199404;102.1;1
199405;108.3;1
199406;66.7;1
199407;59.1;1
199408;57.3;1
199409;159.8;1
199410;55.9;1
199411;37.1;1
199412;115.1;1
199501;175.6;1
199502;98.3;1
199503;171;1
199504;90.3;1
199505;139.3;1
199506;74.3;1
199507;105.2;1
199508;96.7;1
199509;125.3;1
199510;54.8;1
199511;68.8;1
199512;93.2;1
199601;23.2;1
199602;62.1;1
199603;27.2;1
199604;27;1
199605;113;1
199606;50.5;1
199607;109.5;1
199608;81.7;1
199609;20.3;1
199610;85;1
199611;266.3;1
199612;84.7;1
199701;35.1;1
199702;142.2;1
199703;54.3;1
199704;38.4;1
199705;87.7;1
199706;198;1
199707;90.3;1
199708;31.9;1
199709;36.7;1
199710;57.5;1
199711;129.8;1
199712;147.5;1
199801;96.8;1
199802;26.3;1
199803;35.9;1
199804;145.2;1
199805;60.6;1
199806;90.2;1
199807;64.4;1
199808;56.9;1
199809;123.9;1
199810;272.6;1
199811;96.7;1
199812;69.7;1
199901;93.2;1
199902;148.7;1
199903;148.8;1
199904;77;1
199905;102.5;1
199906;92.8;1
199907;88.9;1
199908;127.6;1
199909;99;1
199910;85;1
199911;59.6;1
199912;267.3;1
200001;66;1
200002;121.7;1
200003;78.9;1
200004;64.4;1
200005;134.2;1
200006;35.7;1
200007;190.7;1
200008;84.8;1
200009;151.6;1
200010;109.7;1
200011;135.1;1
200012;88.7;1
200101;91.2;1
200102;80.7;1
200103;202.9;1
200104;126.2;1
200105;67.7;1
200106;65.7;1
200107;96.7;1
200108;91.3;1
200109;196.5;1
200110;66.3;1
200111;112.9;1
200112;99.6;1
200201;51.3;1
200202;210.7;1
200203;81.3;1
200204;54.2;1
200205;101.6;1
200206;81.5;1
200207;100.8;1
200208;92.7;1
200209;109.2;1
200210;125.9;1
200211;170.5;1
200212;98;1
200301;115.3;1
200302;35.4;1
200303;31.9;1
200304;61;1
200305;91.8;1
200306;24.5;1
200307;80.6;1
200308;33.1;1
200309;35.5;1
200310;108.3;1
200311;72.9;1
200312;62.5;1
200401;191.1;1
200402;39.2;1
200403;55.8;1
200404;71.2;1
200405;69.7;1
200406;44.8;1
200407;63.7;1
200408;114;1
200409;70.3;1
200410;186.8;1
200411;71.9;1
200412;100.5;1
200501;80.2;1
200502;82.4;1
200503;45.7;1
200504;84.4;1
200505;80.8;1
200506;63.3;1
200507;97.6;1
200508;65.5;1
200509;118.9;1
