# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 3103001
# NOM_USUEL= LE DONJON
# LATITUDE (°) = 46.356
# LONGITUDE(°)= 3.783
# ALTITUDE (m) = 325
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR103103001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197108
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;50.2;1
195102;59.1;1
195103;55.2;1
195104;33;1
195105;134.1;1
195106;104.4;1
195107;54.8;1
195108;98.7;1
195109;51;1
195110;22.4;1
195111;115.8;1
195112;54.9;1
195201;88.7;1
195202;76.1;1
195203;89;1
195204;30.6;1
195205;61.2;1
195206;26;1
195207;36.4;1
195208;63.7;1
195209;84;1
195210;119.8;1
195211;106.8;1
195212;108.3;1
195301;13.2;1
195302;27.6;1
195303;4.9;1
195304;60.3;1
195305;45.6;1
195306;84.5;1
195307;59.7;1
195308;26.1;1
195309;74;1
195310;66.7;1
195311;19.4;1
195312;36.5;1
195401;51;1
195402;60;1
195403;66.9;1
195404;45.1;1
195405;68.2;1
195406;58;1
195407;47.1;1
195408;182.4;1
195409;75.4;1
195410;53.9;1
195411;48.4;1
195412;59.7;1
195501;120.2;1
195502;111.1;1
195503;32.2;1
195504;2.3;1
195505;52.4;1
195506;79.5;1
195507;100.6;1
195508;27.8;1
195509;35.8;1
195510;12.5;1
195511;27.6;1
195512;72.5;1
195601;68.9;1
195602;14.3;1
195603;31.1;1
195604;45;1
195605;74;1
195606;73.5;1
195607;98.4;1
195608;129.6;1
195609;120.9;1
195610;63.9;1
195611;28.1;1
195612;41.5;1
195701;42;1
195702;113.8;1
195703;26.6;1
195704;21.2;1
195705;26;1
195706;146.1;1
195707;60.7;1
195708;49.1;1
195709;49.5;1
195710;32.7;1
195711;26.1;1
195712;78.2;1
195801;86.3;1
195802;64.4;1
195803;96.3;1
195804;60;1
195805;83.7;1
195806;87.3;1
195807;65.6;1
195808;103.6;1
195809;78.7;1
195810;81.5;1
195811;76;1
195812;93.9;1
195901;88.3;1
195902;0.6;1
195903;71.3;1
195904;88.5;1
195905;23.5;1
195906;57.9;1
195907;10.1;1
195908;21.7;1
195909;53.4;1
195910;74.7;1
195911;69.4;1
195912;80.6;1
196001;53.4;1
196002;54.5;1
196003;80.4;1
196004;30.5;1
196005;29.1;1
196006;88.9;1
196007;75.6;1
196008;149.5;1
196009;71.5;1
196010;130.9;1
196011;44.6;1
196012;62.4;1
196101;75.7;1
196102;60.6;1
196103;9.7;1
196104;63.6;1
196105;98.8;1
196106;39.5;1
196107;92.8;1
196108;57.8;1
196109;25.5;1
196110;91.8;1
196111;50.6;1
196112;91.6;1
196201;103.1;1
196202;60;1
196203;89.3;1
196204;80.5;1
196205;80.7;1
196206;1;1
196207;65.2;1
196208;10.2;1
196209;71.3;1
196210;29.8;1
196211;81.3;1
196212;95.3;1
196301;53.4;1
196302;65;1
196303;101.7;1
196304;44.2;1
196305;135.2;1
196306;113.9;1
196307;31.8;1
196308;223;1
196309;30.6;1
196310;30;1
196311;85.3;1
196312;8;1
196401;23;1
196402;33.7;1
196403;77.7;1
196404;70.4;1
196405;97.8;1
196406;15.2;1
196407;14.7;1
196408;55.4;1
196409;24.8;1
196410;33.5;1
196411;35.7;1
196412;50.8;1
196501;85.5;1
196502;8.6;1
196503;71.1;1
196504;104.6;1
196505;113.6;1
196506;71.2;1
196507;102.3;1
196508;53.2;1
196509;218.6;1
196510;28.8;1
196511;101;1
196512;147.2;1
196601;61.8;1
196602;86.6;1
196603;47.9;1
196604;80.2;1
196605;53.8;1
196606;65.3;1
196607;58.2;1
196608;63.6;1
196609;36.1;1
196610;77;1
196611;90.2;1
196612;93.5;1
196701;48.7;1
196702;37.6;1
196703;55.8;1
196704;11.4;1
196705;80.3;1
196706;63.3;1
196707;38.8;1
196708;97.4;1
196709;107.9;1
196710;66.5;1
196711;80.2;1
196712;60.8;1
196801;105.5;1
196802;52.5;1
196803;35.8;1
196804;73.2;1
196805;132.6;1
196806;52;1
196807;125;1
196808;110.4;1
196809;152.3;1
196810;40.4;1
196811;46.6;1
196812;123.1;1
196901;52.9;1
196902;50.2;1
196903;82.2;1
196904;92.8;1
196905;113.6;1
196906;92.7;1
196907;46.3;1
196908;106.5;1
196909;59.2;1
