# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 2433001
# NOM_USUEL= LISLET
# LATITUDE (°) = 49.686
# LONGITUDE(°)= 4.024
# ALTITUDE (m) = 114
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-11-01
# NUM_SERIE= MRR102433001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 197412 199807
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;84.4;1
195502;78.5;1
195503;17.6;1
195504;11.5;1
195505;93.6;1
195506;69.5;1
195507;78.7;1
195508;64.5;1
195509;38.5;1
195510;31.4;1
195511;46.2;1
195512;112.8;1
195601;90.5;1
195602;29.9;1
195603;44.8;1
195604;40.9;1
195605;40.1;1
195606;78.4;1
195607;88.7;1
195608;100.5;1
195609;58.9;1
195610;104.4;1
195611;95.3;1
195612;51.8;1
195701;55.6;1
195702;150.8;1
195703;40.5;1
195704;44.7;1
195705;32.7;1
195706;74.1;1
195707;88.5;1
195708;93.5;1
195709;136.9;1
195710;20.7;1
195711;38.9;1
195712;83;1
195801;84.6;1
195802;150.3;1
195803;29.2;1
195804;42.7;1
195805;109.1;1
195806;58.8;1
195807;57.5;1
195808;133.7;1
195809;100.6;1
195810;81.6;1
195811;65;1
195812;118.6;1
195901;85;1
195902;4.1;1
195903;68.6;1
195904;68.7;1
195905;55.3;1
195906;20.6;1
195907;53;1
195908;67.3;1
195909;2.3;1
195910;81.5;1
195911;65.7;1
195912;100.6;1
196001;59.8;1
196002;49.7;1
196003;54.9;1
196004;23.9;1
196005;65.2;1
196006;66.6;1
196007;116.1;1
196008;92.2;1
196009;48.7;1
196010;143.5;1
196011;109.9;1
196012;89.8;1
196101;121.6;1
196102;88.7;1
196103;15.5;1
196104;70.9;1
196105;53.2;1
196106;51.1;1
196107;74.4;1
196108;8.3;1
196109;76.5;1
196110;107.8;1
196111;82.4;1
196112;71.5;1
196201;106.2;1
196202;79.4;1
196203;82;1
196204;60.7;1
196205;67.1;1
196206;6.5;1
196207;87.9;1
196208;36.6;1
196209;57.9;1
196210;66.2;1
196211;57.9;1
196212;70.6;1
196301;34.3;1
196302;23.7;1
196303;80.5;1
196304;41.8;1
196305;88.7;1
196306;131.9;1
196307;18;1
196308;160.2;1
196309;60.8;1
196310;79.4;1
196311;126.5;1
196312;16.9;1
196401;39.1;1
196402;26.9;1
196403;82;1
196404;40.5;1
196405;18.3;1
196406;52;1
196407;32.9;1
196408;38.7;1
196409;47.5;1
196410;105.4;1
196411;102.6;1
196412;63.4;1
196501;123.5;1
196502;14.4;1
196503;65.5;1
196504;91.3;1
196505;95.2;1
196506;73.1;1
196507;82.8;1
196508;94.5;1
196509;115.5;1
196510;26.6;1
196511;106.5;1
196512;217.8;1
196601;50.5;1
196602;81.7;1
196603;46.7;1
196604;117.3;1
196605;66.7;1
196606;92.9;1
196607;91.8;1
196608;51.6;1
196609;50.1;1
196610;130.7;1
196611;81.2;1
196612;182.7;1
196701;41.8;1
196702;55;1
196703;38.9;1
196704;25.9;1
196705;94.3;1
196706;29.1;1
196707;21.1;1
196708;43.3;1
196709;91.5;1
196710;122.7;1
196711;81.3;1
196712;97.9;1
196801;111;1
196802;80.2;1
196803;49.5;1
196804;46.3;1
196805;51.9;1
196806;65.4;1
196807;122.2;1
196808;63.9;1
196809;151.4;1
196810;41.8;1
196811;37.4;1
196812;52.8;1
196901;53.6;1
196902;39.9;1
196903;75.5;1
196904;79.1;1
196905;102.5;1
196906;103.6;1
196907;49.9;1
196908;120.9;1
196909;16.3;1
196910;4.2;1
196911;119.3;1
196912;52;1
197001;71.4;1
197002;153.9;1
197003;96.3;1
197004;93.6;1
197005;84;1
197006;33;1
197007;89.9;1
197008;61.2;1
197009;27;1
197010;49.2;1
