# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 63346001
# NOM_USUEL= ST-GENES-CHAMPE
# LATITUDE (°) = 45.418
# LONGITUDE(°)= 2.724
# ALTITUDE (m) = 1010
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR063346001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 196712 198212
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;189.5;1
195202;147.2;1
195203;168.1;1
195204;47.7;1
195205;95.6;1
195206;71.3;1
195207;11.1;1
195208;130.6;1
195209;191.7;1
195210;347.9;1
195211;257.7;1
195212;277;1
195301;35.9;1
195302;60.4;1
195303;10.6;1
195304;108;1
195305;84.3;1
195306;125.1;1
195307;94.3;1
195308;130.7;1
195309;139.4;1
195310;58.8;1
195311;56.3;1
195312;44.2;1
195401;110.7;1
195402;204.5;1
195403;168.8;1
195404;66;1
195405;131.3;1
195406;109.7;1
195407;127.7;1
195408;265.6;1
195409;160.3;1
195410;119.8;1
195411;139.8;1
195412;169.1;1
195501;360.3;1
195502;227.4;1
195503;40.3;1
195504;4.2;1
195505;104;1
195506;214;1
195507;172;1
195508;82.5;1
195509;43.5;1
195510;121.9;1
195511;52.2;1
195512;234.6;1
195601;166.4;1
195602;17.5;1
195603;63.6;1
195604;91.6;1
195605;199.6;1
195606;115.8;1
195607;208.7;1
195608;216;1
195609;156.5;1
195610;108.5;1
195611;89.9;1
195612;57.7;1
195701;96.7;1
195702;340;1
195703;67;1
195704;38.3;1
195705;50.9;1
195706;147.4;1
195707;130.3;1
195708;39.1;1
195709;128.8;1
195710;57.7;1
195711;42.9;1
195712;128.9;1
195801;204.2;1
195802;126.4;1
195803;176.7;1
195804;135.9;1
195805;203.6;1
195806;215.5;1
195807;159.1;1
195808;156.4;1
195809;90.4;1
195810;86.1;1
195811;95.5;1
195812;247.8;1
195901;155;1
195902;8.2;1
195903;151.2;1
195904;219;1
195905;133.9;1
195906;112.7;1
195907;82.2;1
195908;133.6;1
195909;143.3;1
195910;130.4;1
195911;103.1;1
195912;349.6;1
196001;160.4;1
196002;127.3;1
196003;141.5;1
196004;35.2;1
196005;58.7;1
196006;151.7;1
196007;205.4;1
196008;258.6;1
196009;161.9;1
196010;239.4;1
196011;166.8;1
196012;151.1;1
196101;161.8;1
196102;97.1;1
196103;7.7;1
196104;151.2;1
196105;97.5;1
196106;108.9;1
196107;166.1;1
196108;48.9;1
196109;100;1
196110;156.8;1
196111;90.8;1
196112;189.9;1
196201;198.1;1
196202;98.9;1
196203;153.4;1
196204;120.2;1
196205;153;1
196206;40.4;1
196207;96.2;1
196208;41.6;1
196209;77.3;1
196210;45.5;1
196211;131.7;1
196212;191.7;1
196301;63.8;1
196302;142.8;1
196303;208.2;1
196304;98.8;1
196305;91;1
196306;233.9;1
196307;70.8;1
196308;214.7;1
196309;84.2;1
196310;98.8;1
196311;189.7;1
196312;40.7;1
196401;40.7;1
196402;50.1;1
196403;120.2;1
196404;176.1;1
196405;210.8;1
196406;117.2;1
196407;41.4;1
196408;126.3;1
196409;54.3;1
196410;173;1
196411;79.2;1
196412;59.1;1
196501;162.6;1
196502;35.3;1
196503;140.4;1
196504;152.5;1
196505;212.7;1
196506;61.1;1
196507;172.3;1
196508;123;1
196509;321.4;1
196510;54.7;1
196511;298.6;1
196512;338.1;1
196601;220.4;1
196602;139.7;1
196603;91.3;1
196604;163.1;1
196605;134.2;1
196606;124.8;1
196607;123.8;1
196608;193.9;1
196609;46.6;1
196610;169.4;1
196611;168.9;1
196612;260;1
196701;83.9;1
196702;149.6;1
196703;116.6;1
196704;28.3;1
196705;232.3;1
196706;89.7;1
196707;130.2;1
196708;171.8;1
196709;121.9;1
196710;129.6;1
196711;132.4;1
196712;150.8;1
196801;204.7;1
196802;97.4;1
196803;59.4;1
196804;117.9;1
196805;211.6;1
196806;106.1;1
196807;129.7;1
196808;257.6;1
196809;213.2;1
196810;65;1
196811;68.3;1
196812;195.8;1
196901;119.6;1
196902;110.3;1
196903;178.5;1
196904;164;1
196905;213.3;1
196906;184.5;1
196907;100.8;1
196908;121.2;1
196909;161.3;1
196910;17.1;1
196911;194.4;1
196912;111;1
197001;139.6;1
197002;358;1
197003;139.8;1
197004;216.1;1
197005;68.4;1
197006;131.3;1
197007;73.3;1
197008;95.4;1
197009;52;1
197010;106.7;1
197011;144;1
197012;80.8;1
197101;240.3;1
197102;55.7;1
197103;102.6;1
197104;86.8;1
197105;103.9;1
197106;157;1
197107;154;1
197108;224.7;1
197109;93.3;1
197110;34.8;1
197111;158.5;1
197112;24.3;1
197201;121.2;1
197202;144.8;1
197203;94.3;1
197204;86.6;1
197205;73.1;1
197206;100.9;1
197207;98.9;1
197208;171.9;1
197209;56.5;1
197210;89.8;1
197211;166;1
197212;67.2;1
197301;89.5;1
197302;121.6;1
197303;10.2;1
197304;61.5;1
197305;103.4;1
197306;97.2;1
197307;198.3;1
197308;88.5;1
197309;109.6;1
197310;177.4;1
197311;100.7;1
197312;123.6;1
197401;80;1
197402;149.7;1
197403;76.2;1
197404;61.8;1
197405;128.5;1
197406;124;1
197407;122.6;1
197408;129.6;1
197409;270.8;1
197410;257.1;1
197411;219.7;1
197412;114.9;1
197501;173.8;1
197502;28.9;1
197503;131.1;1
197504;67.1;1
197505;188.9;1
197506;88;1
197507;89;1
197508;157.9;1
197509;225.9;1
197510;82;1
197511;176.9;1
197512;36.7;1
197601;54.8;1
197602;79.8;1
197603;44.9;1
197604;75.5;1
197605;43.4;1
197606;16;1
197607;109.3;1
197608;56.4;1
197609;192.7;1
197610;312.4;1
197611;203.5;1
197612;174.9;1
197701;115.5;1
197702;273.5;1
197703;140;1
197704;92.8;1
197705;208.1;1
197706;194.9;1
197707;119.4;1
197708;258.3;1
197709;12.6;1
197710;137.7;1
197711;116.1;1
197712;90;1
197801;157.9;1
197802;141.5;1
197803;180.3;1
197804;106.3;1
197805;111.9;1
197806;132.9;1
197807;91;1
197808;66.6;1
197809;123.5;1
197810;17.2;1
197811;20.2;1
197812;293.7;1
197901;89.8;1
197902;163.8;1
197903;193.6;1
197904;122.5;1
197905;222.8;1
197906;109.2;1
197907;22.4;1
197908;158;1
197909;29.5;1
197910;226.8;1
197911;107.7;1
197912;231.7;1
198001;142.2;1
198002;144.8;1
198003;124.8;1
198004;32.6;1
198005;163.9;1
198006;160;1
198007;174.2;1
198008;119.9;1
198009;123.1;1
198010;226.8;1
198011;121.2;1
198012;133.1;1
198101;186.6;1
198102;55;1
198103;265.5;1
198104;24.1;1
198105;264.4;1
198106;228.9;1
198107;135.1;1
198108;61.6;1
198109;197.7;1
198110;157.1;1
198111;54.2;1
198112;309.2;1
198201;173.3;1
198202;42.3;1
198203;127.7;1
198204;12.7;1
198205;131;1
198206;128.7;1
198207;160;1
198208;166;1
198209;135;1
198210;245.7;1
198211;144.3;1
198212;287.1;1
198301;67.4;1
198302;114.4;1
198303;93.9;1
198304;268.8;1
198305;244.9;1
198306;72.3;1
198307;22.4;1
198308;160.8;1
198309;110.9;1
198310;86.3;1
198311;90.3;1
198312;92;1
198401;200.5;1
198402;107.1;1
198403;75.4;1
198404;19.3;1
198405;219.8;1
198406;137.7;1
198407;56.5;1
198408;158.3;1
198409;233.9;1
198410;166.8;1
198411;142.3;1
198412;116;1
198501;98.9;1
198502;125.2;1
198503;107.6;1
198504;102.5;1
198505;199.1;1
198506;198.1;1
198507;50.5;1
198508;31.8;1
198509;26.7;1
198510;33.2;1
198511;109.3;1
198512;87.8;1
198601;216.6;1
198602;93.8;1
198603;164.4;1
198604;175.4;1
198605;116.6;1
198606;63.1;1
198607;113.9;1
198608;97.2;1
198609;130;1
198610;160.4;1
198611;107.9;1
198612;182.7;1
198701;72.8;1
198702;75.1;1
198703;111.5;1
198704;97.4;1
198705;131.3;1
198706;214.6;1
198707;113.3;1
198708;61.7;1
198709;106.8;1
198710;208.3;1
198711;164.6;1
198712;74.5;1
198801;261.9;1
198802;175.1;1
198803;246.3;1
198804;102.4;1
198805;202.6;1
198806;85.8;1
198807;115.6;1
198808;42.7;1
198809;88.9;1
198810;158.3;1
198811;89.6;1
198812;122;1
198901;36.2;1
198902;113;1
198903;103.7;1
198904;248.1;1
198905;55.9;1
198906;51.3;1
198907;48.6;1
198908;71.9;1
198909;73.1;1
198910;66.3;1
198911;129.7;1
198912;69.2;1
199001;81.9;1
199002;268.7;1
199003;27;1
199004;123.8;1
199005;66.6;1
199006;215.4;1
199007;89.8;1
199008;78.3;1
199009;148.8;1
199010;221.9;1
199011;167.4;1
199012;115.7;1
199101;101.2;1
199102;86.7;1
199103;70.3;1
199104;84.3;1
199105;61.1;1
199106;128.9;1
199107;81.5;1
199108;73.4;1
199109;121.8;1
199110;110.2;1
199111;196.4;1
199112;73.5;1
199201;32;1
199202;54.5;1
199203;123.8;1
199204;90.1;1
199205;106.4;1
199206;230.8;1
199207;113.2;1
199208;155.5;1
199209;221.2;1
199210;277.5;1
199211;238.2;1
199212;135.4;1
199301;35.5;1
199302;11.8;1
199303;28.9;1
199304;155.9;1
199305;122.4;1
199306;201;1
199307;127.6;1
199308;73.5;1
199309;223.3;1
199310;197.6;1
199311;48.3;1
199312;402.3;1
199401;239.1;1
199402;190.5;1
199403;68.9;1
199404;232;1
199405;138.9;1
199406;95.8;1
199407;83.8;1
199408;106.9;1
199409;284.5;1
199410;191.1;1
199411;226.5;1
199412;192;1
199501;264.5;1
199502;240.6;1
199503;167.1;1
199504;103.6;1
199505;101.5;1
199506;80.8;1
199507;146.9;1
199508;61.9;1
199509;234.5;1
199510;60.2;1
199511;98.2;1
199512;178;1
199601;112.1;1
199602;172.2;1
199603;33;1
199604;63.5;1
199605;170.5;1
199606;56.3;1
199607;130;1
199608;99.1;1
199609;90.9;1
199610;136.4;1
199611;267.4;1
199612;71;1
199701;58.4;1
199702;161.8;1
199703;7.3;1
199704;66.6;1
199705;149.1;1
199706;266.5;1
199707;113.1;1
199708;174.4;1
199709;64.2;1
199710;125.3;1
199711;285.5;1
199712;195.4;1
199801;203.6;1
199802;54.3;1
199803;94.5;1
199804;309.2;1
199805;58.6;1
199806;104;1
199807;133.8;1
199808;81;1
199809;302.4;1
199810;243.6;1
199811;121.6;1
199812;69.3;1
199901;161.6;1
199902;203.2;1
199903;122.4;1
199904;143.8;1
199905;155.5;1
199906;97.1;1
199907;73.7;1
199908;120.5;1
199909;181.7;1
199910;154.3;1
199911;69.7;1
199912;289.1;1
200001;50.6;1
200002;247;1
200003;74.6;1
200004;163.9;1
200005;182.4;1
200006;45.6;1
200007;217.3;1
200008;85.4;1
200009;108.9;1
200010;142.2;1
200011;315.9;1
200012;94;1
200101;166.7;1
200102;82.8;1
200103;303.2;1
200104;226;1
200105;178.4;1
200106;78.7;1
200107;144.5;1
200108;140.8;1
200109;112.9;1
200110;118;1
200111;111.1;1
200112;83.2;1
200201;49.1;1
200202;174.8;1
200203;50.5;1
200204;51.9;1
200205;117.7;1
200206;104.6;1
200207;177.9;1
200208;124.8;1
200209;113.8;1
200210;131;1
200211;243.7;1
200212;155.6;1
200301;182.2;1
200302;103;1
200303;57.6;1
200304;72.2;1
200305;55.9;1
200306;62.7;1
200307;119.8;1
200308;66.3;1
200309;139.6;1
200310;266.4;1
200311;132.2;1
200312;116.4;1
200401;306.4;1
200402;42.5;1
200403;104.4;1
200404;172.9;1
200405;118.1;1
200406;66.8;1
200407;75.7;1
200408;265.6;1
200409;41.6;1
200410;185.3;1
200411;60.7;1
200412;146.8;1
200501;105;1
200502;116.7;1
200503;81.7;1
200504;201.9;1
200505;108.2;1
200506;143.2;1
200507;80.1;1
200508;42.2;1
200509;110.4;1
200510;68.6;1
200511;107.7;1
200512;225.6;1
200601;50.7;1
200602;143;1
200603;315.2;1
200604;86.4;1
200605;129.6;1
200606;80.4;1
200607;125.5;1
200608;189.1;1
200609;136.6;1
200610;130.4;1
200611;105.4;1
200612;65.8;1
200701;94.2;1
200702;192.2;1
200703;160.1;1
200704;41.8;1
200705;225;1
200706;161.7;1
200707;181.4;1
200708;190.5;1
200709;119;1
200710;39.3;1
200711;80.6;1
200712;157;1
200801;134.3;1
200802;49.4;1
200803;233.8;1
200804;186.5;1
200805;160.5;1
200806;86.1;1
200807;104.8;1
200808;75.3;1
200809;93.7;1
200810;117.2;1
200811;139.1;1
200812;143.6;1
200901;85.8;1
200902;50;1
200903;58.3;1
200904;171.4;1
200905;53.2;1
200906;94.1;1
200907;117.6;1
200908;155.5;1
200909;46.2;1
200910;79.1;1
200911;252.8;1
200912;150.1;1
201001;104.5;1
201002;140.8;1
201003;131.7;1
201004;67.5;1
201005;107.8;1
201006;159.5;1
201007;69.7;1
201008;63.8;1
201009;149.8;1
201010;134;1
201011;216;1
201012;137.6;1
201101;57.7;1
201102;63.8;1
201103;82.7;1
201104;17.2;1
201105;151.8;1
201106;127.1;1
201107;212;1
201108;111.6;1
201109;81.8;1
201110;64.7;1
201111;64.2;1
201112;387.1;1
201201;120.7;1
201202;20.7;1
201203;48.5;1
201204;285.3;1
201205;166.3;1
201206;105.2;1
201207;96.6;1
201208;77.3;1
201209;79.2;1
201210;82.7;1
201211;105.5;1
201212;239;1
201301;114;1
201302;152.2;1
201303;153.6;1
201304;141.3;1
201305;216;1
201306;57.1;1
201307;118.7;1
201308;117.6;1
201309;143.3;1
201310;180.8;1
201311;223.2;1
201312;79.9;1
201401;173.5;1
201402;230.9;1
201403;84.4;1
