# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 54159001
# NOM_USUEL= DOMBASLE
# LATITUDE (°) = 48.622
# LONGITUDE(°)= 6.349
# ALTITUDE (m) = 216
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-12-31
# NUM_SERIE= MRR054159001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 197008 198601 199912
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;25;1
195002;86.4;1
195003;11.5;1
195004;107.4;1
195005;61.5;1
195006;66.6;1
195007;79.6;1
195008;50.4;1
195009;79.6;1
195010;10.3;1
195011;82.4;1
195012;90.6;1
195101;36.3;1
195102;55.6;1
195103;62.8;1
195104;52.4;1
195105;61;1
195106;136.5;1
195107;36.1;1
195108;66.2;1
195109;45;1
195110;22.2;1
195111;86.2;1
195112;41.3;1
195201;85.9;1
195202;36.2;1
195203;110.4;1
195204;37.3;1
195205;63.1;1
195206;52.2;1
195207;18.1;1
195208;52.7;1
195209;95.5;1
195210;93.6;1
195211;145.7;1
195212;85.2;1
195301;12.5;1
195302;34.5;1
195303;7.9;1
195304;30.9;1
195305;21;1
195306;203.2;1
195307;115.6;1
195308;34.8;1
195309;42.6;1
195310;42.7;1
195311;14.9;1
195312;17.4;1
195401;40.4;1
195402;40.6;1
195403;18.3;1
195404;31.6;1
195405;38.6;1
195406;23.3;1
195407;35.5;1
195408;141.8;1
195409;101.1;1
195410;61.2;1
195411;28;1
195412;62.9;1
195501;111;1
195502;74.6;1
195503;23.2;1
195504;11.1;1
195505;60;1
195506;64.7;1
195507;110.1;1
195508;21.9;1
195509;36.7;1
195510;33.4;1
195511;19.1;1
195512;78.1;1
195601;68.7;1
195602;17.9;1
195603;30.1;1
195604;53.4;1
195605;53;1
195606;61;1
195607;75.2;1
195608;115.3;1
