# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 34186001
# NOM_USUEL= OCTON
# LATITUDE (°) = 43.655
# LONGITUDE(°)= 3.306
# ALTITUDE (m) = 184
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-01-01
# NUM_SERIE= MRR034186001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195901 201712
# Date(s) de rupture(s) d'homogénéité : 199012 199812
#     Periode homogénéisée  195901 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;50;1
195902;88.9;1
195903;110;1
195904;101.4;1
195905;28;1
195906;50.9;1
195907;17.4;1
195908;83.3;1
195909;202;1
195910;216.9;1
195911;67.2;1
195912;149.4;1
196001;78.5;1
196002;13.3;1
196003;401.4;1
196004;10.6;1
196005;8.9;1
196006;26.9;1
196007;66;1
196008;90.4;1
196009;41.4;1
196010;115.3;1
196011;22.6;1
196012;62.3;1
196101;64.6;1
196102;56;1
196103;0;1
196104;111.4;1
196105;104.5;1
196106;50.8;1
196107;20.9;1
196108;15.4;1
196109;81.1;1
196110;93.7;1
196111;131;1
196112;42.5;1
196201;94.3;1
196202;48.9;1
196203;175.9;1
196204;93.6;1
196205;45.8;1
196206;31.1;1
196207;11.3;1
196208;28;1
196209;135.3;1
196210;302;1
196211;274.2;1
196212;97;1
196301;147.3;1
196302;116.3;1
196303;27.8;1
196304;157;1
196305;40;1
196306;113.6;1
196307;76.3;1
196308;48.2;1
196309;351.8;1
196310;163.9;1
196311;55.2;1
196312;159.9;1
196401;95.7;1
196402;425.7;1
196403;106.5;1
196404;131.8;1
196405;161.8;1
196406;55.8;1
196407;54.9;1
196408;58.4;1
196409;458.5;1
196410;46;1
196411;121.6;1
196412;64.5;1
196501;107;1
196502;67.7;1
196503;93.6;1
196504;18.6;1
196505;35.9;1
196506;11.6;1
196507;27.9;1
196508;18.2;1
196509;94.7;1
196510;490.6;1
196511;57.8;1
196512;66.3;1
196601;75.2;1
196602;139.4;1
196603;5.8;1
196604;95.9;1
196605;134.7;1
196606;45;1
196607;47.3;1
196608;42.9;1
196609;53;1
196610;216.7;1
196611;49.9;1
196612;26.4;1
196701;113.3;1
196702;223.2;1
196703;31.7;1
196704;11.8;1
196705;35.2;1
196706;8.5;1
196707;11.8;1
196708;35.3;1
196709;18.5;1
196710;27.2;1
196711;72;1
196712;13;1
196801;22.8;1
196802;79.2;1
196803;6.7;1
196804;138.2;1
196805;91.3;1
196806;72.5;1
196807;35.9;1
196808;172.2;1
196809;38.1;1
196810;11.7;1
196811;127.3;1
196812;112.8;1
196901;123.1;1
196902;159.8;1
196903;460.4;1
196904;203.9;1
196905;77.5;1
196906;30.7;1
196907;22;1
196908;55.8;1
196909;201.3;1
196910;408.8;1
196911;47.3;1
196912;136.8;1
197001;192.2;1
197002;11.5;1
197003;37.2;1
197004;12.7;1
197005;81.8;1
197006;57.9;1
197007;0;1
197008;37;1
197009;29.5;1
197010;103.2;1
197011;34.6;1
197012;65.5;1
197101;221.1;1
197102;9.1;1
197103;128.4;1
197104;231.5;1
197105;58.6;1
197106;51.4;1
197107;36.8;1
197108;68.3;1
197109;118.5;1
197110;97.5;1
197111;27.2;1
197112;142.3;1
197201;314;1
197202;350;1
197203;196;1
197204;73.3;1
197205;76.1;1
197206;108;1
197207;38.3;1
197208;24.7;1
197209;197.6;1
197210;160.7;1
197211;43;1
197212;75.2;1
197301;141.4;1
197302;21.9;1
197303;10.3;1
197304;37;1
197305;18.1;1
197306;96.8;1
197307;5.7;1
197308;15.5;1
197309;37.4;1
197310;39;1
197311;69.1;1
197312;188.2;1
197401;71.6;1
197402;146.5;1
197403;129.1;1
197404;68.1;1
197405;36;1
197406;112;1
197407;45.8;1
197408;83.1;1
197409;168.1;1
197410;10.8;1
197411;15.7;1
197412;0.5;1
197501;49.5;1
197502;59.9;1
197503;36.8;1
197504;8.4;1
197505;101.6;1
197506;42.5;1
197507;2.6;1
197508;117.5;1
197509;83.3;1
197510;18.1;1
197511;62;1
197512;138.7;1
197601;25.2;1
197602;171.4;1
197603;44.2;1
197604;95.4;1
197605;64.7;1
197606;0;1
197607;39.5;1
197608;249.8;1
197609;165.3;1
197610;247;1
197611;32.3;1
197612;129.9;1
197701;201.6;1
197702;50.7;1
197703;77.6;1
197704;54.5;1
197705;169.1;1
197706;60.1;1
197707;128.2;1
197708;37.4;1
197709;24.9;1
197710;278.9;1
197711;16.7;1
197712;67.7;1
197801;87.4;1
197802;91.6;1
197803;146.6;1
197804;165.6;1
197805;75.4;1
197806;88;1
197807;4;1
197808;0;1
197809;11.6;1
197810;0;1
197811;35.7;1
197812;113.6;1
197901;420.5;1
197902;33.4;1
197903;40;1
197904;54.4;1
197905;61.4;1
197906;5.8;1
197907;15.3;1
197908;11.8;1
197909;19.7;1
197910;384.6;1
197911;8.4;1
197912;37.8;1
198001;125.6;1
198002;121.5;1
198003;131.6;1
198004;101.5;1
198005;172.7;1
198006;17.8;1
198007;13.2;1
198008;69;1
198009;12.9;1
198010;22.3;1
198011;108.4;1
198012;34;1
198101;58.4;1
198102;149.8;1
198103;109.6;1
198104;35.4;1
198105;91.2;1
198106;98.4;1
198107;9.3;1
198108;0;1
198109;48.3;1
198110;151;1
198111;3.6;1
198112;250.9;1
198201;97.7;1
198202;125.6;1
198203;27.9;1
198204;83.1;1
198205;24.7;1
198206;49.6;1
198207;27.4;1
198208;52.4;1
198209;32.1;1
198210;45.5;1
198211;261.4;1
198212;26.5;1
198301;4.4;1
198302;148;1
198303;16.5;1
198304;112.4;1
198305;20.9;1
198306;43.2;1
198307;0;1
198308;99.1;1
198309;43.9;1
198310;49.5;1
198311;88.4;1
198312;41.2;1
198401;50.6;1
198402;22.4;1
198403;160.8;1
198404;43.2;1
198405;121.2;1
198406;7.8;1
198407;9.4;1
198408;83.9;1
198409;120.3;1
198410;22.3;1
198411;360.2;1
198412;54.7;1
198501;17.2;1
198502;56.7;1
198503;26.6;1
198504;71.9;1
198505;63.2;1
198506;27.8;1
198507;14.8;1
198508;24.7;1
198509;0;1
198510;126.6;1
198511;17.3;1
198512;51.6;1
198601;114.1;1
198602;282.1;1
198603;51;1
198604;77;1
198605;26.9;1
198606;1.3;1
198607;0;1
198608;36.3;1
198609;100.3;1
198610;284.1;1
198611;58.2;1
198612;25.9;1
198701;40.8;1
198702;204.4;1
198703;66.9;1
198704;56.5;1
198705;17.3;1
198706;32.8;1
198707;83;1
198708;36.7;1
198709;29.7;1
198710;375.5;1
198711;172.3;1
198712;339.6;1
198801;143.2;1
198802;28.9;1
198803;33.3;1
198804;139.3;1
198805;111.2;1
198806;98.9;1
198807;4.6;1
198808;39.6;1
198809;10;1
198810;61.1;1
198811;207;1
198812;15.4;1
198901;51.3;1
198902;36.6;1
198903;27.5;1
198904;200.7;1
198905;2.3;1
198906;7.8;1
198907;0;1
198908;11.4;1
198909;131.5;1
198910;66.1;1
198911;201.8;1
198912;19.8;1
199001;5.2;1
199002;57.5;1
199003;15.3;1
199004;92.5;1
199005;51.5;1
199006;32.2;1
199007;24.6;1
199008;55;1
199009;11.7;1
199010;283.7;1
199011;37.9;1
199012;36.5;1
199101;72.2;1
199102;158.5;1
199103;164.3;1
199104;21.4;1
199105;42.8;1
199106;23.4;1
199107;9.7;1
199108;65;1
199109;71.1;1
199110;110.7;1
199111;31.8;1
199112;24;1
199201;39.6;1
199202;54.8;1
199203;30.5;1
199204;18.3;1
199205;242.5;1
199206;151.8;1
199207;46.9;1
199208;57.2;1
199209;167.7;1
199210;190.9;1
199211;11.1;1
199212;125.3;1
199301;2.6;1
199302;94.5;1
199303;78;1
199304;209.7;1
199305;62.9;1
199306;35.6;1
199307;31.7;1
199308;28.3;1
199309;153.7;1
199310;259.4;1
199311;305.3;1
199312;37.5;1
199401;20.7;1
199402;132.5;1
199403;1.5;1
199404;58;1
199405;48.8;1
199406;24.5;1
199407;24.1;1
199408;74.9;1
199409;321.8;1
199410;295.4;1
199411;89.2;1
199412;68.4;1
199501;11.2;1
199502;14.6;1
199503;9.4;1
199504;28.7;1
199505;35.1;1
199506;5.2;1
199507;0;1
199508;42;1
199509;224.3;1
199510;145.6;1
199511;111.2;1
199512;340.4;1
199601;508.1;1
199602;267.4;1
199603;115.7;1
199604;105.1;1
199605;83.7;1
199606;47.3;1
199607;50.2;1
199608;62.9;1
199609;78;1
199610;205.7;1
199611;66.8;1
199612;401.6;1
199701;211.3;1
199702;10.6;1
199703;0;1
199704;15.7;1
199705;78.8;1
199706;128.3;1
199707;37.6;1
199708;71.7;1
199709;23.7;1
199710;74;1
199711;407.3;1
199712;318;1
199801;41.8;1
199802;32.9;1
199803;25.9;1
199804;129.4;1
199805;52.5;1
199806;17.2;1
199807;24.5;1
199808;16.7;1
199809;105.8;1
199810;15.9;1
199811;11.3;1
199812;97.4;1
199901;46.4;1
199902;6.6;1
199903;51.4;1
199904;79.7;1
199905;223.3;1
199906;21.6;1
199907;36.4;1
199908;101.5;1
199909;120.4;1
199910;206.2;1
199911;210.4;1
199912;25.4;1
200001;41;1
200002;9.6;1
200003;46.3;1
200004;96.5;1
200005;86.2;1
