# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72180001
# NOM_USUEL= MAMERS
# LATITUDE (°) = 48.35
# LONGITUDE(°)= 0.376
# ALTITUDE (m) = 125
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR172180001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 197010 198710 200903
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;55.8;1
195102;73.1;1
195103;94.5;1
195104;61;1
195105;75.9;1
195106;128.3;1
195107;29.8;1
195108;99.1;1
195109;59.7;1
195110;45;1
195111;131.9;1
195112;80.4;1
195201;89.1;1
195202;55.5;1
195203;86.4;1
195204;24.4;1
195205;71.8;1
195206;35.5;1
195207;78.4;1
195208;84.8;1
195209;152.4;1
195210;128.7;1
195211;87.5;1
195212;145.8;1
195301;24.1;1
195302;47;1
195303;4.5;1
195304;84.6;1
195305;28.9;1
195306;27.1;1
195307;121.1;1
195308;18.3;1
195309;102.2;1
195310;79.9;1
195311;26;1
195312;14.5;1
195401;37.1;1
195402;63.6;1
195403;90.1;1
195404;3.2;1
195405;26.5;1
195406;42.4;1
195407;26.5;1
195408;58.3;1
195409;84.8;1
195410;53;1
195411;74.2;1
195412;79.5;1
195501;138.2;1
195502;107.9;1
195503;39.9;1
195504;5.1;1
195505;68.9;1
195506;121.4;1
195507;87.2;1
195508;61.2;1
195509;41.1;1
195510;52.6;1
195511;18.9;1
195512;112.6;1
195601;105.5;1
195602;9.2;1
195603;37;1
195604;87.3;1
195605;49.9;1
195606;34.5;1
195607;63.9;1
195608;84;1
195609;34.7;1
195610;53.6;1
195611;33.2;1
195612;63.9;1
195701;42.1;1
195702;155.4;1
195703;36.4;1
195704;36.8;1
195705;26.4;1
195706;80.7;1
195707;67.3;1
195708;67.6;1
195709;149.5;1
195710;25.6;1
195711;76.4;1
195712;49.1;1
195801;140.4;1
195802;136.6;1
195803;70.8;1
195804;46.3;1
195805;80.6;1
195806;114.8;1
195807;47.7;1
195808;89.7;1
195809;35.9;1
195810;55.8;1
195811;51.7;1
195812;95.1;1
195901;101.3;1
195902;1;1
195903;72.2;1
195904;104.4;1
195905;51.7;1
195906;43.5;1
195907;22.8;1
195908;25.9;1
195909;15.3;1
195910;91.3;1
195911;59.4;1
195912;181.3;1
196001;59;1
196002;66.3;1
196003;106.3;1
196004;28.9;1
196005;56.9;1
196006;85.1;1
196007;102.5;1
196008;113.4;1
196009;133.9;1
196010;189.9;1
196011;191;1
196012;142.2;1
196101;127.4;1
196102;66.7;1
196103;5;1
196104;61.5;1
196105;45.6;1
196106;41.8;1
196107;107.4;1
196108;2.4;1
196109;34.8;1
196110;174.7;1
196111;93;1
196112;91.5;1
196201;102.2;1
196202;40.4;1
196203;104.4;1
196204;67.8;1
196205;39.8;1
196206;11;1
196207;61.3;1
196208;58;1
196209;72.9;1
196210;70.7;1
196211;153.7;1
196212;53.1;1
196301;36.5;1
196302;36.3;1
196303;81.9;1
196304;62.9;1
196305;43.5;1
196306;74;1
196307;26.3;1
196308;125;1
196309;48.9;1
196310;43.5;1
196311;121.6;1
196312;13.9;1
196401;30.2;1
196402;108;1
196403;89.5;1
196404;43.6;1
196405;53.4;1
196406;108.1;1
196407;12.7;1
196408;19.2;1
196409;39;1
196410;99.2;1
196411;28;1
196412;109.2;1
196501;144.5;1
196502;10;1
196503;103.8;1
196504;58.7;1
196505;50.7;1
196506;39.8;1
196507;41.5;1
196508;80;1
196509;130.5;1
196510;31.2;1
196511;160.5;1
196512;146.8;1
196601;129.5;1
196602;70.3;1
196603;30.6;1
196604;132;1
196605;64.4;1
196606;47.9;1
196607;85;1
196608;67.6;1
196609;36.8;1
196610;247.1;1
196611;132.2;1
196612;145.1;1
196701;34.2;1
196702;59.8;1
196703;68.4;1
196704;76.3;1
196705;126.4;1
196706;42.3;1
196707;15.2;1
196708;57.1;1
196709;111.5;1
196710;141.5;1
196711;104.2;1
196712;106.9;1
196801;112.6;1
196802;85;1
196803;58;1
196804;50.5;1
196805;67.1;1
196806;70.9;1
196807;56;1
196808;75;1
196809;84.4;1
196810;46.7;1
196811;18.2;1
196812;70.4;1
196901;52;1
196902;40.4;1
196903;89.1;1
196904;40.2;1
196905;72.3;1
196906;56;1
196907;59.9;1
196908;7.3;1
196909;36.6;1
196910;25;1
196911;187;1
196912;106.1;1
197001;82.8;1
197002;113.6;1
197003;52.1;1
197004;45.1;1
197005;31.4;1
197006;52.1;1
197007;48.2;1
197008;64;1
197009;41.6;1
197010;19.8;1
197011;113.9;1
197012;34.2;1
197101;91.1;1
197102;51.3;1
197103;39.9;1
197104;39;1
197105;116;1
197106;92.2;1
197107;43.3;1
197108;74.2;1
197109;23.4;1
197110;27.7;1
197111;83.7;1
197112;13.4;1
197201;83.5;1
197202;89.5;1
197203;52.3;1
197204;58.4;1
197205;47.6;1
197206;59.8;1
197207;40.9;1
197208;106.9;1
197209;62.4;1
197210;22;1
197211;132.8;1
197212;27.1;1
197301;39.5;1
197302;51.4;1
197303;10;1
197304;94;1
197305;110.2;1
197306;37;1
197307;56.6;1
197308;55.8;1
197309;85.1;1
197310;41;1
197311;42.6;1
197312;55.5;1
197401;102.9;1
197402;65.3;1
197403;61.5;1
197404;36.5;1
197405;58.6;1
197406;59.2;1
197407;20.7;1
197408;64;1
197409;104.9;1
197410;113.5;1
197411;128.2;1
197412;40.2;1
197501;110.3;1
197502;19.6;1
197503;84.5;1
197504;58.8;1
197505;71.4;1
197506;27.9;1
197507;101;1
197508;51.3;1
197509;126.5;1
197510;20.4;1
197511;81.2;1
197512;16.7;1
197601;19.1;1
197602;58.6;1
197603;44.7;1
197604;8.1;1
197605;17.8;1
197606;0.3;1
197607;52.7;1
197608;18.2;1
197609;72.5;1
197610;67.9;1
197611;89.4;1
197612;67.4;1
197701;59.8;1
197702;110.6;1
197703;64.6;1
197704;51.6;1
197705;59.4;1
197706;49.7;1
197707;69.7;1
197708;41.4;1
197709;14.1;1
197710;78.8;1
197711;80.3;1
197712;88.5;1
197801;96.3;1
197802;107.5;1
197803;112.7;1
197804;60.8;1
197805;76.8;1
197806;72.8;1
197807;70.7;1
197808;35;1
197809;55;1
197810;6.6;1
197811;15;1
197812;151.1;1
197901;57.5;1
197902;139.7;1
197903;109.1;1
197904;86.8;1
197905;112.9;1
197906;31.2;1
197907;23.9;1
197908;76.6;1
197909;11.7;1
197910;101.2;1
