# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 55145001
# NOM_USUEL= DAMVILLERS
# LATITUDE (°) = 49.338
# LONGITUDE(°)= 5.398
# ALTITUDE (m) = 206
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2016-06-30
# NUM_SERIE= MRR155145001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;35.4;1
195002;140;1
195003;15.4;1
195004;102.8;1
195005;52.5;1
195006;55.1;1
195007;71.8;1
195008;101.4;1
195009;104.5;1
195010;28.6;1
195011;132.3;1
195012;125.9;1
195101;105.1;1
195102;46.6;1
195103;97.1;1
195104;97.1;1
195105;43.3;1
195106;94.7;1
195107;32.1;1
195108;74.9;1
195109;84.8;1
195110;25.2;1
195111;109.6;1
195112;70.5;1
195201;121.6;1
195202;66.2;1
195203;90;1
195204;10.8;1
195205;45.2;1
195206;35;1
195207;20.9;1
195208;80.9;1
195209;112.7;1
195210;109.8;1
195211;160;1
195212;134.1;1
195301;12.3;1
195302;44.4;1
195303;1.9;1
195304;30.6;1
195305;32.5;1
195306;49.5;1
195307;77.9;1
195308;35.2;1
195309;54;1
195310;19.6;1
195311;17.9;1
195312;23.6;1
195401;51.2;1
195402;26.2;1
195403;36.7;1
195404;26.2;1
195405;26.4;1
195406;71.2;1
195407;92.3;1
195408;159.2;1
195409;138.1;1
195410;86.3;1
195411;66.6;1
195412;91.6;1
195501;113;1
195502;91;1
195503;30.3;1
195504;7.6;1
195505;83.1;1
195506;70.1;1
195507;48.2;1
195508;70.8;1
195509;29.9;1
