# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7329001
# NOM_USUEL= VALGORGE
# LATITUDE (°) = 44.587
# LONGITUDE(°)= 4.13
# ALTITUDE (m) = 546
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR107329001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 198512
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;28.2;1
195002;280.9;1
195003;96.2;1
195004;31;1
195005;159.2;1
195006;31;1
195007;27.6;1
195008;76.3;1
195009;97.3;1
195010;151.5;1
195011;251;1
195012;94;1
195101;226.7;1
195102;265.4;1
195103;203.5;1
195104;24.3;1
195105;414.6;1
195106;68.6;1
195107;6.6;1
195108;124.9;1
195109;163.6;1
195110;269.8;1
195111;776.2;1
195112;78.5;1
195201;54.2;1
195202;10;1
195203;247.7;1
195204;69.7;1
195205;293;1
195206;45.3;1
195207;3.3;1
195208;99.5;1
195209;88.5;1
195210;186.9;1
195211;180.2;1
195212;112.8;1
195301;7.7;1
195302;16.6;1
195303;16.6;1
195304;54.2;1
195305;52;1
195306;169.2;1
195307;19.9;1
195308;23.2;1
195309;218.9;1
195310;458.9;1
195311;162.5;1
195312;393.6;1
195401;26.5;1
195402;139.3;1
195403;195.7;1
195404;36.5;1
195405;185.8;1
195406;112.8;1
195407;97.3;1
195408;101.7;1
195409;36.5;1
195410;59.7;1
195411;433.4;1
195412;80.7;1
195501;633.6;1
195502;207.9;1
195503;89.6;1
195504;0;1
195505;40.5;1
195506;296.2;1
195507;86.7;1
195508;60.9;1
195509;92.9;1
195510;395.7;1
195511;399.2;1
195512;120.5;1
195601;166.7;1
195602;75.6;1
195603;585.2;1
195604;212.7;1
195605;75.9;1
195606;29.1;1
195607;68.1;1
195608;51.7;1
195609;307.9;1
195610;77.1;1
195611;22;1
195612;175.9;1
195701;6.5;1
195702;275.7;1
195703;132.5;1
195704;192.5;1
195705;76.5;1
195706;341.6;1
195707;6.5;1
195708;35.2;1
195709;137.3;1
195710;31.8;1
195711;207.9;1
195712;476.3;1
195801;66.1;1
195802;94.5;1
195803;123.2;1
195804;112.2;1
195805;34.8;1
195806;128.2;1
195807;43.1;1
195808;149.8;1
195809;367.3;1
195810;287.5;1
195811;56.3;1
195812;434;1
195901;165.2;1
195902;59.2;1
195903;399.7;1
195904;229.4;1
195905;139.8;1
195906;49.8;1
195907;41.7;1
195908;84.7;1
195909;124.4;1
195910;144.9;1
195911;286.4;1
195912;383.1;1
196001;371.5;1
196002;149.3;1
196003;458.3;1
196004;22.1;1
196005;79.1;1
196006;57.1;1
196007;74.6;1
196008;92.8;1
196009;183.4;1
196010;835.2;1
196011;276.4;1
196012;84;1
196101;108.4;1
196102;55.3;1
196103;0;1
196104;94;1
196105;211.7;1
196106;113.6;1
196107;36.7;1
196108;13.8;1
196109;90.3;1
196110;475.7;1
196111;430.5;1
196112;149.3;1
196201;167;1
196202;121.3;1
196203;133.7;1
196204;177.2;1
