# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 69107001
# NOM_USUEL= LAMURE-SUR-AZER
# LATITUDE (°) = 46.05
# LONGITUDE(°)= 4.485
# ALTITUDE (m) = 456
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR069107001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 195912 196409
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;47.1;1
195002;113.8;1
195003;22.5;1
195004;118.6;1
195005;43.8;1
195006;43.1;1
195007;34.9;1
195008;128.8;1
195009;61.4;1
195010;16.4;1
195011;265.1;1
195012;77.5;1
195101;80.9;1
195102;93.9;1
195103;91.7;1
195104;39;1
195105;148.2;1
195106;123.7;1
195107;59.7;1
195108;105.4;1
195109;66;1
195110;62.4;1
195111;183;1
195112;45.9;1
195201;130.8;1
195202;79.8;1
195203;104.9;1
195204;72.1;1
195205;57.9;1
195206;73.6;1
195207;5.8;1
195208;135.4;1
195209;63.1;1
195210;159.8;1
195211;155.9;1
195212;146.3;1
195301;12.1;1
195302;30.7;1
195303;3;1
195304;56.3;1
195305;32.3;1
195306;119.2;1
195307;66.9;1
195308;36.5;1
195309;91.9;1
195310;127.7;1
195311;20.9;1
195312;26.8;1
195401;69.8;1
195402;80.7;1
195403;77;1
195404;45.4;1
195405;63.9;1
195406;34;1
195407;47.8;1
195408;182.3;1
195409;98;1
195410;59.6;1
195411;62.1;1
195412;156.3;1
195501;132.9;1
195502;125.7;1
195503;43.6;1
195504;0;1
195505;84;1
195506;128.9;1
195507;172.9;1
195508;43.3;1
195509;33.5;1
195510;32.3;1
195511;53.6;1
195512;105;1
195601;101.7;1
195602;18.1;1
195603;68.2;1
195604;60.5;1
195605;124;1
195606;75;1
195607;128.3;1
195608;117.9;1
195609;179.9;1
195610;111.7;1
195611;46.6;1
195612;59.5;1
195701;43.1;1
195702;141.9;1
195703;17.9;1
195704;40.2;1
195705;42.7;1
195706;163.2;1
195707;57.6;1
195708;28.3;1
195709;49.4;1
195710;23.7;1
195711;30.2;1
195712;56.1;1
195801;98.1;1
195802;105.4;1
195803;92.5;1
195804;41.9;1
195805;73.4;1
195806;114.3;1
195807;76.8;1
195808;131.1;1
195809;135.6;1
195810;62.6;1
195811;85.7;1
195812;83.6;1
195901;103.4;1
195902;0;1
195903;85.5;1
195904;99.4;1
195905;35;1
195906;54.4;1
195907;30;1
195908;58.1;1
195909;68.5;1
195910;58.4;1
195911;70;1
195912;82.4;1
196001;58.1;1
196002;86.8;1
196003;86.1;1
196004;17.5;1
196005;45.1;1
196006;88.2;1
196007;94.7;1
196008;142;1
196009;159.2;1
196010;201.8;1
196011;73.3;1
196012;55.4;1
196101;87;1
196102;93.4;1
196103;9.1;1
196104;78.7;1
196105;88.8;1
196106;64.8;1
196107;106.8;1
196108;109;1
196109;21.3;1
196110;168.8;1
196111;80.5;1
196112;107.5;1
196201;114.7;1
196202;104.3;1
196203;96;1
196204;85.3;1
196205;110.6;1
196206;30.3;1
196207;50.6;1
196208;22.7;1
196209;99.4;1
196210;40;1
196211;60.7;1
196212;120;1
196301;38.1;1
196302;64.3;1
196303;148;1
196304;59.6;1
196305;56.7;1
196306;110.4;1
196307;71.4;1
196308;191.2;1
196309;40.7;1
196310;57.7;1
196311;179.1;1
196312;17.9;1
196401;20.7;1
196402;48.2;1
196403;101;1
196404;62.5;1
196405;43.8;1
196406;52.8;1
196407;52;1
196408;55.2;1
196409;65.9;1
196410;76.9;1
196411;21.4;1
196412;72.1;1
196501;106.3;1
196502;20.7;1
196503;83.7;1
196504;123.9;1
196505;117.9;1
196506;63;1
196507;125;1
196508;66.5;1
196509;214.8;1
196510;37.4;1
196511;150.1;1
196512;207.5;1
196601;83.2;1
196602;113.6;1
196603;77;1
196604;92.2;1
196605;90.1;1
196606;71.8;1
196607;50.4;1
196608;68.5;1
196609;45.5;1
196610;120.2;1
196611;116;1
196612;161;1
196701;51.4;1
196702;69.2;1
196703;85.1;1
196704;37.6;1
196705;103;1
196706;82.5;1
196707;30.6;1
196708;72.9;1
196709;114.3;1
196710;42.6;1
196711;98;1
196712;60.7;1
196801;164.9;1
196802;47.4;1
196803;25;1
196804;68.1;1
196805;119.2;1
196806;54.3;1
196807;47.8;1
196808;169;1
196809;136.7;1
196810;44;1
196811;92.8;1
196812;142.1;1
196901;63.9;1
196902;55.7;1
196903;90.3;1
196904;140.7;1
196905;86.5;1
196906;110.5;1
196907;46.5;1
196908;112.7;1
196909;51.9;1
196910;17.3;1
196911;94.4;1
196912;106.9;1
197001;55.9;1
197002;214.6;1
197003;109.6;1
197004;148.6;1
197005;92.5;1
197006;127.9;1
197007;65.6;1
197008;83.8;1
197009;45.2;1
197010;77.6;1
197011;76.8;1
197012;70.7;1
197101;58.1;1
197102;39;1
197103;85.3;1
197104;69.2;1
197105;69.3;1
197106;100.3;1
197107;73.7;1
197108;109;1
197109;25.5;1
197110;18.9;1
197111;120.6;1
197112;42.7;1
197201;59.8;1
197202;112.4;1
197203;28.4;1
197204;50.5;1
197205;58.1;1
197206;87.8;1
197207;46.9;1
197208;44.9;1
197209;38.8;1
197210;106.8;1
197211;84;1
197212;65.2;1
197301;72.9;1
197302;66.4;1
197303;7.9;1
197304;70.3;1
197305;51.8;1
197306;48.5;1
197307;106.7;1
197308;48;1
197309;59.8;1
197310;64.4;1
197311;100.5;1
197312;81.8;1
197401;51.6;1
197402;96.3;1
197403;78.4;1
197404;33.9;1
197405;87.5;1
197406;34.4;1
197407;75.7;1
197408;43.5;1
197409;202.1;1
197410;188.1;1
197411;158.2;1
197412;71.3;1
197501;102.3;1
197502;26.5;1
197503;75.8;1
197504;56.6;1
197505;107.7;1
197506;67;1
197507;38.5;1
197508;76.7;1
197509;152.3;1
197510;28.5;1
197511;126.3;1
197512;49.3;1
197601;59.9;1
197602;93.9;1
197603;6.3;1
197604;30.3;1
197605;19.9;1
197606;10.6;1
197607;56;1
197608;86.5;1
197609;103.7;1
197610;100.8;1
197611;98.3;1
197612;98.2;1
197701;89.9;1
197702;181;1
197703;73.5;1
197704;64.9;1
197705;147;1
197706;165.8;1
197707;221.2;1
197708;102.6;1
197709;12.5;1
197710;123.3;1
197711;89.6;1
197712;97.2;1
197801;109.8;1
197802;130.5;1
197803;152.3;1
197804;71.2;1
197805;71.6;1
197806;61;1
197807;55.1;1
197808;66.8;1
197809;54.9;1
197810;37;1
197811;13.3;1
197812;104;1
197901;113.7;1
197902;92.9;1
197903;106.1;1
197904;57.8;1
197905;112.5;1
197906;104.5;1
197907;27;1
197908;97.9;1
197909;22.8;1
197910;179.9;1
197911;81.9;1
197912;143.2;1
198001;68.6;1
198002;95.8;1
198003;113;1
198004;52.5;1
198005;93.3;1
198006;116.8;1
198007;54.1;1
198008;83.1;1
198009;107.4;1
198010;134;1
198011;82.5;1
198012;116.1;1
198101;194.8;1
198102;63.3;1
198103;99.8;1
198104;26;1
198105;167.5;1
198106;110.7;1
198107;51.4;1
198108;120.1;1
198109;133;1
198110;126.3;1
198111;65;1
198112;222.2;1
198201;116;1
198202;9.1;1
198203;102.6;1
198204;22.9;1
198205;39.6;1
198206;197.7;1
198207;80.2;1
198208;122.6;1
198209;83.6;1
198210;109.1;1
198211;151.5;1
198212;144.8;1
198301;81;1
198302;100.3;1
198303;66.8;1
198304;221.5;1
198305;237.6;1
198306;41.7;1
198307;27.9;1
198308;105.4;1
198309;95.5;1
198310;65.3;1
198311;70.9;1
198312;65.1;1
198401;112.9;1
198402;113.3;1
198403;88.9;1
198404;16.2;1
198405;127.7;1
198406;83.9;1
198407;24;1
198408;62.8;1
198409;125.6;1
198410;109.7;1
198411;78.9;1
198412;61.5;1
198501;72.7;1
198502;81.7;1
198503;77.3;1
198504;84.1;1
198505;119.8;1
198506;97;1
198507;52;1
198508;59;1
198509;7;1
198510;9;1
198511;39;1
198512;59.4;1
198601;184.6;1
198602;51.7;1
198603;65.1;1
198604;179.5;1
198605;82.4;1
198606;39.3;1
198607;29.4;1
198608;55.6;1
198609;61.7;1
198610;57.7;1
198611;56.5;1
198612;146.3;1
198701;44.9;1
198702;58.4;1
198703;53.4;1
198704;41.1;1
198705;169;1
198706;139.4;1
198707;60.7;1
198708;62.6;1
198709;100.2;1
198710;119;1
198711;75.1;1
198712;83.3;1
198801;102.9;1
198802;99.9;1
198803;140.2;1
198804;79.8;1
198805;217.2;1
198806;106.1;1
198807;72.8;1
198808;39;1
198809;69.5;1
198810;134.3;1
198811;45.5;1
198812;84.1;1
198901;24.5;1
198902;54.7;1
198903;55.9;1
198904;160.4;1
198905;59.8;1
198906;29.6;1
198907;70;1
198908;50;1
198909;48.4;1
198910;40.4;1
198911;62.9;1
198912;35.9;1
199001;68;1
199002;197.6;1
199003;25.2;1
199004;72.2;1
199005;79.8;1
199006;158.7;1
199007;63.4;1
199008;77.5;1
199009;93.2;1
199010;129.6;1
199011;95.1;1
199012;83.3;1
199101;26.3;1
199102;62.3;1
199103;100.8;1
199104;37.4;1
199105;29.8;1
199106;90.2;1
199107;50;1
199108;34.6;1
199109;157.2;1
199110;86.2;1
199111;113.9;1
199112;81.4;1
199201;15.8;1
199202;44.7;1
199203;109;1
199204;95.4;1
199205;80;1
199206;140;1
199207;90;1
199208;80;1
199209;75;1
199210;160;1
199211;150;1
199212;50;1
199301;33.3;1
199302;17.4;1
199303;17.8;1
199304;89.4;1
199305;122.3;1
199306;80.3;1
199307;180;1
199308;50;1
199309;229.4;1
199310;135;1
199311;36;1
199312;142.2;1
199401;111.8;1
199402;71.2;1
199403;40;1
199404;143;1
199405;119.5;1
199406;75.5;1
199407;70;1
199408;65;1
199409;140;1
199410;100;1
199411;120;1
199412;80;1
199501;120;1
199502;120;1
199503;90;1
199504;95;1
199505;100;1
199506;40;1
199507;30;1
199508;65;1
199509;120;1
199510;68.6;1
199511;60.3;1
199512;80;1
199601;46;1
199602;86.5;1
199603;56.5;1
199604;45;1
199605;92;1
199606;85.7;1
199607;110.2;1
199608;59.8;1
199609;16.5;1
199610;52.6;1
199611;287.8;1
199612;82.6;1
199701;53.2;1
199702;49;1
199703;22.9;1
199704;39.2;1
199705;79;1
199706;143.4;1
199707;79;1
199708;81.2;1
199709;32.7;1
199710;68.5;1
199711;84.8;1
199712;107.4;1
199801;92.6;1
199802;32.2;1
199803;50;1
199804;129.5;1
199805;102.5;1
199806;64.6;1
199807;81;1
199808;64.5;1
199809;162.6;1
199810;106.5;1
199811;88.9;1
199812;49.8;1
199901;127.8;1
199902;152.5;1
199903;56.9;1
199904;120.2;1
199905;91.5;1
199906;69;1
199907;92.5;1
199908;54.1;1
199909;135.2;1
199910;114.5;1
199911;88.7;1
199912;132.7;1
200001;26.5;1
200002;123.2;1
200003;41.9;1
200004;96.4;1
200005;101;1
200006;84.7;1
200007;70;1
200008;78.9;1
200009;71.1;1
200010;90.1;1
200011;137.9;1
200012;52.1;1
200101;71.6;1
200102;52.4;1
200103;190.1;1
200104;116.5;1
200105;122.3;1
200106;52.2;1
200107;110.6;1
200108;85.6;1
200109;70.5;1
200110;140.3;1
200111;68.6;1
200112;32.3;1
200201;37.2;1
200202;87.3;1
200203;19.9;1
200204;18.3;1
200205;96.6;1
200206;95.6;1
200207;75;1
200208;84.8;1
200209;89.2;1
200210;76;1
200211;239.8;1
200212;110;1
200301;81.5;1
200302;66.8;1
200303;25.9;1
200304;43.5;1
200305;53.5;1
200306;70.5;1
200307;70.6;1
200308;67.6;1
200309;49.3;1
200310;139.4;1
200311;90.2;1
200312;173.2;1
200401;146.8;1
200402;45.3;1
200403;72.7;1
200404;61.8;1
200405;67.8;1
200406;48.5;1
200407;79.3;1
200408;215.6;1
200409;27.4;1
200410;186.1;1
200411;86.8;1
200412;68.1;1
200501;87.3;1
200502;46;1
200503;29.5;1
200504;200.5;1
200505;70.7;1
200506;47.2;1
200507;41.3;1
200508;48.2;1
200509;41.9;1
200510;53;1
200511;83.9;1
200512;68.5;1
200601;69.6;1
200602;79.8;1
200603;142.6;1
200604;78.3;1
200605;84.3;1
200606;39.5;1
200607;42.9;1
200608;138.4;1
200609;41.3;1
200610;65.2;1
200611;80.7;1
200612;73.8;1
200701;61.8;1
200702;89.5;1
200703;77.2;1
200704;32.7;1
200705;155.1;1
200706;132.3;1
200707;154;1
200708;127.8;1
200709;99.5;1
200710;20.6;1
200711;25.5;1
200712;95;1
200801;81.8;1
200802;22.6;1
200803;125.2;1
200804;132.2;1
200805;120.9;1
200806;97.5;1
200807;140.8;1
200808;119.1;1
200809;64;1
200810;179.5;1
200811;127.9;1
200812;94.3;1
200901;31.5;1
200902;63;1
200903;51.2;1
200904;85.7;1
200905;56.3;1
200906;133;1
200907;91.6;1
200908;58.4;1
200909;45.4;1
200910;50.9;1
200911;104.1;1
200912;77.4;1
201001;81.3;1
201002;73.4;1
201003;75.7;1
201004;38.3;1
201005;105.3;1
201006;72.3;1
201007;77.5;1
201008;55.9;1
201009;110.6;1
201010;83.1;1
201011;113.8;1
201012;87.1;1
201101;44.5;1
201102;69.8;1
201103;59;1
201104;13.1;1
201105;36.7;1
201106;45.4;1
201107;103.1;1
201108;84.9;1
201109;26.5;1
201110;61.3;1
201111;53.7;1
201112;216.5;1
201201;111.2;1
201202;9.6;1
201203;34.4;1
201204;136.3;1
201205;84.2;1
201206;133.7;1
201207;57.5;1
201208;140;1
201209;82.6;1
201210;101.9;1
201211;143.6;1
201212;170.6;1
201301;94.4;1
201302;100.7;1
201303;48.4;1
201304;115.1;1
201305;136.8;1
201306;37.6;1
201307;221.2;1
201308;23.5;1
201309;80.7;1
201310;116.8;1
201311;157.4;1
201312;55.5;1
201401;110.3;1
201402;120.6;1
201403;30.1;1
201404;47.6;1
201405;54.3;1
201406;57.3;1
201407;152.5;1
201408;67.5;1
201409;44.2;1
201410;75.9;1
201411;176.3;1
201412;97.8;1
201501;105.6;1
201502;84;1
201503;63.5;1
201504;45;1
201505;54;1
201506;48.4;1
201507;21.2;1
201508;53.7;1
201509;80.3;1
