# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 55184001
# NOM_USUEL= EUVILLE
# LATITUDE (°) = 48.749
# LONGITUDE(°)= 5.627
# ALTITUDE (m) = 240
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2014-12-31
# NUM_SERIE= MRR155184001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;38;1
195002;133;1
195003;12.5;1
195004;116;1
195005;82;1
195006;84.7;1
195007;52.7;1
195008;103.1;1
195009;70.5;1
195010;9.5;1
195011;111;1
195012;110.7;1
195101;68;1
195102;70.5;1
195103;100.5;1
195104;75;1
195105;82;1
195106;110;1
195107;31;1
195108;70.1;1
195109;59.5;1
195110;18;1
195111;105;1
195112;44.8;1
195201;126.7;1
195202;44;1
195203;115.4;1
195204;10.3;1
195205;50.5;1
195206;39.2;1
195207;20;1
195208;64.3;1
195209;96.2;1
195210;122.1;1
195211;146;1
195212;107.9;1
195301;14;1
195302;42.5;1
195303;3;1
195304;52;1
195305;23.5;1
195306;149;1
195307;88;1
195308;17.5;1
195309;46;1
195310;22.5;1
195311;15.5;1
195312;17.5;1
195401;49;1
195402;48;1
195403;35.5;1
195404;20;1
195405;49;1
195406;42.5;1
195407;51.5;1
195408;115.5;1
195409;77.5;1
195410;95.5;1
195411;30;1
195412;78;1
195501;138.1;1
195502;87.5;1
195503;29.5;1
195504;5;1
195505;59;1
195506;66;1
195507;122;1
195508;51;1
195509;39.5;1
195510;50.3;1
195511;25;1
195512;134;1
195601;78.5;1
195602;7;1
195603;45;1
195604;54;1
195605;89;1
195606;65;1
195607;70;1
195608;96.9;1
195609;85.1;1
195610;91;1
195611;45.5;1
195612;28;1
195701;33.3;1
195702;140.7;1
195703;60;1
195704;29.5;1
195705;28;1
195706;79;1
195707;69.5;1
195708;50;1
195709;77.5;1
195710;59;1
195711;27;1
195712;64;1
195801;123.5;1
195802;160.5;1
195803;32.5;1
195804;51.5;1
195805;136.3;1
195806;63.4;1
195807;43.5;1
195808;150.1;1
195809;32.7;1
195810;69;1
195811;58;1
195812;175.5;1
195901;106.5;1
195902;4.5;1
195903;63.1;1
195904;78.5;1
195905;61.8;1
195906;100.5;1
195907;25;1
195908;48.1;1
195909;0;1
195910;38;1
195911;55;1
195912;85;1
196001;62;1
196002;75;1
196003;40;1
196004;19.9;1
196005;52.2;1
196006;93.7;1
196007;146.9;1
196008;141.9;1
196009;90;1
196010;105.8;1
196011;95;1
196012;68;1
196101;101;1
196102;70.5;1
196103;10.1;1
196104;55.5;1
196105;62.2;1
196106;47.5;1
196107;77.4;1
196108;35;1
196109;44.4;1
196110;79.5;1
196111;83.5;1
196112;102.3;1
196201;105.3;1
196202;61.2;1
196203;84.4;1
196204;101.9;1
196205;131.6;1
196206;0;1
196207;39;1
196208;69.9;1
196209;58.2;1
196210;20;1
196211;35.6;1
196212;56.3;1
196301;50;1
196302;20;1
196303;90.6;1
196304;17.1;1
196305;46.4;1
196306;116;1
196307;54.2;1
196308;134.3;1
196309;32.6;1
196310;55.1;1
196311;171.7;1
196312;13.9;1
196401;40;1
196402;40.8;1
196403;62.1;1
196404;37;1
196405;25;1
196406;6.8;1
196407;21.6;1
196408;65.4;1
196409;88.5;1
196410;98.4;1
196411;85;1
196412;57.2;1
196501;125.9;1
196502;26;1
196503;109.7;1
196504;75.7;1
196505;44.4;1
196506;67.5;1
196507;70.4;1
196508;42.1;1
196509;191.6;1
196510;11.4;1
196511;120.9;1
196512;199.4;1
196601;83.7;1
196602;83.9;1
196603;90.1;1
196604;103.9;1
196605;51.3;1
196606;88.4;1
196607;78.2;1
196608;115.1;1
196609;43.9;1
196610;91.4;1
196611;67.2;1
196612;200;1
196701;46.5;1
196702;74.3;1
196703;63;1
196704;41;1
196705;98.4;1
196706;60.5;1
196707;25.2;1
196708;59.1;1
196709;149.4;1
196710;112.7;1
196711;50.9;1
196712;92;1
196801;120;1
196802;66.1;1
196803;48;1
196804;63.1;1
196805;49.5;1
196806;55.5;1
196807;91.1;1
196808;173.5;1
196809;98.2;1
196810;41.9;1
196811;30;1
196812;36.5;1
196901;40;1
196902;60;1
196903;80;1
196904;75.4;1
196905;75.2;1
196906;112.6;1
196907;14.9;1
196908;60;1
196909;41.1;1
196910;0;1
196911;116.4;1
196912;50.2;1
197001;70.9;1
197002;223.7;1
197003;71.6;1
197004;93.6;1
197005;96.3;1
197006;98.9;1
197007;72.7;1
197008;74.5;1
197009;48.3;1
197010;58.6;1
197011;62.7;1
197012;54.7;1
197101;75.1;1
197102;21.1;1
197103;27;1
197104;8.7;1
197105;49;1
197106;71.6;1
197107;36;1
197108;64.7;1
197109;16.4;1
197110;42.4;1
197111;98.1;1
197112;11.5;1
197201;41.5;1
197202;37.4;1
197203;48.3;1
197204;62.7;1
197205;94.2;1
197206;38.7;1
197207;63.5;1
197208;118.1;1
197209;16.9;1
197210;12.4;1
197211;141.1;1
197212;24.3;1
197301;30.4;1
197302;91.2;1
197303;6.5;1
197304;54.8;1
197305;97.2;1
197306;43;1
197307;104.1;1
197308;40.6;1
197309;86.5;1
197310;40.2;1
197311;63.6;1
197312;109.6;1
197401;38.4;1
197402;58.4;1
197403;62.4;1
197404;14.6;1
197405;35.2;1
197406;85.6;1
197407;55.2;1
197408;46.4;1
197409;93.7;1
197410;160.1;1
197411;92.3;1
197412;91.1;1
197501;95.9;1
197502;11.2;1
197503;73;1
197504;44.8;1
197505;79.1;1
197506;85.1;1
197507;34.1;1
197508;43.8;1
197509;78.1;1
197510;36.7;1
197511;81.3;1
197512;49.6;1
197601;53.4;1
197602;38.9;1
197603;17;1
197604;22;1
197605;11.7;1
197606;3.6;1
197607;27.7;1
197608;6.2;1
197609;69.1;1
197610;61.8;1
197611;118.6;1
197612;65.6;1
197701;96.3;1
197702;164;1
197703;48.6;1
197704;67.9;1
197705;60.8;1
197706;97.6;1
197707;74;1
197708;95;1
197709;29.4;1
197710;48.4;1
197711;167;1
197712;79.3;1
197801;88.2;1
197802;83.4;1
197803;124.4;1
197804;70.8;1
197805;72;1
197806;67.9;1
197807;59;1
197808;30.7;1
197809;34.4;1
197810;19.2;1
197811;9.1;1
197812;135.1;1
197901;36;1
197902;134.5;1
197903;157.3;1
197904;99.1;1
197905;129.1;1
197906;65.2;1
197907;25.9;1
197908;101;1
197909;21.5;1
197910;63.5;1
197911;104.3;1
197912;185;1
198001;100.2;1
198002;87.8;1
198003;87.3;1
198004;22.3;1
198005;77.7;1
198006;121.2;1
198007;125.5;1
198008;51.8;1
198009;39.5;1
198010;78;1
198011;59.4;1
198012;102.7;1
198101;119.9;1
198102;47.8;1
198103;116.5;1
198104;31.2;1
198105;55.1;1
198106;120.8;1
198107;44.6;1
198108;105.6;1
198109;99.5;1
198110;165.8;1
198111;57.1;1
198112;173.4;1
198201;90;1
198202;8.6;1
198203;127.4;1
198204;14.1;1
198205;27.4;1
198206;107;1
198207;30.7;1
198208;20.9;1
198209;54;1
198210;130;1
198211;83.8;1
198212;188.9;1
198301;114.7;1
198302;86.1;1
198303;72.6;1
198304;212;1
198305;218.9;1
198306;60;1
198307;39.8;1
198308;22.4;1
198309;76.8;1
198310;50;1
198311;79.9;1
198312;57.5;1
198401;231.5;1
198402;112.6;1
198403;51.5;1
198404;39.2;1
198405;58.5;1
198406;38.2;1
198407;54.9;1
198408;56.6;1
198409;133.2;1
198410;118.5;1
198411;111.1;1
198412;40;1
198501;48.2;1
198502;35.8;1
198503;57.7;1
198504;80.6;1
198505;66.6;1
198506;132.9;1
198507;25.7;1
198508;54.6;1
198509;24.8;1
198510;8;1
198511;67.6;1
198512;60.7;1
198601;155;1
198602;12;1
198603;121.2;1
198604;100.2;1
198605;93.3;1
198606;38.5;1
198607;43.1;1
198608;112.8;1
198609;105.6;1
198610;137.7;1
198611;61.4;1
198612;109.2;1
198701;49.2;1
198702;67;1
198703;108;1
198704;26.9;1
198705;109.3;1
198706;121;1
198707;139.7;1
198708;93.8;1
198709;47.6;1
198710;100.2;1
198711;57.1;1
198712;52.9;1
198801;154.9;1
198802;111.8;1
198803;141.9;1
198804;14.3;1
198805;79.7;1
198806;36.4;1
198807;78.5;1
198808;41.4;1
198809;55.8;1
198810;66;1
198811;34.8;1
198812;86.3;1
198901;38.6;1
198902;77.3;1
198903;73.2;1
198904;148.5;1
198905;34.8;1
198906;51.4;1
198907;43.3;1
198908;41.1;1
198909;47.8;1
198910;75.9;1
198911;30.5;1
198912;126.3;1
199001;74.2;1
199002;195.4;1
199003;19.4;1
199004;40.2;1
199005;23.2;1
199006;106.8;1
199007;61.4;1
199008;76.7;1
199009;65.8;1
199010;105.1;1
199011;71.8;1
199012;135.9;1
199101;129.2;1
199102;28.4;1
199103;41.2;1
199104;47.9;1
199105;9.7;1
199106;61.3;1
199107;36.9;1
199108;6.1;1
199109;64.2;1
199110;56;1
199111;123.3;1
199112;82.1;1
199201;16.5;1
199202;52;1
199203;120.4;1
199204;64.8;1
199205;42.7;1
199206;35.4;1
199207;74.3;1
199208;91.8;1
199209;35;1
199210;127;1
199211;141.3;1
199212;65.7;1
199301;80.9;1
199302;16.6;1
199303;9.8;1
199304;33.7;1
199305;65.9;1
199306;25.6;1
199307;88.8;1
199308;23.6;1
199309;124.9;1
199310;113.8;1
199311;26.9;1
199312;260.1;1
199401;120.6;1
199402;73.8;1
199403;72.2;1
199404;108.2;1
199405;68.6;1
199406;53.2;1
199407;85.1;1
199408;114.2;1
199409;129.5;1
199410;78.8;1
199411;27.4;1
199412;131;1
199501;189.6;1
199502;108.1;1
199503;157.3;1
199504;74.6;1
199505;66.4;1
199506;31;1
199507;117.2;1
199508;37;1
199509;93.8;1
199510;45;1
199511;43.6;1
199512;55.5;1
199601;15.7;1
199602;87.7;1
199603;20.8;1
199604;8.6;1
199605;115.3;1
199606;44.4;1
199607;56;1
199608;68.3;1
199609;22.6;1
199610;66.9;1
199611;211.4;1
199612;58;1
199701;37.6;1
199702;152.5;1
199703;23;1
199704;32.4;1
199705;90.8;1
199706;184.6;1
199707;55.9;1
199708;45.4;1
199709;21.2;1
199710;56.7;1
199711;98.7;1
199712;117.5;1
199801;100.9;1
199802;14.4;1
199803;32.4;1
199804;149;1
199805;29.3;1
199806;45.7;1
199807;42;1
199808;30.8;1
199809;78.2;1
199810;194.6;1
199811;51.8;1
199812;62.4;1
199901;81.7;1
199902;97.9;1
199903;111.7;1
199904;61.2;1
199905;51.6;1
199906;94.3;1
199907;97.4;1
199908;91.2;1
199909;93.6;1
199910;57.5;1
199911;44.4;1
199912;254.2;1
200001;61;1
200002;115.4;1
200003;62.8;1
200004;50.6;1
200005;102.5;1
200006;38.6;1
200007;132.2;1
200008;51.2;1
200009;71.1;1
200010;100.8;1
200011;117.3;1
200012;87.2;1
200101;105.4;1
200102;69.6;1
200103;170.4;1
200104;115.7;1
200105;27.6;1
200106;40;1
200107;66.7;1
200108;85;1
200109;127.4;1
200110;60.9;1
200111;96.7;1
200112;85.6;1
200201;62.8;1
200202;189.3;1
200203;73;1
200204;31.5;1
200205;55.6;1
200206;19.4;1
200207;56.6;1
200208;98.1;1
200209;20.6;1
200210;117;1
200211;139.8;1
200212;94.1;1
200301;105.7;1
200302;28.9;1
200303;37.4;1
200304;61.6;1
200305;56.5;1
200306;70;1
200307;49.9;1
200308;23.3;1
200309;25.3;1
200310;112.1;1
200311;46.2;1
200312;49.5;1
200401;175.4;1
200402;26.9;1
200403;37.2;1
200404;67.7;1
200405;55.9;1
200406;60.4;1
200407;74.7;1
200408;165.2;1
200409;37.9;1
200410;77.8;1
200411;46;1
200412;74.8;1
200501;66.2;1
200502;64;1
200503;37.7;1
200504;82.6;1
200505;48.4;1
200506;97.2;1
200507;144.9;1
200508;39.5;1
200509;78.5;1
200510;47.1;1
200511;47.1;1
200512;81.5;1
200601;35.1;1
200602;88.2;1
200603;113.3;1
200604;24.7;1
200605;96.3;1
200606;39.5;1
200607;54.4;1
200608;173.1;1
200609;31.4;1
200610;131;1
200611;85.8;1
200612;67.9;1
200701;105.1;1
200702;156;1
200703;91.2;1
200704;18.3;1
200705;111.1;1
200706;99.8;1
200707;113.7;1
200708;108;1
200709;48.3;1
200710;23.2;1
200711;69.4;1
200712;125.6;1
200801;91.6;1
200802;84.2;1
200803;140.1;1
200804;79;1
200805;97;1
200806;48.4;1
200807;70.6;1
200808;78.2;1
200809;99.3;1
200810;79.4;1
200811;49.2;1
200812;90.7;1
200901;55.4;1
200902;66.9;1
200903;73.5;1
200904;46.6;1
200905;42.7;1
200906;48;1
200907;95.8;1
200908;15.2;1
200909;32.3;1
200910;34.9;1
200911;129.7;1
200912;107.4;1
201001;59.1;1
201002;108.3;1
201003;54.2;1
201004;25.7;1
201005;60.8;1
201006;50.7;1
201007;41.9;1
201008;110.2;1
201009;103.3;1
201010;40.1;1
201011;117;1
201012;160.2;1
201101;71.4;1
201102;29.1;1
201103;19.3;1
201104;11.9;1
201105;24.9;1
201106;76.5;1
201107;50.3;1
201108;85.3;1
201109;52.4;1
201110;55.6;1
201111;25.8;1
201112;206;1
201201;107.4;1
201202;18;1
201203;39.1;1
201204;77;1
201205;119.1;1
201206;96.4;1
201207;60.8;1
201208;24.2;1
201209;64.5;1
201210;88.9;1
201211;92.5;1
201212;144.5;1
201301;58.8;1
201302;79.5;1
201303;50.8;1
201304;99.6;1
201305;112.4;1
201306;118.4;1
201307;35.2;1
201308;61;1
201309;91.4;1
201310;189.4;1
201311;136.5;1
201312;53.3;1
201401;71.9;1
201402;92.4;1
201403;16.8;1
201404;36;1
201405;79.5;1
201406;45.8;1
201407;136.3;1
201408;91.5;1
201409;39.8;1
201410;101.6;1
201411;93.7;1
201412;81.3;1
