# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 23165001
# NOM_USUEL= ROYERE VASSIVIE
# LATITUDE (°) = 45.852
# LONGITUDE(°)= 1.938
# ALTITUDE (m) = 711
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR123165001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 197007 199609
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;42.1;1
195002;208;1
195003;54.7;1
195004;191.8;1
195005;64.9;1
195006;79.3;1
195007;62;1
195008;158.1;1
195009;70.9;1
195010;70.4;1
195011;344.5;1
195012;140;1
195101;161.6;1
195102;245.5;1
195103;197.8;1
195104;171.5;1
195105;133.8;1
195106;221.1;1
195107;52.5;1
195108;102.2;1
195109;183.4;1
195110;55;1
195111;197.8;1
195112;132.5;1
195201;211.2;1
195202;122.9;1
195203;164.6;1
195204;25.8;1
195205;90.2;1
195206;70.9;1
195207;19.1;1
195208;150.2;1
195209;214.2;1
195210;275.6;1
195211;239.8;1
195212;264.7;1
195301;34.7;1
195302;68.9;1
195303;6.9;1
195304;124.9;1
195305;65.4;1
195306;139.8;1
195307;121;1
195308;84.3;1
195309;245.9;1
195310;104.1;1
195311;54.5;1
195312;27.8;1
195401;79.3;1
195402;137.3;1
195403;128.9;1
195404;44;1
195405;104.1;1
195406;119.9;1
195407;95.4;1
195408;205;1
195409;135.5;1
195410;136.6;1
195411;106;1
195412;122.9;1
195501;324.2;1
195502;223.2;1
195503;52.2;1
195504;9.6;1
195505;84.7;1
195506;214.5;1
195507;71.2;1
195508;42.2;1
195509;25.1;1
195510;61.4;1
195511;51.3;1
195512;212.1;1
195601;181.3;1
195602;49.2;1
195603;58.2;1
195604;134.3;1
195605;168.5;1
195606;108.9;1
195607;148.9;1
195608;175.9;1
195609;134.7;1
195610;108.8;1
195611;85.7;1
195612;63.9;1
195701;94.6;1
195702;295;1
195703;47.3;1
195704;38.4;1
195705;75.8;1
195706;150.3;1
195707;141.4;1
195708;64.6;1
195709;117.4;1
195710;68.5;1
195711;77.3;1
195712;112.8;1
195801;210.4;1
195802;150.3;1
195803;161.4;1
195804;109.1;1
195805;231.1;1
195806;146.4;1
195807;194.3;1
195808;191.1;1
195809;82.9;1
195810;91.2;1
195811;128.4;1
195812;222.3;1
195901;151.4;1
195902;8.5;1
195903;104.7;1
195904;175.8;1
195905;43.6;1
195906;71.3;1
195907;48.2;1
195908;71.9;1
195909;156.4;1
195910;95.9;1
195911;105.1;1
195912;291.9;1
196001;143.9;1
196002;126.9;1
196003;135;1
196004;30.3;1
196005;86.9;1
196006;168.1;1
196007;115.1;1
196008;250.2;1
196009;154.8;1
196010;432.5;1
196011;159.6;1
196012;181.2;1
196101;206.3;1
196102;120.5;1
196103;16.1;1
196104;143.4;1
196105;97.3;1
196106;122;1
196107;159.6;1
196108;57.8;1
196109;64.1;1
196110;167.3;1
196111;127.4;1
196112;282.7;1
196201;209.8;1
196202;97.3;1
196203;197.7;1
196204;129.5;1
196205;204;1
196206;31.1;1
196207;108.7;1
196208;21.8;1
196209;57.5;1
196210;42.8;1
196211;169.9;1
196212;193.9;1
196301;62.2;1
196302;118;1
196303;222.9;1
196304;126.4;1
196305;92.2;1
196306;154;1
196307;27.8;1
196308;257.3;1
196309;107.3;1
196310;83.1;1
196311;165.2;1
196312;46.7;1
196401;32.1;1
196402;45.7;1
196403;126.4;1
196404;187.8;1
196405;88.8;1
196406;52.9;1
196407;13;1
196408;81.8;1
196409;63.8;1
196410;116.1;1
196411;80.6;1
196412;72.1;1
196501;148.2;1
196502;28.9;1
196503;171.5;1
196504;161;1
196505;121.4;1
196506;57.7;1
196507;75.4;1
196508;112.8;1
196509;298.9;1
196510;7.8;1
196511;229.9;1
196512;316.8;1
196601;179.1;1
196602;170.2;1
196603;93;1
196604;158.5;1
196605;124.9;1
196606;122.5;1
196607;113.8;1
196608;141.2;1
196609;46;1
196610;252.9;1
196611;129.3;1
196612;303.9;1
196701;83.7;1
196702;156.6;1
196703;96.4;1
196704;18.3;1
196705;177.8;1
196706;76.4;1
196707;16.5;1
196708;63.9;1
196709;134.1;1
196710;206.2;1
196711;143.7;1
196712;174.3;1
196801;211.4;1
196802;120.7;1
196803;81.5;1
196804;101.5;1
196805;151.3;1
196806;71.5;1
196807;155;1
196808;184;1
196809;295.7;1
196810;92.2;1
196811;68.3;1
196812;234.7;1
196901;124.7;1
196902;83;1
196903;147;1
196904;188.8;1
196905;189.5;1
196906;117.8;1
196907;113.3;1
196908;75.7;1
196909;150.7;1
196910;12.3;1
196911;244.9;1
196912;121.4;1
197001;144.4;1
197002;239.4;1
197003;90.8;1
197004;131.2;1
197005;26.3;1
197006;116.8;1
197007;52.6;1
197008;86.7;1
197009;65.2;1
197010;85;1
197011;168.2;1
197012;59.8;1
197101;236.3;1
197102;81.9;1
197103;121.2;1
197104;109.2;1
197105;124.4;1
197106;124.7;1
197107;61.5;1
197108;114.2;1
197109;73.7;1
197110;41.8;1
197111;176.1;1
197112;16.1;1
197201;101.1;1
197202;160.1;1
197203;95.4;1
197204;115.5;1
197205;84.6;1
197206;69.8;1
197207;25.6;1
197208;171.8;1
197209;50.1;1
197210;74.5;1
197211;261;1
197212;80.4;1
197301;110.6;1
197302;135.8;1
197303;11.6;1
197304;65.9;1
197305;130;1
197306;78.6;1
197307;157.8;1
197308;56.1;1
197309;137.2;1
197310;141.2;1
197311;119.7;1
197312;151.2;1
197401;100;1
197402;160.2;1
197403;145.6;1
197404;57.5;1
197405;81.2;1
197406;80.4;1
197407;52.4;1
197408;72.3;1
197409;210.1;1
197410;234;1
197411;215.7;1
197412;111.2;1
197501;215.2;1
197502;20.9;1
197503;162.8;1
197504;130.9;1
197505;145.6;1
197506;51.3;1
197507;52.9;1
197508;108.9;1
197509;188.1;1
197510;46.3;1
197511;193.6;1
197512;46;1
197601;58.3;1
197602;100.2;1
197603;52.4;1
197604;46.8;1
197605;107.6;1
197606;0;1
197607;56.8;1
197608;73.3;1
197609;189.6;1
197610;213.7;1
197611;193.5;1
197612;213.6;1
197701;139.4;1
197702;332.4;1
197703;124.2;1
197704;123;1
197705;166.2;1
197706;191.9;1
197707;101.5;1
197708;149.6;1
197709;14.1;1
197710;132.6;1
197711;157.7;1
197712;107.3;1
197801;237.8;1
197802;139.6;1
197803;227.2;1
197804;126.9;1
197805;88.9;1
197806;67.6;1
197807;105;1
197808;24.3;1
197809;88.6;1
197810;22.8;1
197811;20.6;1
197812;324.2;1
197901;119.5;1
197902;184;1
197903;289.5;1
197904;190.7;1
197905;129.4;1
197906;101.3;1
197907;15.1;1
197908;138.8;1
197909;18.6;1
197910;128.7;1
197911;129.8;1
197912;321.1;1
198001;172.9;1
198002;181.9;1
198003;178.8;1
198004;36.1;1
198005;93.6;1
198006;125.3;1
198007;101.2;1
198008;88.7;1
198009;87.1;1
198010;195.4;1
198011;110.9;1
198012;156.9;1
198101;231.5;1
198102;73;1
198103;222.7;1
198104;35.4;1
198105;255.4;1
198106;100.1;1
198107;116;1
198108;55.4;1
198109;105.1;1
198110;270.6;1
198111;50.5;1
198112;361.9;1
198201;191.8;1
198202;39.4;1
198203;159.5;1
198204;24.7;1
198205;85.4;1
198206;85.4;1
198207;68.8;1
198208;77.6;1
198209;108.2;1
198210;170.5;1
198211;119.2;1
198212;319.3;1
198301;125.1;1
198302;176.1;1
198303;87.8;1
198304;275.5;1
198305;184.6;1
198306;53.1;1
198307;63.4;1
198308;119.2;1
198309;115.7;1
198310;81.5;1
198311;135.9;1
198312;165;1
198401;266.1;1
198402;138.5;1
198403;89.9;1
198404;19.9;1
198405;154.2;1
198406;85.8;1
198407;56.7;1
198408;90.2;1
198409;187.7;1
198410;150.6;1
198411;180.4;1
198412;76.1;1
198501;115.9;1
198502;151.7;1
198503;115;1
198504;120.6;1
198505;166.7;1
198506;104.4;1
198507;38.7;1
198508;58;1
198509;12;1
198510;8.4;1
198511;114.6;1
198512;102.7;1
198601;281.8;1
198602;88.3;1
198603;185.5;1
198604;227.2;1
198605;103.6;1
198606;51.6;1
198607;31.1;1
198608;94.9;1
198609;114.3;1
198610;141;1
198611;130.8;1
198612;203.7;1
198701;87;1
198702;89.9;1
198703;116.8;1
198704;98.7;1
198705;112.3;1
198706;171.9;1
198707;105.4;1
198708;27.1;1
198709;125;1
198710;192.1;1
198711;151.9;1
198712;52.9;1
198801;288.7;1
198802;229.7;1
198803;247.7;1
198804;70.1;1
198805;119.7;1
198806;108.5;1
198807;123.9;1
198808;19.1;1
198809;98.2;1
198810;105.1;1
198811;54.2;1
198812;130.9;1
198901;47.3;1
198902;113.2;1
198903;97.3;1
198904;208.2;1
198905;55.5;1
198906;46.6;1
198907;87.6;1
198908;59;1
198909;65;1
198910;52.6;1
198911;79.7;1
198912;106.3;1
199001;89.9;1
199002;354.9;1
199003;24.9;1
199004;138.4;1
199005;163.7;1
199006;146.7;1
199007;44.2;1
199008;79.5;1
199009;104.8;1
199010;230.6;1
199011;151.4;1
199012;81.2;1
199101;127.8;1
199102;98.4;1
199103;71.6;1
199104;86;1
199105;42.1;1
199106;98.1;1
199107;66.2;1
199108;45.7;1
199109;79.2;1
199110;104;1
199111;185.6;1
199112;71.6;1
199201;52.6;1
199202;72.2;1
199203;133.3;1
199204;75.3;1
199205;88.5;1
199206;209.1;1
199207;88;1
199208;140.5;1
199209;86.9;1
199210;227.1;1
199211;267.7;1
199212;121.4;1
199301;51.6;1
199302;17.6;1
199303;39.3;1
199304;145.7;1
199305;108.7;1
199306;150;1
199307;67.4;1
199308;94.9;1
199309;234.4;1
199310;177.6;1
199311;49.9;1
199312;351.4;1
199401;248.3;1
199402;177.1;1
199403;62.1;1
199404;198.6;1
199405;182.3;1
199406;126.7;1
199407;38.8;1
199408;102.1;1
199409;240.2;1
199410;150.3;1
199411;131.2;1
199412;201.1;1
199501;273.9;1
199502;236.6;1
199503;182.3;1
199504;76.3;1
199505;115;1
199506;36.7;1
199507;86.4;1
199508;45;1
199509;179;1
199510;85.6;1
199511;73;1
199512;204.9;1
199601;154.8;1
199602;146.1;1
199603;49.2;1
199604;46.7;1
199605;119.9;1
199606;43.2;1
199607;55.2;1
199608;88.5;1
199609;86.5;1
199610;96.8;1
199611;251.4;1
199612;85.1;1
199701;43.9;1
199702;163.1;1
199703;9.1;1
199704;32.5;1
199705;206.9;1
199706;203.1;1
199707;106.9;1
199708;99.3;1
199709;54.5;1
199710;92.1;1
199711;206.4;1
199712;182.3;1
199801;215.2;1
199802;33.9;1
199803;93.6;1
199804;317;1
199805;62.8;1
199806;104.9;1
199807;62.3;1
199808;62.9;1
199809;199.7;1
199810;214.8;1
199811;108.9;1
199812;75;1
199901;165.4;1
199902;202.5;1
199903;114.5;1
199904;153.8;1
199905;108.5;1
199906;77.2;1
199907;98;1
199908;92.3;1
199909;159;1
199910;79;1
199911;74.3;1
199912;262.5;1
200001;42.9;1
200002;199.6;1
200003;84.7;1
200004;191;1
200005;122.1;1
200006;66.8;1
200007;156.5;1
200008;109.9;1
200009;50;1
200010;162.2;1
200011;364.6;1
200012;72.6;1
200101;155.7;1
200102;76.7;1
200103;264.1;1
200104;242;1
200105;101;1
200106;79;1
200107;319.5;1
200108;101.8;1
200109;118.3;1
200110;105.8;1
200111;99.4;1
200112;100.1;1
200201;59.4;1
200202;180.1;1
200203;71.5;1
200204;56.2;1
200205;153.4;1
200206;95.8;1
200207;127.9;1
200208;139.1;1
200209;28.6;1
200210;164;1
200211;202.1;1
200212;158.5;1
200301;196.9;1
200302;98.7;1
200303;58.2;1
200304;82.9;1
200305;103.4;1
200306;46.7;1
200307;78.1;1
200308;98.2;1
200309;73.4;1
200310;219.1;1
200311;100.5;1
200312;118.7;1
200401;321.6;1
200402;25.9;1
200403;88.9;1
200404;162.2;1
200405;61.6;1
200406;28.3;1
200407;148.8;1
200408;233.4;1
200409;58.1;1
200410;108.4;1
200411;66.8;1
200412;143.6;1
200501;143.3;1
200502;86.3;1
200503;78.2;1
200504;137.1;1
200505;94.3;1
200506;125.3;1
200507;75.1;1
200508;41.6;1
200509;80.4;1
200510;84.3;1
200511;119.1;1
200512;178;1
200601;78.3;1
200602;170.2;1
200603;308.7;1
200604;75.4;1
200605;95.2;1
200606;89.5;1
200607;74;1
200608;105.3;1
200609;155;1
200610;112.1;1
200611;137.2;1
200612;122.7;1
200701;196.9;1
200702;217.6;1
200703;211;1
200704;43.7;1
200705;174.2;1
200706;163.5;1
200707;123.2;1
200708;175;1
200709;81.8;1
200710;38.1;1
200711;65.2;1
200712;189.3;1
200801;165.6;1
200802;52.8;1
200803;279.8;1
200804;228.3;1
200805;177.2;1
200806;70.4;1
200807;77.5;1
200808;92.6;1
200809;90.2;1
200810;164.5;1
200811;145.6;1
200812;130;1
200901;127.2;1
200902;43.1;1
200903;79.1;1
200904;181.1;1
200905;114;1
200906;121.1;1
200907;97.6;1
200908;64.9;1
200909;41.4;1
200910;50.5;1
200911;255.2;1
200912;180;1
201001;109.2;1
201002;152;1
201003;146.8;1
201004;65.2;1
201005;172.6;1
201006;199.4;1
201007;32.2;1
201008;85.7;1
201009;70.5;1
201010;91.2;1
201011;211.2;1
201012;151.5;1
201101;55;1
201102;50.5;1
201103;45.1;1
201104;15.5;1
201105;103.2;1
201106;63.9;1
201107;122.6;1
201108;116;1
201109;52.9;1
201110;48.8;1
201111;75.6;1
201112;390.2;1
201201;130.8;1
201202;21.3;1
201203;47.2;1
201204;242.9;1
201205;113.1;1
201206;123.5;1
201207;99.9;1
201208;39.4;1
201209;78.7;1
201210;125.5;1
201211;138.7;1
201212;291.5;1
201301;129.7;1
201302;163.2;1
201303;162.1;1
201304;157.7;1
201305;170.6;1
201306;73;1
201307;73.6;1
201308;87.5;1
201309;122.2;1
201310;161.6;1
201311;235.5;1
201312;99.4;1
201401;159.5;1
201402;250.7;1
201403;78.9;1
201404;83.7;1
201405;155;1
201406;83.6;1
201407;188;1
201408;106.2;1
201409;117.3;1
201410;84;1
201411;140.4;1
201412;105.4;1
201501;153.1;1
201502;118.1;1
201503;115.2;1
201504;104.6;1
201505;78.5;1
201506;82.5;1
201507;19.2;1
201508;106.8;1
201509;103.5;1
201510;59;1
201511;108.5;1
201512;23.5;1
201601;252.7;1
201602;193.6;1
201603;146.7;1
201604;144.7;1
201605;144.9;1
201606;117;1
201607;13;1
201608;25.3;1
201609;97.8;1
201610;70.5;1
201611;147.5;1
201612;10.4;1
201701;58.1;1
201702;146.4;1
201703;161;1
201704;56.9;1
201705;141.9;1
201706;139.3;1
201707;77.5;1
201708;71.9;1
201709;109.2;1
201710;46.6;1
201711;144.2;1
201712;266.6;1
201801;395.2;1
201802;99.3;1
201803;171.8;1
201804;113.7;1
201805;141.9;1
201806;96.8;1
201807;31;1
201808;45;1
201809;34.9;1
201810;51.9;1
201811;91.5;1
201812;220.4;1
201901;120.3;1
201902;52.7;1
201903;134.8;1
201904;101.3;1
201905;81.4;1
201906;104.5;1
201907;66.1;1
201908;16.7;1
201909;89.9;1
201910;189.7;1
201911;318.4;1
201912;277;1
202001;134.5;1
202002;155.7;1
202003;152;1
202004;136.8;1
202005;99;1
202006;192.7;1
202007;15.3;1
202008;68.4;1
202009;76.6;1
202010;246.3;1
202011;40;1
202012;263.6;1
202101;196.5;1
202102;158.3;1
202103;82.2;1
202104;45.9;1
202105;172.6;1
202106;126.9;1
202107;136;1
202108;37.9;1
202109;141.6;1
202110;97.1;1
202111;90.1;1
202112;241.2;1
202201;61.2;0
202202;134.5;0
202203;51.6;0
202204;159;0
202205;28.3;0
202206;223.8;0
202207;9;0
202208;84.4;0
202209;135.4;0
202210;74.5;0
202211;176.1;0
202212;112.2;0
