# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 44199002
# NOM_USUEL= SOUDAN
# LATITUDE (°) = 47.737
# LONGITUDE(°)= -1.277
# ALTITUDE (m) = 77
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR044199002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 196404 197303
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;66.9;1
195102;115.7;1
195103;115.2;1
195104;57.9;1
195105;99.8;1
195106;122.2;1
195107;41;1
195108;120;1
195109;88.4;1
195110;51.5;1
195111;147;1
195112;101.3;1
195201;69.1;1
195202;36.4;1
195203;121.3;1
195204;23.6;1
195205;32.8;1
195206;20.7;1
195207;31.7;1
195208;75;1
195209;134.9;1
195210;109.4;1
195211;116.9;1
195212;166.2;1
195301;19.4;1
195302;36.5;1
195303;2.9;1
195304;127.5;1
195305;29.8;1
195306;30.2;1
195307;93.3;1
195308;5.7;1
195309;74.3;1
195310;71.6;1
195311;23.8;1
195312;25.7;1
195401;29;1
195402;71.6;1
195403;93.6;1
195404;15.4;1
195405;24.5;1
195406;46.1;1
195407;37.3;1
195408;68.9;1
195409;38.3;1
195410;55;1
195411;113.9;1
195412;77.1;1
195501;131.9;1
195502;104.4;1
195503;27.7;1
195504;1.4;1
195505;58.8;1
195506;67.3;1
195507;36.8;1
195508;4.5;1
195509;39.5;1
195510;43.9;1
195511;29.3;1
195512;108.6;1
195601;114.2;1
195602;7.9;1
195603;25.2;1
195604;82.7;1
195605;37.2;1
195606;34.7;1
195607;73;1
195608;119.4;1
195609;82.6;1
195610;37.6;1
195611;24.2;1
195612;111.7;1
195701;39.1;1
195702;192.5;1
195703;27.1;1
195704;66.9;1
195705;33.2;1
195706;29.3;1
195707;68.3;1
195708;64.7;1
195709;59.6;1
195710;17.8;1
195711;60.5;1
195712;38.5;1
195801;120.7;1
195802;91.5;1
195803;61.8;1
195804;41.2;1
195805;58.7;1
195806;120.6;1
195807;69.6;1
195808;78.8;1
195809;49.3;1
195810;51.6;1
195811;55.4;1
195812;94.3;1
195901;108.9;1
195902;5.7;1
195903;63.6;1
195904;103.1;1
195905;53.2;1
195906;44.3;1
195907;13;1
195908;44.6;1
195909;7.9;1
195910;115.1;1
195911;47.6;1
195912;164;1
196001;60.3;1
196002;75.7;1
196003;55.8;1
196004;13.8;1
196005;45.5;1
196006;27.9;1
196007;47.8;1
196008;85.8;1
196009;104.1;1
196010;171.7;1
196011;172.2;1
196012;141;1
196101;98.8;1
196102;53.2;1
196103;8.8;1
196104;56.8;1
196105;32.9;1
196106;30.8;1
196107;45.8;1
196108;5.6;1
196109;52.7;1
196110;99;1
196111;87.8;1
196112;138.8;1
196201;94.2;1
196202;38.6;1
196203;82.6;1
196204;24;1
196205;56.1;1
196206;3.1;1
196207;40.9;1
196208;27.8;1
196209;40.7;1
196210;54.7;1
196211;95.9;1
196212;32.1;1
196301;47;1
196302;61.9;1
196303;109.4;1
196304;101.9;1
196305;40.8;1
196306;124.1;1
196307;30.5;1
196308;113.8;1
196309;50.5;1
196310;58.4;1
196311;148.8;1
196312;24.6;1
196401;22.9;1
196402;87;1
196403;98;1
196404;62.5;1
196405;64.6;1
196406;57.1;1
196407;14.1;1
196408;24.7;1
196409;18.7;1
196410;66.1;1
196411;32.1;1
196412;90.8;1
196501;111.7;1
196502;1.7;1
196503;99.3;1
196504;45;1
196505;45.9;1
196506;40.9;1
196507;27.3;1
196508;86.5;1
196509;90.9;1
196510;30.7;1
196511;147.9;1
196512;106.2;1
196601;77.2;1
196602;118.7;1
196603;23.2;1
196604;112.6;1
196605;67.6;1
196606;86.5;1
196607;30;1
196608;80.7;1
196609;27;1
196610;256.2;1
196611;101.2;1
196612;93;1
196701;36;1
196702;103.5;1
196703;59.2;1
196704;15.1;1
196705;123.8;1
196706;44.7;1
196707;8;1
196708;66.1;1
196709;90.3;1
196710;103.4;1
196711;95;1
196712;58.6;1
196801;59.1;1
196802;64.3;1
196803;44.6;1
196804;59.2;1
196805;55;1
196806;52.5;1
196807;71.7;1
196808;61.3;1
196809;106;1
196810;49.1;1
196811;19.9;1
196812;66.3;1
196901;74.6;1
196902;42.4;1
196903;85.9;1
196904;41.3;1
196905;111.1;1
196906;38.3;1
196907;25.5;1
196908;12.5;1
196909;44.8;1
196910;4.4;1
196911;134.6;1
196912;80.6;1
197001;96.9;1
