# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 22016003
# NOM_USUEL= BREHAT
# LATITUDE (°) = 48.855
# LONGITUDE(°)= -3.005
# ALTITUDE (m) = 25
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-12-31
# NUM_SERIE= MRR022016003
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196312
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;119.2;1
195902;6;1
195903;62.1;1
195904;84.5;1
195905;17.6;1
195906;13.6;1
195907;27.7;1
195908;45.1;1
195909;17.1;1
195910;143.7;1
195911;131.5;1
195912;122.2;1
196001;59.3;1
196002;75.4;1
196003;64.4;1
196004;36.5;1
196005;68.1;1
196006;30.4;1
196007;82.3;1
196008;78.4;1
196009;89.4;1
196010;166.9;1
196011;106.8;1
196012;129;1
196101;165.6;1
196102;55.2;1
196103;6.9;1
196104;73.4;1
196105;35.8;1
196106;23.6;1
196107;52.1;1
196108;9.6;1
196109;40.4;1
196110;70.5;1
196111;53.8;1
196112;60;1
196201;80.5;1
196202;28.9;1
196203;87.8;1
196204;58.2;1
196205;34.9;1
196206;4.9;1
196207;37.7;1
196208;41.1;1
196209;69.6;1
196210;24.8;1
196211;106;1
196212;64.7;1
196301;51;1
196302;38.2;1
196303;50.6;1
196304;53.8;1
196305;16.4;1
196306;35.2;1
196307;40.3;1
196308;86.2;1
196309;24.2;1
196310;40.3;1
196311;147.1;1
196312;34.8;1
196401;32.3;1
196402;25;1
196403;67.6;1
196404;39;1
196405;47.4;1
196406;75.1;1
196407;9.7;1
196408;17.8;1
196409;33.7;1
196410;112.3;1
196411;55.9;1
196412;82.6;1
196501;143.4;1
196502;6.6;1
196503;72;1
196504;31.2;1
196505;58.3;1
196506;55.7;1
196507;40;1
196508;45.5;1
196509;52.7;1
196510;21.3;1
196511;164.6;1
196512;182.6;1
196601;66.5;1
196602;67.5;1
196603;16.4;1
196604;100.9;1
196605;49.4;1
196606;53.7;1
196607;33;1
196608;57.3;1
196609;44.5;1
196610;125.8;1
196611;92.8;1
196612;105.2;1
196701;45.9;1
196702;38.4;1
196703;60.9;1
196704;16.4;1
196705;106.7;1
196706;16.1;1
196707;15;1
196708;36.1;1
196709;133.1;1
196710;97.1;1
196711;92.1;1
196712;79.1;1
196801;63.6;1
196802;75.3;1
196803;14.6;1
196804;63.9;1
196805;55.5;1
196806;79.8;1
196807;37.8;1
196808;31.2;1
196809;72.3;1
196810;78.4;1
196811;29.5;1
196812;81.5;1
196901;63.8;1
196902;113.7;1
196903;53.6;1
196904;26.3;1
196905;99.6;1
196906;30.1;1
196907;39.9;1
196908;26.8;1
196909;27.3;1
196910;3.9;1
196911;137.8;1
196912;81.5;1
197001;72.2;1
197002;137.4;1
197003;62.5;1
197004;40;1
197005;19.4;1
197006;42;1
197007;36.6;1
197008;106.6;1
197009;27.1;1
197010;27;1
197011;88.2;1
197012;49.5;1
197101;70.6;1
197102;37.9;1
197103;46;1
197104;39.9;1
197105;38.5;1
197106;40.4;1
197107;31.8;1
197108;42.7;1
197109;61;1
197110;29.5;1
197111;117.2;1
197112;26;1
197201;79.3;1
197202;123.7;1
197203;47;1
197204;64.7;1
197205;80.9;1
197206;60.4;1
197207;22.2;1
197208;18;1
197209;27.6;1
197210;50.7;1
197211;160.9;1
197212;39.4;1
197301;51.5;1
197302;64.7;1
197303;7.7;1
197304;59.6;1
197305;103.8;1
197306;22.5;1
197307;68.1;1
197308;17.4;1
197309;74;1
197310;43.8;1
197311;51.3;1
197312;59.5;1
197401;81.9;1
197402;106.4;1
197403;49.7;1
197404;30.9;1
197405;26.5;1
197406;64.6;1
197407;29;1
197408;79.5;1
197409;110.5;1
197410;123.6;1
197411;112.5;1
197412;41.4;1
197501;83.2;1
197502;16.1;1
197503;87.2;1
197504;47.6;1
197505;40.3;1
197506;9.5;1
197507;47.8;1
197508;47.3;1
197509;61.1;1
197510;47.8;1
197511;104.9;1
197512;21.8;1
197601;38.3;1
197602;33.7;1
197603;51.5;1
197604;6.1;1
197605;13;1
197606;0.8;1
197607;8.9;1
197608;1.6;1
197609;98.7;1
197610;117.9;1
197611;109.7;1
197612;124.5;1
197701;108.6;1
197702;102.9;1
197703;71;1
197704;55.8;1
197705;73.2;1
197706;56.2;1
197707;42.2;1
197708;39.6;1
197709;33.3;1
197710;33.2;1
197711;119.3;1
197712;74.1;1
197801;127.5;1
197802;86.3;1
197803;105.9;1
197804;45;1
197805;40.9;1
197806;34.6;1
197807;101.7;1
197808;18.1;1
197809;20.4;1
197810;3.5;1
197811;31;1
197812;144.8;1
197901;112.3;1
197902;135.7;1
197903;99.8;1
197904;54.9;1
197905;82.1;1
197906;15;1
197907;4.8;1
197908;64.2;1
197909;17.3;1
197910;79.3;1
197911;81.2;1
197912;164.8;1
198001;72.2;1
198002;85;1
198003;108;1
198004;4.5;1
198005;50.4;1
198006;78.5;1
198007;47.8;1
198008;22.9;1
198009;42.8;1
198010;130.4;1
198011;107;1
198012;71.5;1
198101;67.5;1
198102;51.9;1
198103;88.4;1
198104;33;1
198105;147.6;1
198106;25.2;1
198107;30.9;1
198108;19.6;1
198109;66;1
198110;141.8;1
198111;36.3;1
198112;155.1;1
198201;119.7;1
198202;44.6;1
198203;85.6;1
198204;28.2;1
198205;38.9;1
198206;63.9;1
198207;69.8;1
198208;48.3;1
198209;49.1;1
198210;141.8;1
198211;127.9;1
198212;145.4;1
198301;56.8;1
198302;95.2;1
198303;48.7;1
198304;84.3;1
198305;106.5;1
198306;3.9;1
198307;17.1;1
198308;44.2;1
198309;58.2;1
198310;48.4;1
198311;42.3;1
198312;58;1
198401;165.1;1
198402;68.3;1
198403;85.8;1
198404;3;1
198405;80.9;1
198406;11.7;1
198407;22.1;1
198408;29.5;1
198409;52.7;1
198410;70.8;1
198411;117.5;1
198412;100.3;1
198501;79.6;1
198502;45.5;1
198503;98.5;1
198504;51.1;1
198505;48;1
198506;50.1;1
198507;28.7;1
198508;49.4;1
198509;15.2;1
198510;27.3;1
198511;116;1
198512;67.5;1
198601;125.8;1
198602;43;1
198603;92.9;1
198604;57.7;1
198605;80.4;1
198606;74.6;1
198607;28.9;1
198608;63.2;1
198609;109.7;1
198610;60.1;1
198611;71.4;1
198612;120.4;1
198701;46.9;1
198702;56.7;1
198703;59.4;1
198704;55.9;1
198705;35.1;1
198706;76.5;1
198707;72.5;1
198708;17;1
198709;50;1
198710;134.7;1
198711;96.2;1
198712;62.5;1
198801;163.6;1
198802;94.3;1
198803;105;1
198804;31.3;1
198805;45.2;1
198806;12.3;1
198807;54;1
198808;28.9;1
198809;63.8;1
198810;50.4;1
198811;24.7;1
198812;52.7;1
198901;34.3;1
198902;79.8;1
198903;57.1;1
198904;55.3;1
198905;6.8;1
198906;21.8;1
198907;16.2;1
198908;10.3;1
198909;15.1;1
198910;33.6;1
198911;52.7;1
198912;98.2;1
199001;123.7;1
199002;145.9;1
199003;6.1;1
199004;64.8;1
199005;21.6;1
199006;58.1;1
199007;13.9;1
199008;11.2;1
199009;35.3;1
199010;119.2;1
199011;81.7;1
199012;82.1;1
199101;84.3;1
199102;40.9;1
199103;45.9;1
199104;45.3;1
199105;11.9;1
199106;61;1
199107;21.8;1
199108;18.8;1
199109;34;1
199110;74;1
199111;125.2;1
199112;19.3;1
199201;9.6;1
199202;32.3;1
199203;37.4;1
199204;52.4;1
199205;59.8;1
199206;69.4;1
199207;23.1;1
199208;91.2;1
199209;77;1
199210;100.6;1
199211;117.5;1
199212;98.4;1
199301;53.8;1
199302;19.8;1
199303;27.3;1
199304;50.9;1
199305;58.6;1
199306;89.2;1
199307;42.3;1
199308;24.3;1
199309;132.4;1
199310;90.6;1
199311;31.4;1
199312;149.6;1
199401;84.9;1
199402;76.1;1
199403;41.1;1
199404;72.7;1
199405;96.6;1
199406;16.2;1
199407;16.8;1
199408;101.9;1
199409;70.9;1
199410;87.6;1
199411;33;1
199412;143.3;1
199501;159;1
199502;125.9;1
199503;78.5;1
199504;60.8;1
199505;37.6;1
199506;8.5;1
199507;43.1;1
199508;16.7;1
199509;70.5;1
199510;20.9;1
199511;47;1
199512;98.5;1
199601;29.8;1
199602;86.9;1
199603;25.5;1
199604;40.2;1
199605;73;1
199606;7.4;1
199607;13.3;1
199608;63.1;1
199609;46.6;1
199610;44;1
199611;126.5;1
199612;50.7;1
199701;7.2;1
199702;82.9;1
199703;17.1;1
199704;20.3;1
199705;74.7;1
199706;105.4;1
199707;30.4;1
199708;71.8;1
199709;12.1;1
199710;63;1
199711;90.9;1
199712;113.4;1
199801;106.7;1
199802;13.8;1
199803;43.4;1
199804;176.3;1
199805;15;1
199806;46.6;1
199807;20.4;1
199808;15.4;1
199809;106.6;1
199810;150;1
199811;73.6;1
199812;104.8;1
199901;103.4;1
199902;60.6;1
199903;49;1
199904;109;1
199905;66;1
199906;59.2;1
199907;19.6;1
199908;67.4;1
199909;60;1
199910;81.2;1
199911;59.8;1
199912;209.2;1
200001;9.2;1
200002;62;1
200003;50;1
200004;108.8;1
200005;65.4;1
200006;28;1
200007;123.8;1
200008;21.2;1
200009;52.8;1
200010;97.2;1
200011;137.2;1
200012;94;1
200101;139.1;1
200102;97.4;1
200103;159.2;1
200104;72.6;1
200105;24.4;1
200106;10.2;1
200107;68.2;1
200108;37.4;1
200109;24;1
200110;54.1;1
200111;34.5;1
200112;52.8;1
200201;28.5;1
200202;82.8;1
200203;39.1;1
200204;36.2;1
200205;60.5;1
200206;48.6;1
200207;51;1
200208;51.6;1
200209;19.6;1
200210;98.3;1
200211;114.3;1
200212;108;1
200301;65.6;1
200302;59.7;1
200303;37.5;1
200304;22.2;1
200305;46.7;1
200306;42.2;1
200307;34.7;1
200308;12.7;1
200309;13.9;1
200310;89.7;1
200311;112.7;1
200312;67.5;1
200401;146.6;1
200402;50.3;1
200403;49.2;1
200404;61;1
200405;45.3;1
200406;14;1
200407;104.8;1
200408;73.2;1
200409;16.4;1
200410;160.2;1
200411;40;1
200412;69.3;1
200501;70.3;1
200502;58.6;1
200503;36.2;1
200504;63.4;1
200505;49.2;1
200506;36.9;1
200507;53.8;1
200508;23.5;1
200509;31.1;1
200510;64.6;1
200511;75.3;1
200512;91.4;1
200601;40.4;1
200602;73;1
200603;103.7;1
200604;38.3;1
200605;48.4;1
200606;14.5;1
200607;39.5;1
200608;74.1;1
200609;32.7;1
200610;63.9;1
200611;71.8;1
200612;126.1;1
200701;78.1;1
200702;87.3;1
200703;78.4;1
200704;18.7;1
200705;82.7;1
200706;84.3;1
200707;86.5;1
200708;47.1;1
200709;48.2;1
200710;10.9;1
200711;51.8;1
200712;109.4;1
200801;74.8;1
200802;38.9;1
200803;103.6;1
200804;61.2;1
200805;128.2;1
200806;67;1
200807;31.7;1
200808;50.5;1
200809;45.8;1
200810;98.3;1
200811;110.5;1
200812;76.1;1
200901;87.8;1
200902;41.2;1
200903;58.7;1
200904;67;1
200905;37.1;1
200906;51;1
200907;76.7;1
200908;48.2;1
200909;14.8;1
200910;74.1;1
200911;174.2;1
200912;101.3;1
201001;72.8;1
201002;99.5;1
201003;29.3;1
201004;25.8;1
201005;43.4;1
201006;39.3;1
201007;51.2;1
201008;75.5;1
201009;36.2;1
201010;86.9;1
201011;172.2;1
201012;96.2;1
201101;55.1;1
201102;42.3;1
201103;10.1;1
201104;12.6;1
201105;41.1;1
201106;35.7;1
201107;64.5;1
201108;57.8;1
201109;37;1
201110;22.8;1
201111;27.7;1
201112;199.8;1
201201;45.9;1
201202;15.7;1
201203;26.9;1
201204;110.4;1
201205;47.5;1
201206;68.7;1
201207;35.4;1
201208;41.3;1
201209;40;1
201210;80.7;1
201211;107;1
201212;164.4;1
201301;90.7;1
201302;47.8;1
201303;115.5;1
201304;42;1
201305;43.4;1
201306;23.3;1
201307;22.5;1
201308;19;1
201309;49.8;1
201310;84.2;1
201311;123;1
201312;102.7;1
201401;156;1
201402;127.3;1
201403;51.1;1
201404;51.9;1
201405;54.9;1
201406;24.9;1
201407;37.3;1
201408;68.5;1
201409;3.8;1
201410;77.3;1
201411;114.8;1
201412;64.3;1
201501;104;1
201502;100.7;1
201503;34.2;1
201504;42.8;1
201505;41.6;1
201506;25;1
201507;38.1;1
201508;194.2;1
201509;32.6;1
201510;28.3;1
201511;66.9;1
201512;39.5;1
201601;144.2;1
201602;132.1;1
201603;82.4;1
201604;36.3;1
201605;17.4;1
201606;43;1
201607;15.6;1
201608;29.9;1
201609;29.1;1
201610;35;1
201611;122.7;1
201612;20.7;1
201701;33.2;1
201702;77.8;1
201703;59.6;1
201704;43.1;1
201705;119.4;1
201706;29.9;1
201707;34.5;1
201708;45;1
201709;97.2;1
201710;41.5;1
201711;92.2;1
201712;159.2;1
201801;127.3;1
201802;55.8;1
201803;82.1;1
201804;30.3;1
201805;46.7;1
201806;42.2;1
201807;30.9;1
201808;34.1;1
201809;20.4;1
201810;75.2;1
201811;50.7;1
201812;84.9;1
201901;73.7;0
201902;63;0
201903;58.5;0
201904;44.2;0
201905;36.2;0
201906;117.2;0
201907;11.7;0
201908;48.9;0
201909;72.1;0
201910;165.9;0
201911;194;0
201912;101.8;0
