# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 37031001
# NOM_USUEL= BOURGUEIL
# LATITUDE (°) = 47.278
# LONGITUDE(°)= 0.162
# ALTITUDE (m) = 31
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR137031001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;46.2;1
194702;68;1
194703;97;1
194704;15.7;1
194705;31.3;1
194706;28.5;1
194707;6;1
194708;33.4;1
194709;23.7;1
194710;15.5;1
194711;32.1;1
194712;73.4;1
194801;82.5;1
194802;29.5;1
194803;12.6;1
194804;48.2;1
194805;57.2;1
194806;42.7;1
194807;25.6;1
194808;46.8;1
194809;21.7;1
194810;23.2;1
194811;87.3;1
194812;67.6;1
194901;32.7;1
194902;3;1
194903;34.7;1
194904;26.6;1
194905;18.7;1
194906;36.1;1
194907;2.6;1
194908;28.9;1
194909;108.7;1
194910;60.4;1
194911;85.3;1
194912;36.3;1
195001;21.9;1
195002;64.2;1
195003;15.9;1
195004;48.6;1
195005;119.1;1
195006;60;1
195007;68.4;1
195008;64.9;1
195009;68.5;1
195010;35;1
195011;85.1;1
195012;83.2;1
195101;46.8;1
195102;45.4;1
195103;88;1
195104;73.1;1
195105;81.1;1
195106;70.3;1
195107;17.6;1
195108;93.6;1
195109;20.5;1
195110;29.5;1
195111;66;1
195112;49.7;1
195201;53.8;1
195202;29.9;1
195203;78.9;1
195204;7.9;1
195205;56.6;1
195206;31.1;1
195207;3;1
195208;69.7;1
195209;124;1
195210;93.6;1
195211;80.7;1
195212;104.3;1
195301;23.3;1
195302;24.6;1
195303;4.9;1
195304;43.1;1
195305;13.9;1
195306;40.2;1
195307;35.9;1
195308;16.4;1
195309;90.7;1
195310;71.1;1
195311;19.7;1
195312;6.7;1
195401;1.6;1
195402;44.4;1
195403;68.8;1
195404;9.1;1
195405;49.4;1
195406;53.4;1
195407;35.7;1
195408;58.2;1
195409;29.3;1
195410;36.1;1
195411;39.5;1
195412;59.3;1
195501;112.3;1
195502;74.1;1
195503;36.9;1
195504;0.5;1
195505;35.3;1
195506;96.2;1
195507;10.9;1
195508;7.1;1
195509;21.8;1
195510;48;1
195511;13.9;1
195512;77.6;1
195601;80.5;1
195602;1.9;1
195603;14;1
195604;51;1
195605;42.6;1
195606;24.7;1
195607;82.4;1
195608;74.4;1
195609;20.7;1
195610;22.7;1
195611;18;1
195612;28.9;1
195701;31;1
195702;139.9;1
195703;26.5;1
195704;37;1
195705;46.4;1
195706;94.7;1
195707;48.8;1
195708;26;1
195709;65.1;1
195710;15.5;1
195711;53.8;1
195712;54.9;1
195801;110;1
195802;98.4;1
195803;80;1
195804;48.3;1
195805;74.9;1
195806;90.2;1
195807;48.1;1
195808;41.2;1
195809;16.1;1
195810;75.7;1
195811;58.7;1
195812;85.3;1
195901;69.5;1
195902;1.7;1
195903;40.9;1
195904;104.6;1
195905;32.7;1
195906;53.9;1
195907;28.1;1
195908;28.9;1
195909;32.3;1
195910;84.2;1
195911;44.9;1
195912;66.5;1
196001;54.6;1
196002;46.2;1
196003;48.5;1
196004;16;1
196005;60;1
196006;23.2;1
196007;78.7;1
196008;89.8;1
196009;89;1
196010;85.5;1
196011;104.4;1
196012;108.4;1
196101;117.1;1
196102;23.8;1
196103;5;1
196104;59.7;1
196105;30.7;1
196106;34.3;1
196107;62;1
196108;0.2;1
196109;60;1
196110;104.5;1
196111;97.7;1
196112;91.1;1
196201;46.4;1
196202;34.2;1
196203;104.8;1
196204;47.4;1
196205;54.4;1
196206;44.6;1
196207;21.2;1
196208;4;1
196209;70.6;1
196210;41.5;1
196211;107.2;1
196212;40.9;1
196301;34;1
196302;26.5;1
196303;76.9;1
196304;103.5;1
196305;28.5;1
196306;81.4;1
196307;10.6;1
196308;154.1;1
196309;38.9;1
196310;32.1;1
196311;81.2;1
196312;17.2;1
196401;23.6;1
196402;92.8;1
196403;58.2;1
196404;54.9;1
196405;37.1;1
196406;19.9;1
196407;14.5;1
196408;15.8;1
196409;36.7;1
196410;43;1
196411;48.2;1
196412;56;1
196501;99.8;1
196502;1.7;1
196503;64.7;1
196504;41.8;1
196505;31;1
196506;24.2;1
196507;37.5;1
196508;132;1
196509;162.5;1
196510;24;1
196511;64.9;1
196512;87.4;1
196601;54;1
196602;85.7;1
196603;16.3;1
196604;86.3;1
196605;39.1;1
196606;51.8;1
196607;27.7;1
196608;78.7;1
196609;37.5;1
196610;139.3;1
196611;107.9;1
196612;77.3;1
196701;33.9;1
196702;42.2;1
196703;46.3;1
196704;57.2;1
196705;66.1;1
196706;42.5;1
196707;12;1
196708;33.5;1
196709;56.8;1
196710;94;1
196711;71.2;1
196712;52.4;1
196801;44.3;1
196802;68;1
196803;64.8;1
196804;45.5;1
196805;34.9;1
196806;46.4;1
196807;54.2;1
196808;47;1
196809;125.8;1
196810;58.2;1
196811;20.7;1
196812;54.2;1
196901;33.7;1
196902;33;1
196903;68.6;1
196904;39.7;1
196905;54.9;1
196906;51.6;1
196907;31.4;1
196908;19;1
196909;35;1
196910;6.2;1
196911;150.9;1
196912;76.3;1
197001;56.2;1
197002;102.6;1
197003;53.9;1
197004;66.3;1
197005;20.6;1
197006;95.6;1
197007;17.6;1
197008;103.8;1
197009;20.1;1
197010;39.8;1
197011;73.9;1
197012;13.2;1
197101;55.3;1
197102;27.4;1
197103;28.5;1
197104;38.5;1
197105;105.6;1
197106;80;1
197107;42.3;1
197108;54.3;1
197109;23.1;1
197110;8.5;1
