# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 42163001
# NOM_USUEL= LA PACAUDIERE
# LATITUDE (°) = 46.176
# LONGITUDE(°)= 3.866
# ALTITUDE (m) = 351
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-01-01
# NUM_SERIE= MRR042163001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195301 202012
# Date(s) de rupture(s) d'homogénéité : 196112 197512
#     Periode homogénéisée  195301 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;5.3;1
195302;26.7;1
195303;3.2;1
195304;59.8;1
195305;20.3;1
195306;121.8;1
195307;54.5;1
195308;65.2;1
195309;59.8;1
195310;83.3;1
195311;2.1;1
195312;24.6;1
195401;31;1
195402;64.1;1
195403;79;1
195404;26.7;1
195405;60.9;1
195406;49.1;1
195407;44.3;1
195408;190.1;1
195409;81.2;1
195410;44.9;1
195411;42.2;1
195412;73.7;1
195501;134.6;1
195502;122.8;1
195503;44.9;1
195504;4.3;1
195505;74.8;1
195506;79.3;1
195507;81;1
195508;68.8;1
195509;34.4;1
195510;20.8;1
195511;28.5;1
195512;49.9;1
195601;58.5;1
195602;18.2;1
195603;31.1;1
195604;30.8;1
195605;52.9;1
195606;56.9;1
195607;152.5;1
195608;74.7;1
195609;122.8;1
195610;87.5;1
195611;34.3;1
195612;29.1;1
195701;43.3;1
195702;71.5;1
195703;29.3;1
195704;23.6;1
195705;31.4;1
195706;128.9;1
195707;57.4;1
195708;6.4;1
195709;55;1
195710;20.5;1
195711;26.1;1
195712;37.3;1
195801;64.5;1
195802;35.5;1
195803;62;1
195804;54.6;1
195805;66.8;1
195806;81.4;1
195807;56.4;1
195808;210.9;1
195809;132.1;1
195810;58.7;1
195811;170.1;1
195812;76.8;1
195901;95.1;1
195902;0.4;1
195903;73.9;1
195904;72.6;1
195905;40.4;1
195906;42.6;1
195907;22;1
195908;44;1
195909;72.2;1
195910;58.4;1
195911;50.3;1
195912;87.7;1
196001;68.7;1
196002;44.8;1
196003;84;1
196004;22;1
196005;34.5;1
196006;102.3;1
196007;71.1;1
196008;124.3;1
196009;111.2;1
196010;115.1;1
196011;40.2;1
196012;55.7;1
196101;78.9;1
196102;70.8;1
196103;10;1
196104;69;1
196105;98.1;1
196106;48.3;1
196107;51.7;1
196108;46.4;1
196109;30.7;1
196110;122.5;1
196111;51.5;1
196112;88.1;1
196201;90.5;1
196202;63.9;1
196203;64.3;1
196204;72.8;1
196205;71.7;1
196206;18.3;1
196207;108.2;1
196208;27.5;1
196209;99.8;1
196210;26.2;1
196211;69.8;1
196212;104.9;1
196301;41.7;1
196302;51.5;1
196303;131.5;1
196304;31.4;1
196305;59.7;1
196306;148.7;1
196307;42.5;1
196308;148.7;1
196309;23.4;1
196310;23.7;1
196311;81.4;1
196312;7;1
196401;15.7;1
196402;35.2;1
196403;52.5;1
196404;73;1
196405;103.7;1
196406;38;1
196407;22.9;1
196408;30.1;1
196409;47;1
196410;58.3;1
196411;31.9;1
196412;34.1;1
196501;81.7;1
196502;8.9;1
196503;59.8;1
196504;81.1;1
196505;135.6;1
196506;69.5;1
196507;120.2;1
196508;49;1
196509;203.4;1
196510;35.5;1
196511;91.6;1
196512;153.1;1
196601;59.7;1
196602;64.6;1
196603;53.7;1
196604;107.5;1
196605;78.7;1
196606;81.6;1
196607;49.2;1
196608;50.7;1
196609;31.1;1
196610;61.1;1
196611;82.7;1
196612;100.5;1
196701;46.2;1
196702;33.4;1
196703;65.9;1
196704;14.9;1
196705;76.6;1
196706;97.1;1
196707;53;1
196708;243.3;1
196709;100.1;1
196710;49.1;1
196711;84.5;1
196712;65.2;1
196801;110.8;1
196802;48.3;1
196803;31.8;1
196804;62.7;1
196805;119.2;1
196806;34.4;1
196807;58.1;1
196808;109.2;1
196809;116.7;1
196810;24.9;1
196811;54.3;1
196812;136.5;1
196901;64.4;1
196902;33.2;1
196903;64.4;1
196904;102.6;1
196905;93.2;1
196906;87.5;1
196907;35.8;1
196908;115.4;1
196909;53.6;1
196910;8.2;1
196911;105.2;1
196912;72.6;1
197001;62.1;1
197002;167.5;1
197003;74.5;1
197004;97.5;1
197005;44.4;1
197006;123.5;1
197007;30.7;1
197008;41.5;1
