# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 60400001
# NOM_USUEL= MESNIL-SUR-BULLES
# LATITUDE (°) = 49.486
# LONGITUDE(°)= 2.345
# ALTITUDE (m) = 146
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR160400001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 195612 196612 198710
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;108.9;1
195502;65;1
195503;10;1
195504;10.1;1
195505;72.8;1
195506;46;1
195507;79;1
195508;29.1;1
195509;31.1;1
195510;40.2;1
195511;24.4;1
195512;84.3;1
195601;54.7;1
195602;12;1
195603;10.8;1
195604;66.5;1
195605;10.8;1
195606;53.8;1
195607;62.7;1
195608;108.4;1
195609;27.5;1
195610;43;1
195611;29.8;1
195612;22.8;1
195701;24.1;1
195702;175;1
195703;18.9;1
195704;16.2;1
195705;20.3;1
195706;81.3;1
195707;66.1;1
195708;62;1
195709;110.3;1
195710;28.7;1
195711;46.5;1
195712;52.6;1
195801;82;1
195802;113.3;1
195803;35.3;1
195804;41.5;1
195805;68.3;1
195806;101.7;1
195807;53.9;1
195808;113.9;1
195809;33.8;1
195810;55.1;1
195811;59.6;1
195812;84.1;1
195901;98;1
195902;3.3;1
195903;63.5;1
195904;84.7;1
195905;19.6;1
195906;45.9;1
195907;22.8;1
195908;19.3;1
195909;5.9;1
195910;59;1
195911;49.5;1
195912;70.4;1
196001;63.8;1
196002;54.5;1
196003;95.6;1
196004;10;1
196005;23.8;1
196006;67.9;1
196007;90.2;1
196008;68.5;1
196009;48.8;1
196010;132.7;1
196011;115.7;1
196012;76.7;1
196101;98.5;1
196102;50.2;1
196103;5.9;1
196104;62.3;1
196105;21.7;1
196106;48.9;1
196107;69.7;1
196108;2.8;1
196109;60.3;1
196110;93.8;1
196111;72.8;1
196112;93.2;1
196201;80.8;1
196202;21.8;1
196203;65.5;1
196204;48.9;1
196205;31;1
196206;6.7;1
196207;62.7;1
196208;55.9;1
196209;72.9;1
196210;37.4;1
196211;94.4;1
196212;47.8;1
196301;13.1;1
196302;12.9;1
196303;69.8;1
196304;47.1;1
196305;64.2;1
196306;125.8;1
196307;17;1
196308;128.3;1
196309;34.2;1
196310;31;1
196311;86.3;1
196312;14.6;1
196401;29.7;1
196402;35.4;1
196403;78;1
196404;63.9;1
196405;20.2;1
196406;37;1
196407;26.3;1
196408;18;1
196409;21.9;1
196410;57.6;1
196411;47.2;1
196412;77.5;1
196501;99.7;1
196502;14.9;1
196503;70.2;1
196504;58.7;1
196505;100.1;1
196506;29.7;1
196507;59;1
196508;59.8;1
196509;107.7;1
196510;23.6;1
196511;135.6;1
196512;160.4;1
196601;48.4;1
196602;43.3;1
196603;26.3;1
196604;64;1
196605;61.3;1
196606;54.6;1
196607;97.2;1
196608;54;1
196609;18.4;1
196610;122.5;1
196611;84.2;1
196612;124.7;1
196701;35.3;1
196702;28.9;1
196703;27.9;1
196704;23.9;1
196705;76.2;1
196706;42.6;1
196707;11.3;1
196708;43.7;1
196709;80.5;1
196710;90.8;1
196711;38.3;1
196712;66.7;1
196801;86.7;1
196802;62;1
196803;54.5;1
196804;45.8;1
196805;60.5;1
196806;88.6;1
196807;72.3;1
196808;162.1;1
196809;116.7;1
196810;46.7;1
196811;30.7;1
196812;59.9;1
196901;26;1
196902;47.9;1
196903;66.9;1
196904;54.4;1
196905;112.5;1
196906;110.5;1
196907;53.8;1
196908;64.7;1
196909;35.5;1
196910;8.5;1
196911;99.9;1
196912;72.7;1
197001;72.5;1
197002;112.7;1
197003;59.4;1
197004;68.6;1
197005;49.9;1
197006;44.7;1
197007;56.4;1
197008;64.9;1
197009;23.9;1
197010;27.2;1
197011;59.5;1
197012;23.9;1
197101;66.9;1
197102;40.2;1
197103;24.9;1
197104;35.4;1
197105;66.7;1
197106;92.7;1
197107;31.6;1
197108;54.9;1
197109;11.3;1
197110;12.8;1
197111;71.7;1
197112;8.6;1
197201;82.8;1
197202;68.5;1
197203;47.1;1
197204;69.4;1
197205;47.6;1
197206;70.5;1
197207;92.3;1
197208;34.8;1
197209;37.1;1
197210;12.6;1
197211;107.9;1
