# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28048001
# NOM_USUEL= LA BOURDINIERE
# LATITUDE (°) = 48.315
# LONGITUDE(°)= 1.428
# ALTITUDE (m) = 156
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-01-31
# NUM_SERIE= MRR228048001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;23.7;1
194702;55;1
194703;82.2;1
194704;12.5;1
194705;64.6;1
194706;33.4;1
194707;7.9;1
194708;43.2;1
194709;5.9;1
194710;7.7;1
194711;67.6;1
194712;54.3;1
194801;74.3;1
194802;30.7;1
194803;12;1
194804;77.6;1
194805;64.5;1
194806;35.3;1
194807;31.8;1
194808;67.9;1
194809;25.6;1
194810;23;1
194811;47.2;1
194812;40.8;1
194901;18.3;1
194902;8.9;1
194903;25.4;1
194904;24.8;1
194905;22;1
194906;19.7;1
194907;7.5;1
194908;61.2;1
194909;44.9;1
194910;68.2;1
194911;64.1;1
194912;34.8;1
195001;19.4;1
195002;56.7;1
195003;28.5;1
195004;54.8;1
195005;59.8;1
195006;29.4;1
195007;48.7;1
195008;58.7;1
195009;54.1;1
195010;25.7;1
195011;55.2;1
195012;62.3;1
195101;36.6;1
195102;42.4;1
195103;55;1
195104;40.8;1
195105;87.9;1
195106;73.2;1
195107;26.2;1
195108;92.1;1
195109;35;1
195110;26.6;1
195111;59.6;1
195112;45.1;1
195201;51;1
195202;38;1
195203;79.8;1
195204;10;1
195205;51.1;1
195206;44.3;1
195207;18.6;1
195208;76.6;1
195209;138.4;1
195210;71.9;1
195211;80.6;1
195212;73.1;1
195301;14.8;1
195302;23.8;1
195303;0.4;1
195304;55.5;1
195305;23.4;1
195306;38.3;1
195307;82.8;1
195308;13.9;1
195309;43.2;1
195310;42.9;1
195311;20.2;1
195312;12.4;1
195401;23;1
195402;45.2;1
195403;46.3;1
195404;11.1;1
195405;11.9;1
195406;36.1;1
195407;14.3;1
195408;60.9;1
195409;76.3;1
195410;30.9;1
195411;28.1;1
195412;52.4;1
195501;108.8;1
195502;56.5;1
195503;22.4;1
195504;3.1;1
195505;39.3;1
195506;70.7;1
195507;74;1
195508;52.2;1
195509;35.7;1
195510;53.6;1
195511;28.3;1
